Programme music	Music
Analgesic	Analgesics
Blender (program)	Graphics software, Free software, Animation
Mark Shuttleworth	White South African people, South African businesspeople, 1973 births, Living people
Paracetamol	Analgesics
Morphine	Opioids, Analgesics
Ségolène Royal	1953 births, Living people, Government ministers of France, Socialist Party (France) politicians, People from Dakar
Codeine	Opioids, Analgesics
Opium	Opioids
Union for a Popular Movement	2002 establishments in France, 2015 disestablishments in Europe, Conservative parties, Political parties in France
Oxycodone	Opioids, Analgesics
Pethidine	Opioids, Analgesics
National Assembly (France)	Politics of France, Parliaments
Hyperthyroidism	Diseases, Endocrine system
99942 Apophis	Asteroids
Dance music	Dance music
Baruch Spinoza	1632 births, 1677 deaths, 17th century philosophers, Dutch Jews, Dutch philosophers, Jewish philosophers, Writers from Amsterdam
Rationalism	Epistemology, Philosophical movements and positions
List of Universal Pictures movies	Lists of movies, Universal Pictures movies
2029	2029, Years in the future
Elephants Dream	Animated movies, 2006 movies, English-language movies
Chapel Royal	Churches in the United Kingdom, British royalty, Church architecture
Orlando Gibbons	1583 births, 1625 deaths, Baroque composers, English composers, English organists, People from Oxford, Renaissance composers
Waits	Music, History of Europe
Tennis Court Oath	1789, French Revolution
Chart	Charts
Samuel Adams	1722 births, 1803 deaths, American Calvinists, Congregationalists, Founding Fathers of the United States, Governors of Massachusetts, Politicians from Boston, Massachusetts, Signers of the U.S. Declaration of Independence
Bar chart	Charts
Pie chart	Charts
Biographical Directory of the United States Congress	Legislative branch of the United States government
Teapot	Tea, Cooking appliances
Le Monde	French-language newspapers
Begging the question	Logical fallacies
Ciwan Haco	1957 births, Living people, Kurdish people, Singers
Tata Young	1980 births, Living people, People from Bangkok, Thai singers, Thai actors, Bollywood playback singers
Practice	Skills
Stevens' power law	Psychology
Logic gate	Logic gates, Electronic circuits
Plaza Mayor of Madrid	Madrid, Town squares, 1400s establishments, 15th century establishments in Spain
Gran Vía	Buildings and structures in Madrid
Fountain of Cibeles	Buildings and structures in Madrid
Puerta del Sol	Buildings and structures in Madrid
Royal Palace of Madrid	Palaces in Spain, Buildings and structures in Madrid
Puerta de Alcalá	Buildings and structures in Madrid
Plaza	Town squares, Spanish culture
Transduction (physiology)	physiology
Sport Club Corinthians Paulista	Football clubs in São Paulo (state), 1910 establishments in South America, 1910s establishments in Brazil
Lyrics	Songs, Poetry, Writing
Judicial review	Law
Asian Dust	Weather events
Aden Abdullah Osman Daar	1908 births, 2007 deaths, Presidents of Somalia
Service of worship	Worship
Bandidos	Motorcycle clubs
Hells Angels	Motorcycle clubs
Outlaws Motorcycle Club	Motorcycle clubs
Blood and Honour	Rock Against Communism
Perry Rhodan	Science fiction books, Series of books
Wieluń	Cities in Poland
Nasjonal Samling	Political parties in Norway, 1940s in Norway, 1933 establishments, 1945 disestablishments in Europe, 20th century establishments in Norway, 1930s establishments in Europe, World War II
One Piece	Anime
Style guide	Writing, Language, Graphics
Parque del Buen Retiro	Madrid, Parks, 1868 establishments in Europe, 19th century establishments in Spain
Crystal Palace (Madrid)	Buildings and structures in Madrid, 1887 establishments in Europe, 19th century establishments in Spain
Las Ventas	Sports buildings, Buildings and structures in Madrid, 1929 establishments in Europe, 1920s establishments in Spain
Yellow spot	Eye anatomy
Retina	Eye anatomy
The Exploited	Scottish rock bands, British punk bands
4Kids	1970 establishments in the United States, Companies based in New York City, Entertainment companies
Cubism	Art movements
Sham 69	English punk bands
Visual acuity	Optometry
Robert Baker	American boxers, Sportspeople from Pennsylvania, 1926 births, 2002 deaths
Michaëlle Jean	Canadian journalists, Haitian people, 1957 births, Living people, Order of Canada, Governors General of Canada, Knights of Justice of the Order of St John, Port-au-Prince
Pascal Duquenne	1970 births, Living people, Belgian movie actors, Belgian stage actors, Belgian television actors, Belgian voice actors, People from Flemish Brabant
Catherine Emmerich	1774 births, 1824 deaths, German Roman Catholics, Nuns, Stigmata
New Year	Holidays, Years
Polyethylene	Thermoplastics
Polyvinyl chloride	Thermoplastics, Chlorine compounds
Polyamide	Polymers
Clarence Henry	American boxers, Sportspeople from San Antonio, Texas, 1926 births, 1999 deaths
Supreme Leader of Iran	Iran, Heads of state, Religious leaders, 1979 establishments in Asia, 1970s establishments in Iran
President of Iran	Presidents of Iran, Lists of heads of state
Ayatollah Khomeini	1902 births, 1989 deaths, Deaths from cancer, Deaths from myocardial infarction, Disease-related deaths in Iran, Heads of state, Iranian clerics, Iranian Muslims, Iranian politicians, Time People of the Year
Theocracy	Forms of government
Ahmad Jannati	Iranian people, Religious leaders, Muslims, 1926 births, Living people
Guardian Council	Government agencies, Iran, Courts (law), 1979 establishments in Asia, 1970s establishments in Iran
Incumbent	Voting
Assembly of Experts	Iran, Islam
Ali Meshkini	Iranian people, Religious leaders, 1922 births, 2007 deaths, Legislative speakers
Judiciary	Law
Mahmoud Hashemi Shahroudi	Chief Justices of Iran, Deaths from cancer, 1948 births, 2018 deaths
Expediency Discernment Council	Iran
Mata Hari	1876 births, 1917 deaths, Dutch artists, Erotic dancers, People executed by firearm, People from Leeuwarden, Spies
Father Damien	1840 births, 1889 deaths, Belgian priests, Belgian Roman Catholics, Christian saints, Hawaii, Missionaries, People from Flemish Brabant
Jack Dempsey	American boxers, Sportspeople from Colorado, 1895 births, 1983 deaths
Jess Willard	1881 births, 1968 deaths, American boxers, Sportspeople from Kansas
Nicholas II of Russia	1868 births, 1918 deaths, House of Romanov, People executed by firearm, Russian Revolution, Russian tsars, Russian Orthodox saints
William Tell	Swiss people
Antioch	4th-century BC establishments
Board	Basic English 850 words
Pitman arm	Auto parts
F1	Computing
Solvent	Chemistry
Chemically inert	Chemical nomenclature, Noble gases
Electron shell	Physics, Quantum mechanics, Chemical bonding
Wheelchair	Disability, Human-powered vehicles
Fuel oil	Fossil fuels, Chemical compounds, Oils
List of large wind farms	Wind farms, Science-related lists
Horse Hollow Wind Energy Center	Wind farms in Texas
List of solar thermal power stations	Solar power plants, Science-related lists, Environment
Andasol Solar Power Station	Solar power plants, Buildings and structures in Spain, Andalusia, 2009 establishments in Europe, 2000s establishments in Spain
Atlantic slave trade	Historic slave trade
African slave trade	History of Africa, Historic slave trade
Pocking Solar Park in Germany	Buildings and structures in Bavaria, Power stations in Germany, Solar power plants
Fractional distillation	Chemistry
Monte Alto solar power plant	Spain, Solar power plants
Odor	Chemistry
European ash	Trees, Oleaceae
Solar power in Spain	Solar energy, Spain
Sensation	Psychology, Physiology
Instant soup	Soups
Perception	Psychology, Perception
Soba	Noodles
Carmen Basilio	American boxers, Sportspeople from New York, 1927 births, 2012 deaths, Deaths from pneumonia
Johnny Saxton	2008 deaths, American boxers, Sportspeople from Newark, New Jersey, 1930 births
Weber-Fechner law	Psychology, Perception
Logarithmic scale	Logorithms
Noodle soup	Soups, Noodles
Scale (ratio)	Measurement
Scale (map)	Cartography, Measurement
Midnight sun	Astronomical phenomena
Eight Below	Disney movies, American adventure movies, 2006 movies, Movies about animals, 2000s adventure movies, American drama movies
Susilo Bambang Yudhoyono	1949 births, Living people, Muslims, Presidents of Indonesia
Order of the Garter	Knights of the Garter, 1348 establishments, 1340s establishments in England
HD DVD	Optical discs
Bruges	Bruges, World Heritage Sites in Europe
Immortality	Life, Death
European Union budget	European Union
Golden Gloves	Boxing
Sonny Liston	African-American boxers, American people convicted of assault, American robbers, Drug-related deaths in the United States, Sportspeople from Arkansas, 1932 births, 1970 deaths
Buckwheat	Caryophyllales, Edible nuts and seeds, Breakfast foods
Kinston Indians	Baseball teams, Sports in North Carolina
Columbia University	Columbia University, Association of American Universities, Ivy League, Pulitzer Prizes, Buildings and structures in Manhattan, 1754 establishments, 1750s establishments in the Thirteen Colonies
Columbian Exchange	History of Africa, Trade, History of Asia, History of Europe, History of North America, History of South America
Ragusa	Capital cities in Italy, Cities in Sicily
Elliott Carter	1908 births, 2012 deaths, 20th century composers, 21st century composers, American centenarians, American composers, Grammy Award winners
Dubrovnik	Cities in Croatia, World Heritage Sites in Europe
Sichuan pepper	Sapindales, Spices
Antiparticle	Subatomic particles, Antimatter
Hamo Beknazarian	1891 births, 1965 deaths, Armenian movie directors
Henrik Malyan	Armenian movie directors, 1925 births, 1988 deaths
Septuagint	Septuagint
Katharine McPhee	1984 births, Living people, Singers from Los Angeles, California, American Idol contestants
World Heavyweight Championship (WWE)	World Wrestling Entertainment championships, 2002 establishments, 2013 disestablishments
Islamic calendar	Calendars, Islamic calendar
Town privileges	Middle Ages
Afternoon	Parts of a day
Medieval music	Medieval music, Periods in music history
Neolithic	Neolithic
Crotchet	Note values
44 BC	44 BC
Burzum	Black metal bands, Thrash metal bands, Norwegian heavy metal bands, Musical groups from Bergen, Musical groups established in 1991, 1991 establishments in Europe, 1990s establishments in Norway, Musical groups disestablished in 1999, 1999 disestablishments in Europe, Musical groups established in 2009, 2009 establishments in Europe, 21st century establishments in Norway
John Collins	1968 births, Living people, Scottish footballers
Mayhem (band)	Black metal bands, Norwegian heavy metal bands
Shrek (movie)	2001 movies, 2001 animated movies, 2001 computer-animated movies, Academy Award winning movies, American adventure movies, American animated movies, American family movies, American comedy movies, DreamWorks Pictures movies, English-language movies, Movies based on books, Movies composed by Danny Elfman, Movies composed by Harry Gregson-Williams, Movies composed by John Powell, Movies that won the Best Animated Feature Academy Award, Shrek, 2000s adventure movies, Screenplays by Joe Stillman, United States National Film Registry movies
Mom at Sixteen	2005 movies, 2000s teen drama movies, American teen drama movies, English-language movies
Danielle Panabaker	1987 births, Living people, American movie actors, American television actors, Disney actors, Actors from Georgia (U.S. state)
Renaissance music	Renaissance, Periods in music history
Kay Panabaker	1990 births, Living people, American movie actors, American television actors, American child actors, Disney actors, Actors from Texas
Haley Hudson	American movie actors, Actors from Chicago, 1986 births, Living people
Enslaved (band)	Black metal bands, Norwegian heavy metal bands
Viking metal	Heavy metal subgenres
Musica ficta	Musical notation, Medieval music
Universal Studios Japan	2001 establishments in Japan, Companies of Japan, Osaka, Theme parks in Japan
Gap year	Colleges and universities, Travel, Leisure
Beam bridge	Bridge types
Gene Simmons	1949 births, Living people, Kiss, Singers from New York City, American rock guitarists, American heavy metal musicians, American heavy metal singers, Musicians from New York City, American Jews, American bloggers
Fox News	Cable television, Fox Broadcasting Company
Omsk	Cities in Russia, Siberia, Capital cities in Russia
Question mark	Punctuation, Typography
Kevin Federline	1978 births, Living people, American dancers, American rap musicians from California, Britney Spears, People from Fresno, California
Mercyful Fate	Black metal bands, Danish heavy metal bands, People from Copenhagen, Musical groups established in 1980
Electrical circuit	Electricity
Quiz	Games
John Hancock	1737 births, 1793 deaths, American revolutionaries, Founding Fathers of the United States, Governors of Massachusetts, Signers of the U.S. Declaration of Independence
Huldrych Zwingli	1484 births, 1531 deaths, Calvinists, Christian theologians, Protestant Reformers, Swiss people
20th-century classical music	20th century in music, Classical music, Periods in music history
Cuxhaven	Port cities and towns of the North Sea
Haifa Wehbe	1967 births, Living people, Lebanese Muslims, Lebanese singers, Models, Movie actors, People from Beirut
Dynamics (music)	Musical notation
Francesco Botticini	15th century Italian painters, People from Florence, 1446 births, 1498 deaths
Grana Padano	Italian cheeses
North American Free Trade Agreement	1994 in the United States, 1994 in Canada, 1990s in Mexico, Commerce, 1990s treaties, International organizations, Economics organizations, Economy of North America, Economy of Canada, Economy of Mexico, Economy of the United States, 1994 works
Language revival	Language
John Travolta	1954 births, Living people, Actors from New Jersey, People from Englewood, New Jersey, American aviators, American movie actors, American television actors, Golden Globe Award winning actors, American musicians, Scientologists
Objectivity (science)	Science
Roundhay Garden Scene	Silent movies, 1888
Herpetology	Branches of zoology, Reptiles, Amphibians
Hector Barbossa	Pirates of the Caribbean characters
Alpha Kappa Alpha	Fraternities and sororities, 1908 establishments, Organizations based in the United States
Fraud	Types of crime
Pump	Engineering, Mechanics, Tools
Ioan P. Culianu	1950 births, 1991 deaths, Romanian writers, Romanian historians, Poets, 20th century philosophers
Single (music)	Marketing, Songs
Captain America	Comic books, Fictional characters introduced in 1941, Marvel Comics adapted into movies, Marvel Comics superheroes, Marvel vs. Capcom fighters, Fictional American people, Fictional characters
Objectivity (journalism)	Mass media, Journalism
Genesis Nomad	Handheld video games, Sega video game consoles
Erlasee Solar Park	Buildings and structures in Bavaria, Power stations in Germany, Solar power plants
Khula	Marriage, Islamic culture
Hashemi Rafsanjani	1934 births, 2017 deaths, Deaths from myocardial infarction, Iranian clerics, Iranian Muslims, Speakers of the Islamic Consultative Assembly, Presidents of Iran
Evander Holyfield	African-American boxers, American Olympic bronze medalists, Celebrity Big Brother contestants, Dancing with the Stars participants, Medalists at the 1984 Summer Olympics, Sportspeople from Alabama, 1962 births, Living people
Porthmadog F.C.	Welsh football clubs, 1884 establishments in the United Kingdom, 1880s establishments in Wales
Sharia	Islamic law
Wadowice	Cities in Poland
Piano duet	Musical forms, Piano
Piano six hands	Musical terminology, Piano
Pedal	Mechanics
Rice wine	Wine
Alcopop	Alcoholic drink
Pedal (music)	Musical terminology
Alcoholism	Addiction, Alcohol drinking habits, Diseases
Sprain	Skeletal system
Second Sino-Japanese War	Second Sino-Japanese War, Wars involving Japan, Wars involving China
Ligament	Skeletal system
Powiat	Poland
1. FC Köln	Cologne, German football clubs, Sport in North Rhine-Westphalia, 1948 establishments in Germany
Carolina Gynning	1978 births, Living people, Big Brother winners, Swedish entertainers, Swedish models
Carrie Underwood	1983 births, Living people, American Idol winners, Grammy Award winners, Singers from Oklahoma, Christian music singers, Country musicians, American Music Awards
Nicole Richie	American movie actors, American television actors, American television personalities, American voice actors, American socialites, Participants in American reality television series, Singers from California, Actors from San Francisco, 1981 births, Living people
The Simple Life	2003 American television series debuts, 2007 American television series endings, 2000s American television series, American reality television series, Fox television series, English-language television programs
Jordin Sparks	American Idol winners, Singers from Phoenix, Arizona, 1989 births, Living people, Mezzo-sopranos, People from Glendale, Arizona
Taylor Hicks	1976 births, Living people, American blues singers, American rock singers, American soul singers, American blues musicians, American rock musicians, American soul musicians, Musicians from Birmingham, Alabama, Writers from Birmingham, Alabama, Singers from Birmingham, Alabama, American Idol winners
Oba Chandler	1946 births, 2011 deaths, American people executed for murder, American robbers, American thieves, Criminals from Ohio, People executed by lethal injection, People from Cincinnati, Ohio
All Saints' Day	Christian holidays, November events
Ishy Bilady	National anthems, United Arab Emirates, 1971 establishments in Asia, Establishments in the United Arab Emirates
JSPWiki	Wiki software
Salvation	Theology
Polyhedron	Polyhedra
Pentagon	Polygons
Calendar date	Calendars
Persian calendar	Calendars
Hexagon	Polygons
West Edmonton Mall	Malls, Alberta
Ahmad Khatami	Muslims, Iranian people, Religious leaders, 1960 births, Living people
Tendon	Skeletal system
Coffee substitute	Coffee
Kuzcham Dherai	Towns in Pakistan
Croatian language	Slavic languages, Croatia, Languages of Europe
Prize	Awards
Christian Church	Christian terminology, Church organization
Religious denomination	Religious denominations
Christian denomination	Christian denominations
List of Christian denominations by number of members	Christian denominations, Religion-related lists
Christendom	Christian terminology, Christianity of the Middle Ages
Creed	Christian genres, Christian creeds
Shahada	Arabic words and phrases, Islam
Purgatory	Roman Catholicism, Afterlife
William Blake	1757 births, 1827 deaths, Artists from London, British abolitionists, British esotericists, Christian mystics, Christian theologians, English activists, English painters, English poets, English Protestants, English theologians, Printmakers, Writers from London
Institution	Social sciences
Race (biology)	Taxonomy
Phenotype	Classical genetics, Developmental biology
Key lime	Citrus
Age of Discovery	History of Europe
Persian lime	Citrus
Kaffir lime	Citrus, Herbs, Spices
Medina	Medina
Doctrine	Christian genres, Politics, Christian theology
Citron	Citrus
Citric acid	Acids, Citrus
Geber	Chemists, Muslims, Philosophers, Physicians, Physicists, Pharmacists
Carl Wilhelm Scheele	1742 births, 1786 deaths, German chemists, People from Mecklenburg-Vorpommern, Swedish scientists
Micheline Calmy-Rey	1945 births, Living people, Presidents of the Swiss Confederation
Criss Angel Mindfreak	2005 American television series debuts, 2010 American television series endings, 2000s American television series, 2010s American television series, American reality television series, Magic, English-language television programs
Piano trio	Musical groups, Piano
Franz Grillparzer	1791 births, 1872 deaths, Austrian poets, Writers from Vienna
Pastry	Foods
Johann Georg Albrechtsberger	1736 births, 1809 deaths, Austrian composers, Classical era composers, Music theorists, Organists, People from Lower Austria
Fidelio	Compositions by Ludwig van Beethoven, Operas
Für Elise	Compositions by Ludwig van Beethoven, Solo piano pieces
Teplice	Spa towns in the Czech Republic, Cities in the Czech Republic
Symphony No. 9 "Choral" (Beethoven)	Compositions by Ludwig van Beethoven, Symphonies
Shatin Pui Ying College	Education in Hong Kong
Heuristic	Problem solving, Mathematics, Computer science
Mersenne prime	Number theory, Prime numbers
Insolation	Solar energy, Climate
The Settlers II	1996 video games, Real-time strategy video games
Hugo Chávez	Deaths from colorectal cancer, Deaths from respiratory failure, Deaths from myocardial infarction, Cancer deaths in Venezuela, Presidents of Venezuela, Democratic socialists, Roman Catholics, 1954 births, 2013 deaths
Granule (cell biology)	Cell biology
Cytosol	Biochemistry
Joan Jett	1960 births, Living people, American rock guitarists, American rock singers, Singers from Pennsylvania, Musicians from Pennsylvania, American punk musicians, Rock and Roll Hall of Fame inductees
Marble	Metamorphic rocks, Building materials, Carbonate rocks
Fan fiction	Fiction, Fandom
Three Laws of Robotics	Science fiction, Isaac Asimov
Nathuram Godse	1910 births, 1949 deaths, Assassins, Indian Hindus, Indian criminals, Indian activists, People executed by hanging, Political activists
Cradle of Filth	English heavy metal bands
Makoto Sakurai	1972 births, Japanese activists, Bloggers, People from Fukuoka Prefecture, Living people
George Adamski	1891 births, 1965 deaths, Writers from California, Writers from Oregon, Writers from New York City, Writers from Wyoming
Manga Kenkanryu	Manga, Korea, History of Japan
Donkey Kong	Fictional animals, Fictional characters introduced in 1981, Mario series characters, Donkey Kong
Sharin Yamano	1971 births, Living people, Japanese manga artists
Categorical imperative	Ethics
Multiculturalism	Sociology
Comfort women	Military of Japan, World War II, Prostitution, Sexuality
Glycolysis	Cellular respiration, Metabolism
Archetype	Psychology
Prototype	Manufacturing
Microdon	Flies
Pattern	Everyday life, Computer science
Bean	Beans
Luxembourg franc	Luxembourg, Former currencies of Europe
Belgian franc	Former currencies of Europe, Economy of Belgium, 1848 establishments in Europe, 1999 disestablishments in Europe
Paradise Island	Islands of the Bahamas
Eddie Izzard	British stand-up comedians, British television producers, Drama Desk Award winners, English comedians, English movie actors, English television actors, English voice actors, LGBT actors, LGBT comedians, English LGBT people, 1962 births, Living people
Emulator	Software, Computer science
ReactOS	Operating systems
MenuetOS	Operating systems
SkyOS	Operating systems
Jodie Foster	1962 births, Living people, Academy Award winning actors, Actors from Los Angeles, California, American child actors, American movie actors, American television actors, BAFTA Award winning actors, Golden Globe Award winning actors, Lesbians, LGBT actors, LGBT directors, LGBT people from Los Angeles, California, LGBT producers, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California, Screen Actors Guild Award winners
President of the French Republic	Presidents of France, Princes of Andorra
Orthodoxy	Theology, Christian terminology
Corn Pops	Breakfast cereals
Końskowola	Villages in Poland
Erich Maria Remarque	1898 births, 1970 deaths, German Roman Catholics, German writers, Naturalized citizens of the United States, Order of Merit of the Federal Republic of Germany, Pen names, People from Osnabrück
Bellinzona	Municipalities of Ticino, Capital cities in Switzerland
J. R. Richard	1950 births, 2021 deaths, American baseball players, Houston Astros players, Sportspeople from Louisiana, National League All-Stars, Deaths from the COVID-19 pandemic in the United States
Conrad Lant	Venom (band), 1963 births, Living people
County Wicklow	County Wicklow
Lusaka	Capital cities in Africa, Cities in Zambia
Shield	Armour
Kite shield	Armour
Gerbilling	Folklore
Socialist Party (France)	Socialist International, Social democratic parties, Political parties in France
Anomie	Sociology, Words
Fog	Weather
Frost	Water, Weather
1983 Atlantic hurricane season	Atlantic hurricane seasons, 1983
Alexandra Feodorovna (Alix of Hesse)	1872 births, 1918 deaths, People executed by firearm, People from Darmstadt, Russian nobility, Russian Orthodox saints
Richard Gere	Actors from New York, Actors from Philadelphia, Pennsylvania, American Buddhists, American human rights activists, American movie actors, American movie producers, American television actors, Golden Globe Award winning actors, People from Syracuse, New York, Screen Actors Guild Award winners, 1947 births, Living people
Rikishi	Wrestling
Thorax	Animal anatomy
Edda	Norse mythology
Njord	Norse gods and goddesses
Freyr	Norse gods and goddesses
Folkvang	Norse mythology
Sessrumnir	Norse mythology
Spinach	Leaf vegetables, Amaranthaceae
Arta Prefecture	Prefectures of Greece
Cardiomyopathy	Heart disease
Fire salamander	Salamandridae
Clamp	Tools
Miamisburg, Ohio	Cities in Ohio, 1797 establishments in the United States, 1790s establishments in the Northwest Territory
Salamandridae	Salamandridae
Legalism	History of China, Philosophical movements and positions
Gold Coast Art Centre	Buildings and structures in Queensland
Reynoldsburg, Ohio	Cities in Ohio
Sekhmet	Egyptian gods and goddesses
Heterodoxy	Christian theology
Isotherm	Meteorology, Thermodynamics
Plate boundary	Plate tectonics
Hourglass dolphin	Oceanic dolphins
Berberis	Shrubs, Ranunculales
Magic (card game)	Card games, 1993 establishments
Giant salamander	Salamanders
Manfred von Richthofen	1892 births, 1918 deaths, German aviators, German military personnel of World War I, Military people killed in action, People from former German territories, People from Wrocław
Fokker Dr.I	World War I aircraft, Military aircraft, Fokker aircraft
Butch Hartman	1965 births, Living people, American animators, American screenwriters, Writers from Michigan
Modes of limited transposition	Music theory
Olivier Messiaen	1908 births, 1992 deaths, 20th century composers, Avignon, French composers, French military people, French organists, French Roman Catholics, Grammy Award winners, Musicians from Provence-Alpes-Cote d'Azur, World War II people
Simplified Chinese characters	Chinese language, Writing systems
Traditional Chinese characters	Chinese language, Writing systems
Windows Server 2008	Microsoft operating systems
Windows Server 2003	Microsoft operating systems
Perry	Fermented drinks
Plate tectonics	Plate tectonics
Lithosphere	Structure of the Earth
New Jersey Devils	New Jersey Devils, 1974 establishments in the United States, 1970s establishments in New Jersey
Nashville Predators	Nashville Predators, 1997 establishments in the United States, 1990s establishments in Tennessee
Crookes	Sheffield
Dallas Stars	Dallas Stars, 1990s establishments in Texas
Pharmaconomist	Pharmacology, Drugs, Care, Healthcare occupations
Broomhill	Sheffield
Owen Hargreaves	1981 births, English footballers, Living people, Manchester United F.C. players, Sportspeople from Calgary, Premier League players
Asthenosphere	Structure of the Earth
Carlo Airoldi	Italian athletes, 1869 births, 1929 deaths
Joseph Priestley	1733 births, 1804 deaths, Unitarians, English chemists, English philosophers, Members of the Lunar Society
Vince McMahon	1945 births, Businesspeople from North Carolina, American professional wrestlers, Living people, Professional Wrestling broadcasters, Sportspeople from North Carolina, WWE people
Ogden Nash	1902 births, 1971 deaths, American poets, Disease-related deaths in the United States, Writers from New York, People from Rye, New York
1986 Atlantic hurricane season	Atlantic hurricane seasons, 1986
Abidjan	Capital cities in Africa, Cities in Ivory Coast, 1931 establishments, 20th-century establishments in Africa
Accra	Settlements in Ghana, Capital cities in Africa, 15th-century establishments, Establishments in Africa
César Franck	1822 births, 1890 deaths, Belgian composers, French composers, French organists, People from Liège, Romantic composers
Addis Ababa	1886 establishments, Addis Ababa, 19th-century establishments in Africa, Regions of Ethiopia
Home directory	Software
Nowruz	Holidays
Earth's mantle	Structure of the Earth
Robert Burns	1759 births, 1796 deaths, Scottish writers, Scottish poets
Book club	Books, Organizations
Video Relay Service	Electronics
Florida Panthers	1993 establishments in Florida, Ice hockey teams in the United States, National Hockey League teams, Sports in Florida
Carolina Hurricanes	Carolina Hurricanes, 1972 establishments in the United States, 20th-century establishments in North Carolina
Dakar	Cities in Senegal, Capital cities in Africa
IRCAM	Music technology, Paris
Yaoundé	Settlements in Cameroon, Capital cities in Africa, 1888 establishments, 19th-century establishments in Africa
Asmara	Capital cities in Africa, Eritrea, 12th-century establishments in Africa, History of Italy
Bamako	Capital cities in Africa, Cities in Mali, 17th-century establishments in Africa
Lomé	Togo, Capital cities in Africa
2002 Atlantic hurricane season	2002 Atlantic hurricane season
Wireless Markup Language	Markup languages
Maseru	Lesotho, Capital cities in Africa
Fandom	Fandom
New York Islanders	New York Islanders
Arizona Coyotes	Arizona Coyotes, 1990s establishments in Arizona
Buffalo Sabres	1970 establishments in New York (state), Ice hockey teams in the United States, National Hockey League teams, Sports in Buffalo, New York
Columbus Blue Jackets	Columbus Blue Jackets
Atlanta Thrashers	2011 disestablishments in the United States, Defunct National Hockey League teams, Ice hockey teams in the United States, Sports in Atlanta, Georgia, 1999 establishments in Georgia (U.S. state)
Rachael Ray	1968 births, Living people, Emmy Award winners, Writers from New York
Sophora	Faboideae, Trees
Cyanobacteria	Gram-negative bacteria, Cell biology, Photosynthesis
Teletypewriter	Electronics, Writing
Of Montreal	American pop music groups, American rock bands, Funk bands, Musical groups from Georgia (U.S. state), Indie rock bands
Alcalá de Henares	Cities in the Community of Madrid, Municipalities in the Community of Madrid
Alpine newt	Newts
Differential equation	Differential equations
Windhoek	Windhoek
Boiling tube	laboratory equipment
1982 Atlantic hurricane season	Atlantic hurricane seasons, 1982
Ouagadougou	Ouagadougou
Venetian language	Languages of Europe, Romance languages, Venice
Yamoussoukro	Capital cities in Africa, Cities in Ivory Coast
Bloemfontein	Bloemfontein, 1846 establishments, 19th-century establishments in South Africa, 1840s establishments in Africa
Jack Black	1969 births, Living people, Actors from Santa Monica, California, American guitarists, American movie actors, American movie producers, American rock musicians, American rock singers, American television actors, American television producers, American television writers, American voice actors, Comedians from California, Singers from California, Writers from California
Dough	Slang, Doughs
Muffin	Cakes, Sweet breads
English muffin	Breads, Breakfast foods, British food
Cornbread	Breads
Cupcake	Cakes
Curry	Indian food, Pakistani food
Shore	Landforms
Bleach (manga)	Manga, Afterlife
Whyalla, South Australia	Cities in South Australia
Ron Paul	1935 births, Living people, American Baptists, Politicians from Pittsburgh, Pennsylvania, 2008 United States presidential candidates, 2012 United States presidential candidates, United States representatives from Texas, US Libertarian Party politicians
Djibouti (city)	Capital cities in Africa, Djibouti
Jamestown, Saint Helena	Capital cities in Africa, Saint Helena, 1659 establishments, 17th-century establishments in Africa
Markus Näslund	1973 births, Living people, New York Rangers players, Pittsburgh Penguins players, Swedish ice hockey players, Vancouver Canucks players, International Hockey League (1945–2001) players, Swedish Hockey League players
Pier Gerlofs Donia	1480 births, 1520 deaths, People from Friesland, Pirates
Erasmus	1466 births, 1536 deaths, 16th century philosophers, Bible translators, Christian theologians, Dutch philosophers, Dutch Roman Catholics, Protestant Reformation, Writers from Rotterdam
Elfstedentocht	Friesland, Skating, Sport in the Netherlands, 1909 establishments in Europe, 1900s establishments in the Netherlands, De Fryske Marren, Leeuwarden, Noardeast-Fryslân, Súdwest-Fryslân, Waadhoeke
Sneek	Cities in Friesland, Former municipalities of Friesland, Súdwest-Fryslân
Huelva	Cities in Andalusia, Capital cities in Spain, Municipalities in Andalusia
Richard Dawkins	1941 births, Living people, British academics, English atheists, English evolutionary biologists, English science writers, People from Nairobi, HuffPost writers and columnists, Academics of the University of Oxford
Stalactite	Caves
Ranma ½	Anime, Manga, 1993 television series debuts, 2002 television series endings
Engagement	Marriage
Enrique Gaspar y Rimbau	1842 births, 1902 deaths, Spanish writers
Laksa	Soups, Noodles
Scarface (1983 movie)	1983 crime movies, 1983 thriller movies, 1980s crime thriller movies, American crime thriller movies, American gangster movies, American movie remakes, Antisocial personality disorder in fiction, English-language movies, Movies directed by Brian De Palma, Movies set in Miami, Florida, Universal Pictures movies, American drama movies, Movies about the illegal drug trade
Contract killing	Types of crime
Ecstasy (drug)	Illegal drugs
Saffir–Simpson scale	Tropical cyclones, Winds
Eastern Catholic churches	Eastern Catholicism
Sanjaya Malakar	1989 births, Living people, singers from Washington, American Idol contestants
Pangolin	Mammals
Antananarivo	Capital cities in Africa, Madagascar, 1625 establishments, 17th-century establishments in Africa
Alex (parrot)	Parrots, Individual animals
Lobamba	Cities in Eswatini
