Institution of Structural Engineers	Organisations based in London
Manuel Pablo	1976 births, Living people, Spanish footballers
Shogo Shiozawa	1982 births, Living people, Footballers from Nagano Prefecture
Aldo Duscher	1979 births, Living people, Argentine footballers
Álvaro Arbeloa	1983 births, Living people, Spanish footballers, People from Salamanca
Wilson Carlos Mano	1964 births, Living people, Brazilian footballers
Tomoya Osawa	1984 births, Living people, Footballers from Saitama Prefecture
Sonkyo Nomura	1941 births, Living people, Footballers from Hiroshima Prefecture
Francismar Carioca de Oliveira	1984 births, Living people, Brazilian footballers
Blerim Džemaili	1986 births, Living people, Swiss footballers
Dominique Rocheteau	1955 births, Living people, French footballers
Pablo Mastroeni	1976 births, Living people, American footballers
José Nasazzi	1901 births, 1968 deaths, Uruguayan footballers, Uruguayan football managers, Sportspeople from Montevideo
Savo Milošević	1973 births, Living people, Serbian footballers
Snowy River	Rivers of Victoria (Australia), Rivers of New South Wales
Maxwell House	1892 establishments in New York (state), Coffee, Drink companies
Ben Hogan	1912 births, 1997 deaths, American golfers
Arsenic and Old Lace	1944 movies, 1940s comedy movies, American comedy movies, English-language movies, Movies directed by Frank Capra
Aleksandr Kerzhakov	1982 births, Living people, Russian footballers
Makoto Watanabe	1980 births, Living people, Footballers from Shizuoka Prefecture
Kazuaki Kamizono	1981 births, Living people, Footballers from Kanagawa Prefecture
Yuya Nagatomi	1982 births, Living people, Footballers from Fukuoka Prefecture
Kyohei Noda	1981 births, Living people, Footballers from Kanagawa Prefecture
Slashing	Hockey, Lacrosse
Pat Patterson	1941 births, Canadian LGBT people, Canadian professional wrestlers, Former WWE wrestlers, Gay men, 2020 deaths, Cancer deaths in Florida, LGBT sportspeople, Sportspeople from Montreal, WWE Hall of Fame
Peer support	Sociology
Sulphur-crested cockatoo	Birds of Australia, Cockatoos
Salty liquorice	Candy
Gotland	Islands of Sweden, Provinces of Sweden
Almunge	Settlements in Uppsala County
Roger Sherman	1721 births, 1793 deaths, Founding Fathers of the United States, United States representatives from Connecticut, United States senators from Connecticut
Hebrew people	History of the Middle East, Semitic peoples, Ancient Israeli people
Roundheads	17th century in England
Cavaliers	17th century in England
Mall of America	Malls, Buildings and structures in Minnesota, 1992 establishments in the United States, 1990s establishments in Minnesota
Petronas	Companies of Asia, Malaysia, 1974 establishments in Asia, 20th century establishments in Malaysia
Telefónica	Companies of Spain
Union (American Civil War)	American Civil War
Painful sexual act	Sexual acts
Neem	Meliaceae, Plants of Asia
Minoru Funakoshi	Year of birth missing (living people), Living people, Footballers from Fukuoka Prefecture
Hiroyuki Shinonaga	1971 births, Living people, Footballers from Fukuoka Prefecture
Jorge López Montaña	1978 births, Living people, Spanish footballers
Mazarópi	1953 births, Living people, Brazilian association football goalkeepers
Masatada Ishii	1967 births, Living people, Footballers from Chiba Prefecture
Ayila Yussuf	1984 births, Living people, Nigerian footballers, People from Lagos
Nigel de Jong	1984 births, Living people, A.C. Milan players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, Dutch footballers, Sportspeople from Amsterdam
Paulo Nagamura	1983 births, Living people, Brazilian footballers
Kevin Doyle	1983 births, Living people, Irish footballers, People from County Wexford
Jun Suzuki (born in 1989)	1989 births, Living people, Footballers from Fukuoka Prefecture, Avispa Fukuoka players
Krassimir Balakov	1966 births, Living people, Bulgarian footballers, Bulgarian football managers
Martin Jiránek	1979 births, Living people, Czech footballers
Fan Zhiyi	1969 births, Living people, Chinese footballers, Crystal Palace F.C. players
Kew Jaliens	1978 births, Living people, 2006 FIFA World Cup players, Dutch footballers, Sportspeople from Rotterdam
Kang Hyun-Su	1984 births, Living people, North Korean footballers, People from Osaka
Kosuke Nakamachi	1985 births, Living people, Footballers from Gunma Prefecture, Avispa Fukuoka players
Starstruck	2010 movies
Nematomorpha	Minor phyla
Burgess Shale	Lagerstätten, Mountains of British Columbia, Cambrian, Geological formations, Sedimentary rocks, World Heritage Sites in Canada
Solnhofen limestone	Bavaria, Fossils, Lagerstätten
Aenictogiton	Ants
Ketosis	Metabolism
Melphalan	Drugs, Cancer treatment
Rhabdomyosarcoma	Cancer
Underweight	Health problems
Etihad Airways	Airlines of the Middle East, 2003 establishments in Asia
Petrol Ofisi	Companies of Turkey
Pot-in-pot refrigerator	Food and drink
Ankylosauridae	Ankylosauria
David Heiss	Year of birth missing (living people), Living people, Murderers
Koichi Hashimoto	1969 births, Living people, Japanese footballers
Shun Ichimura	1986 births, Living people, Footballers from Tokyo Prefecture
Shinji Suzuki	1986 births, Living people, Footballers from Shizuoka Prefecture
Taiji Furuta	1982 births, Living people, Footballers from Nara Prefecture
Koichi Hirono	1980 births, Living people, Footballers from Nara Prefecture
Shigeru Sarusawa	1960 births, Living people, Footballers from Hiroshima Prefecture
Jehol biota	Lagerstätten, Fossils, China, Geological formations
Kazuki Tsuda	1982 births, Living people, Footballers from Tokyo Prefecture
Tsuyoshi Tanikawa	1980 births, Living people, Footballers from Shizuoka Prefecture
Oleksandr Shovkovskiy	1975 births, Living people, Sportspeople from Kiev, Ukrainian footballers
New York Draft Riots	1863 in the United States, American Civil War, History of Manhattan, Riots in the United States
Andrés Escobar	1967 births, 1994 deaths, 1990 FIFA World Cup players, 1994 FIFA World Cup players, Colombian footballers, Murdered sportspeople, Murders by firearm
Igor Duljaj	1979 births, Living people, Serbian footballers
Richard Dunne	1979 births, Living people, Irish footballers, Sportspeople from Dublin
Ryo Sakai	1977 births, Living people, Footballers from Kanagawa Prefecture
Wataru Sumida	1988 births, Living people, Footballers from Ehime Prefecture
Yuji Mito	1988 births, Living people, Footballers from Kyoto
Tiago Prado	1984 births, Living people, Brazilian footballers
Jun Mizukoshi	1975 births, Living people, Footballers from Nara Prefecture
Eduardo César Gaspar	1978 births, Living people, Brazilian footballers
Kris Boyd	1983 births, Living people, Scottish footballers
Ludovic Butelle	1983 births, Living people, French footballers, Association football goalkeepers, People from Reims
Leandro Grimi	1985 births, Living people, Argentine footballers
Naldo	1982 births, Living people, Brazilian footballers
Kevin Nolan	1982 births, Living people, English footballers, People from Liverpool, Premier League players
Leon Osman	1981 births, Living people, English footballers, Sportspeople from Greater Manchester, Premier League players
Hirotada Ito	1987 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Pete Backor	1919 births, 1988 deaths, Canadian ice hockey defencemen, Ice hockey people from Ontario, People from Thunder Bay, Stanley Cup champions, Toronto Maple Leafs players, American Hockey League players
Bob Bodak	1961 births, Canadian ice hockey left wingers, Ice hockey people from Ontario, Living people, People from Thunder Bay, American Hockey League players, ECHL players, International Hockey League (1945–2001) players
Yusuke Sato (born in 1982)	1982 births, Living people, Footballers from Kumamoto Prefecture
Ryuji Kitamura	1981 births, Living people, Footballers from Kanagawa Prefecture
Daisuke Tanaka	1983 births, Living people, Footballers from Shiga Prefecture
Koji Nakao	1981 births, Living people, Footballers from Kagoshima Prefecture
Yasuyoshi Nara	1982 births, Living people, Footballers from Kanagawa Prefecture
Christoph Daum	1953 births, Living people, German footballers, German football managers, Sportspeople from Saxony
Megumu Tamura	1927 births, 1986 deaths, Japanese footballers, Japan international footballers
Seki Matsunaga	1928 births, 2013 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Kashiwa Reysol players
Yoshio Okada	1926 births, 2002 deaths, Footballers from Hyōgo Prefecture, Japan international footballers
Koji Miyata	1923 births, Living people, Japanese footballers, Japan international footballers, Tanabe Mitsubishi Pharma SC players
Masanobu Aoyagi	1985 births, Living people, Footballers from Fukuoka Prefecture
Wataru Nakazato	1984 births, Living people, Footballers from Okinawa Prefecture
FC Erzgebirge Aue	1946 establishments in Germany, German football clubs, Sport in Saxony
Takashi Sambonsuge	1978 births, Living people, Footballers from Kanagawa Prefecture
Hiroyuki Dobashi	1977 births, Living people, Footballers from Yamanashi Prefecture
Hidehito Shirao	1980 births, Living people, Footballers from Kagoshima Prefecture
Nenad Đorđević	1979 births, Living people, Serbian footballers
Rot-Weiß Oberhausen	German football clubs, Oberhausen, Sport in North Rhine-Westphalia
Shoki Hirai	1987 births, Living people, Footballers from Tokushima Prefecture
Kohei Nishino	1982 births, Living people, Footballers from Hyōgo Prefecture
Hiroyuki Takeda	1983 births, Living people, Footballers from Hyōgo Prefecture
SC Paderborn 07	German football clubs, Sport in North Rhine-Westphalia
Encyclopædia Britannica Ultimate Reference Suite	Encyclopædia Britannica
Digital rights	Computers, Rights
Enigma machine	World War II, Cryptography
Northwest Passage	Exploration, Arctic
Chatroulette	Websites
The Human Centipede (First Sequence)	2009 horror movies, Body horror movies, Dutch movies, English-language movies, German-language movies, Japanese-language movies, Movies about murderers, Multilingual movies, Suicide in movies, Obscenity controversies
Isle Royale National Park	National parks in the United States, Biosphere reserves
Mare Tranquillitatis	Surface features of the Moon
Heterodontosaur	Heterodontosaurs
Antti Niemi (ice hockey)	1983 births, Chicago Blackhawks players, Living people, Stanley Cup champions, Vantaa, Finnish ice hockey goaltenders
Filé	Spices
Stephen Strasburg	American baseball players, Washington Nationals players, Sportspeople from San Diego, California, 1988 births, Living people
Amblyopone saundersi	Ants
Amyrmex golbachi	Ants
Ancyridris	Ants
Anillidris	Ants
Danijel Ljuboja	Serbian footballers, 1978 births, Living people
Shigeo Sugimoto	1926 births, 2002 deaths, Footballers from Hyōgo Prefecture, Japan international footballers
Takeshi Inoue	1928 births, 1992 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Urawa Red Diamonds players
Takashi Kano	1920 births, 2000 deaths, Footballers from Tokyo Prefecture, Japan international footballers
Pterygota	Insects
Kazuya Iwakura	1985 births, Living people, Footballers from Toyama Prefecture
Robert Schuman	1886 births, 1963 deaths, Former MEPs, Government ministers of France, MEPs for France, People from Luxembourg City, Presidents of the European Parliament, Prime Ministers of France, French Ministers of Finance
Neoptera	Insects
Endopterygota	Insects
Hidemaro Watanabe	1924 births, 2011 deaths, Footballers from Hiroshima Prefecture, Japan international footballers
Masao Ono	1923 births, 2001 deaths, Footballers from Kanagawa Prefecture, Japan international footballers
Tomohiko Ikoma	1932 births, 2009 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Kakuichi Mimura	1931 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Footballers at the 1956 Summer Olympics
Arawa Kimura	1931 births, 2007 deaths, Footballers from Hiroshima Prefecture, Japan international footballers
Yasukazu Tanaka	1933 births, Living people, Japanese footballers, Japan international footballers, Sanfrecce Hiroshima players
Hisataka Okamoto	1933 births, Living people, Japanese footballers, Japan international footballers, Kashiwa Reysol players
Nobuo Matsunaga	1921 births, 2007 deaths, Footballers from Shizuoka Prefecture, Japan international footballers
Reizo Fukuhara	1931 births, 1970 deaths, Footballers from Hiroshima Prefecture, Japan international footballers
Toshio Iwatani	1925 births, 1970 deaths, Footballers from Hyōgo Prefecture, Japan international footballers
Alvin Ceccoli	1974 births, Living people, Australian footballers, Sportspeople from Sydney
Kenzo Ohashi	1934 births, 2015 deaths, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Isao Iwabuchi	1933 births, 2003 deaths, Footballers from Tochigi Prefecture, Japan international footballers, Footballers at the 1956 Summer Olympics
Gyoji Matsumoto	1934 births, 2019 deaths, Footballers from Saitama Prefecture, Japan international footballers, Deaths from cardiovascular disease
Hiroaki Sato	1932 births, 1988 deaths, Footballers from Hyōgo Prefecture, Japan international footballers, Footballers at the 1956 Summer Olympics
Kenji Tochio	1941 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Hiroshi Saeki	1936 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Takehiko Kawanishi	1938 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Koji Sasaki	1936 births, Living people, Japanese footballers, Japan international footballers
Shigenari Izumi	1969 births, Living people, Footballers from Ehime Prefecture
David Navarro	1980 births, Living people, Spanish footballers
Takao Nishiyama	1942 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players
Nobuyuki Oishi	1939 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Katsuyoshi Kuwahara	1944 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players
Masanobu Izumi	1944 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Nagoya Grampus players
Shigeki Kurata	1972 births, Living people, Footballers from Kyoto
Takayuki Yokoyama	1972 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Tamotsu Komatsuzaki	1970 births, Living people, Footballers from Chiba Prefecture
Kenji Oba	1967 births, Living people, Footballers from Kanagawa Prefecture
Junji Koizumi	1968 births, Living people, Footballers from Tochigi Prefecture
Keisuke Moriya	1986 births, Living people, Footballers from Kanagawa Prefecture
Yoichi Akiba	1983 births, Living people, Footballers from Saitama Prefecture
Yohei Sakai	1986 births, Living people, Footballers from Kanagawa Prefecture
Stanley Smith Stevens	Scientists from Utah, American psychologists, 1906 births, 1973 deaths, People from Ogden, Utah
Daiki Niwa	1986 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Gamba Osaka players, Tokushima Vortis players, Omiya Ardija players, Avispa Fukuoka players, Sanfrecce Hiroshima players, FC Tokyo players, FC Tokyo U-23 players
Naoya Ishigami	1985 births, Living people, Footballers from Ibaraki Prefecture
New Found Glory	American rock bands, American punk bands, Emo bands, Pop punk bands, Musical groups from Florida
Anochetus goodmani	Ants
Anochetus pattersoni	Ants
Anonychomyrma	Ants
Anoplolepis nuptialis	Ants
Marko Marin	1989 births, Living people, German footballers
Cacau	1981 births, Living people, German footballers, Brazilian footballers
Sami Khedira	1987 births, Living people, 2010 FIFA World Cup players, 2014 FIFA World Cup players, German footballers, Sportspeople from Stuttgart
Lotus Racing	Formula One constructors, Formula One current
Kingston, Rhode Island	Cities in Rhode Island
Rot Weiss Ahlen	German football clubs, Sport in North Rhine-Westphalia, 1996 establishments in Europe, 1990s establishments in Germany
Vienna Declaration	Human rights, United Nations
Nihon Odai Ichiran	History of Japan
Morpheme	Grammar
Strong Bad's Cool Game for Attractive People	2008 video games, Homestar Runner
Strong Bad	Animated characters, Fictional characters introduced in 1996, Homestar Runner, Internet memes
Old Style and New Style dates	History, Time
Clarence S. Campbell Bowl	National Hockey League trophies and awards
Kangwŏn-do (North Korea)	North Korea
UVERworld	Japanese rock bands
Shabu shabu	Japanese food
Yoshikazu Suzuki	1982 births, Living people, Footballers from Shizuoka Prefecture
Tetsuya Oishi	1979 births, Living people, Footballers from Shizuoka Prefecture
Benigno Aquino III	1960 births, 2021 deaths, Presidents of the Philippines, Corazon Aquino, Deaths from diabetes, Deaths from renal failure
Toshimasa Toba	1975 births, Living people, Footballers from Aichi Prefecture
Kenji Arima	1972 births, Living people, Footballers from Kanagawa Prefecture, Japanese football managers
Tsutomu Nishino	1971 births, Living people, Footballers from Nara Prefecture
Daiki Wakamatsu	1976 births, Living people, Footballers from Aichi Prefecture
Toshihiro Yoshimura	1971 births, Living people, Footballers from Shizuoka Prefecture
Takashi Kuramoto	1984 births, Living people, Footballers from Oita Prefecture
Hiromasa Kanazawa	1983 births, Living people, Footballers from Shizuoka Prefecture
Kazuhiko Shingyoji	1986 births, Living people, Footballers from Tokyo Prefecture
Tadao Onishi	1943 births, 2006 deaths, Footballers from Kyoto Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Tsuyoshi Kunieda	1944 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Junji Kawano	1945 births, Living people, Footballers from Oita Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Masafumi Hara	1943 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Norio Yoshimizu	1946 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Yusuke Omi	1946 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Marcio Richardes	1981 births, Living people, Brazilian footballers, Albirex Niigata players
Yoichi Futori	1982 births, Living people, Footballers from Chiba Prefecture
Ryuichi Dogaki	1988 births, Living people, Footballers from Osaka Prefecture
Naoya Shibamura	1982 births, Living people, Footballers from Hiroshima Prefecture
Patrik Berger	1973 births, Living people, Czech footballers, Sportspeople from Prague
Miguel Pallardó	1986 births, Living people, Spanish footballers
David Cerrajería	1983 births, Living people, Spanish footballers, People from Valencia
Takeshi Ono	1944 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
George Kobayashi	1947 births, Living people, Brazilian-Japanese footballers, Japan international footballers, Japan Soccer League players, Cerezo Osaka players
Seiichi Sakiya	1950 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Noritaka Hidaka	1947 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Minoru Kobata	1946 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Shusaku Hirasawa	1949 births, Living people, Footballers from Akita Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Kazuhisa Kono	1950 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Koji Funamoto	1942 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Kazumi Takada	1951 births, 2009 deaths, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Michio Ashikaga	1950 births, Living people, Footballers from Akita Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Ignacio Insa Bohigues	1986 births, Living people, Spanish footballers
Toshio Takabayashi	1953 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Nilüfer, Bursa	Districts of Bursa Province
Vuvuzela	Africa, Sports
ING Group	Business, Banks, Companies of the Netherlands
Web accessibility	Internet, Disability
Brachiosaur	Brachiosaurs
Giraffatitan	Brachiosaurs, Jurassic dinosaurs, Dinosaurs of Africa
Level (device)	Construction
Hiroji Imamura	1949 births, Living people, Footballers from Shiga Prefecture, Japan international footballers, Japan Soccer League players, Cerezo Osaka players
Masaki Yokotani	1952 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players, Yokohama Flügels players
Kiyoshi Saito	1982 births, Living people, Footballers from Miyagi Prefecture
Juan Luis Mora	1973 births, Living people, Spanish association football goalkeepers
Alexis Ruano Delgado	1985 births, Living people, Spanish footballers
Hisao Sekiguchi	1954 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Ichiro Hosotani	1946 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Toyohito Mochizuki	1953 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Kawasaki Frontale players
Shigemi Ishii	1951 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Kazuyoshi Nakamura	1955 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Kawasaki Frontale players
Yoshiichi Watanabe	1954 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, Sanfrecce Hiroshima players
Michio Yasuda	1949 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Mitsuo Kato	1953 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Yukitaka Omi	1952 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Tokyo Verdy players
Ikuo Takahara	1957 births, Living people, Japanese footballers, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Hiroyuki Sakashita	1959 births, Living people, Footballers from Kanagawa Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players, Tokyo Verdy players
Yoshio Kato	1957 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, JEF United Chiba players
Yasuhito Suzuki	1959 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, Japan Soccer League players, Cerezo Osaka players
Toyokazu Fukuda	1958 births, Living people, Footballers from Mie Prefecture
Nobutaka Suzuki	1983 births, Living people, Footballers from Saitama Prefecture
Genki Haraguchi	1991 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, J1 League players, Urawa Red Diamonds players, 2018 FIFA World Cup players
Ryo Kanazawa	1988 births, Living people, Footballers from Kyoto
Seiko Yamanaka	1989 births, Living people, Footballers from Kōchi Prefecture
Alceu	1984 births, Living people, Brazilian footballers
Kota Morimura	1988 births, Living people, Footballers from Tokyo Prefecture
Nobuyuki Abe (footballer)	1984 births, Living people, Footballers from Tokyo Prefecture
Kei Uemura	1981 births, Living people, Footballers from Kanagawa Prefecture
Takumi Shimohira	1988 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Shu Kurata	1988 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, J1 League players, J2 League players, Gamba Osaka players, JEF United Chiba players, Cerezo Osaka players
Kenta Hoshihara	1988 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Kim Tae-Yeon	1988 births, Living people, South Korean footballers, People from Seoul
Gakuto Kondo	1981 births, Living people, Footballers from Aichi Prefecture
Matthew (ship)	Ships
Yosuke Ishibitsu	1983 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Takahide Kishi	1987 births, Living people, Footballers from Hyōgo Prefecture
Object (grammar)	Grammar
Subject (grammar)	Grammar
Frigate	Warships, Ships
Eugène Gigout	1844 births, 1925 deaths, French composers, People from Nancy
Schola Cantorum	Music schools
Voice (grammar)	Grammar
Transitivity (mathematics)	Mathematics
Beer Sheba	Beer Sheba
Desert scorpion	Arachnids
Black widow	Spiders
Pill bug	Isopods
Druze	Druze, Ethnic groups in Israel, Lebanon, Religion in Israel, Syria
Ready to Fall	Rise Against
Soccer City	Soccer City, FIFA World Cup, Football stadiums in South Africa, Johannesburg, 1987 establishments in Africa, 1980s establishments in South Africa
Acacia	Trees, Mimosoideae
Mimosoideae	Mimosoideae
Affix	Grammar
New Caledonia national football team	National football teams, Football in France
Midshipman	Military ranks
Impressionist music	Music
Neoclassicism music	Music
Vincent d'Indy	French composers, 1851 births, 1931 deaths
Edgard Varèse	1883 births, 1965 deaths, French composers
Conservapedia	Wikis
Text grammar	Grammar, Literature, Linguistics
Discourse analysis	Linguistics
Super Paper Mario	Mario roleplaying games, 2007 video games, Wii games
Power-up	Video game design
Kamloops	Cities in British Columbia
Tsutomu Sonobe	1958 births, Living people, Footballers from Ibaraki Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players
Satoshi Yamaguchi (footballer, born 1959)	1959 births, Living people, Footballers from Oita Prefecture, Japan international footballers, Japan Soccer League players, Urawa Red Diamonds players
Naoji Ito	1959 births, Living people, Footballers from Mie Prefecture, Japan international footballers, Japan Soccer League players, Honda FC players, Sagan Tosu players
Masaaki Kato	1958 births, Living people, Footballers from Aichi Prefecture, Japan international footballers, Japan Soccer League players, Hokkaido Consadole Sapporo players, Yokohama Flügels players
Toshihiko Okimune	1959 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Kawasaki Frontale players
Mitsugu Nomura	1956 births, Living people, Footballers from Hokkaidō Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players
Toru Yoshikawa	1961 births, Living people, Footballers from Mie Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players, Kyoto Sanga FC players
Hiroshi Yoshida	1958 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Atsushi Uchiyama	1959 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Júbilo Iwata players
Yutaka Ikeuchi	1961 births, Living people, Footballers from Aichi Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players
Masaru Uchiyama	1957 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Júbilo Iwata players
Takeshi Koshida	1960 births, Living people, Footballers from Ishikawa Prefecture, Japan international footballers, Japan Soccer League players, Yokohama F. Marinos players, Zweigen Kanazawa players
Artichoke	Asteraceae
Yoshinori Ishigami	1957 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Júbilo Iwata players
Osamu Taninaka	1964 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players, Sagan Tosu players
Hisashi Kaneko	1959 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players
Takaya Kawanabe	1988 births, Living people, Footballers from Saitama Prefecture
Kunihiro Shibasaki	1985 births, Living people, Footballers from Tokyo Prefecture
Takuya Sonoda	1984 births, Living people, Footballers from Miyazaki Prefecture
Kim Dong-Soo	1986 births, Living people, South Korean footballers
Koji Asato	1987 births, Living people, Footballers from Okinawa Prefecture
Park Jong-Jin	1987 births, Living people, South Korean footballers
Márcio Rodrigues Araújo	1984 births, Living people, Brazilian footballers
Takahiro Oshima	1988 births, Living people, Footballers from Chiba Prefecture
Taishi Koyama	1988 births, Living people, Footballers from Yamanashi Prefecture
Kenji Suzuki	1986 births, Living people, Footballers from Akita Prefecture
Eltinho	1987 births, Living people, Brazilian footballers, Coritiba Foot Ball Club players
Anderson Santos Silva	Brazilian footballers, 1981 births, Living people
Kentaro Sato (footballer)	1984 births, Living people, Footballers from Mie Prefecture
Kenichi Mori	1984 births, Living people, Footballers from Gunma Prefecture
Keisuke Endo	1989 births, Living people, Footballers from Chiba Prefecture
Yoshinobu Harada	1986 births, Living people, Footballers from Saitama Prefecture
Adam Burish	1983 births, American Hockey League players, American ice hockey players, Chicago Blackhawks players, Dallas Stars players, Living people, People from Madison, Wisconsin, San Jose Sharks players, Sportspeople from Wisconsin, Stanley Cup champions, Swedish Hockey League players, United States Hockey League players
Jun Tanaka	1983 births, Living people, Footballers from Saitama Prefecture
Ryota Kobayashi	1988 births, Living people, Footballers from Gunma Prefecture
Kim Yeong-Gi	1985 births, Living people, South Korean footballers
Takahiro Yamaguchi	1984 births, Living people, Footballers from Tokyo Prefecture
Yuki Igari	1988 births, Living people, Footballers from Kanagawa Prefecture
Aphaenogaster kimberleyensis	Ants
Aphaenogaster	Ants
NGO Monitor	Political organizations based in Asia, Arab–Israeli conflict, 2001 establishments in Asia, Jerusalem
Satoru Hayashi	1988 births, Living people, Footballers from Kanagawa Prefecture
Shuichi Akai	1981 births, Living people, Footballers from Hokkaidō Prefecture
Akihiro Sakata	1984 births, Living people, Footballers from Kyoto
Kim Shin-Young	1983 births, Living people, South Korean footballers
Rui Komatsu	1983 births, Living people, Footballers from Kōchi Prefecture
Kenta Tanno	1986 births, Living people, Footballers from Miyagi Prefecture
Tatsuya Yamashita	1987 births, Living people, Footballers from Hyōgo Prefecture
Kazuyuki Mugita	1984 births, Living people, Footballers from Ishikawa Prefecture
Eigo Sekine	1981 births, Living people, Footballers from Saitama Prefecture
Kazuki Abe	1987 births, Living people, Footballers from Tokushima Prefecture
Kohei Kawata	1987 births, Living people, Footballers from Oita Prefecture
Orust	Islands of Sweden
Georg Philipp Schmidt von Lübeck	1766 births, 1849 deaths, German poets, People from Lübeck
