Appomattox Court House	American Civil War
Pericles de Oliveira Ramos	1975 births, Living people, Brazilian footballers
Ivan Radeljić	1980 births, Living people, Bosnia and Herzegovina footballers
Marco Marchionni	1980 births, Living people, Italian footballers
Fernando Henrique Mariano	1967 births, Living people, Brazilian footballers
Lucas Chiaretti Cossenzo	1987 births, Living people, Brazilian footballers
Shinsuke Shiotani	1970 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Hiroto Mogi	1984 births, Living people, Footballers from Fukushima Prefecture, Fukushima United FC players
Bruno Sarpa Costa	1984 births, Living people, Footballers from Rio de Janeiro
Marquem Gonçalves Ferreira	1983 births, Living people, Brazilian footballers
Katsuyuki Saito	1973 births, Living people, Footballers from Fukushima Prefecture
Ryota Aoki	1984 births, Living people, Footballers from Osaka Prefecture
Masahiro Wada	1965 births, Living people, Footballers from Hyōgo Prefecture
Abdeljalil Hadda	1972 births, Living people, Moroccan footballers
Lucas Neill	1978 births, Living people, Australian footballers, Sportspeople from Sydney
Michael Dawson	1983 births, Living people, English footballers, People from North Yorkshire, Tottenham Hotspur F.C. players
Gunnar Nordahl	1921 births, 1995 deaths, Swedish footballers
Yoshiki Okamura	1977 births, Living people, Footballers from Yamaguchi Prefecture
Kazuhiro Suzuki	1976 births, Living people, Footballers from Tokyo Prefecture
Paul Morphy	1837 births, 1884 deaths, American chess players, Sportspeople from New Orleans, Louisiana
Kim Carnes	American folk musicians, Singers from Los Angeles, California, American pop musicians, Singer-songwriters from California, Grammy Award winners, 1945 births, Living people, Country musicians
Emperor Bidatsu	538 births, 585 deaths, Emperors of Japan
Café de la Régence	Chess, Buildings and structures in Paris
Longevity	Life, Demography, Population, Gerontology, Healthy lifestyle
Andy Reid	1982 births, Living people, Irish footballers, Sportspeople from Dublin
Judit Polgár	1976 births, Living people, Hungarian chess players, Hungarian Jews, Sportspeople from Budapest, Chess grandmasters
Paul Stalteri	1977 births, Living people, Canadian footballers, Sportspeople from Ontario
Fábio de Jesus	1976 births, Living people, Brazilian footballers
Ricardo Souza Silva	1975 births, Living people, Brazilian footballers
Viktor Onopko	1969 births, Living people, Russian footballers
Henri Michel	1947 births, 2018 deaths, French footballers, French football managers, Aix-en-Provence
Kiatisuk Senamuang	1973 births, Living people, Thai football managers, Thai footballers
Michael Yano	1979 births, Living people, Japanese footballers, People from Accra
Taikai Uemoto	1982 births, Living people, Footballers from Kagoshima Prefecture
Yoshiaki Fujita	1983 births, Living people, Footballers from Tochigi Prefecture
Satoshi Taira	1970 births, Living people, Footballers from Iwate Prefecture
Alessandro Cambalhota	1973 births, Living people, Brazilian footballers
Masahiro Sukigara	1966 births, Living people, Footballers from Tokyo Prefecture, J1 League players, Japan Soccer League players, Tokyo Verdy players, Urawa Red Diamonds players, 1988 AFC Asian Cup players
Jun Takada	1977 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Takahiro Kawamura	1979 births, Living people, Footballers from Shizuoka Prefecture
Takuma Koga	1969 births, Living people, Footballers from Shizuoka Prefecture
Eiji Hanayama	1977 births, Living people, Footballers from Tochigi Prefecture
Yasumasa Nishino	1982 births, Living people, Footballers from Toyama Prefecture
Hiromasa Yamamoto	1979 births, Living people, Footballers from Aichi Prefecture
Jorginho Putinatti	1959 births, Living people, Brazilian footballers
Ogyū Sorai	1666 births, 1729 deaths, Philosophers, Japanese people, Confucianism, People from Tokyo
Mercantilism	Economic history
Maimonides	1135 births, 1204 deaths, Egyptian Jews, European Jews, Jewish philosophers, People from Córdoba, Andalusia, Physicians, Rabbis
Communes of Chile	Cities in Chile
The Decemberists	American rock bands, Indie rock bands, Folk music groups, Musical groups from Oregon, Musicians from Portland, Oregon, 2000 establishments in the United States, 21st-century establishments in Oregon
Emperor Yōmei	518 births, 587 deaths, Emperors of Japan
Arica Province	Provinces of Chile
Francis Crick	1916 births, 2004 deaths, Biophysicists, English biologists, British Nobel Prize winners, British physicists, Cancer deaths in the United States, Deaths from colorectal cancer, Molecular biologists, Neuroscientists, Order of Merit, People from Northamptonshire
Arica	Cities in Chile, Communes of Chile
Camarones, Chile	Cities in Chile, 1927 establishments in Chile, Communes of Chile
Putre	Cities in Chile, Communes of Chile
General Lagos	Cities in Chile
Alto Hospicio	Cities in Chile, 2004 establishments, 21st-century establishments in Chile
Pozo Almonte	Cities in Chile
Camiña	Cities in Chile
Colchane	Cities in Chile
Huara	Cities in Chile
Pica, Chile	Cities in Chile
Motion blindness	Vision
Battles of Lexington and Concord	Battles of the American Revolutionary War, 1775 in the Thirteen Colonies, 1770s in Massachusetts, April events
Emperor Sushun	520s births, 592 deaths, Emperors of Japan
No. 3 Fighter Sector RAAF	Queensland
Jimmy Carr	1972 births, Living people, Actors from London, Alumni of the University of Cambridge, British stand-up comedians, Channel 4 presenters, Comedians from London, English atheists, English movie actors, English television presenters, English television writers, Irish comedians, Irish movie actors, Irish television personalities, Irish writers, People from Hounslow (London borough), Writers from London
Kingdom Records (UK)	British_record_labels
Whirlpool	Bodies of water
Clipper	Ships, Trade routes
Kim Yoo-Jin	1983 births, Living people, South Korean footballers, People from Busan
Carlos Sánchez García	1978 births, Living people, Spanish association football goalkeepers, Sportspeople from Madrid
Edmilson dos Santos Silva	1982 births, Living people, Brazilian footballers, People from Salvador, Bahia
Mariinsky Theatre	Opera houses, Buildings and structures in Saint Petersburg, Ballet
Dragan Džajić	1946 births, Living people, Serbian footballers
Masaki Yamamoto	1987 births, Living people, Footballers from Shizuoka Prefecture
Hisao Kuramata	1958 births, Living people, Footballers from Saitama Prefecture
Shinichiro Takahashi	1957 births, Living people, Footballers from Hiroshima Prefecture
Nobuhiro Takeda (footballer, born 1965)	1965 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Nobuhiro Ueno	1965 births, Living people, Footballers from Shiga Prefecture, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama Flügels players, Sanfrecce Hiroshima players, 1988 AFC Asian Cup players
Koji Gyotoku	1965 births, Living people, Footballers from Shizuoka Prefecture, Japanese football managers, Sport in Bhutan
Marvell Wynne	1986 births, Living people, American footballers
Faas Wilkes	1923 births, 2006 deaths, Dutch footballers, Sportspeople from Rotterdam
Kazuhito Mochizuki	1957 births, Living people, Footballers from Shizuoka Prefecture
Hidenori Kato	1981 births, Living people, Footballers from Mie Prefecture
Shota Koide	1981 births, Living people, Footballers from Fukuoka Prefecture
Hirotsugu Nakabayashi	1986 births, Living people, Footballers from Kanagawa Prefecture
Hiroshi Narazaki	1981 births, Living people, Footballers from Fukuoka Prefecture
Ante Šimundža	1971 births, Living people, Slovenian footballers
Toyoki Hasegawa	1986 births, Living people, Footballers from Kumamoto Prefecture
Takaaki Suzuki	1981 births, Living people, Footballers from Shizuoka Prefecture
Kentaro Yoshida	1980 births, Living people, Footballers from Fukuoka Prefecture
Peter Binkovski	1972 births, Living people, Slovenian footballers
Takuma Hidaka	1983 births, Living people, Footballers from Hiroshima Prefecture
Port of Hull	East Riding of Yorkshire, Ports and harbours of the United Kingdom
Yoshihito Fujita	1983 births, Living people, Footballers from Hyōgo Prefecture
Yu Eto	1983 births, Living people, Footballers from Fukuoka Prefecture
Koji Hirose	1984 births, Living people, Footballers from Kyoto
Tatsuya Kamohara	1983 births, Living people, Footballers from Saga Prefecture
Hirotsugu Kakoi	1987 births, Living people, Footballers from Kagoshima Prefecture
Masatoshi Mihara	1988 births, Living people, Footballers from Kumamoto Prefecture
Saint Petersburg Conservatory	Music schools, Buildings and structures in Saint Petersburg
Mikhail Tal	1936 births, 1992 deaths, Chess grandmasters, Jewish sportspeople, Latvian chess players, Latvian Jews, People from Riga, Soviet Jews, Soviet sportspeople
Game port	Video game consoles, Computer hardware, Electrical connectors
Clinical trial	Medicine
Yuki Kuriyama	1988 births, Living people, Footballers from Kumamoto Prefecture
Keiji Takachi	1980 births, Living people, Footballers from Saitama Prefecture
Takeshi Hamada	1982 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Junya Yamashiro	1985 births, Living people, Footballers from Kyoto
Yoshiya Takemura	1973 births, Living people, Footballers from Hiroshima Prefecture
Asuka Tateishi	1983 births, Living people, Footballers from Kagoshima Prefecture
Yasuhiro Tominaga	1980 births, Living people, Footballers from Fukuoka Prefecture
Kenji Tanaka	1983 births, Living people, Footballers from Saga Prefecture, Vanraure Hachinohe players
Takashi Azuma	1979 births, Living people, Footballers from Shiga Prefecture
Yoshimi Sasahara	1974 births, Living people, Footballers from Kagoshima Prefecture
Paul Keres	1916 births, 1975 deaths, Chess grandmasters, Estonian sportspeople
Anne of Austria	1601 births, People from Valladolid, 1666 deaths, Habsburg Dynasty, House of Bourbon, Kings and Queens consort of France
Eric S. Raymond	1957 births, Living people, Writers from Boston, Massachusetts, American bloggers
Bourne End, Buckinghamshire	Villages in Buckinghamshire
2009–10 NHL season	National Hockey League seasons
Joe Mauer	1983 births, Living people, American baseball players, Minnesota Twins players, Sportspeople from Saint Paul, Minnesota
Death of a Salesman	Plays, Suicide in fiction
Continuum hypothesis	Set theory
Flexibility training	Fitness
Washington Luiz Mascarenhas Silva	1978 births, Living people, Brazilian footballers
Kazuhiro Murata	1969 births, Living people, Footballers from Nagasaki Prefecture
Junichi Watanabe	1973 births, Living people, Footballers from Tokyo Prefecture
Taku Watanabe	1971 births, Living people, Footballers from Ibaraki Prefecture
Satoru Mochizuki	1964 births, Living people, Footballers from Shiga Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, NKK SC players, Urawa Red Diamonds players, Kyoto Sanga FC players
Koji Kataoka	1977 births, Living people, Footballers from Fukuoka Prefecture
Jun Ideguchi	1979 births, Living people, Footballers from Tokyo Prefecture
Sugao Kambe	1961 births, Living people, Footballers from Shizuoka Prefecture
Salif Keïta	1946 births, Living people, Malian footballers, People from Bamako
Sagan Tosu	Japanese football clubs, Saga Prefecture, 1987 establishments in Japan
The Fountainhead	20th century American novels, 1943 books, English-language novels
A Raisin In The Sun	Chicago, Illinois in fiction, Plays
Arctic fox	Foxes, Mammals of North America, Mammals of Asia, Mammals of Europe
DFB-Pokal	Football competitions
Rabah Madjer	1958 births, Living people, Algerian footballers, Algerian football managers
Yulian Sokhotski	1842 births, 1927 deaths, Academics, People from Warsaw, Polish mathematicians, Russian mathematicians
Wilson's storm petrel	Procellariiformes, Seabirds
Red-billed Tropicbird	Birds of Pakistan
Red-tailed tropicbird	Seabirds
Aida	Compositions by Giuseppe Verdi, Operas
Atropine	Drugs
Vladimir Uzoykin	1980 births, Living people, Russian footballers
Townsville	Cities in Queensland
Tsai Ing-wen	1956 births, Living people, Alumni of the London School of Economics, Cornell University alumni, Government ministers, Presidents of the Republic of China
Pheromone	Zoology, Physiology, Hormones, Endocrinology
Kronborg	Buildings and structures in Denmark, World Heritage Sites in Europe
Christian IV of Denmark	Kings and Queens of Denmark, 1577 births, 1648 deaths
Sex determination	Classical genetics, Developmental biology, Cell biology, Biological reproduction
Sketches by Boz	Books by Charles Dickens, Fiction books
Hiroshi Tetsuto	1982 births, Living people, Footballers from Kumamoto Prefecture
Victor Piţurcă	1956 births, Living people, Romanian footballers, Romanian football managers
Anghel Iordănescu	1950 births, Living people, Romanian footballers, Romanian football managers
Édison Méndez	1979 births, Living people, Ecuadorian footballers, People from Quito
Seiji Honda	1976 births, Living people, Footballers from Tokushima Prefecture
Teruaki Kobayashi	1979 births, Living people, Footballers from Ibaraki Prefecture
Hiroyuki Komoto	1985 births, Living people, Footballers from Hyōgo Prefecture
Oleg Romantsev	1954 births, Living people, Russian footballers, Russian football managers
Daisuke Tada	1982 births, Living people, Footballers from Okayama Prefecture
Masahito Suzuki	1977 births, Living people, Footballers from Chiba Prefecture
Equirectangular projection	Map projections
Zack Greinke	1980 births, Living people, Arizona Diamondbacks players, Kansas City Royals players, Los Angeles Angels of Anaheim players, Los Angeles Dodgers players, Milwaukee Brewers players, Sportspeople from Orlando, Florida
Scheherazade	Fictional characters
Stretching	Fitness
Debit card	Money
Sunbelt	Regions of the United States
Takuya Mikami	1980 births, Living people, Footballers from Saitama Prefecture
Kentoku Noborio	1983 births, Living people, Footballers from Kagoshima Prefecture
Hideaki Ueno	1981 births, Living people, Footballers from Hokkaidō Prefecture
Yuki Okubo	1984 births, Living people, Footballers from Chiba Prefecture
Keizo Imai	1950 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japan Soccer League players, Shonan Bellmare players
Haruhisa Hasegawa	1957 births, Living people, Footballers from Hyōgo Prefecture, Japan international footballers, Japan Soccer League players, Cerezo Osaka players
Hiroyuki Usui	1953 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japan Soccer League players, Kashiwa Reysol players
Takeo Wakabayashi	1907 births, 1937 deaths, Footballers from Hyōgo Prefecture, Japan international footballers
Bruno N'Gotty	1971 births, Living people, French footballers, Sportspeople from Lyon
Mito HollyHock	Japanese football clubs, Ibaraki Prefecture
Serpopard	Egyptian mythology, Archaeology
Plott Hound	Dog breeds
Mary Cassatt	American painters, People from Pittsburgh, Pennsylvania, 1844 births, 1926 deaths
Crazy Eights	Card games
Ada Lovelace	1815 births, 1852 deaths, English computer scientists, Scientists from London, Female scientists
Shreveport, Louisiana	Ark-La-Tex, Former United States state capitals, Parish seats in Louisiana, Shreveport, Louisiana
Pinochle	Card games
Atom (feed)	Internet
Pop Chronicles	Radio programs, Documentaries, American music history
Digital Enhanced Cordless Telecommunications	Telecommunications, Mobile phones
Epcot	1982 establishments in the United States, 1980s establishments in Florida, Disney - Orlando, Theme parks in Florida
Aleph null	Mathematics
Cranston, Rhode Island	Cities in Rhode Island
Eyjafjallajökull	Volcanoes of Iceland
Anonymous function	Computer programming, Functions and mappings, Mathematical notation
The History of Rock and Roll	Radio programs, Documentaries, Rock music, American music history
Ward Burton	1961 births, Living people, Daytona 500 winners, American racecar drivers, Sportspeople from Virginia
Italian conquest of British Somali Coast Protectorate	World War II
List of cities in Australia by population	Cities in Australia, Lists of cities by country, Australia-related lists
Tiago Jorge Honório	1977 births, Living people, Brazilian footballers
Ferenc Bene	1944 births, 2006 deaths, Hungarian footballers, Hungarian football managers
Dwight Lodeweges	1957 births, Living people, Dutch football managers, Dutch footballers, Eredivisie managers, Sportspeople from Alberta
Toyoharu Takata	1948 births, Living people, Footballers from Hiroshima Prefecture
Yota Akimoto	1987 births, Living people, Footballers from Tokyo Prefecture
Takumi Shima	1967 births, Living people, Footballers from Tokushima Prefecture
Akinobu Yokouchi	1967 births, Living people, Footballers from Fukuoka Prefecture
Jun Marques Davidson	1983 births, Living people, Footballers from Tokyo Prefecture
Jan Jönsson	1960 births, Living people, Swedish footballers
MC Chris	1975 births, Living people, Writers from Illinois, Adult Swim, American voice actors, American rap musicians from Illinois, Musicians from Illinois, Actors from Illinois, People from Libertyville, Illinois, American bloggers
H. Jon Benjamin	1966 births, Living people, American stand-up comedians, American voice actors, Comedians from Massachusetts, American movie actors, American television actors, Actors from Massachusetts
David Cross	1964 births, Living people, American movie actors, American voice actors, American television actors, Actors from Atlanta, Georgia
Holy water	Christian religious objects
Shigemitsu Egawa	1966 births, Living people, Footballers from Mie Prefecture
Hiroki Nakayama	1985 births, Living people, Footballers from Kagoshima Prefecture
Osamu Kawamoto	1952 births, Living people, Footballers from Hokkaidō Prefecture
Raffaele Palladino	1984 births, Living people, Italian footballers
Lucien Laurent	1907 births, 2005 deaths, French footballers
Roberto Júlio de Figueiredo	1979 births, Living people, Brazilian footballers
Shota Matsuhashi	1982 births, Living people, Footballers from Nagasaki Prefecture
Carlos Esteves	1947 births, Living people, Brazilian footballers
Jan Polák	1981 births, Living people, Czech footballers, People from Brno
Shen Bao	Newspapers in Asia, China
Merchant Navy	Transport in the United Kingdom
Kazumasa Kawano	1970 births, Living people, Footballers from Oita Prefecture
Takashi Rakuyama	1980 births, Living people, Footballers from Toyama Prefecture
Yoshiya Nishizawa	1987 births, Living people, Footballers from Saitama Prefecture
Masahiro Okamoto	1983 births, Living people, Footballers from Chiba Prefecture
Lee Baxter	1976 births, Living people, Swedish footballers, People from Helsingborg
Casiano Delvalle	1970 births, Living people, Paraguayan footballers
Josip Barišić	1981 births, Living people, Croatian footballers
Yuji Kishioku	1954 births, Living people, Footballers from Hokkaidō Prefecture, Japan international footballers, Japan Soccer League players, Nippon Steel Yawata SC players
Linking verb	Parts of speech
Evacuation	Safety
French defence	Chess openings
Nimzo-Indian defence	Chess openings
Tsukasa Umesaki	1987 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, J1 League players, Oita Trinita players, Urawa Red Diamonds players, Shonan Bellmare players
Steed Malbranque	1980 births, Living people, French footballers
Daisuke Takahashi (footballer)	1983 births, Living people, Footballers from Fukuoka Prefecture
Kim Jong-Song	1964 births, Living people, North Korean footballers
Giourkas Seitaridis	1981 births, Living people, Greek footballers
Pieter Huistra	1967 births, Living people, Dutch football managers, Dutch footballers, Sportspeople from Friesland
Salomon Kalou	1985 births, Living people, Ivorian footballers
Masao Uchino	1934 births, Year of death missing, Footballers from Kanagawa Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players, Footballers at the 1956 Summer Olympics
Fernando Cavenaghi	1983 births, Living people, Argentine footballers
Jong Tae-Se	1984 births, Living people, North Korean footballers
Thespakusatsu Gunma	Japanese football clubs, Gunma Prefecture, 1995 establishments in Japan
Joey Logano	1990 births, Living people, NASCAR drivers, American racecar drivers
Pound-force	Imperial units
Long ton	Units of mass
Seismogram	Earthquakes, Earthquake engineering
Nothosaur	Fossils, Sauropterygia, Marine reptiles
Hod Stuart	1879 births, 1907 deaths, Canadian ice hockey defencemen, Hockey Hall of Fame inductees, Ice hockey people from Ontario, Montreal Wanderers players, People from Ottawa, Stanley Cup champions
List of ZIP Code prefixes	Postal codes, United States Postal Service, United States-related lists
Mohamed Zidan	1981 births, Living people, Egyptian footballers, Egypt international footballers
Koichi Ae	1976 births, Living people, Footballers from Hiroshima Prefecture
Opium Wars	19th century in Asia, Wars involving China, Wars involving France, Wars involving the United Kingdom, Wars involving the United States, 1850s in France, 1830s in the United Kingdom, 1840s in the United Kingdom
Shunichi Ikenoue	1967 births, Living people, Footballers from Gunma Prefecture, J1 League players, Japan　Soccer　League players, Gamba Osaka players, Yokohama Flügels players, Sagan Tosu players, 1988 AFC Asian Cup players
Seismometer	Earthquakes, Measuring tools
Denny Landzaat	1976 births, Living people, Dutch footballers, Sportspeople from Amsterdam
David Connolly	1977 births, Living people, Irish footballers, Sportspeople from London
Antonio Valencia	1985 births, Living people, Ecuadorian footballers, Manchester United F.C. players
Graham Kavanagh	1973 births, Living people, Irish footballers, Sportspeople from Dublin
Lee McCulloch	1978 births, Living people, Scottish footballers
Cool Silly	Pop music groups, Taiwanese musical groups
David Wright	1980 births, Living people, English footballers, Sportspeople from Cheshire
Arjan de Zeeuw	1970 births, Living people, Dutch footballers, Sportspeople from North Holland
Andreas Johansson	1978 births, Living people, Swedish footballers
Yohei Toyoda	1985 births, Living people, Footballers from Ishikawa Prefecture, Japan international footballers, J1 League players, J2 League players, Nagoya Grampus players, Montedio Yamagata players, Kyoto Sanga FC players, Sagan Tosu players, Footballers at the 2008 Summer Olympics
Paul Jewell	1964 births, Living people, English footballers, English football managers, Sportspeople from Liverpool
Nathan Ellington	1981 births, Living people, English footballers, People from Bradford, Premier League players
Jason Roberts	1978 births, Living people, Grenadian people, British footballers
Kim Jung-Hoon	1986 births, Living people, South Korean footballers, People from Osaka
Ryuji Shimoshi	1985 births, Living people, Footballers from Ehime Prefecture
Dew	Precipitation
666 (number)	Integers, Superstitions, New Testament, Christian eschatology
Jazz piano	Jazz music
Apito	Musical instruments
Jedward	2009 establishments in Europe, 2000s Irish music groups, 2010s Irish music groups, Living people, Celebrity Big Brother contestants, Irish pop music groups, Musicians from Dublin, Sibling musical duos, The X Factor contestants, Twin people
Marcionism	Gnosticism
Chorley	Towns in Lancashire
Clayton-le-Woods	Villages in Lancashire
Divididos	Argentine rock bands, 1988 establishments in South America, Musical groups established in 1988, 20th-century establishments in Argentina
Gao Shun	Han Dynasty generals, 198 deaths, Year of birth unknown
Hitachi A-train	Trains
2 Maccabees	Books of the Bible, Hanukkah
3 Maccabees	Books of the Bible
List of counties in Florida	Florida counties, Lists of counties of the United States, Florida-related lists
Persecution	Sociology, Violence
Lincoln Park Zoo	1868 establishments in the United States, Zoos in Illinois, Buildings and structures in Chicago, Illinois, 1860s establishments in Illinois
List of zoos	Science-related lists, Zoos, Geography-related lists
Modern defence	Chess openings
Bodybuilding	Bodybuilding
Kohei Yamamichi	1980 births, Living people, Footballers from Aichi Prefecture
Tatsuomi Koishi	1977 births, Living people, Footballers from Saga Prefecture
Gary Teale	1978 births, Living people, Scottish footballers
Josip Skoko	1975 births, Living people, Australian footballers, Sportspeople from South Australia
Takuji Miyoshi	1978 births, Living people, Footballers from Fukuoka Prefecture
Haruhiko Sato	1978 births, Living people, Footballers from Tokyo Prefecture
Rikiya Kawamae	1971 births, Living people, Footballers from Kagawa Prefecture
Bunichiro Abe	1985 births, Living people, Footballers from Shizuoka Prefecture
Gabriel Paletta	1986 births, Living people, Argentine footballers, Sportspeople from Buenos Aires
Omi Sato	1975 births, Living people, Footballers from Iwate Prefecture
Daisuke Yano	1984 births, Living people, Footballers from Kumamoto Prefecture
Jermaine Pennant	1983 births, Living people, Black British sportspeople, English footballers, People from Nottingham, Sportspeople from Nottinghamshire, Premier League players
Yuki Takabayashi	1980 births, Living people, Footballers from Shizuoka Prefecture
Takumi Motohashi	1982 births, Living people, Footballers from Tokyo Prefecture
Titus Bramble	Black British sportspeople, English footballers, People from Ipswich, Sportspeople from Suffolk, 1981 births, Living people, Premier League players
Mark González	1984 births, Living people, Chilean footballers, People from Durban
Takashi Furukawa	1981 births, Living people, Footballers from Saga Prefecture
Kenta Shimaoka	1973 births, Living people, Footballers from Mie Prefecture
Jiro Yabe	1978 births, Living people, Footballers from Nara Prefecture
Kenji Takagi	1976 births, Living people, Footballers from Kyoto Prefecture
Ice-nine	Science fiction technology
Firlus	Villages in Poland
Papowo Biskupie	Villages in Poland
Folgowo	Villages in Poland
Dubielno	Villages in Poland
Falęcin, Kuyavian-Pomeranian Voivodeship	Villages in Poland
Jeleniec	Villages in Poland
Kucborek	Villages in Poland
Niemczyk	Villages in Poland
Staw	Villages in Poland
Storlus	Villages in Poland
Wrocławki	Wrocławki, Villages in Poland
Zegartowice	Villages in Poland
Żygląd	Villages in Poland
1 Esdras	Religious texts
Potential National Hockey League expansion	National Hockey League
4 Maccabees	Books of the Bible
Esdras	Religious texts
NHL Conference Finals	National Hockey League
Jewish Publication Society of America Version	Bible versions, Judaism in the United States, 1917, 1910s books
Prayer of Manasseh	Religious texts
Patricio Rey y sus Redonditos de Ricota	Argentine rock bands, Musical groups established in 1976, 1976 establishments in South America, 20th-century establishments in Argentina
Development of the New Testament canon	New Testament
Peshitta	Bible versions
Rockumentary	Rock music, Documentary movies
The Band	1960s music groups, 1970s music groups, 1980s music groups, 1990s music groups, Canadian rock bands, Grammy Award winners, Warner Bros. Records artists, Musical groups established in 1964, 1964 establishments in Canada, Musical groups disestablished in the 1970s, 1976 disestablishments in North America, Musical groups established in 1983, 1983 establishments in North America, Musical groups disestablished in 1999, 1999 disestablishments, 1990s disestablishments in Canada
One Foot in Heaven	1941 movies, Biographical movies, Movies based on books, Movies directed by Irving Rapper
Adam Lambert	1982 births, Living people, Adam Lambert, American Idol contestants, Gay Jews, Jewish American LGBT people, Jewish American musicians, LGBT people from California, LGBT people from Indiana, LGBT singers, LGBT songwriters, Writers from Indianapolis, Indiana, Writers from San Diego, California, Singers from San Diego, California, Singers from Indianapolis, Indiana, Singer-songwriters from California
Cristobal Huet	1975 births, American Hockey League players, Chicago Blackhawks players, French ice hockey players, Living people, Los Angeles Kings players, Montreal Canadiens players, Washington Capitals players, Stanley Cup champions, Ice hockey goaltenders
The Hockey News	Magazines of Canada, Ice hockey
Majed Moqed	1977 births, 2001 deaths, Al-Qaeda people, Saudi Arabian people, September 11 attacks
Bill Masterton Memorial Trophy	National Hockey League trophies and awards
Yoshinori Matsuda	1974 births, Living people, Footballers from Saitama Prefecture
Daisuke Watanabe	1978 births, Living people, Footballers from Hokkaidō Prefecture
Hiroshi Moriyasu	1972 births, Living people, Footballers from Shizuoka Prefecture
Koji Fujikawa	1978 births, Living people, Footballers from Tokushima Prefecture
Shinsuke Shimabukuro	1983 births, Living people, Footballers from Nagasaki Prefecture
Masaharu Kawahara	1984 births, Living people, Footballers from Osaka Prefecture, Japanese association football goalkeepers, People from Osaka
The Advocate (Australia)	Tasmania, Newspapers published in Australia
Taro Sugahara	1981 births, Living people, Footballers from Shiga Prefecture
Koki Habata	1983 births, Living people, Footballers from Wakayama Prefecture
Ryohei Nishiwaki	1979 births, Living people, Footballers from Gifu Prefecture
Choi Chung-min	1930 births, 1983 deaths, South Korean footballers, South Korean football managers, People from Pyongyang
Gary Stevens	1963 births, Living people, 1986 FIFA World Cup players, 1990 FIFA World Cup players, English footballers, Sportspeople from Cumbria, Sportspeople from Lancashire
Finidi George	1971 births, Living people, Nigerian footballers
Moabe Platini Dias Ramos	1987 births, Living people, Brazilian footballers
Mitsutoshi Watada	1976 births, Living people, Footballers from Hyōgo Prefecture
Motoki Kawasaki	1979 births, Living people, Footballers from Oita Prefecture
Naohiro Tamura	1978 births, Living people, Footballers from Tokushima Prefecture
Jefferson Vieira da Cruz	1981 births, Living people, Brazilian footballers
Paul Anderson	1988 births, Living people, English footballers, Sportspeople from Leicestershire
Fábio Aurélio	1979 births, Living people, Brazilian footballers
Masanao Sasaki	1962 births, Living people, Footballers from Chiba Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Honda FC players, Yokohama Flügels players, JEF United Chiba players, Kashiwa Reysol players
Leyden jar	Electricity
Seo Jung-won	1970 births, Living people, South Korean footballers, South Korean football managers
Hakan Şükür	1971 births, Living people, Turkish footballers
Maciej Żurawski	1976 births, Living people, People from Poznań, Polish footballers
Agustín Ross Park	Pichilemu, Buildings and structures in Chile
Therapy dog	Working dogs, Service animals
VMU	Technology, Sega
Suffer (album)	1988 albums, Bad Religion albums, Punk albums
No Control	1989 albums, Bad Religion albums, Punk albums
Greg Graffin	1964 births, Living people, musicians from Wisconsin, People from Racine, Wisconsin, Bad Religion, Cornell University alumni, American paleontologists, American zoologists, Scientists from Wisconsin
Jay Bentley	1964 births, Living people, American guitarists, Punk musicians, Bassists, Bad Religion, Musicians from Wichita, Kansas
Stranger Than Fiction	1994 albums, Bad Religion albums, Punk albums
Woodstock (movie)	American documentary movies, English-language movies, 1970 movies, United States National Film Registry movies
Battle of the Alamo	1836, 1830s in Texas, Battles, History of San Antonio, Texas, 19th century in Mexico, March events
Adrian Edmondson	1957 births, Living people, Actors from Bradford, British stand-up comedians, Comedians from Yorkshire, English movie actors, English movie directors, English screenwriters, English television actors, English television directors, English television writers, Writers from Yorkshire
Eugen Sandow	1867 births, 1925 deaths, German sportspeople, People from former German territories, People from Kaliningrad, People from Prussia
Naoki Naruo	1974 births, Living people, Footballers from Iwate Prefecture
Koichiro Katafuchi	1975 births, Living people, Footballers from Saga Prefecture
Takashi Uemura	1973 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Satoshi Miyagawa	1977 births, Living people, Footballers from Kanagawa Prefecture
Takashi Okuhara	1972 births, Living people, Footballers from Tokyo Prefecture
Kotaro Nakao	1969 births, Living people, Footballers from Nagasaki Prefecture
Yoshiro Nakamura	1979 births, Living people, Footballers from Nara Prefecture
Kenta Kano	1986 births, Living people, Footballers from Shizuoka Prefecture
Miguel Monteiro	1980 births, Living people, Portuguese footballers, Sportspeople from Lisbon
Geremi Njitap	1978 births, Living people, Cameroonian footballers
Tetsuharu Yamaguchi	1977 births, Living people, Footballers from Nagasaki Prefecture
