Book of Enoch	Books of the Bible
Eucalyptus regnans	Trees of Australia, Eucalyptus
Bahía Lomas	Conservation
Destroy All Humans! Path of the Furon	2008 video games, Destroy All Humans!, Xbox 360 games, PlayStation 3 games, THQ games
Brandy	Alcoholic spirits
NASDAQ	1971 establishments in the United States, Companies based in New York City, Companies listed on NASDAQ, Stock exchanges
Internet Engineering Task Force	1986 establishments in the United States, Internet standards, Internet-related organizations
Iranian Arabs	Arab people, Iran, Ethnic groups in Asia
Blowjob	Sexual slang
Tibetan Muslims	Tibet, Ethnic groups in China, Islam
Lure, Haute-Saône	Cities in France, Communes in Haute-Saône, Subprefectures in France
Burnout Paradise	2008 video games, Xbox 360 games, PlayStation 3 games, Windows games
The Wave 96.4 FM	Radio stations in the United Kingdom, Welsh culture, 1995 establishments in the United Kingdom, 1990s establishments in Wales
The Big Top 40 Show	British music, Record charts
Hurricane Boris (1996)	Hurricanes in Mexico, East Pacific hurricanes, 1996 in North America, 1990s in Mexico
Henryk Szeryng	Mexican musicians, Polish musicians, 1918 births, 1988 deaths
Elin Nordegren	1980 births, Living people, Swedish models
Ivana Trump	1949 births, Living people, Czech businesspeople, Celebrity Big Brother contestants, Czech sportspeople, Trump family
Elasmotherium	Rhinoceroses
Master of Science	Academic degrees
Natural sciences	Natural sciences
Concentric zone model	Urban planning, Urban geography
Equilibrium	Analytical chemistry, Physical chemistry, Physics
Packet (computing)	Computers
Errors and residuals in statistics	Statistics
Quartet	Music
Bank and Monument stations	Tube stations in the City of London, Central Line stations, Northern Line stations, Circle Line stations, District Line stations, Docklands Light Railway stations
Barbican tube station	Circle Line stations, Hammersmith & City Line stations, Metropolitan Line stations, Tube stations in the City of London, 1865 establishments in the United Kingdom, Railway stations served by First Capital Connect
Barking station	Barking, District Line stations, Hammersmith & City Line stations, London Overground stations, Transport in Barking & Dagenham
Barkingside tube station	London Travelcard zone 4
Barons Court tube station	District Line stations, Piccadilly Line stations, Grade II listed buildings in London, Grade II listed railway stations
Bayswater tube station	Circle Line stations, District Line stations, London Travelcard zone 1, Tube stations in the City of Westminster
Beckton DLR station	Docklands Light Railway stations, Transport in Newham, London Travelcard zone 3
Beckton Park DLR station	Docklands Light Railway stations, Transport in Newham, London Travelcard zone 3
Becontree tube station	District Line stations, London Travelcard zone 5, Transport in Barking & Dagenham
Balham station	Northern Line stations, Transport in Wandsworth, Railway stations opened in 1863
Methadone	Opioids, Addiction
Red Dragon FM	Radio stations in the United Kingdom, Welsh culture
Soapy Smith	1860 births, 1898 deaths, American gangsters, Deaths by firearm in the United States, People from Georgia (U.S. state)
Paul Williams (songwriter)	1940 births, Living people, Actors from Omaha, Nebraska, American folk musicians, American movie actors, American pop singers, American rock musicians, American songwriters, American television actors, Best Original Song Academy Award-winning songwriters, Musicians from Omaha, Nebraska, Singers from Omaha, Nebraska
Injection	Medical procedures
Western Desert cultural bloc	Indigenous Australian culture, Regions of Australia
The Lonely Island	American comedy bands, Hip hop bands, Musicians from Berkeley, California, 2011 establishments in the United States
Portal (video game)	Puzzle video games, Shooter video games, 2007 video games, Platform games
Valve Corporation	Video game companies
Sistan and Baluchestan Province	Provinces of Iran
Balochistan (region)	Regions of Pakistan
Naked mole rat	Mammals of Africa
Capsaicin	Chemical compounds, Organic compounds, Analgesics
Football team	Football
West Ham station	District Line stations, Hammersmith & City Line stations, Transport in Newham, Jubilee Line stations, Docklands Light Railway stations, West Ham
Wimbledon station	London Travelcard zone 3
Tube map	Rail transport in London
Waterloo & City line	London Underground lines, 1898 establishments in England, Transport in Lambeth, Transport in the City of London, Tunnels underneath the River Thames
London Underground 1967 Stock	London Underground electric multiple units
Victoria, London	City of Westminster
Walthamstow	London Borough of Waltham Forest
Traffic congestion	Traffic
Private bill	Law
British Transport Commission	Organisations based in the United Kingdom, Transport in the United Kingdom
Uherské Hradiště	Cities in the Czech Republic
Ice skate	Skating
Boing	Television networks, Italian television
Mir-Hossein Mousavi	1941 births, Living people, Prime Ministers of Iran
René Lévesque	1922 births, 1987 deaths, Cardiovascular disease deaths in Quebec, Deaths from myocardial infarction, Disease-related deaths in Quebec, People from New Brunswick, Politicians from Quebec
Dead Space	2008 video games, PlayStation 3 games, Windows games, Xbox 360 games
Ty Cobb	1886 births, 1961 deaths, American baseball players, Sportspeople from Georgia (U.S. state), Detroit Tigers managers, Detroit Tigers players
Fulham Broadway tube station	London Borough of Hammersmith and Fulham
Tottenham	Tottenham
Manor House, London	Areas of London
Barbara Castle	1910 births, 2002 deaths, Alumni of the University of Oxford, Former Labour MPs (UK), Former members of the British House of Commons for English constituencies, People from Bradford, People from Derbyshire, Politicians from Yorkshire
Richard Marsh, Baron Marsh	1928 births, 2011 deaths, English politicians, British businesspeople
Weak interaction	Nuclear physics
Cognition	Psychology
Russki	English profanity, Slurs
Medic Droid	American pop music groups, Electronic music bands, Musical groups from Arizona, Musical groups established in 2007, 2007 establishments in the United States, 2000s establishments in Arizona, Musical groups disestablished in 2008, 2008 disestablishments in the United States, 2000s disestablishments in Arizona
Wood Street railway station	Railway stations in Waltham Forest, London Travelcard zone 4, 1873 establishments in England, Railway stations served by National Express East Anglia
Chuck Yeager	American people of World War II, American military people, People from West Virginia, 1923 births, 2020 deaths, American aviators
Deep-level tube lines	London Underground
Bolsover	Towns in Derbyshire
Sympathetic nervous system	Nervous system
Pierre Monteux	1875 births, 1964 deaths, French conductors, American conductors
Milhaud	Communes in Gard
Willem Mengelberg	1871 births, 1951 deaths, Dutch conductors, People from Utrecht (city)
Willem Kes	1856 births, 1943 deaths, Dutch conductors, People from Dordrecht
Cathay Dragon	Airlines of Asia, Transport in Hong Kong
Hong Kong International Airport	Buildings and structures in Hong Kong, Transport in Hong Kong
Parasympathetic nervous system	Nervous system
Heart rate	Heart
Airbus A321	Airbus aircraft
Vasoactive intestinal peptide	Hormones
Pan European Game Information	2003 establishments in Europe, Cultural organizations, Video game ratings
Psychiatrist	Psychiatry, Healthcare occupations
Monifieth	Towns in Scotland, Angus
Eugen Jochum	1902 births, 1987 deaths, German conductors
Big O notation	Mathematics, Computer science, Algorithms
QI	2003 British television series debuts, 2000s British television series, 2010s British television series, British comedy television series, British television game shows, Panel games
21st Century Breakdown	2009 albums, Green Day albums, Reprise Records albums, Punk albums
Glossop North End A.F.C.	English football clubs, 1886 establishments in England
Bradford (Park Avenue) A.F.C.	English football clubs, 1907 establishments in England
Nelson F.C.	English football clubs, 1881 establishments in England
Darlington F.C.	English football clubs, 1883 establishments in the United Kingdom
Newport County A.F.C.	English football clubs, 1912 establishments in the United Kingdom, 20th century establishments in Wales
Rotherham United F.C.	English football clubs, 1877 establishments in England
Bristol Rovers F.C.	English football clubs, 1883 establishments in the United Kingdom
Scunthorpe United F.C.	English football clubs, 1899 establishments in England
Oxford United F.C.	English football clubs, Oxford, Bakrie Group, 1893 establishments in England
Hereford United F.C.	English football clubs, Hereford, 1924 establishments in Europe, 1920s establishments in England
Mansfield Town F.C.	1897 establishments in the United Kingdom, English football clubs, Mansfield
Wrexham A.F.C.	English football clubs, 1873 establishments in the United Kingdom, 19th century establishments in Wales
Shrewsbury Town F.C.	English football clubs, 1886 establishments in England
Cambridge United F.C.	Cambridge, English football clubs, 1912 establishments in the United Kingdom, 1910s establishments in England
Rushden & Diamonds F.C.	English football clubs, 1992 establishments in England
Yeovil Town F.C.	English football clubs, 1895 establishments in England
Peterborough United F.C.	English football clubs, 1930s establishments in England, 1934 establishments in Europe
Robinson Sucroe	Animated television series
National Health Service	Public services in the United Kingdom, Health care
Christiaan Eijkman	1858 births, 1930 deaths, Dutch academics, Dutch Nobel Prize winners, Dutch physicians
Frederick Hopkins	1861 births, 1947 deaths, English chemists, Order of Merit, Knights Bachelor, Fellows of the Royal Society, Presidents of the Royal Society, Alumni of University College London, British Nobel Prize winners
Windows CE	Microsoft operating systems
Simon Cowell (presenter)	Living people, 1952 births, British television personalities
2015	2015
2016	2016
2017	2017
Yasunari Kawabata	1899 births, 1972 deaths, Japanese writers, People from Osaka, Japanese Nobel Prize winners, University of Tokyo alumni
2018	2018
2019	2019
2021	Demons, 2021
2022	2022, Years in the future
2024	2024, Years in the future
2025	2025, Years in the future
Acid Survivors Foundation	Organisations based in Bangladesh, 1999 establishments in Asia, 20th century establishments in Bangladesh
Shmuel Yosef Agnon	1887 births, 1970 deaths, Israeli Nobel Prize winners, Jewish Israeli writers, Jewish Nobel Prize winners, Naturalized citizens of Israel, Poets, Short story writers, Ukrainian Jews, Ukrainian writers
Acid throwing	Domestic violence, Human rights, Hate crimes
Nelly Sachs	1891 births, 1970 deaths, German Nobel Prize winners, German poets, Jewish German writers, Jewish Nobel Prize winners, Nobel Prize in Literature winners, Swedish playwrights, Swedish poets
1594	1594
2008 in science	2008, Years in science
Tikrit	Cities in Iraq
2007 in science	2007, Years in science
White nose syndrome	Bats, Fungal diseases
2006 in science	2006, Years in science
Missy Peregrym	Living people, 1982 births
Ken Follett	1949 births, Living people, Welsh novelists, Writers from Cardiff
British National Party	1982 establishments in the United Kingdom, Nationalist organisations in the United Kingdom, Political parties in the United Kingdom
FC Utrecht	1970 establishments in Europe, 1970s establishments in the Netherlands, Dutch football clubs, Utrecht (city)
Sparta Rotterdam	Dutch football clubs, Rotterdam
Road number	Roads
AFC Door Wilskracht Sterk	Dutch football clubs, Amsterdam, 1907 establishments in Europe, 1900s establishments in the Netherlands
2005 in science	2005, Years in science
2004 in science	2004, Years in science
Midwest Irish Radio	Radio stations in Europe, County Mayo
Russian Social Democratic Labour Party	Communist parties, Social democratic parties, Political parties in Russia, 1898 establishments in Europe, 19th century establishments in Russia, 1898 establishments in Asia
Signed number representations	Computer science, Mathematics
Kingpin	Fictional characters introduced in the 1960s, Marvel Comics characters, Spider-Man
Centre Pompidou-Metz	Art museums in France, Grand Est
Floating point	Computer science, Mathematics
South Petherton	Towns in Somerset
Markup language	Markup languages
Alan Davies	1966 births, Living people, Actors from Essex, Actors from London, Alumni of the University of Kent, Comedians from Essex, Comedians from London, English movie actors, English television actors, People from Chingford, Television personalities from Essex, Television personalities from London
Ponzi scheme	Types of crime, Commercial crime
Baní	Settlements in Dominican Republic, 1764 establishments, 18th-century establishments in the Spanish Empire
Morgan Freeman	1937 births, Living people, Academy Award winning actors, Actors from Memphis, Tennessee, African American actors, African American movie directors, African American movie producers, American movie actors, American stage actors, American television actors, American television producers, American voice actors, Beekeepers, Democrats (United States), Golden Globe Award winning actors, Kennedy Center honorees, Screen Actors Guild Award winners
Mikhail Sholokhov	1905 births, 1984 deaths, Novelists, Russian Nobel Prize winners, Russian writers, Soviet writers
Dire Straits	1977 establishments in the United Kingdom, 1995 disestablishments in the United Kingdom, 1970s British music groups, 1980s British music groups, 1990s British music groups, Brit Award winners, English rock bands, Grammy Award winners, Music groups from Newcastle upon Tyne, Musical groups disestablished in 1995, Musical groups established in 1977, Warner Bros. Records artists
Kathryn Janeway	Star Trek: Voyager characters
Tikhon Khrennikov	1913 births, 2007 deaths, Music critics, Russian composers, Soviet musicians
Seven of Nine	Star Trek: Voyager characters
Doctor (Star Trek)	Star Trek: Voyager characters
Jim Gannon	1968 births, Living people, English footballers, Sportspeople from London
Lisa Marie Presley	1968 births, Living people, American singer-songwriters, Elvis Presley, Singers from Memphis, Tennessee
Dialysis	Medical procedures, Organ failure
Kinkajou	Procyonids, Omnivores
The Barber of Seville	Compositions by Gioachino Rossini, Operas set in Spain
Veroia	Cities in Greece
Katerini	cities in Greece
Drama, Greece	Cities in Greece
Kavala	Cities in Greece
Alexandroupoli	Cities in Greece
Marten	Mustelids
Karl Landsteiner	1868 births, 1943 deaths, Austrian scientists, Austrian Nobel Prize winners, Austrian physicians
Otto Heinrich Warburg	1883 births, 1970 deaths, German chemists, German Nobel Prize winners
Charles Scott Sherrington	1857 births, 1952 deaths, Alumni of the University of Cambridge, English physicians, British Nobel Prize winners
Ruhla	Urban Districts of Thuringia
Eddie May	1943 births, Living people, Scottish footballers, Scottish football managers
Chakotay	Star Trek: Voyager characters
Tuvok	Star Trek: Voyager characters
Suprachiasmatic nucleus	Anatomy of the brain, Sleep
Mollie Sugden	1922 births, 2009 deaths, Actors from Yorkshire, English movie actors, English stage actors, English television actors
London Underground 1938 Stock	London Underground electric multiple units, Metropolitan Cammell multiple units
Mayday Parade	American rock bands, American punk bands, emo bands, Musical groups from Florida, People from Tallahassee, Florida, 2000s American music groups
Brantford, Ontario	Cities in Ontario
Historical geology	Geology
Fats Domino	African American musicians, American pianists, American R&B singers, American R&B musicians, American rock musicians, American rock singers, American singer-songwriters, Musicians from New Orleans, Louisiana, Singers from New Orleans, Louisiana, Writers from New Orleans, Louisiana, 1928 births, 2017 deaths, Warner Bros. Records artists
The Swell Season	Musical duos, Academy Award winners
Ted Stevens	1923 births, 2010 deaths, American lawyers, American military personnel of World War II, Aviation deaths in the United States, Burials at Arlington National Cemetery, Episcopalians, Minority leaders of the United States Senate, Harvard University alumni, People from Fairbanks, Alaska, Politicians from Indianapolis, Indiana, Businesspeople from Indianapolis, Indiana, Businesspeople from Alaska, Presidents pro tempore of the United States Senate, United States senators from Alaska
Joy of Giving Week	Charity events, India
Aloch	Settlements in Shangla District, Towns in Pakistan
Chakesar	Settlements in Shangla District, Towns in Pakistan
Besham	Settlements in Shangla District, Towns in Pakistan
Alpuri Tehsil	Tehsils of Shangla District
Bhag	Cities in Pakistan
Atlanta Chiefs	American soccer teams, 1967 establishments in the United States, 20th-century establishments in Georgia (U.S. state), 1972 disestablishments in the United States, 1979 establishments in the United States, 1981 disestablishments in the United States, Sports in Atlanta, Georgia, 20th-century disestablishments in Georgia (U.S. state), 1960s establishments in Georgia (U.S. state)
Kansas City Spurs	American soccer teams, 1968 establishments in the United States, 1970 disestablishments in the United States, Sports in Kansas City, Missouri, 1960s establishments in Missouri, 20th-century disestablishments in Missouri
Rochester Lancers	American soccer teams, Rochester, New York, 1967 establishments in New York (state), 1980 disestablishments, 1980s disestablishments in the United States, 20th-century disestablishments in New York (state)
Dallas Tornado	American soccer teams, Sports in Dallas, Texas, 1967 establishments in Texas, 1981 disestablishments in the United States
New York Cosmos	American soccer teams, 1971 establishments in New York (state), 1985 disestablishments in the United States, 20th-century disestablishments in New York (state)
Philadelphia Atoms	American soccer teams, Sports in Philadelphia, 1973 establishments in the United States, 1970s establishments in Pennsylvania, 1976 disestablishments in the United States, 20th-century disestablishments in Pennsylvania
Los Angeles Aztecs	1974 establishments in California, American soccer teams, 1981 disestablishments in the United States, 1980s disestablishments in California
Tampa Bay Rowdies	American soccer teams, 1975 establishments in the United States, 1993 disestablishments in the United States, 2008 establishments in the United States
Toronto Blizzard	American soccer teams
Chicago Sting	American soccer teams, Sports in Chicago, Illinois, 1975 establishments in the United States, 1970s establishments in Illinois
Tulsa Roughnecks	American soccer teams
Racing Club de Santander	Spanish football clubs, Cantabria
Sporting de Gijón	Spanish football clubs
U.D. Las Palmas	Spanish football clubs, Las Palmas de Gran Canaria
Villarreal CF	Spanish football clubs
The Veronicas	2004 establishments in Australia, 2000s Australian music groups, 2010s Australian music groups, Australian pop music groups, Australian rock bands, Girl groups, Musical duos, Musical groups from Queensland, Pop punk bands
Thirst (2009 movie)	2009 movies, 2000s romance movies
Thirst	health
List of awards and nominations received by 30 Seconds to Mars	30 Seconds to Mars, Music-related lists, Lists of awards and nominations
Lake Washington	Lakes of the United States, Seattle, Washington
University of Balochistan	Colleges and universities in Pakistan, 1974 establishments
Hinglaj Mata	Buildings and structures in Pakistan, Hindu temples
Akihabara	Tokyo, Japanese culture
Debito Arudou	Living people, People from New York, American activists, 1965 births
All Time Low	2000s music groups, American punk bands, Pop punk bands, Musicians from Baltimore, Maryland, Musical groups from Maryland, Musical groups established in 2003, 2003 establishments in the United States, 21st-century establishments in Maryland
Hannah Montana	2006 American television series debuts, 2011 American television series endings, 2000s American television series, 2010s American television series, American teen television series, Television series by Disney, English-language television programs
Internet Relay Chat operator	Internet Relay Chat
Sălcuța	Communes in Dolj County
Australovenator	Dinosaurs of Australia, Carnosaurs
F.C. Shakhtar Donetsk	Ukrainian football clubs, 1936 establishments in Europe, 20th century establishments in Ukraine
Hiroshi Nanami	1972 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Júbilo Iwata players, Cerezo Osaka players, Tokyo Verdy players, 1998 FIFA World Cup players, 1996 AFC Asian Cup players, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Takuya Yamada	1974 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, J1 League players, J2 League players, Tokyo Verdy players, Cerezo Osaka players, Yokohama FC players, Sagan Tosu players, FC Imabari players
Katsumi Oenoki	1965 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Júbilo Iwata players, Shimizu S-Pulse players, 1988 AFC Asian Cup players
Yasuyuki Moriyama	1969 births, Living people, Footballers from Gifu Prefecture, Japan international footballers, J1 League players, J2 League players, Nagoya Grampus players, Shonan Bellmare players, Sanfrecce Hiroshima players, Kawasaki Frontale players, Hokkaido Consadole Sapporo players, FC Gifu players
José Antônio Martins Galvão	1982 births, Living people, Brazilian footballers
Tetsuya Asano	1967 births, Living people, Footballers from Ibaraki Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Japan Soccer League players, Nagoya Grampus players, Urawa Red Diamonds players, FC Tokyo players, Kawasaki Frontale players
Ivan Hašek	1963 births, Living people, Czech footballers, Czech football managers
Yoshinobu Ishii	1939 births, 2018 deaths, Footballers from Hiroshima Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Sanfrecce Hiroshima players, Shonan Bellmare players, Japan national football team managers
Atsuhiro Miura	1974 births, Living people, Footballers from Oita Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Yokohama Flügels players, Yokohama F. Marinos players, Tokyo Verdy players, Vissel Kobe players, Yokohama FC players, 2001 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Atsushi Nagai	1974 births, Living people, Footballers from Kagoshima Prefecture
Akihiro Nishimura	1958 births, Living people, Footballers from Osaka Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Cerezo Osaka players
Kenji Takahashi	1970 births, Living people, Footballers from Yamagata Prefecture
Masakatsu Miyamoto	1938 births, 2002 deaths, Footballers from Ibaraki Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players, Footballers at the 1964 Summer Olympics, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Valery Karpin	1969 births, Living people, Russian footballers
Fumitake Miura	1970 births, Living people, Footballers from Shizuoka Prefecture
Toshihide Saito	1973 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, Shimizu S-Pulse players, Shonan Bellmare players, Fujieda MYFC players, 1998 FIFA World Cup players, 1996 AFC Asian Cup players
Akira Oba	1976 births, Living people, Footballers from Fukuoka Prefecture
Mitsuru Chiyotanda	1980 births, Living people, Footballers from Fukuoka Prefecture
Seiji Kaneko	1980 births, Living people, Footballers from Fukuoka Prefecture
Lawful interception	Espionage, Telecommunications, Law enforcement techniques
Steve McNair	1973 births, 2009 deaths, African American players of American football, American football quarterbacks, American murder victims, Baltimore Ravens players, Murdered African-American people, Murdered sportspeople, Murder-suicides in the United States, Murders by firearm in the United States, Sportspeople from Mississippi
Elizabeth Cross	Orders, decorations, and medals of the United Kingdom, Elizabeth II
Corrosive substance	Chemical processes, Metallurgy
Malus	Trees, Apples
Operation Ichi-Go	1944 in Asia, 1940s in Japan, 20th century in China, Battles involving Japan, Battles involving the United States, World War II
Jawaharlal Nehru	1889 births, 1964 deaths, Deaths from myocardial infarction, Indian National Congress politicians, Prime Ministers of India, Politicians from Uttar Pradesh
Black Sea	Seas of the Atlantic Ocean, Bodies of water of Asia, Bodies of water of Europe
Hey Monday	Pop punk bands
The Shins	Indie rock bands, American rock bands, People from Albuquerque, New Mexico, Musicians from Portland, Oregon, Musicians from New Mexico, Musical groups from Oregon, Musical groups established in 1997, 1997 establishments in the United States, 20th-century establishments in New Mexico
PC bang	South Korean culture, Internet
The Jackson 5	1964 establishments in the United States, 1960s American music groups, 1970s American music groups, 1980s American music groups, African-American musical groups, American boy bands, American pop music groups, People from Indiana, Musical groups established in 1964, Musical groups disestablished in 1989, 1989 disestablishments in the United States
Gabriela Mistral	1889 births, 1957 deaths, Chilean poets, Diplomats, Feminists
Vasily Vereshchagin	1842 births, 1904 deaths
Star Trek (movie)	2009 science fiction movies, Movies about revenge, Movies set in the future, Paramount movies, Reboot movies, Star Trek movies, Movies directed by J. J. Abrams
WWF Fully Loaded	History of Fresno, California, World Wrestling Entertainment pay-per-view events, Sports in Buffalo, New York, 20th century in Dallas, Texas, 1998 in California, 1999 in the United States, 1990s in New York (state), 2000 in the United States, 20th century in Buffalo, New York, July events
Young Poland	History of Poland, Art movements
Hurricane Felix	Hurricanes, 2007 Atlantic hurricane season, History of Venezuela, 2000s in Nicaragua, 2000s in Honduras, 21st century in El Salvador, History of Guatemala
Hurricane Cesar-Douglas	1996, Category 4 Atlantic hurricanes
Georg Solti	1912 births, 1997 deaths, British conductors, Cardiovascular disease deaths in France, Deaths from myocardial infarction, Entertainers from Budapest, Grammy Award winners, Hungarian conductors, Hungarian Jews, Jewish British musicians, Naturalised citizens of the United Kingdom, Refugees from Nazism
Leopold Stokowski	1882 births, 1977 deaths, American conductors, British conductors
Kenzaburō Ōe	Japanese writers, 1935 births, Living people, People from Ehime Prefecture, Japanese Nobel Prize winners, University of Tokyo alumni
Get Heavy	Lordi albums, Debut albums, 2002 albums, Heavy metal albums
The Monsterican Dream	Lordi albums, 2004 albums
The Monster Show	Lordi albums, 2005 albums
The Arockalypse	Lordi albums, 2006 albums
Deadache	Lordi albums, 2008 albums
Yuji Miyahara	1980 births, Living people, Footballers from Fukuoka Prefecture
Lee Dong-gook	1979 births, Living people, South Korean footballers
Yuhei Tokunaga	1983 births, Living people, Footballers from Nagasaki Prefecture, Japan international footballers, J1 League players, J2 League players, FC Tokyo players, V-Varen Nagasaki players, Footballers at the 2004 Summer Olympics, Footballers at the 2012 Summer Olympics
Communist Party of the Soviet Union	Political parties in Russia, Communist parties, 1912 establishments, 1991 disestablishments in the Soviet Union, 1910s establishments in the Soviet Union
Toroidal inductors and transformers	Transformers (electrical), Magnetism
V-2	Military, Rockets, Wernher von Braun
The Guardian Legend	1988 video games
Vengeance (2006)	2006 in professional wrestling, Sports in Charlotte, North Carolina, WWE Vengeance
First aid kit	Health
Sarah Aaronsohn	1890 births, 1917 deaths, Asian Jews, History of Palestine, Spies, Suicides by firearm, World War I people, Zionists
Frank Abbandando	1910 births, 1942 deaths, American murderers, Executed American people, Mobsters, People executed by electric chair, People from New York City
Zombilation – The Greatest Cuts	Lordi albums, 2009 albums
Firmin Abauzit	1679 births, 1767 deaths
Wyrzysk	Towns in Poland
Prussian House of Lords	1918 disestablishments in Germany, Buildings and structures in Berlin, Politics of Germany, Legislatures, 1850 establishments in Europe, 19th century establishments in Germany
Anime convention	Animation, Anime
Spiekeroog	Islands of Germany
Eshtehard	Cities in Iran
Bebo	2005 establishments, Social networking
Hurricane Andres (2009)	Hurricanes in Mexico, 2009 in North America, 2000s in Mexico
Sarah Sutton	Actors from Hampshire, English television actors, People from Basingstoke, 1961 births, Living people
Chuck Lorre	People from New York, American composers, American television directors, American television producers, American television writers, Writers from New York, 1952 births, Living people
Technical University of Berlin	Buildings and structures in Berlin, Education in Berlin, Technical colleges and universities in Germany
Leeds Rhinos	Leeds, Rugby
Screwdriver	Tools
ETH Zurich	Colleges and universities in Switzerland, Zürich
Peenemünde	Villages in Germany
Hollyfield School	Royal Borough of Kingston upon Thames, Schools in London
Alice in Wonderland (1951 movie)	American animated movies, American family movies, American musical movies, Disney animated movies, English-language movies, Movies composed by Oliver Wallace, 1951 comedy movies, 1950s adventure movies, American coming-of-age movies, American drama movies, American fantasy-comedy movies, American musical fantasy movies, Movies based on books, 1950s musical movies, 1951 drama movies, Movies about dreams
Cable modem	Computer hardware, Internet
Nobuhiro Ishizaki	1958 births, Living people, Footballers from Hiroshima Prefecture, People from Hiroshima
Frank de Boer	1970 births, Living people, Dutch football managers, Dutch footballers, Sportspeople from North Holland, Twin people, Eredivisie managers
Ronald de Boer	1970 births, Living people, Dutch footballers, Sportspeople from North Holland, Twin people
Ichi the Killer	Japanese movies, 2001 movies
Wallisian	Austronesian languages, Languages of Oceania, Wallis and Futuna
Google Chrome OS	Google
Skew lines	Geometry
Saudi riyal	Saudi Arabia, Currency of Asia
Pathology	Medical specialties, Biology
Cardiology	Cardiology
Annual Tree Mallow	Malvaceae
Lionel of Antwerp, 1st Duke of Clarence	1338 births, 1368 deaths, English Dukes, House of Plantagenet, People from Antwerp
Ottmar Hitzfeld	1949 births, Living people, German football managers, German footballers, Sportspeople from Baden-Württemberg
Ikuo Matsumoto	1941 births, Living people, Footballers from Tochigi Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Sanfrecce Hiroshima players, Footballers at the 1968 Summer Olympics, Olympic medalists in football, Japanese Olympic bronze medalists, Medalists at the 1968 Summer Olympics
Ligue 2	Football leagues, 1933 establishments, 1930s establishments in France
Gilberto Carlos Nascimento	1966 births, Living people, Brazilian footballers
Hideki Nagai	1971 births, Living people, Footballers from Oita Prefecture
Cross-platform interchange	Rail transport
Northern line	London Underground lines, London Borough of Barnet, London Borough of Merton, Transport in the City of London, Transport in the City of Westminster, Transport in Camden, Transport in Haringey, Transport in Islington, Transport in Lambeth, Transport in Southwark, Transport in Wandsworth, Tunnels underneath the River Thames, 1890 establishments in the United Kingdom, 1890s establishments in England
Circle line (London Underground)	London Underground lines, Transport in the City of London, Transport in the City of Westminster, Royal Borough of Kensington and Chelsea, Transport in Camden, Transport in Islington, Transport in Tower Hamlets, 1949 establishments in Europe, 1940s establishments in England
Hammersmith & City line	London Underground lines, London Borough of Hammersmith and Fulham, Royal Borough of Kensington and Chelsea, Transport in the City of London, Transport in the City of Westminster, Transport in Barking & Dagenham, Transport in Camden, Transport in Islington, Transport in Newham, Transport in Tower Hamlets, 1990 establishments in England
Metropolitan line	Transport in Camden, Transport in the City of London, Transport in the City of Westminster, Transport in Islington, London Underground lines, 1863 establishments in the United Kingdom
Statute of Kilkenny	History of Ireland, Law, 1367, 14th century in England
Tramlink	London Borough of Croydon, Electric railways, Tramlink, 2000 establishments in England, London Travelcard zone 3, London Travelcard zone 4, London Travelcard zone 5, London Travelcard zone 6
Docklands Light Railway	Docklands Light Railway, 1987 establishments in England
London Overground	London Overground, 2007 establishments in England, Railway operators in London, Train operating companies
First Capital Connect	Defunct railway companies of the United Kingdom, 2006 establishments in England, 2014 disestablishments, 2010s disestablishments in the United Kingdom
Northern City Line	Transport in the City of London, Transport in Islington, Railway lines of London
Princess Alexandra, The Honourable Lady Ogilvy	1936 births, Living people, House of Windsor, Knights of the Garter, Knights Grand Cross of the Royal Victorian Order
Ask.com	Search engines
Katsushika Hokusai	Japanese printmakers, 1760 births, 1849 deaths, Artists from Tokyo
Sun Yat-sen	Presidents of the Republic of China, 1866 births, 1925 deaths
Pierluigi Collina	1960 births, Living people, Italian footballers, Referees, Sportspeople from Emilia-Romagna, People from Bologna
TSV 1860 Munich	1860 establishments in Europe, 1860s establishments in Germany, German football clubs, Sport in Munich
Eintracht Braunschweig	German football clubs, Sport in Lower Saxony, 1895 establishments in Europe, 1890s establishments in Germany
Borussia Mönchengladbach	German football clubs, Mönchengladbach, Sport in North Rhine-Westphalia, 1900 establishments in Germany
