Taman Negara	Geography of Malaysia, National parks in Asia
Nick Salazar	1929 births, 2020 deaths, State legislators of the United States, Politicians from New Mexico, US Democratic Party politicians
Ohkay Owingeh, New Mexico	Census-designated places in New Mexico
Chung So-sung	South Korean writers, 1944 births, 2020 deaths
Mahesh Kumar Kanodia	1937 births, 2020 deaths, Indian politicians, Indian singers
Krisztián Veréb	1977 births, 2020 deaths, Hungarian sportspeople, Olympic bronze medalists
Stephen Owusu	1982 births, 2020 deaths, Ghanaian footballers
The Fantastic Four (unreleased movie)	1990s superhero movies, American movies, Fantastic Four movies, 1990s science fiction movies, American action movies, American science fiction movies, Movies set in Manhattan, Movies set in New York City, American superhero movies, American independent movies
Joel Molina Ramírez	1940s births, 2020 deaths, Mexican politicians, Deaths from the COVID-19 pandemic in Mexico
Alessandro Mancini	1975 births, Sammarinese people, Living people
Scrappy-Doo	Scooby-Doo characters, Fictional characters introduced in the 1970s, Fictional dogs
Bozo the Clown	Clowns
Lithium diisopropylamide	Lithium compounds
Devil Fish (1984 movie)	1980s horror thriller movies, Italian horror movies, French horror movies, American horror movies, 1984 horror movies, Movies directed by Lamberto Bava
Achappam	Indian food, Cookies
Bessel's correction	Statistics
Rafinesque's big-eared bat	Bats, Mammals of North America
Stella Artois	Beer, Belgium
1337x	BitTorrent, Websites
Reed pen	Writing tools
Game Night (movie)	2018 comedy movies, 2010s action comedy movies, Movies about abduction, American action comedy movies, Movies set in Georgia (U.S. state)
I'm Thinking of Ending Things	American psychological movies, American horror movies, Movies set in Oklahoma, Movies based on books, 2020 horror movies, Netflix movies
Thibaut Courtois	1992 births, Living people, Belgian Roman Catholics, Belgian footballers, Association football goalkeepers, Chelsea F.C. players, Premier League players, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, People from Limburg (Belgium)
Lithium disilicate	Lithium compounds
The Predator (movie)	2018 horror movies, 2018 science fiction movies, 2010s monster movies, American science fiction horror movies, American monster movies, Autism in fiction, Predator movies, 20th Century Fox movies, Movies about autism, Movies set in 2018, Screenplays by Shane Black
Predators (movie)	2010 science fiction movies, 2010s action movies, 2010s monster movies, American science fiction movies, American action movies, American monster movies, Movies set on fictional planets, Predator movies, 20th Century Fox movies
Signs (movie)	2002 horror movies, English-language movies, American science fiction horror movies, Movies composed by James Newton Howard, Movies directed by M. Night Shyamalan, Movies set in Philadelphia, Pennsylvania, Screenplays by M. Night Shyamalan, Religious horror movies
List of emirs of Qatar	Qatari people
Litoria majikthise	Animals of Oceania, Frogs
Loveless (album)	1991 albums, Rock albums
Being John Malkovich	American fantasy-comedy movies, Movies set in New York City, Movies set in New Jersey, 1999 comedy movies, 1990s fantasy movies, American independent movies
For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf	1976, Plays
Ming Cho Lee	1930 births, 2020 deaths, Naturalized citizens of the United States, Chinese educators, American educators, Drama Desk Award winners, Tony Award winners
Slaven Letica	1947 births, 2020 deaths, Croatian politicians, Croatian writers, Economists, Political commentators
The League of Gentlemen	1999 television series debuts, 2002 television series endings, British comedy television series, English-language television programs
Brazzers	2005 establishments in Canada, MindGeek, MILF pornography, Pornographic movie studios, Companies of Canada, Montreal
Johnny Leeze	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, British movie actors, British television actors, British stage actors, Actors from York
David Karnes	1948 births, 2020 deaths, Deaths from skin cancer, United States senators from Nebraska, American lawyers, Businesspeople from Omaha, Nebraska, Politicians from Omaha, Nebraska, US Republican Party politicians
Frank Bough	1933 births, 2020 deaths, English television presenters, Television news anchors, English sports commentators, English journalists, People from Staffordshire
François-Yves Guillin	1921 births, 2020 deaths, French military people, French physicians, French historians
Sainte-Foy-lès-Lyon	Communes in Rhône
Lyon Metropolis	Departments in Auvergne-Rhône-Alpes, Lyon
Jean Bonhomme	1924 births, 2020 deaths, French mayors
Caussade	Communes in Tarn-et-Garonne
Puylaroque	Communes in Tarn-et-Garonne
On the Rocks (movie)	2020 drama movies, 2020 comedy movies, American comedy-drama movies, Movies directed by Sofia Coppola
Apple TV+	Apple Inc.
A24 (company)	2012 establishments in the United States, American entertainment companies
Diane di Prima	1934 births, 2020 deaths, American poets, American playwrights, Writers from New York City
Alan Abraham	1931 births, 2020 deaths, Canadian politicians, People from Nova Scotia
Margaret Osborne duPont	1918 births, 2012 deaths, American tennis players, Sportspeople from Oregon
Joseph, Oregon	Cities in Oregon
Mofos	2008 establishments in Canada, MindGeek, MILF pornography, Pornographic movie studios, Companies of Canada, Montreal
Dave Schultz (wrestler)	1959 births, 1996 deaths, Murders by firearm in the United States, American crime victims, American wrestlers, American Olympic gold medalists, Sportspeople from California, Sportspeople from Pennsylvania, People from Palo Alto, California
Newtown Township, Delaware County, Pennsylvania	Townships in Pennsylvania
Masatoshi Abe	1942 births, 2020 deaths, Japanese politicians
Reality Kings	2000s establishments in Florida, 2000 establishments in the United States, MindGeek, MILF pornography, Pornographic movie studios, Companies of the United States
Rosanna Carteri	1930 births, 2020 deaths, Italian opera singers, Italian singers, Italian stage actors
Thomas Oppermann	1954 births, 2020 deaths, Deaths from myocardial infarction, German politicians
Stelio Craveirinha	1950 births, 2020 deaths, Olympians, Mozambican people
Louis Carter	1953 births, 2020 deaths, Deaths from blood cancer, American football running backs, Oakland Raiders players, Tampa Bay Buccaneers players, Sportspeople from Maryland, People from Laurel, Maryland
W. C. Gorden	1930 births, 2020 deaths, American football coaches, American football players, College football coaches
Ernesto Contreras (cyclist)	1937 births, 2020 deaths, Deaths from myocardial infarction, Deaths from the COVID-19 pandemic in Argentina, Argentine sportspeople, Cyclists, Olympians
Dolores Abril	1939 births, 2020 deaths, Spanish singers, Spanish movie actors
Juanito Valderrama	1916 births, 2004 deaths, Deaths from cardiac arrest, Spanish singers, Spanish movie actors
Espartinas	Municipalities in Andalusia, Cities in Andalusia
Torredelcampo	Cities in Andalusia, Municipalities in Andalusia
Network (1976 movie)	1976 comedy movies, 1976 drama movies, 1970s comedy-drama movies, American comedy-drama movies, Movies directed by Sidney Lumet, Movies featuring a Best Actor Academy Award-winning performance
Paddy Chayefsky	1923 births, 1981 deaths, Deaths from lung cancer, Cancer deaths in New York City, American playwrights, American novelists, Screenwriters from New York City, Academy Award winning writers, Golden Globe Award winning writers, BAFTA Award winning writers
Boxing at the 2014 Summer Youth Olympics	Boxing at the Youth Olympics
PASOK	20th century establishments in Greece, 1974 establishments in Europe, Political parties in Greece
Boxing at the 2010 Summer Youth Olympics	Boxing at the Youth Olympics
Lokma	Foods
Selection bias	Statistics
Etv (South Africa)	Television stations
Big brown bat	Bats, Mammals of North America, Mammals of South America
Child sexuality	Psychology
Threshold (1981 movie)	1981 drama movies, 1981 science fiction movies, Canadian drama movies, Movies directed by Richard Pearce
Follow-on	Cricket, Sports words
1998–99 Premier League	Premier League, 1998 in association football, 1999 in association football
Eastern red bat	Bats, Mammals of North America
Scam 1992	Indian television series, 2020 television series debuts
Vice President of Iraq	Vice Presidents of Iraq
Ayad Allawi	1944 births, Living people, Vice Presidents of Iraq, Prime Ministers of Iraq
Mustafa Al-Kadhimi	1967 births, Living people, People from Baghdad, Prime Ministers of Iraq, Current national leaders
ANZ	1970 establishments, Companies listed on the New York Stock Exchange, Companies of Australia
Commonwealth Bank	Banks, Companies of Australia, 1911 establishments
Westpac	19th-century establishments in Australia, 1817 establishments, Companies of Australia, Banks, Sydney
Surakshya Panta	Nepalese movie actors, Living people, Nepalese models
Australian Securities Exchange	1987 establishments, 1980s establishments in Australia, Buildings and structures in Sydney, Companies of Australia, Economy of Australia, Stock exchanges, Sydney
Conservation-dependent species	IUCN Red List conservation dependent species, Extinction
Solar year	Years, Calendars, Astronomy
Bank of Hong Kong	2001 establishments, Hong Kong, Banks
Ruud Krol	1949 births, Living people, 1974 FIFA World Cup players, 1978 FIFA World Cup players, Dutch footballers, Dutch football managers, Association football defenders, Association football full-backs, Sportspeople from Amsterdam
Resident Evil (2002 movie)	2002 horror movies, 2000s action movies, Resident Evil movies, Apocalyptic movies, British horror movies, German horror movies, Movies set in the United States
Resident Evil (1996 video game)	1996 video games, Nintendo DS games, PlayStation games, Resident Evil, Sega Saturn games, Windows games
Resident Evil (2002 video game)	2002 video games, Nintendo GameCube games, Nintendo Switch games, PlayStation 3 games, PlayStation 4 games, Resident Evil, Video game remakes, Wii games, Xbox 360 games, Xbox One games, Windows games
Resident Evil Zero	2002 video games, Nintendo GameCube games, PlayStation 3 games, PlayStation 4 games, Resident Evil, Video game prequels, Wii games, Xbox 360 games, Xbox One games, Windows games
Shark Tale (video game)	2004 video games, Game Boy Advance games, Nintendo GameCube games, PlayStation 2 games, Shark Tale, Xbox games, Windows games
Sly Cooper (character)	Sly Cooper, Fictional animals, Fictional characters introduced in 2002, Video game protagonists
Mortal Kombat (2021 movie)	2021 movies, Mortal Kombat movies, New Line Cinema movies, Reboot movies, American movies, Martial arts movies, Warner Bros. movies
Hulk (video game)	2003 video games, Nintendo GameCube games, Hulk games, PlayStation 2 games, Xbox games, Windows games
The Incredible Hulk (movie)	2008 movies, English-language movies, 2000s superhero movies, Hulk (Marvel Comics), Marvel Cinematic Universe movies, Movies based on works by Stan Lee, Movies set in New York, Multilingual movies, Reboot movies, Universal Pictures movies, American movies, American action movies
If I Needed Someone	The Beatles songs, 1965 songs
ArcelorMittal	2006 establishments in Europe, Charleroi, Companies listed on the New York Stock Exchange, Companies of France, Companies of India, Companies of the Netherlands, Luxembourg City
List of prime ministers of Qatar	Prime Ministers of Qatar
Prime Minister of the United Arab Emirates	Prime Ministers of the United Arab Emirates
Juan R. Torruella	1933 births, 2020 deaths, American judges, American lawyers, American Olympians, Sailors, Puerto Rican people, US Republican Party politicians
David Braley	1941 births, 2020 deaths, Deaths from diabetes, Canadian businesspeople, Sportspeople from Quebec, Politicians from Quebec, Politicians from Ontario, Sportspeople from Ontario, People from Montreal
Burlington, Ontario	Cities in Ontario
Jan Boerman	1923 births, 2020 deaths, Dutch composers
Margie Bowes	1941 births, 2020 deaths, American country singers, Singers from North Carolina
Roxboro, North Carolina	County seats in North Carolina, Cities in North Carolina
Jean Shepard	1933 births, 2016 deaths, Deaths from Parkinson's disease, American country singers, American singer-songwriters, Singers from Oklahoma, Writers from Oklahoma
Connie Hall	1929 births, Living people, American country singers, American singer-songwriters, Singers from Louisville, Kentucky, Writers from Louisville, Kentucky
Jesse Arnelle	1933 births, 2020 deaths, Cardiovascular disease deaths in California, Detroit Pistons players, American lawyers, Sportspeople from New York, Businesspeople from New York, People from New Rochelle, New York
Pin Point, Georgia	Unincorporated communities in Georgia (U.S. state)
Dean Bandiera	1926 births, 2020 deaths, Sportspeople from Ontario
Mystic River (movie)	2003 movies, 2000s mystery movies, Movies based on books, American mystery movies, Movies directed by Clint Eastwood
Dennis Lehane	1965 births, Living people, American novelists, Writers from Boston, Massachusetts
Gone Baby Gone	2007 movies, Movies based on books, American crime drama movies, American mystery movies
Titus Welliver	1962 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New Haven, Connecticut
John Ashton (actor)	1948 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Massachusetts, People from Springfield, Massachusetts
Prince of the City	1981 movies, 1980s crime drama movies, American crime drama movies, Movies based on books, Warner Bros. movies, Movies directed by Sidney Lumet
Internet Movie Cars Database	Automobiles
Kevin Dunn	1956 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Chicago, Movie producers from Chicago
Seminole bat	Bats, Mammals of North America
Hoary bat	Bats, Mammals of North America, Mammals of South America
Northern yellow bat	Bats, Mammals of North America
Gao Fengwen	1939 births, 2020 deaths, Football managers, Chinese footballers
Truth and Reconciliation Commission (South Africa)	South Africa, 1990s in Africa, 1995, 1996, Nelson Mandela
The Landlady (short story)	20th-century American short stories
Collin College	Colleges and universities in Texas
Adriana Chechik	1991 births, Living people, American pornographic actors, American erotic dancers, Actors from Pennsylvania
Rocket Raccoon	Marvel Comics aliens, Marvel Comics superheroes, Fictional animals
Beast (comics)	Characters created by Stan Lee, Fictional characters introduced in 1963, Marvel Comics superheroes, Marvel Comics mutants
Cyclops (Marvel Comics)	Characters created by Stan Lee, Fictional characters introduced in 1963, Marvel Comics superheroes, Marvel Comics mutants
The Grinch (movie)	2018 animated movies, 2018 comedy-drama movies, American animated movies, American comedy-drama movies, Christmas movies, Movies based on books by Dr. Seuss, Universal Pictures movies
SC Fortuna Köln	1948 establishments in Germany, German football clubs, Sport in North Rhine-Westphalia, Cologne
Ismail Ayob	1942 births, South African lawyers, Living people
Litoria mareku	Frogs, Animals of Asia
Moise Kean	2000 births, Living people, Italian footballers, Sportspeople from Piedmont, Association football forwards, Premier League players
Aakash Gupta	Stand-up comedians, Living people, 1993 births, YouTubers
The Village (movie)	2004 horror movies, American horror movies, English-language movies, Movies composed by James Newton Howard, Movies directed by M. Night Shyamalan, Screenplays by M. Night Shyamalan
Alien vs. Predator (movie)	2004 science fiction movies, 2004 horror movies, Horror crossover movies, American monster movies, Predator movies, Alien movies, English-language movies, Movies set in islands, 20th Century Fox movies
Tonic Trouble	1999 video games, 3D platform games, Game Boy Color games, Nintendo 64 games, Windows games, Ubisoft games
Bank of Montreal	Banks, 1810s establishments in North America, 1817 establishments, Companies of Canada
1999–2000 UEFA Cup	UEFA, 1999 in association football, 1990s in Europe, 2000 in association football, 2000 in Europe
Canadian Imperial Bank of Commerce	1961 establishments in Canada, Banks, Companies of Canada, Companies listed on the Toronto Stock Exchange, Companies listed on the New York Stock Exchange
Scotiabank	Banks, Companies of Canada
Aging in cats	Cats
Tutu House	Buildings and structures, South Africa
Midnight (1939 movie)	1939 movies, 1930s romance movies, 1930s comedy movies, American romantic comedy movies, Movies directed by Mitchell Leisen
Nodugl tree frog	Animals of Oceania, Frogs, Animals of Asia
Michelle Caruso-Cabrera	1967 births, Living people, American political commentators, Journalists from New York City, Politicians from New York City, US Democratic Party politicians, Television personalities from New York City
Susan Hendl	1947 births, 2020 deaths, Deaths from renal failure, American dancers, Entertainers from New York City
Wayne Johnson (Wyoming politician)	1942 births, 2020 deaths, State legislators of the United States, Politicians from Wyoming, Politicians from El Paso, Texas, US Republican Party politicians
Jacques Godin	1930 births, 2020 deaths, Deaths from heart failure, Canadian movie actors, Canadian television actors, Canadian stage actors, Actors from Montreal
Stan Kesler	1928 births, 2020 deaths, Deaths from bone cancer, American rock guitarists, American pop musicians, American R&B musicians, Record producers, American songwriters, Musicians from Mississippi, Musicians from Nashville, Tennessee, Writers from Mississippi, Writers from Nashville, Tennessee, Businesspeople from Mississippi, Businesspeople from Tennessee
Abbeville, Mississippi	Towns in Mississippi
Bartlett, Tennessee	Cities in Tennessee
Daniel Menaker	1941 births, 2020 deaths, Deaths from pancreatic cancer, American novelists, American editors, Journalists from New York City
New Marlborough, Massachusetts	Towns in Massachusetts
Richard Adjei	1983 births, 2020 deaths, Deaths from myocardial infarction, German Olympic silver medalists, Sportspeople from North Rhine-Westphalia
Jan Niemiec (bishop)	1958 births, 2020 deaths, Deaths from the COVID-19 pandemic in Poland, Polish Roman Catholics, Roman Catholic bishops, Ukrainian people
Gilberto Penayo	1933 births, 2020 deaths, Paraguayan footballers
Marwan Kenzari	1983 births, Living people, Dutch movie actors, Dutch television actors, Dutch stage actors, Dutch voice actors, People from The Hague, Comedians, Tunisian actors, People from Tunis
Mena Massoud	1992 births, Living people, Naturalized citizens of the United States, American movie actors, American television actors, American voice actors, Saudi Arabian people, People from Riyadh, Actors from New York
Maclura pomifera	Moraceae
Up the Chastity Belt	1971 comedy movies, British comedy movies, Movies based on TV series
Anthony Soter Fernandez	1930 births, 2020 deaths, Deaths from tongue cancer, Roman Catholic priests, Roman Catholic bishops, Cardinals of the Roman Catholic Church
Ryszard Witke	1939 births, 2020 deaths, Polish Olympic medalists, Skiers
The Witches (1990 movie)	1990s fantasy movies, 1990 comedy movies, American fantasy movies, American comedy movies, British fantasy movies, British comedy movies, Movies based on books, Warner Bros. movies, Movies directed by Nicolas Roeg
Mai Zetterling	1925 births, 1994 deaths, Cancer deaths in London, Swedish movie directors, Swedish movie actors, Swedish television actors, Swedish stage actors
The Queen (2006 movie)	2006 drama movies, 2000s biographical movies, British biographical movies, British drama movies, French drama movies, Italian drama movies, Movies directed by Stephen Frears
Tor Torgersen	1928 births, 2020 deaths, Norwegian Olympians
Alex Jennings	1957 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Actors from Essex
Helen McCrory	1968 births, 2021 deaths, Cancer deaths in London, British movie actors, British television actors, British stage actors, British voice actors, Actors from London
Harry Potter (movie series)	Harry Potter movies
Glenn Florio	1967 births, 2020 deaths, American Olympians, Deaths from myocardial infarction
Andrea Tabanelli	2020 deaths, 1961 births, Italian sportspeople, Paralympians
The Witches (2020 movie)	2020 comedy movies, 2020s fantasy movies, Movies based on books, American fantasy movies, American comedy movies, Warner Bros. movies, Movies directed by Robert Zemeckis, HBO Max
F.C. BATE Borisov	1973 establishments in Europe, Football clubs, Sport in Belarus
Wen Fubo	1925 births, 2020 deaths, Chinese scientists, Chinese engineers
Noel (movie)	2004 movies, English-language movies, Christmas movies, American drama movies, Movies set in New York City, 2004 drama movies
Alain Rey	1928 births, 2020 deaths, French writers, French radio personalities, Linguists, Editors
Deputy Prime Minister of Japan	Deputy Prime Ministers of Japan
Egg Fruit	Fruits
Skyler Wexler	2006 births, Living people, Canadian child actors, Canadian television actors
Spaced repetition	Memory, Learning Methods, Learning
Omar Blondin Diop	Communists, 1946 births, 1973 deaths, Artists, Senegalese people
Winnie the Pooh and the Honey Tree	American family movies, English-language movies, Movies about bears, Winnie the Pooh
Rio Tinto	1873 establishments, Companies of Australia, Companies of the United Kingdom, Mining
Aneurin Bevan	1897 births, 1960 deaths, British atheists, Cancer deaths in England, Deaths from stomach cancer, Democratic socialists, Former Labour MPs (UK), Former members of the British House of Commons for Welsh constituencies, Privy Councillors (UK), Secretaries of State of the United Kingdom, UK MPs 1929–1931, UK MPs 1931–1935, UK MPs 1935–1945, UK MPs 1945–1950, UK MPs 1950–1951, UK MPs 1951–1955, UK MPs 1955–1959, UK MPs 1959–1964, Welsh politicians
Danske Bank	1871 establishments, Banks
Maya Schenwar	Journalists from Chicago, Editors
Engie	Companies of France
Non-Profit Industrial Complex	Activism, Non-profit organizations
Don Mazankowski	1935 births, 2020 deaths, Politicians from Alberta, People from Calgary
Giorgio Carta	1938 births, 2020 deaths, Italian politicians, Italian physicians
Miguel Ángel Castellini	1947 births, 2020 deaths, Deaths from the COVID-19 pandemic in Argentina, Argentine sportspeople, Boxers
Broken Hill	Towns in New South Wales
Ray Blacklock	1955 births, 2020 deaths, Australian rugby league players, Deaths from multiple system atrophy, Sportspeople from New South Wales
Tamworth F.C.	1930s establishments in England, 1933 establishments, English football clubs, Staffordshire
Hugh Morrow (footballer)	2020 deaths, 1930 births, Northern Irish footballers, Northern Irish football managers
Štefan Sečka	1953 births, 2020 deaths, Deaths from cardiac arrest, Roman Catholic priests, Roman Catholic bishops, Slovakian people
Tracy Smothers	1962 births, 2020 deaths, Deaths from lymphoma, American professional wrestlers, Sportspeople from Tennessee, Sportspeople from Indiana
Billy Joe Shaver	1939 births, 2020 deaths, Deaths from stroke, American singer-songwriters, American country singers, American country guitarists, Writers from Texas, Musicians from Texas, Singers from Texas
Cerro Porteño	1910s establishments in South America, 1912 establishments, Sport in Paraguay, Football clubs
Club Sol de América	1900s establishments in South America, 1909 establishments, Sport in Paraguay, Football clubs
Charles Spencer, 9th Earl Spencer	1964 births, Living people, Journalists from London, British television presenters, Television news anchors
Miles Taylor (security expert)	Living people, Politicians from Indiana, US Republican Party politicians, Year of birth missing (living people), American political writers, Writers from Indiana
Killing of Walter Wallace	2020 in the United States, 21st century in Philadelphia, October 2020 events
Timeline of the far future	Time, Science
High roll	Hairstyles, Fashion
Duck Duck Goose (movie)	2018 comedy movies, 2018 animated movies, English-language movies, Chinese animated movies, American animated movies, American comedy movies, Movies about turtles, Movies set in China
Winter People	1989 movies, 1989 romance movies, 1989 drama movies, 1980s romantic drama movies, American romantic drama movies, Movies based on books, Movies directed by Ted Kotcheff, American independent movies
Smoking room	Rooms
Joakim Lundell	1985 births, Swedish musicians, Internet celebrities, Living people, Swedish YouTubers
Chaeyoung	1999 births, Living people, K-pop singers, South Korean singers
Dole effect	Photosynthesis, Chemical elements
Paul-Jean Hérault	1934 births, 2020 deaths, Deaths from stroke, French novelists, French journalists, Writers from Paris
Jimmy Orr	1935 births, 2020 deaths, American football wide receivers, Pittsburgh Steelers players, Indianapolis Colts players, Sportspeople from South Carolina
Bashkortostan	Republics of Russia, Federal subjects of Russia
Amir Ishemgulov	1960 births, 2020 deaths, Russian scientists, Biologists, Russian politicians, Russian educators
Keshubhai Patel	1928 births, 2020 deaths, Deaths from cardiac arrest, Deaths from the COVID-19 pandemic in India, Indian politicians
Yuri Pomomarev	1946 births, 2020 deaths, Deaths from the COVID-19 pandemic in Russia, Russian politicians, Economists
Bobby Ball	1944 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, English movie actors, English television actors, English stage actors, English comedians, English television personalities, Actors from Lancashire, Singers from Lancashire
Tommy Cannon	1938 births, Living people, English movie actors, English television actors, English stage actors, English comedians, English television personalities, Actors from Lancashire, Singers from Lancashire
Yellow golden mole	Moles, Mammals of Africa
Come to the Stable	1949 movies, 1940s comedy movies, 1940s drama movies, American comedy-drama movies, 20th Century Fox movies, Movies directed by Henry Koster
Jack Brennan	1937 births, Living people, American military personnel of the Vietnam War, Politicians from Massachusetts
Oliver Platt	1960 births, Living people, Naturalized citizens of the United States, Canadian movie actors, Canadian television actors, Canadian stage actors, Canadian voice actors, American movie actors, American television actors, American voice actors, American stage actors, Actors from Ontario
Frost/Nixon (movie)	2008 drama movies, American drama movies, British drama movies, French drama movies, Movies based on plays, Universal Pictures movies, Richard Nixon, Movies directed by Ron Howard
Maria Ewing	1950 births, Living people, American opera singers, American stage actors, Actors from Detroit, Michigan, Singers from Detroit, Michigan
Resident Evil 2 (1998 video game)	1998 video games, Nintendo 64 games, Nintendo GameCube games, PlayStation games, Resident Evil, Sega Saturn games, Windows games
J. J. Williams (rugby union)	1948 births, 2020 deaths, Welsh rugby union players
Wales national rugby union team	Wales, Rugby union
England national rugby union team	England, Rugby union
Slaven Zambata	1940 births, 2020 deaths, Croatian footballers
Rayman M	2001 video games, Nintendo GameCube games, PlayStation games, PlayStation 2 games, Rayman, Ubisoft games, Xbox games, Windows games
Shrek SuperSlam	2005 video games, Activision video games, Fighting games, Nintendo DS games, Nintendo GameCube games, PlayStation 2 games, Shrek video games, Xbox games
The Incredible Hulk (2008 video game)	2008 video games, Nintendo DS games, PlayStation 2 games, PlayStation 3 games, Hulk games, Xbox 360 games, Wii games, Windows games
Ratchet (Ratchet & Clank)	Fictional characters introduced in 2002, Fictional extraterrestrial characters, Ratchet & Clank characters
Megara (Disney)	Fictional characters introduced in 1997, Kingdom Hearts characters, Hercules (Disney)
Joe Allen	1990 births, Living people, Welsh footballers, Association football midfielders, Liverpool F.C. players, Premier League players, UEFA Euro 2016 players
Negan	Fictional characters introduced in 2012, Fictional mass murderers, The Walking Dead
Raphaël Guerreiro	1993 births, Living people, French footballers, Portuguese footballers, Association football defenders, Association football full-backs, Association football midfielders, UEFA Euro 2016 players, 2018 FIFA World Cup players
Dimitri Payet	1987 births, Living people, French footballers, Association football midfielders, West Ham United F.C. players, Premier League players, UEFA Euro 2016 players
Chengalpattu district	Districts of Tamil Nadu
E3 2013	2013 in California, Video games
Erode taluk	Erode district, Tehsils of India
Karur taluk	Tamil Nadu
Stadio Renato Dall'Ara	Sports buildings in Italy, Football in Italy, Football stadiums in Europe, Bologna, 1920s establishments in Italy, 1927 establishments in Europe
2020 Nice stabbing	2020 crimes in Europe, 2020s in France, Islamic terrorist incidents in France, Nice, October 2020 events, Terrorist incidents in the 2020s
Son of the Mask	2005 comedy movies, 2000s superhero movies, Dark Horse Comics movies, New Line Cinema movies, Pregnancy movies, American comedy movies, Superhero comedy movies, The Mask
Seljuk Sultanate of Rûm	14th-century disestablishments, Byzantine Empire, Former countries in Asia, Former countries in the Middle East, Former monarchies of Asia, Former principalities, History of Asia, History of Islam, History of Turkey, History of the Middle East, Middle Ages, Mongol Empire
Beylik	History of Turkey
Jessie (Toy Story)	Fictional characters introduced in 1999, Kingdom Hearts characters, Toy Story characters
The Flintstones (movie)	1994 movies, 1994 comedy movies, American comedy movies, Movies composed by David Newman, Movies set in prehistory, The Flintstones, Universal Pictures movies
1934 FIFA World Cup Final	FIFA World Cup, 1934 in sports, 1930s in Italy, Rome, June events
Superstring theory	String theory
Mensheviks	1903 establishments, 20th century in Russia, Communist parties, History of Russia, History of the Soviet Union, Marxism, Political movements, Political organizations, Political parties in Russia, Russian Revolution, Russian language, Social democratic parties, Socialism
Run for Your Life (Beatles song)	The Beatles songs, 1965 songs
Okinawan Japanese	Japanese language, Okinawa Prefecture
Brandon Rogers (YouTuber)	1988 births, American YouTubers, LGBT actors, Gay men, LGBT people from California, Actors from California, People from Hayward, California, Living people
Denny Tamaki	1959 births, Ryukyuan people, People from Okinawa Prefecture, Japanese politicians, Living people
Avignon threats	2020 crimes in Europe, 2020s in France, Avignon, Crime in France, October 2020 events
2020 Singaporean general election	2020 elections, July 2020 events, Events in Singapore
Horton Hears a Who! (movie)	2000s 3D movies, 2000s adventure movies, 2000s computer-animated movies, 2008 animated movies, 2008 comedy movies, 2008 movies, American adventure movies, American animated movies, American comedy movies, Blue Sky Studios movies, English-language movies, Movies about animals, Movies based on books by Dr. Seuss
Equality and Human Rights Commission	2007 establishments in the United Kingdom
Oruge tree frog	Animals of Oceania, Frogs, Animals of Asia
Bob Whitlow	1936 births, 2020 deaths, Atlanta Falcons players, Cleveland Browns players, Detroit Lions players, Washington Redskins players, Sportspeople from Indiana
Miomir Dašić	1930 births, 2020 deaths, Montenegrin people, Historians
Karim Akbari Mobarakeh	1953 births, 2020 deaths, Deaths from the COVID-19 pandemic in Iran, Iranian movie directors, Iranian actors, People from Tehran
Arturo Rivera	1945 births, 2020 deaths, Mexican painters, People from Mexico City, Deaths from cerebral hemorrhage
Wavel Ramkalawan	1961 births, Living people, Anglican priests, Current national leaders, Presidents of Seychelles
Alp Arslan	11th century births, Heads of state, History of Iran, History of Islam, History of Turkey, Kings and queens, Murder victims, Sultans
Ottoman Interregnum	1400s, 1410s, Civil wars, History of Turkey, Ottoman Empire
Rishi Sunak	1980 births, Living people, Alumni of the University of Oxford, Chancellors of the Exchequer, Conservative MPs (UK), Members of the British House of Commons for English constituencies, People from Southampton, Privy Councillors (UK), UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–
Amanda Milling	1975 births, Living people, Alumni of University College London, Conservative MPs (UK), Members of the British House of Commons for English constituencies, People from Staffordshire, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, Women politicians
Christopher Pincher	1969 births, Living people, UK MPs 2010–2015, UK MPs 2015–2017, UK MPs 2017–2019, UK MPs 2019–, People from Staffordshire, Conservative MPs (UK)
Margaret Birch	1921 births, 2020 deaths, Politicians from Toronto
Leamington, Ontario	Cities in Ontario
David Ross (baseball)	1977 births, Living people, Pittsburgh Pirates players, San Diego Padres players, Cincinnati Reds players, Boston Red Sox players, Atlanta Braves players, Chicago Cubs players, Chicago Cubs managers, Sportspeople from Florida, Sportspeople from Georgia (U.S. state), People from Tallahassee, Florida
Tony La Russa	1944 births, Living people, American lawyers, Atlanta Braves players, Chicago Cubs players, Kansas City Athletics players, Oakland Athletics players, Sportspeople from California, Sportspeople from Tampa, Florida
