Hammered dulcimer	Early musical instruments
Honey Bunny in Bank Robbery	Indian movies, Animated movies
Glaspaleis	Heerlen, Buildings and structures in the Netherlands
New Orleans (1947 movie)	1947 movies, 1940s romance movies, 1940s musical movies, American romance movies, American musical movies, Movies directed by Arthur Lubin
The Moving True Story of a Woman Ahead of Her Time	2001 drama movies, Dutch drama movies, Movies directed by Pieter Verhoeff
Cornelia Oberlander	1921 births, 2021 deaths, Canadian architects, People from Vancouver, Canadian Jews, Deaths from the COVID-19 pandemic in Canada
White stork	Birds of Africa, Birds of Europe, Birds of Asia, Ciconiiformes
Outlaws of the Rockies	1945 movies, 1940s western movies, American western movies, Columbia Pictures movies, Movies directed by Ray Nazarro
Châtel, Haute-Savoie	Communes in Haute-Savoie
La Chapelle-d'Abondance	Communes in Haute-Savoie
Outrebois	Communes in Somme
Pargny, Somme	Communes in Somme
Noiseau	Communes in Val-de-Marne
Ormesson-sur-Marne	Communes in Val-de-Marne
Périgny, Val-de-Marne	Communes in Val-de-Marne
Parvillers-le-Quesnoy	Communes in Somme
R62 (New York City Subway car)	New York City Subway
31st G8 summit	G7, 2005 in the United Kingdom, History of Scotland
Welcome Home Roscoe Jenkins	2008 comedy movies, American comedy movies, Universal Pictures movies, Movies directed by Malcolm D. Lee
Eion Edgar	1945 births, 2021 deaths, Deaths from pancreatic cancer, New Zealand businesspeople, People from Dunedin, Philanthropists
List of Norwegians	Norwegian people
Pendé	Communes in Somme
Pernois	Communes in Somme
Pierregot	Communes in Somme
Pissy	Communes in Somme
Jørgen Lorentzen	Norwegian people, 1956 births, Living people
Tix	1993 births, Norwegian singers
Boj (TV series)	Animated television series, 2014 television series debuts, 2015 British television series endings, English-language television programs, BBC Television programmes, CBeebies, Children's television series
Aftenposten	Newspapers, 1860 establishments in Europe, 19th century establishments in Norway
Fabrice Muamba	1988 births, Living people, Arsenal F.C. players, Association football midfielders, Black British sportspeople, English footballers, English football managers, Premier League players, Naturalised citizens of the United Kingdom, People from Kinshasa
Killing of Winston Boogie Smith	2021 crimes in the United States, 1989 births, 2021 deaths, 2021 crimes
Plachy-Buyon	Communes in Somme
Le Plessier-Rozainvillers	Communes in Somme
Pœuilly	Communes in Somme
Nam Da-won	1997 births, Living people, K-pop singers
Jean-Philippe Vassal	1954 births, Living people, French academics, French architects, French educators, People from Casablanca, Pritzker Prize winners, Moroccan educators
Anne Lacaton	1955 births, Living people, French academics, French architects, French educators, Pritzker Prize winners
Poix-de-Picardie	Communes in Somme
Ponches-Estruval	Communes in Somme
Pont-de-Metz	Communes in Somme
Pont-Noyelles	Communes in Somme
Potte	Communes in Somme
Haucourt, Oise	Communes in Oise
Le Quesnel	Communes in Somme
Poulainville	Communes in Somme
Wayne, Nebraska	Cities in Nebraska, County seats in Nebraska
Rushville, Nebraska	Cities in Nebraska, County seats in Nebraska
Aurora, Nebraska	Cities in Nebraska, County seats in Nebraska
Boana cordobae	Frogs, Animals of South America
Gliese 581 system	Space, Exoplanets
The Young Man and Moby Dick	1979 drama movies, Czech movies, Movies directed by Jaromil Jireš
The Herd (movie)	1978 drama movies, Turkish movies
Primal (video game)	2003 video games, Action-adventure video games, PlayStation 2 games, PlayStation 4 games, PlayStation Network games, Single-player video games, Sony Interactive Entertainment games
The Unknown Saint	2019 drama movies, 2010s crime drama movies, Moroccan movies, French crime movies, French drama movies, Qatari movies
Haucourt, Seine-Maritime	Communes in Seine-Maritime
Haucourt-en-Cambrésis	Communes in Nord
Haucourt-Moulaine	Communes in Meurthe-et-Moselle
Prouville	Communes in Somme
Prouzel	Communes in Somme
Proyart	Communes in Somme
Puchevillers	Communes in Somme
Germany, Pale Mother	1980 drama movies, German drama movies, Movies directed by Helma Sanders-Brahms
Persian Gulf Studies Center	Research organizations in Asia, 2008 establishments in Asia, 2000s establishments in Iran
Death in Sarajevo	2016 drama movies, Bosnia and Herzegovina movies, Movies directed by Danis Tanović
Hallmark	Marketing, Gold
Alpine Fire	1985 drama movies, Swiss movies, Movies directed by Fredi M. Murer
Kelly Hyman	American actors, American lawyers, Living people
Fjällräven	Clothing companies, Companies of Sweden, 1960 establishments in Europe, 1960s establishments in Sweden
Orizont	2015 movies, 2010s action thriller movies, Romanian movies, Movies based on short stories, Movies directed by Marian Crișan
Ericsson	Companies of Sweden, 1876 establishments in Europe, 19th century establishments in Sweden
Specialist Firearms Command	Law enforcement agencies of the United Kingdom
Punchy	Communes in Somme
Puzeaux	Communes in Somme
Querrieu	Communes in Somme
Quend	Communes in Somme
Quesnoy-le-Montant	Communes in Somme
Blind Spot (2012 movie)	2012 crime movies, Luxembourgian movies, Belgian movies
Quesnoy-sur-Airaines	Communes in Somme
Quevauvillers	Communes in Somme
Quiry-le-Sec	Communes in Somme
Quivières	Communes in Somme
Rafiki	2018 drama movies, 2010s LGBT movies, Kenyan movies, South African movies, German drama movies, French drama movies, Dutch drama movies, British drama movies, British LGBT movies, Norwegian movies, Lebanese movies, Movies set in Africa, Movies directed by Wanuri Kahiu
Raincheval	Communes in Somme
Rainneville	Communes in Somme
Yuri Kochiyama	1921 births, 2014 deaths, American civil rights activists, Feminists, Activists
Click (2006 movie)	2006 comedy movies, 2000s fantasy-comedy movies, American fantasy-comedy movies, Columbia Pictures movies, Movies directed by Frank Coraci
Mburumba Kerina	1932 births, 2021 deaths, Namibian politicians, Deaths from the COVID-19 pandemic
City Government of Oslo	Politics of Norway, Local government, Oslo
RollBots	English-language television programs
Snopes	1994 establishments in the United States, American websites
Ningthou Kangba	Meitei people, Kings of Ancient Manipur, History of Manipur
Sidewalks of New York (2001 movie)	2001 comedy-drama movies, American comedy-drama movies, Movies directed by Edward Burns
Rambures	Communes in Somme
Rancourt, Somme	Communes in Somme
Pers-Jussy	Communes in Haute-Savoie
LoliRock	2014 television series debuts, 2017 television series endings
Disney's Grand Californian Hotel	Disney, Hotels
Downtown Disney (California)	Disney
Disneyland Hotel	Hotels, Disney
Disney's Paradise Pier Hotel	Disney, Hotels
Sleeping Beauty Castle	Disney
Grizzly Peak (Disneyland Resort)	Disney
Universal Studios Florida	1990 establishments in the United States, 1990s establishments in Florida, Orlando, Florida
Beauty and the Beast Live on Stage	Disney, Theater
Walt Disney Studios Park	2002 establishments in France, Disney theme parks, Buildings and structures in France
Handy Manny	Television series by Disney, 2006 television series debuts, 2013 television series endings
Robozuna	English-language television programs
Main Street, U.S.A.	Disney
Hong Kong Disneyland Resort	2000s establishments in China, 2005 establishments in Asia, Disney theme parks, Buildings and structures in Hong Kong
Shanghai Disney Resort	2010s establishments in China, 2016 establishments in Asia, Disney theme parks, Buildings and structures in Shanghai
Elelwani	2012 drama movies, 2012 romance movies, 2010s romantic drama movies, South African movies, Movies based on books, Movies set in South Africa
Win Ben Stein's Money	1997 television series debuts, 1990s American television series, Television quiz shows, Emmy Award winning programs, English-language television programs
Crazy Eddie	Companies of the United States
Tokyo Disney Resort	1980s establishments in Japan, 1983 establishments in Asia, Disney theme parks, Buildings and structures in Tokyo, Chiba Prefecture
Roy Wood, Jr.	1978 births, Living people, American movie actors, American television actors, American voice actors, Actors from Alabama
The Humpty Dance	1989 songs
Apremont, Ardennes	Communes in Ardennes
Apremont, Oise	Communes in Oise
Vonage	Companies, Companies of the United States, 2001 establishments in the United States
Commandant of the Marine Corps	United States Marine Corps
White-edged tree frog	Frogs, Animals of South America
Parents Music Resource Center	Controversies in the United States, 1985 establishments in the United States
Belcher, Louisiana	Villages in Caddo Parish, Louisiana
Slaughter, Louisiana	Towns in Louisiana
Hinduism in South Asia	Hinduism in South Asia
Hinduism in Sri Lanka	Hinduism in South Asia, Hinduism by country
Terrence Malick	Living people, 1943 births, American movie directors, American movie producers, American screenwriters
Luwang Ningthou Punshiba	Meitei people, Kings of Ancient Manipur, History of Manipur
Apremont, Savoie	Communes in Savoie
Apremont, Haute-Saône	Communes in Haute-Saône
Apremont-la-Forêt	Communes in Meuse
Apremont-sur-Allier	Communes in Cher
Regnière-Écluse	Communes in Somme
Thirty-sixth government of Israel	Israeli governments, 21st century establishments in Israel
Remaisnil	Communes in Somme
Maze Action	2003 video games, 2004 video games, PlayStation 2 games, PlayStation 2-only games, Action video games, Adventure games, Puzzle video games
Epicentro	2020 movies, Austrian movies, French movies, American documentary movies, Cuban movies
Remaugies	Communes in Somme
Remiencourt	Communes in Somme
Rethonvillers	Communes in Somme
Revelles	Communes in Somme
Ribeaucourt, Somme	Communes in Somme
Potomanto	2013 action movies, 2013 thriller movies, 2010s action thriller movies, Ghanaian movies, Georgian movies, Nigerian movies, Movies directed by Shirley Frimpong-Manso
François Rabelais	French literature, French culture, French writers
Power Stone Collection	PlayStation Portable games, PlayStation Portable-only games, 2006 video games, Fighting games, Compilation video games
Yahadut HaTorah	1992 establishments in Israel, Judaism in Israel, Political parties in Israel
HaYamin HeHadash	Political parties in Israel, Zionist parties, 2010s establishments in Israel, 2018 establishments in Asia
Ragweed	Asteraceae
Maliyapham Palcha	Meitei people, Kings of Ancient Manipur, History of Manipur
Rock n Roll	Avril Lavigne songs
World Trade Center station (PATH)	Trains, Rapid transit systems in the United States
A Man Called Peter	1955 drama movies, American drama movies, 20th Century Fox movies, Movies directed by Henry Koster
Cheltenham Ladies' College	1850s establishments in England, 1853 establishments, Schools in England, Gloucestershire
Purble Place	Mobile games
Tangja Leela Pakhangba	Meitei people, Kings of Ancient Manipur, History of Manipur
Love Somebody	Maroon 5 songs, 2012 songs, 2013 songs, Pop songs
Somebody That I Used to Know	2011 songs
Ribemont-sur-Ancre	Communes in Somme
Anima mundi	Religion, Spirituality
Baltimora (band)	1980s establishments in Italy, 1980s Irish music groups, Irish pop music groups, Electronic music bands, Italian musical groups, Disco groups
Riencourt	Communes in Somme
Mr. Nobody (movie)	2009 science fiction movies, 2009 drama movies, Belgian movies, Canadian drama movies, French science fiction movies, French drama movies, German drama movies
Rivery	Communes in Somme
Turkey at the UEFA European Championship	Turkey national football team
Deniz Türüç	1993 births, Living people, Turkish footballers
Rogy	Communes in Somme
1970 Ancash Earthquake	History of Peru
Roiglise	Communes in Somme
Poppenricht	Amberg-Sulzbach
Juvigny, Haute-Savoie	Communes in Haute-Savoie
ACCOLC	Government of the United Kingdom, Telecommunications
Demerara Falls tree frog	Frogs, Animals of South America
My Fair Laddy	The Simpsons (season 17) episodes, 2006 television episodes
Dadeumi	Japanese culture, Clothing
Teeth blackening	Japanese culture, Dentistry
PATH system	Rapid transit systems in the United States, Trains
Cloak and Dagger (1946 movie)	1946 movies, 1940s war movies, 1940s thriller movies, American war movies, American spy movies, American thriller movies, World War II movies, Movies based on books, Warner Bros. movies, Movies directed by Fritz Lang
Japanese art	Japanese culture
Himno Nacional Mexicano	National anthems, Mexico
George Cromwell	1860 births, 1934 deaths, Politicians from New York
Clario	2019 establishments, Dubai
Kylie Verzosa	1992 births, Living people, Filipino actors
Celtrak	2000 establishments in Europe
New York University Tisch School of the Arts	1965 establishments in New York (state), Colleges and universities in New York City
Eddie Holman	1946 births, Living people, American singers, American soul singers, Gospel musicians, American pop singers, Christian religious leaders, American Baptists, Musicians from Virginia, Baptists, Christian ministers, Singers from New York City, Singers from Virginia
Citrix Systems	American technology companies, 1989 establishments in the United States, 1980s establishments in Texas
Bank of Ghana	Banks, 1957 establishments in Africa
Extreme Ops	2002 action movies, 2000s action thriller movies, British action movies, British thriller movies, German movies, Luxembourgian movies, Movies directed by Christian Duguay
Ciudad Encantada de Cuenca	Spain, Castile-La Mancha
Night of the Kings	2020 drama movies, 2020s fantasy movies, Ivorian movies, French drama movies, Canadian drama movies, Senegalese movies
ActionAid	1972 establishments
Tom Cat (Tom and Jerry character)	Animated characters, Fictional cats
Badi Door Se Aaye Hain	2014 Indian television series debuts
Financial District	Manhattan, Neighborhoods of New York City, Finance
Machine-readable passport	Everyday life
Marikana massacre	Apartheid-related violence
Grand Duke Sergei of Russia	Russian nobility, 1857 births, 1905 deaths
Luas	Ireland, Trains
Map tree frog	Frogs, Animals of South America
Vénissieux	Communes in Rhône
Whore (movie)	NC-17 rated movies, Movies about prostitution, British drama movies, American drama movies, 1991 drama movies, Movies directed by Ken Russell
North Collins	Towns in New York
Ebrahim Raisi	1960 births, Living people, Iranian clerics, Presidents of Iran, Current national leaders, Chief Justices of Iran
Third eye	Spirituality
Sunset Paradise	Television series, American television series
Hansie	2008 drama movies, 2000s biographical movies, South African movies, Movies set in South Africa, Movies directed by Regardt van den Bergh
FeardotCom	2002 horror movies, 2000s serial killer movies, British horror movies, German horror movies, Luxembourgian movies, American horror movies, American serial killer movies, Canadian horror movies
Windows 11	Microsoft
Boana semilineata	Frogs, Animals of South America
Khon Kaen University	Colleges and universities in Thailand
Flawless (2007 movie)	2007 movies, 2000s crime thriller movies, British crime movies, British thriller movies, Luxembourgian movies, Movies directed by Michael Radford
Black finless porpoise	Mammals of Pakistan, Cetaceans
Gender modality	Gender
Reuben Kamanga	Vice-Presidents of Zambia, 1929 births, 1996 deaths
Kemi Badenoch	Living people, 1980 births, Black British people, Conservative MPs (UK), Members of the British House of Commons for English constituencies, Politicians from London, UK MPs 2017–2019, UK MPs 2019–
Barcel	Mexican food, Snack foods
Syngas	Chemistry
X-Large (movie)	2011 comedy movies, 2011 romance movies, 2010s romantic comedy movies, Egyptian movies, Movies directed by Sherif Arafah
Archaeological Survey of India	Government agencies, Archaeology, 1861 establishments, 1860s establishments in Asia, 19th century establishments in India
List of programs broadcast by Sony Pal	Television programs
Yuri Averbakh	1922 births, Living people, Chess grandmasters, Russian chess players, Russian writers, Soviet writers
Leopard tree frog	Frogs, Animals of South America
Priya Gill	Indian actors, 1971 births, Living people
Gateway of India	Buildings and structures in India
Sadia Khan	Pakistani people, Living people, Pakistani movie actors
2021 Chesham and Amersham by-election	2021 elections, Elections in the United Kingdom, 2021 in the United Kingdom
7th Sky Entertainment	Entertainment companies
Louis IV, Grand Duke of Hesse	People from Prussia, Hesse
Rieden, Upper Palatinate	Amberg-Sulzbach
Schmidmühlen	Amberg-Sulzbach
Ursensollen	Amberg-Sulzbach
Weigendorf	Amberg-Sulzbach
Dino Morea	1975 births, Living people, Indian actors
Abu Hafs al-Masri Brigades	Islamic terrorism, Al-Qaeda
Penguin Town	2021 television series debuts, Documentaries, Television series about animals
POPinoy	2021 establishments, Television programs
Rampage (1986 movie)	1986 action movies, 1980s adventure movies, Turkish movies, Rambo movies, War movies, Mystery thriller movies
Sentō	Japanese culture, Hygiene
Lady with the Light Gloves	1942 movies, 1940s drama movies, Danish movies, Movies directed by Benjamin Christensen
Sharon Epperson	1968 births, Living people, People from Pittsburgh, Pennsylvania
Mike Rianda	1984 births, Living people, American voice actors
Be Dear to Me	1957 drama movies, Family movies, Danish movies, Movies directed by Annelise Hovmand
Sunday Morning Futures With Maria Bartiromo	2014 American television series debuts, English-language television programs
Mohammed Ibrahim Jega	1981 births, Living people, Nigerian businesspeople
Religion vision	Religion, Spirituality
Gaziza Abdinabiyeva	Kazakhstani people, 1948 births, 2021 deaths, Stage actors
Clairvoyance	Magic, Psychology, Parapsychology
Azali (movie)	2018 drama movies, Ghanaian movies
WildWorks	2003 establishments in the United States
Ashley Henley	1981 births, 2021 deaths, American murder victims, American teachers, 21st-century American politicians, State legislators of the United States, US Republican Party politicians, Politicians from Mississippi
Ministry of Defense (Georgia)	Georgia (country)
Tea Akhvlediani	1975 births, Politicians from Georgia (country), Living people
For Georgia	Political parties, 2021 establishments
Paula Hart	1956 births, Living people, American television producers, American movie producers
Bhumika Chawla	1978 births, Living people, Indian actors
7/7 Ripple Effect	2007 movies, English-language movies, Documentary movies, British movies, Conspiracy theories, July 2005 London bombings
Almond flour	Almonds, Flour
The Conspiracy Files	English-language television programs, BBC Television programmes, British documentaries
Luca	2021 movies, 2020s comedy movies, 2020s animated movies, Pixar movies, American comedy movies, Disney+ movies
Mandela Kapere	1980s births, 2020 deaths, Deaths from the COVID-19 pandemic
Faience	Pottery
Nina Divíšková	1936 births, 2021 deaths, Czech movie actors, Czech stage actors, Czech television actors, People from Brno
Bernice, Louisiana	Towns in Louisiana
Marion, Louisiana	Towns in Louisiana
Aqmola Province	Kazakhstan
Kokshetau	Cities in Kazakhstan
Commissioner of Police of the Metropolis	Law enforcement in the United Kingdom, 1820s establishments in England
Sushmita Sen	1975 births, Living people, Indian actors
List of programmes broadcast by StarPlus	Lists of Indian television series, Lists of television series by network
Kazakh Soviet Socialist Republic	1936 establishments in Asia, 1991 disestablishments in the Soviet Union, Republics of the Soviet Union
Aktobe Province	Kazakhstan
Atyrau Province	Kazakhstan
Baikonur	Cities in Kazakhstan
East Kazakhstan Province	Kazakhstan
Karagandy Province	Kazakhstan
Almond butter	Almonds, Nut butters
Schizotypal personality disorder	Personality disorders
Emerald-eyed tree frog	Frogs, Animals of South America
Tutankhamun's trumpets	Ancient Egypt, Musical instruments
Liberty, Mississippi	Towns in Mississippi, County seats in Mississippi
Dave Arneson	D and D designers, 1955 births, 2009 deaths
Peter Adkison	Living people
Jividha Sharma	1980 births, Living people, Indian actors
Water Valley, Mississippi	Cities in Mississippi, County seats in Mississippi
Stanley Aronowitz	1933 births, 2021 deaths, American academics, American sociologists, Writers from New York City, Scientists from New York City, American political activists, American critics
Jon M. Chu	1979 births, Living people, American television producers, American television directors, American television writers, Movie directors from California, Movie producers from California, Screenwriters from California, People from Palo Alto, California
Crazy Rich Asians (movie)	2010s romantic comedy movies, 2010s romantic drama movies, 2018 comedy-drama movies, American romantic comedy movies, American romantic drama movies, American comedy-drama movies, Warner Bros. movies, Movies based on books, Movies directed by Jon M. Chu
Jack Dylan Grazer	2003 births, Living people, American movie actors, American television actors, American voice actors, Actors from Los Angeles, California, American child actors, Bisexual people, LGBT actors, LGBT people from Los Angeles, California
Jaeden Martell	2003 births, Living people, American child actors, American movie actors, American television actors, American voice actors, Actors from Philadelphia, Pennsylvania
In the Heights (movie)	2021 movies, 2020s drama movies, American musical movies, American drama movies, Warner Bros. movies, Movies directed by Jon M. Chu
Corey Hawkins	1988 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Washington, D.C., Singers from Washington, D.C.
Leslie Grace	1995 births, Living people, American R&B singers, American pop singers, American soul singers, American movie actors, Actors from New York City, Singer-songwriters from New York City
Roshan Seth	1942 births, Living people, British movie actors, British stage actors, British television actors, British voice actors, British theatre directors, British journalists
1896 Sanriku earthquake	Earthquakes in Japan, 1896, Articles on pre-1900 earthquakes
1891 Mino–Owari earthquake	Earthquakes in Japan, 1891, Articles on pre-1900 earthquakes
The Ratings Game	1984 comedy movies, 1984 movies, American television movies, American movies, Movies directed by Danny DeVito
Jon Rahm	1994 births, Living people, Golfers, People from the Basque Country, Spanish sportspeople
Cystoscopy	Surgery
Yeh Mera Parivaar Hai!	Sitcoms
Trellech	Archaeological sites in the United Kingdom, Villages in Monmouthshire
Usk	Towns in Monmouthshire
Caerleon	Towns in Monmouthshire, Archaeological sites in the United Kingdom
Winnie Byanyima	1959 births, Living people, Ugandan politicians
Shafi Ahmed	British businesspeople, Living people
Ganjam district	Districts of Odisha
Piers Adam	British businesspeople, Living people
Belavtodor	2001 establishments in Europe
Kizza Besigye	1956 births, Living people, Ugandan politicians
Helen Alexander	British businesspeople
Hamburg Hauptbahnhof	1800s establishments in Germany, 1809 establishments, Railway stations in Germany, Buildings and structures in Hamburg
Gordon Dunne	1959 births, 2021 deaths, British Protestants, Members of the Order of the British Empire, Northern Ireland Assembly, Former Members, Northern Irish Christians
Centre national d'études spatiales	1961 establishments in Europe, Space agencies, Spaceflight, 1960s establishments in France
Bacon and eggs	Egg dishes, Breakfast foods, British food, Irish food, American food
Arianespace	1980 establishments in France, Rockets, Space colonization
Tintern	Villages in Monmouthshire
Robert Abajyan	Armenian military people
Armin Arad	1997 births, Living people, Iranian singers, Iranian musicians
Hamid Nasir Chattha	Pakistani politicians, People from Lahore
Nouriel Roubini	1958 births, Living people, American economists, Harvard University alumni
Gift Sukez Sukali	1993 births, Living people, Malawian people
Forum for Democratic Change	Political parties in Africa
Abubakar Malami	1967 births, Living people, Nigerian politicians
Mohammed Bello Adoke	1963 births, Living people, Nigerian lawyers, Nigerian politicians
Dinkelsbühl	Ansbach (district)
Montevideo tree frog	Frogs, Animals of South America
Devil in the Detail (movie)	2014 romance movies, 2014 thriller movies, Ghanaian movies, Nigerian movies, Movies directed by Shirley Frimpong-Manso
Barrage (movie)	2017 drama movies, Luxembourgian movies, Belgian movies, French drama movies
Beauty and the Dogs	2017 drama movies, Tunisian movies, French drama movies, Swedish movies, Norwegian movies, Lebanese movies, Qatari movies, Swiss movies, Movies based on books
The Duchess and the Dirtwater Fox	1976 comedy movies, 1970s western movies, American western movies, American comedy movies, 20th Century Fox movies, Movies directed by Melvin Frank
Zee Marathi	Television channels, Companies of India, 1999 establishments in Asia, 1990s establishments in India
Central Station (movie)	1998 drama movies, Brazilian movies, French drama movies, Movies directed by Walter Salles
Ragib Ali	British businesspeople, 1936 births, Living people
An American Werewolf in Paris	1997 horror movies, 1997 comedy movies, 1990s monster movies, 1990s sequel movies, American horror movies, American comedy movies, American monster movies, American sequel movies, British horror movies, British comedy movies, Luxembourgian movies, French horror movies, French comedy movies, German horror movies, German comedy movies, Dutch comedy movies
Mike Swigunski	Living people, 1988 births, American writers
Lee Chambers	British businesspeople, 1985 births, Living people
Anoush Ashoori	British businesspeople, Living people
John Apthorp	British businesspeople, 1935 births, Living people, Commanders of the Order of the British Empire
Lucy Gray (activist)	Living people, Activists, New Zealand people
Julia Acker	Polish artists, Artists who committed suicide, 1898 births, 1942 deaths
Wojciech Fangor	1922 births, 2015 deaths, Polish painters
Raiden (video game series)	Raiden series, Video game series
Vivo cantando	Songs
Caribe (1987 movie)	1987 movies, 1980s thriller movies, 1980s adventure movies, Canadian thriller movies
Fatal Frame	Fatal Frame, Video game series
Parietal eye	Eye
Aura (paranormal)	Spirituality
Antonio Raul Corbo	2009 births, Living people, American child actors, Actors from San Antonio, Texas
Michael Sinterniklaas	1972 births, Living people, American voice actors
Hot tub	Home, Leisure, Water
Game Boy Sound System	Computer file formats
Bab-e-Khyber	Buildings and structures in Pakistan, National symbols of Pakistan, Pakistani culture, Peshawar
Diorhabda meridionalis	Animals of Pakistan
Goytre, Monmouthshire	Villages in Monmouthshire
Quaid-e-Azam library	Buildings and structures in Lahore, Pakistani culture, Libraries in Asia, 1865 establishments, 1860s establishments in Pakistan
Peacock dance	Dance in India, Dances
Lalbagh fort	Dhaka, Mughal architecture, World Heritage Sites in Asia, Forts
Dotara	Musical instruments
Lungi	Clothing, Bangladeshi culture, Indian culture, National symbols of Bangladesh, National symbols of India
Sheikh Fazilatunnesa Mujib	1930 births, 1975 deaths, Bangladeshi people, First Ladies
Loverboy (2011 movie)	2011 drama movies, Romanian movies, Swedish movies, Serbian movies, Movies directed by Cătălin Mitulescu
Laddu	desserts, Indian food, Pakistani food
Troschel's tree frog	Frogs, Animals of South America
Lactobacillus bulgaricus	Microbiology
Cashew butter	Nut butters
Trishula	Weapons
Korma	Indian food
Rice and curry	Indian food, Sri Lanka
Bengali cuisine	Indian food, Bangladeshi culture, National symbols of Bangladesh
Haliastur indus	National symbols of India, Birds of Asia, Falconiformes
Heterometrus swammerdami	National symbols of India, Insects
Jean-Jacques Burnel	1952 births, Living people, English guitarists, Bass guitarists, English songwriters, English singers, New wave musicians, British record producers
Genpuku	Japanese culture
Steffan Aquarone	British businesspeople, Living people
Simon Arora	British businesspeople, 1969 births, Living people, Alumni of the University of Cambridge
Zulfiqar Ali	British businesspeople, 1965 births, Living people, British politicians
Tavistock Square	London Borough of Camden, Geography of London, July 2005 London bombings
Polati	Companies of Russia
Teinopalpus imperialis	Butterflies
Mai Mala Buni	1967 births, Living people, Nigerian politicians
Adams Oshiomhole	1952 births, Living people, Nigerian politicians
Ibrahim Gaidam	Living people, Nigerian politicians
Ningthou Kaksuba	Kings of Ancient Manipur
Ningthou Tonkonba	Kings of Ancient Manipur
Ningthou Pottingkoi	Kings of Ancient Manipur
Cotton pygmy goose	Ducks, National symbols of Pakistan
Ningthou Laanbicha	Kings of Ancient Manipur
Ningthou Sapaiba	Kings of Ancient Manipur
Ningthou Puthiba	Kings of Ancient Manipur
Irrawaddy dolphin	Mammals of Asia, National symbols of Bangladesh, Cetaceans
Indian Ocean humpback dolphin	Mammals of Pakistan, Cetaceans
Psittacula columboides	Birds of Asia, Parrots
Khuyoi Tompok	Kings of Ancient Manipur, History of Manipur
Sarojini Naidu	1879 births, 1949 deaths, Indian people, Indian activists
Elephanta Caves	National symbols of India, Buildings and structures in India
Malleus Maleficarum	Witchcraft, Middle Ages
The Triumph of the Snake Goddess	Poems, Indian culture, Bangladeshi culture
Rose syrup	National symbols of Pakistan, Non-alcoholic drinks, Food and drink, Pakistani culture, Iftar foods
Rose and Jasmine Garden	Gardens, Islamabad, National symbols of Pakistan
Dino Andrade	Living people, 1963 births, American voice actors
Bangladeshi native horse	Horse breeds
Ars moriendi	15th century books
Nukra Stallion	Horse breeds, Pakistan
Hyde Park, Leeds	Leeds
Anacoco, Louisiana	Villages in Louisiana
Simpson, Louisiana	Villages in Louisiana
Gilliam, Louisiana	Villages in Caddo Parish, Louisiana
Hosston, Louisiana	Villages in Caddo Parish, Louisiana
Ida, Louisiana	Villages in Caddo Parish, Louisiana
Rodessa, Louisiana	Villages in Caddo Parish, Louisiana
Dixie Inn, Louisiana	Villages in Louisiana
Doyline, Louisiana	Villages in Louisiana
Dubberly, Louisiana	Villages in Louisiana
Heflin, Louisiana	Villages in Louisiana
Shongaloo, Louisiana	Villages in Louisiana
2021 Copa América	Copa América tournaments, 2021 in association football, 2020s in Brazil, Football in Brazil, June 2021 events, July 2021 events
CureVac	Companies of Germany
CureVac COVID-19 vaccine	COVID-19 pandemic
Shenzhou 12	June 2021 events
Chief Justice of Iran	Chief Justices of Iran
John Stevens, Baron Stevens of Kirkwhelpington	1942 births, Living people, Police officers, Members of the House of Lords, Knights Bachelor, Knights of the Order of St John
Mohammad Beheshti	1928 births, 1981 deaths, Assassinated people, Chief Justices of Iran
Sadeq Larijani	1961 births, Living people, Chief Justices of Iran
Supreme Court of Iran	Iran
Civil Contract (Armenia)	Armenia
ICC World Test Championship	Cricket
Surfside condominium building collapse	2021 disasters, 2021 in the United States, 2020s disasters in North America, 21st century in Florida, Disasters in buildings and structures, Disasters in the United States, June 2021 events
Milkha Singh	1929 births, 2021 deaths, Male athletes, Olympians, Sprinters, Deaths from the COVID-19 pandemic in India
Tubilandu Ndimbi	1948 births, 2021 deaths, Democratic Republic of the Congo, African footballers
Many-banded tree frog	Frogs, Animals of South America
Vladimir Shatalov	1927 births, 2021 deaths, Cosmonauts
Anatoly Chukanov	1954 births, 2021 deaths, Soviet Olympic gold medalists, Cyclists
Igor Zhelezovski	1963 births, 2021 deaths, Soviet Olympic medalists, Olympic bronze medalists, Belarusian sportspeople, Deaths from the COVID-19 pandemic
James Busby	1802 births, 1871 deaths, British Empire, New Zealand people
Markis Kido	1984 births, 2021 deaths, Deaths from myocardial infarction, Indonesian people, Olympians, Badminton players
Adam Smelczyński	1930 births, 2021 deaths, Polish Olympic medalists, Olympic silver medalists, Sport shooters
Apple Daily	Newspapers in Asia
Melissa Coates	1971 births, 2021 deaths, Deaths from blood clot, Canadian professional wrestlers, Canadian models, Canadian television actors, Canadian movie actors, Bodybuilders, People from Thunder Bay, Actors from Ontario, Sportspeople from Ontario
Marwari horse	Horse breeds, Punjab (Pakistan), Rajasthan
Robin Carnahan	1961 births, Living people, Politicians from Missouri, US Democratic Party politicians, Businesspeople from Missouri, American lawyers, State legislators of the United States
Julianne Smith	Living people, American columnists, Politicians from Ohio, Politicians from Washington, D.C., US Democratic Party politicians
