List of regions of Canada	Canada-related lists, Regions of Canada
Dennis Hastert	1942 births, Living people, American Evangelicals, American lobbyists, Speakers of the United States House of Representatives, United States representatives from Illinois, US Republican Party politicians, American sex offenders, People from Aurora, Illinois
David Easton	1917 births, 2014 deaths, Deaths from natural causes, Naturalized citizens of the United States, Canadian scientists, American political scientists, American educators, Writers from Ontario, People from Toronto
The Corporation (professional wrestling)	WWE teams and stables
Iring Fetscher	1922 births, 2014 deaths, People from Frankfurt, German political scientists
Alfred Schmidt	1931 births, 2012 deaths, 20th century philosophers, 21st century philosophers, German academics, German philosophers, People from Berlin
Max Horkheimer	1895 births, 1973 deaths, 20th century philosophers, American philosophers, American sociologists, Continental philosophers, German philosophers, German sociologists, Jewish American academics, Jewish American scientists, Jewish American writers, Jewish German academics, Jewish German scientists, Jewish German writers, Jewish philosophers, Naturalized citizens of the United States, People from Stuttgart, Refugees from Nazism
Rubem Alves	1933 births, 2014 deaths, 20th century philosophers, 21st century philosophers, Academics, Brazilian writers, Christian theologians, Deaths from multiple organ failure, Deaths from pneumonia, Lutherans, Psychoanalysts
Almaty Province	Provinces, Geography of Kazakhstan
The Walking Dead (video game)	2012 video games, Adventure games, PlayStation 3 games, PlayStation 4 games, PlayStation Vita games, The Walking Dead, Windows games, Xbox 360 games, Xbox 360 Live Arcade games, Xbox One games
The Ministry of Darkness	WWE teams and stables
Great Recession	2000s, Financial crises
Bubbly Creek	Rivers of Illinois
Lesbian feminism	Feminism, LGBT
Gay liberation	LGBT rights
Gay pride	LGBT rights
Coming out	LGBT, Metaphors
SummerSlam (2003)	2003 in American television, 2003 in professional wrestling, Sports in Phoenix, Arizona, SummerSlam, 2000s in Phoenix
The Great American Bash (2005)	2005 in American television, 2005 in professional wrestling, Sports in Buffalo, New York, World Wrestling Entertainment pay-per-view events, 2000s in New York (state), 2005 in the United States, 21st century in Buffalo, New York, July events
Tamaraw	Bovines, Mammals of Asia
Nyala	Bovines, Mammals of Africa
Comorbidity	Medicine
Robert William Fisher	People from Arizona, American murderers, 1961 births, Living people
Hans-Peter Kaul	1943 births, 2014 deaths, German judges, People from Saxony
Dan Borislow	1961 births, 2014 deaths, American inventors, American philanthropists, Cardiovascular disease deaths in the United States, Deaths from myocardial infarction, Businesspeople from Philadelphia, Pennsylvania
John Blundell (economist)	1952 births, 2014 deaths, British economists, People from Cheshire
Sikkimese language	Languages of India, Languages of Nepal, Sino-Tibetan languages
Luri language	Languages of Iran, Lorestan Province
Lurs people	Ethnic groups in Asia, Lorestan Province
Dora Bryan	BAFTA Award winning actors, 1923 births, 2014 deaths, English movie actors, English television actors, Actors from Lancashire
Louis Lentin	1933 births, 2014 deaths, Irish movie directors, Television directors, People from Limerick, Irish theatre directors
Saado Ali Warsame	2014 deaths, Somali politicians, Assassinated people, Civil servants, Murders by firearm, Singer-songwriters, Somali people, Year of birth missing, 1950 births
June Whitfield	1925 births, 2018 deaths, Actors from London, English movie actors, English stage actors, English television actors
Jane Freeman	1921 births, Living people, Welsh movie actors, Welsh television actors
Hearts in Armor	1992 albums, Country albums
Nicholas Smith (actor)	1934 births, 2015 deaths, Accidental deaths from falls, Actors from Surrey, English movie actors, English television actors, English voice actors
Eva Luna (telenovela)	2010s American television series, Telenovelas, 2010 American television series debuts, 2011 American television series endings
Blanca Soto	1979 births, Living people, Mexican movie actors, Mexican television actors, People from Monterrey
Guy Ecker	1959 births, Living people, Brazilian television actors, American television actors, People from São Paulo
Al Hilal SFC	Saudi Arabian football clubs, Riyadh, 1957 establishments in Asia, 1950s establishments in Saudi Arabia
Ittihad FC	Saudi Arabian football clubs, Jeddah, 1927 establishments in Asia, 20th century establishments in Saudi Arabia
Julian Gil	1970 births, Living people, Argentine movie actors, Argentine stage actors, Argentine television actors, Argentine models, Puerto Rican movie actors, Actors from Buenos Aires, Puerto Rican television actors
Pohang Steelers	South Korean football clubs
Union City, Tennessee	Cities in Tennessee, County seats in Tennessee
Ariano Suassuna	1927 births, 2014 deaths, Brazilian writers, Deaths from cardiac arrest, Disease-related deaths in Brazil
Enderlin, North Dakota	Cities in North Dakota, 1891 establishments in the United States, 1890s establishments in North Dakota
Ingemar Odlander	1936 births, 2014 deaths, Swedish journalists
Christina Jutterström	1940 births, Living people, Swedish journalists
Klaus Schmidt (archaeologist)	1953 births, 2014 deaths, Cardiovascular disease deaths in Germany, Deaths from myocardial infarction, German scientists, People from Bavaria
Interstate Highway System	Interstate Highways
List of auxiliary Interstate Highways	Interstate Highways, Lists of roads
TransAsia Airways Flight 222	2014 disasters in Asia, 2010s in Taiwan, Aviation disasters in Asia, Aviation disasters in the 2010s, July 2014 events
MATE (software)	Linux software, Desktop Environments
Fecal Matter (band)	American rock bands, Musical groups from Washington, American punk bands, 1980s American music groups, 1985 establishments in the United States, Musical groups established in 1985, 1980s establishments in Washington (state), Musical groups disestablished in 1986, 1980s disestablishments in the United States, 20th-century disestablishments in Washington (state)
UEFA Euro 1980	1980 in sports, 1980s in Italy, UEFA European Championship, Football in Italy, June events
UEFA Euro 1976	1976 in sports, 1976 in Europe, Sport in Europe, UEFA European Championship, Yugoslavia
2005 FIFA Confederations Cup	FIFA Confederations Cup, 2005 in association football, 2005 in Europe, 2000s in Germany, Football in Germany, June 2005 events
Lib Dems	Liberal Democrats (UK)
1995 King Fahd Cup	FIFA Confederations Cup, Sport in Saudi Arabia, 1995 in association football, 20th century in Saudi Arabia
Shkodran Mustafi	1992 births, Living people, 2014 FIFA World Cup players, German footballers, Sportspeople from Hesse
Bossa Nova Baby	Elvis Presley songs, 1963 songs
Sandstone, Minnesota	Cities in Minnesota
Club Universidad Nacional	Mexican football clubs, Sport in Mexico City, 1954 establishments in North America, 1950s establishments in Mexico
Arsenal de Sarandí	Argentine football clubs, 1957 establishments, 20th-century establishments in Argentina
Valvatida	Echinoderms
Norman Leyden	1917 births, 2014 deaths, American conductors, American composers, Clarinetists, Musicians from Massachusetts, Musicians from Portland, Oregon, People from Springfield, Massachusetts
Percy Bland	1970 births, Living people, Politicians from Mississippi, American mayors, African American politicians
John Demjanjuk	1920 births, 2012 deaths, American criminals, Deaths from natural causes, Naturalized citizens of the United States, SS people, Ukrainian people
Yoo Chae-yeong	1973 births, 2014 deaths, Deaths from stomach cancer, Radio personalities, South Korean movie actors, South Korean television actors, South Korean singers, K-pop singers
UEFA Euro 1968	1968 in sports, 1960s in Italy, Football in Italy, UEFA European Championship, June events
The Osmonds	1958 establishments in the United States, 1950s American music groups, 1960s American music groups, 1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American boy bands, Musical groups from Utah, People from Provo, Utah, Musical groups established in 1958, 20th-century establishments in Utah
Bill Bailey's Birdwatching Bonanza	2010s British television series, 2010 British television series debuts, 2010 British television series endings
Arch Linux	Linux distributions
Złoty	Currency of Europe, Poland
Stockton, California	County seats in California, Cities in California, Settlements in San Joaquin County, California
List of world map changes	Geography-related lists
Władysław Sidorowicz	1945 births, 2014 deaths, Civil servants, Polish politicians
Dale Schlueter	1945 births, 2014 deaths, Deaths from cancer, Portland Trail Blazers players, Philadelphia 76ers players, Atlanta Hawks players, Phoenix Suns players, Sportspeople from Washington, Sportspeople from Oregon
Bel Kaufman	1911 births, 2014 deaths, American centenarians, American educators, Columbia University alumni, Jewish American writers, Jewish centenarians, German Jews, Naturalized citizens of the United States, People from Odessa, Soviet Jews, Ukrainian Jews, Writers from Berlin, Writers from Kiev
Barry Levinson	1942 births, Living people, Academy Award winning directors, Actors from Baltimore, Maryland, American movie actors, American television actors, American television directors, American television producers, American television writers, Emmy Award winners, Movie directors from Maryland, Movie producers from Maryland, Screenwriters from Maryland, Writers from Baltimore, Maryland
Kelly Preston	1962 births, 2020 deaths, Deaths from breast cancer, Actors from Honolulu, American models, American movie actors, American television actors, American voice actors, Scientologists
Verizon FiOS	2006 establishments in the United States, Companies of the United States
Hrabove, Donetsk Oblast	Malaysia Airlines Flight 17, Villages in Ukraine
Khin Yu May	1937 births, 2014 deaths, Burmese people, Movie actors, Singers
Dwight Gustafson	1930 births, 2014 deaths, 20th century composers, 21st century composers, American academics, American composers, American conductors, Bob Jones University alumni, Deaths from liver disease, Disease-related deaths in the United States, Musicians from Seattle, Washington
Barbara Knudson	1927 births, 2014 deaths, Deaths from natural causes, American movie actors, American television actors, Actors from Las Vegas, Nevada
Harald Hove	1949 births, 2014 deaths, Cardiovascular disease deaths in Norway, Civil servants, Deaths from myocardial infarction, Norwegian politicians, People from Bergen
Super Mario Bros. (movie)	1993 movies, 1990s adventure movies, 1990s comedy movies, 1990s fantasy movies, American adventure movies, American drama movies, English-language movies, Movies based on video games, Movies set in New York City, Dystopian movies
Rusty Cage	1992 songs, Johnny Cash songs, Soundgarden
Room a Thousand Years Wide	1990 songs, Soundgarden
Oleh Babayev	1965 births, 2014 deaths, Assassinated people, Ukrainian businesspeople, Mayors, Murders by firearm, Ukrainian politicians
WrestleMania XV	1999 in professional wrestling, Sports in Philadelphia, WrestleMania, 1999 in the United States, 1990s in Philadelphia
Panna Rittikrai	1961 births, 2014 deaths, Choreographers, Comedians, Deaths from liver failure, Deaths from renal failure, Movie actors, Movie directors, Screenwriters, Stuntmen, Thai actors
480i	Television technology
Evolution of colour vision	Vision, Evolution
Staffan Hellstrand	1956 births, Living people, Swedish singers
Gustav Adolf Church, Liverpool	Churches in England, Liverpool, Merseyside, 1884 establishments in England
Fury of the Storm	2004 songs, DragonForce, Rock songs
Maximum Overload	2014 albums, Heavy metal albums
Idde Schultz	1963 births, Living people, Swedish singers
Irma Schultz Keller	1965 births, Living people, Swedish actors, Swedish singers
Titti Sjöblom	1949 births, Swedish singers, Living people
Sara Wedlund	1975 births, 2021 deaths, Sportspeople from Stockholm
GES	Musical groups established in 1994, Swedish pop music groups
Allsvenskan (men's handball)	Handball in Sweden
Allsvenskan (women's handball)	Handball in Sweden
Mats Bergmans	1973 establishments in Sweden, Dansbands
Date (band)	Musical groups established in 1993, Dansbands, 1993 establishments in Sweden
Tommys	Dansbands, Finnish musical groups, Musical groups established in 1980
Gunnar Wiklund	1935 births, 1989 deaths, Swedish singers
Lily Berglund	1928 births, 2010 deaths, Swedish singers
Ulla Billquist	1907 births, 1946 deaths, Swedish singers
Carli Tornehave	1932 births, Singers from Stockholm, Actors from Stockholm, Living people
Nick Borgen	1952 births, Living people, Swedish singers, Norwegian singers
Jigs	Dansbands, Musical groups established in 1966
Candela (band)	Dansbands, Musical groups established in 1984
Sannex	Dansbands
Ingmar Nordströms	1955 establishments in Sweden, 1991 disestablishments, Dansbands, 1990s disestablishments in Sweden
Majid Nizami	1928 births, 2014 deaths, Deaths from cardiovascular disease, Pakistani writers, Publishers
Curt Haagers	Musical groups disestablished in 2006, Dansbands, Musical groups established in 1966, Musical groups from Gothenburg, 1966 establishments in Sweden, 2006 disestablishments in Sweden
Schytts	Dansbands, Musical groups established in 1962, Musical groups from Gothenburg, 1962 establishments in Sweden
Wahlströms	Dansbands, Musical groups established in 1985
Grönwalls	Dansbands
Jannez	Dansbands, Musical groups established in 1976
Victoria Award	1979 establishments in Sweden, Sport in Sweden, Sports trophies and awards
Mona Gustafsson	1956 births, Living people, Swedish singers
CC & Lee	Dansbands, Malmo, Musical groups established in 2003
Ronald Reagan Park, Gdańsk	Parks, Things named after Ronald Reagan, Gdańsk
Titanix	Dansbands, Musical groups established in 1979
Black Jack (band)	Musical groups established in 1991, Dansbands, Sundsvall, 1990s establishments in Sweden
Ole Ivars	Dansbands, 1964 establishments in Europe, Norwegian musical groups, 1960s establishments in Norway
Björn Skifs	1947 births, Living people, Swedish actors, Swedish singers
Archibald Wilson	1921 births, 2014 deaths, Australian military people, Deaths from natural causes, Officers of the Order of the British Empire, Zimbabwe politicians
Roland Verhavert	1927 births, 2014 deaths, Belgian movie directors, Cardiovascular disease deaths in Belgium, Deaths from myocardial infarction, Belgian movie producers, People from East Flanders, Belgian screenwriters
Anopheles	Flies, Parasites
November to Remember	Extreme Championship Wrestling, November events
November to Remember 1993	Extreme Championship Wrestling, 1993 in professional wrestling, 1993 in the United States, 1990s in Philadelphia
November to Remember 1994	Extreme Championship Wrestling, 1994 in professional wrestling, 1994 in the United States, 1990s in Philadelphia
November to Remember 1995	Extreme Championship Wrestling, 1995 in professional wrestling, 1995 in the United States, 1990s in Philadelphia
November to Remember 1996	Extreme Championship Wrestling, 1996 in professional wrestling, 1996 in the United States, 1990s in Philadelphia
November to Remember 1997	Extreme Championship Wrestling, 1997 in sports, 1997 in the United States, 1990s in Pennsylvania
November to Remember 1998	Extreme Championship Wrestling, 1998 in sports, 20th century in New Orleans, Louisiana, Sports in New Orleans, Louisiana
November to Remember 1999	Extreme Championship Wrestling, 1999 in professional wrestling, 1999 in American television, 1990s in New York (state), 20th century in Buffalo, New York, November events
November to Remember 2000	Extreme Championship Wrestling, 2000 in professional wrestling, 2000 in American television, 2000s in Illinois
Fork (software development)	Software, Software licences
Edmonton Rush	Sport in Edmonton, National Lacrosse League, 2015 disestablishments in Canada, 2005 establishments in Canada
Vancouver Stealth	2014 establishments in North America, National Lacrosse League, Sport in British Columbia, 2010s establishments in Canada
Langley, British Columbia (district municipality)	Settlements in British Columbia
Metro Vancouver	Regional districts in British Columbia, Vancouver, Lists of settlements in Canada
United Church of Canada	Religion in Canada, Protestantism, 1925 establishments in North America, 1920s establishments in Canada
Presbyterian Church in Canada	Presbyterianism, 16th-century establishments in North America, Religion in Canada, Establishments in Canada
Canadian Conference of Mennonite Brethren Churches	Anabaptism, Religion in Canada
Xherdan Shaqiri	1991 births, Living people, Swiss footballers, Liverpool F.C. players, Premier League players, 2010 FIFA World Cup players, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players
ProtonMail	E-mail, 2013 establishments
Julian Draxler	1993 births, Living people, 2014 FIFA World Cup players, German footballers, Sportspeople from North Rhine-Westphalia
Dravidian peoples	Ethnic groups in India
Mountain gazelle	Mammals of Asia, Bovids
Charles R. Larson	1936 births, 2014 deaths, Admirals, American military people, Deaths from leukemia, People from Sioux Falls, South Dakota
Paul Schell	1937 births, 2014 deaths, Mayors of Seattle, Politicians from Iowa, Urban planners
Dark Horse (song)	2013 songs, Billboard Rhythmic Songs number-one singles, Katy Perry songs
Unconditionally	2013 songs, Katy Perry songs
The Summit League	The Summit League, NCAA Division I athletics conferences, 1982 establishments in the United States
Soccer kick	Association football, Mixed martial arts
Jeanne d'Albret	Monarchy, French nobility
Tertiary source	Research methods
Potato blight	Agriculture, Protista, Plant physiology, Potatoes, Diseases and disorders of plants
'Splosion Man	2009 video games, Xbox 360 games
Compendium	Reference works
Bonnie McKee	Singer-songwriters from California, 1984 births, Living people
Sony Pictures Home Entertainment	Sony, Companies based in California, 1971 establishments in California
CBS/Fox Video	Companies based in Michigan, Companies based in New York City, Columbia Broadcasting System, 1982 establishments in the United States, 1998 disestablishments
CBS Video Enterprises	Companies based in New York City, Columbia Broadcasting System, Viacom, 1975 establishments in the United States, 1982 disestablishments in the United States, 1990 establishments in the United States, 2009 disestablishments in the United States
20th Century Fox Home Entertainment	Companies based in California, News Corporation, 1976 establishments, Disney, Fox, 21st Century Fox, Disney companies
Third sex	LGBT variations
MGM Home Entertainment	Companies based in California, 1998 establishments in California
Bacon Deluxe	Sandwiches
Margot Adler	1946 births, 2014 deaths, American educators, American esotericists, American journalists, American radio personalities, Deaths from endometrial cancer, Occultists, People from Little Rock, Arkansas, Priests, Writers from Arkansas
Barbara Seaman	1935 births, 2008 deaths, American activists, American journalists, Writers from New York City
Sarah Jacobson	1971 births, 2004 deaths, Deaths from endometrial cancer, American movie directors, American movie producers, American screenwriters, Writers from Connecticut, People from Norwalk, Connecticut
Robert Frederick Froehlke	1922 births, 2016 deaths, Deaths from stroke, Businesspeople from Wisconsin, Politicians from Wisconsin, United States Secretaries of the Army, US Republican Party politicians
Martin Richard Hoffmann	1932 births, 2014 deaths, Cancer deaths in Virginia, Politicians from Massachusetts, United States Secretaries of the Army, US Republican Party politicians
John Otho Marsh Jr.	1926 births, 2019 deaths, Deaths from congestive heart failure, Businesspeople from Virginia, American educators, United States Secretaries of the Army, United States representatives from Virginia, US Republican Party politicians, US Democratic Party politicians
Clifford Alexander, Jr.	1933 births, Living people, Businesspeople from New York City, Politicians from New York City, United States Secretaries of the Army, US Democratic Party politicians
James Shigeta	1929 births, 2014 deaths, Deaths from respiratory failure, Actors from Honolulu, American movie actors, American pianists, American stage actors, American television actors, Disease-related deaths in the United States, Singers from Hawaii
Warren, Virginia	Unincorporated communities in Virginia
Problem (song)	2014 songs, R&B songs, Dance-pop songs
Yevgeny Samoteykin	1928 births, 2014 deaths, Ambassadors of the Soviet Union, Russian diplomats, Russian politicians, Soviet politicians
Kulindadromeus	Ornithischia
Bo Dallas	1990 births, American professional wrestlers, Living people, Sportspeople from Florida, WWE wrestlers
ViacomCBS Domestic Media Networks	Viacom
Saint Eric's Cathedral	Churches in Stockholm, Cathedrals in Sweden, Roman Catholic Cathedrals
Warner Home Video	Sony, Companies based in California
Cartoon Network (Latin America)	Television channels, Cartoon Network
The Legend of Tarzan (movie)	2016 movies, 2010s action movies, 2010s adventure movies, American action movies, American adventure movies, English-language movies, Movies based on books, Warner Bros. movies, Movies directed by David Yates
Arthur Goldberg	1908 births, 1990 deaths, American judges, Deaths from heart failure, DePaul University alumni, Jewish American politicians, Jewish judges, Politicians from Chicago, United States Ambassadors to the United Nations, United States Secretaries of Labor
Gareth Bale	1989 births, Living people, Sportspeople from Cardiff, Tottenham Hotspur F.C. players, Welsh footballers
William Westmoreland	1914 births, 2005 deaths, American military personnel of the Korean War, American military personnel of the Vietnam War, American military personnel of World War II, Deaths from Alzheimer's disease, Disease-related deaths in South Carolina, People from South Carolina, Time People of the Year
Paul D. McGowan	1947 births, 2014 deaths, United States representatives from Maine, US Democratic Party politicians
Marty Feldman	1934 births, 1982 deaths, Actors from London, Cardiovascular disease deaths in Mexico, English movie actors, English television actors, English television writers, Jewish British actors, Movie directors from London, Screenwriters from London
M. Caldwell Butler	1925 births, 2014 deaths, United States representatives from Virginia, US Republican Party politicians
Giorgio Gaslini	1929 births, 2014 deaths, Accidental deaths from falls, Entertainers from Milan, Italian composers, Jazz musicians, Italian pianists
Péter Kiss	1959 births, 2014 deaths, Civil servants, Disease-related deaths in Hungary, Hungarian politicians, Socialist politicians
Living Shangri-La	Hotels, Skyscrapers in Canada, Vancouver
Aaron Ramsey	1990 births, Living people, Welsh footballers
Bharatiya Janata Party	Political parties in India, 1951 establishments in Asia, 1950s establishments in India
Anglican Diocese of Calgary	Religion in Canada, Alberta, 1888 establishments in Canada
Lacombe, Alberta	Cities in Alberta
Seventh-day Adventist Church in Canada	Religion in Canada, Protestantism, 1870s establishments in Canada
Ottawa Redblacks	Ottawa, Sport in Ontario, Canadian football clubs, 2008 establishments in Canada
Colorado Mammoth	Sports in Denver, Colorado, National Lacrosse League, 2003 establishments in the United States, 2000s establishments in Colorado
Buffalo Bandits	Sports in Buffalo, New York, National Lacrosse League, 1992 establishments in New York (state)
Canadian Lacrosse League	Canadian Lacrosse League, 2012 establishments in Canada
The Master of Disguise	2002 movies, 2002 comedy movies, Happy Madison movies
Red River Rebellion	1869, 1870, 19th century in Canada, Manitoba
Africa Cup of Nations	Africa Cup of Nations, 1957 establishments in Africa
The Weather Channel	The Weather Channel
2010 Africa Cup of Nations	2010 in association football, Africa Cup of Nations, Sport in Angola, 2010s in Africa, History of Angola
Sia (musician)	1975 births, Living people, Australian LGBT people, Australian pop singers, Australian singer-songwriters, Bisexual people, LGBT singers, Musicians from South Australia, People from Adelaide, People with bipolar disorder, Atlantic Records artists
Top Thrill Dragster	Roller coasters by name, Launched roller coasters, Roller coasters in Ohio, 2003 establishments in the United States, 2000s establishments in Ohio
La Gata	Telenovelas by Televisa, 2010s television series, 2014 Mexican television series debuts, 2014 television series endings, 2010s disestablishments in Mexico, 2014 disestablishments in North America
Çolpan İlhan	1936 births, 2014 deaths, Deaths from myocardial infarction, Disease-related deaths in Turkey, Turkish actors, People from İzmir
María Antonia Iglesias	1945 births, 2014 deaths, Spanish journalists, Spanish Roman Catholics, Writers from Madrid
Central City Shopping Centre	Buildings and structures in Canada, Malls, Vancouver
Jon R. Cavaiani	1943 births, 2014 deaths, Deaths from myelodysplastic syndrome, American military people, Disease-related deaths in the United States, People from Fresno, California, People from Hertfordshire, Burials at Arlington National Cemetery
Julio Grondona	1931 births, 2014 deaths, Argentine sportspeople, Deaths from aortic aneurysm, Disease-related deaths in Argentina, People from Buenos Aires Province
Aortic aneurysm	Health problems, Cardiovascular system
James Govan	1949 births, 2014 deaths, American singer-songwriters, American blues singers, Singers from Mississippi, American R&B singers
Peter Turkson	1948 births, Living people, Cardinals of the Roman Catholic Church, Ghanaian people, Roman Catholic archbishops
Garry McCarthy	1959 births, Living people, American police officers, People from New York City
Catalonia national football team	Sport in Spain, National football teams, Catalonia
Rafał Majka	Living people, 1989 births, Polish sportspeople, Cyclists
Battlefield Earth (movie)	English-language movies, American science fiction movies, 2000 science fiction movies, 2000 movies, Post-apocalyptic movies, Dystopian movies
Robert Lewandowski	1988 births, Living people, Polish footballers, Sportspeople from Warsaw
Jack and Jill (movie)	2011 comedy movies, American comedy movies, English-language movies, Movies about dysfunctional families, Movies about twins, Movies set in Los Angeles, California, Thanksgiving
Radium girls	1917 in the United States, 20th century in New Jersey
Cedar Point	Theme parks in the United States, Ohio, 1870 establishments in the United States, 1870s establishments in Ohio
Queen Forever	2014 albums, Island Records albums, Queen albums
List of cities and towns in North Carolina	Settlements in North Carolina, Lists about U.S. states, Lists of settlements in the United States
The Works Tour	Queen (band), Concert tours
Lincoln Park	Parks in Chicago
Durham TurfDogs	Canadian Lacrosse League, Sport in Ontario
Chicago Riverwalk	Parks in Chicago
Ohsweken Demons	Canadian Lacrosse League, Sport in Ontario
Wacker Drive	Roads in Chicago
Hagersville, Ontario	Towns in Ontario
Johan Witteveen	1921 births, 2019 deaths, Deputy Prime Ministers of the Netherlands, Dutch academics, Dutch civil servants, Dutch economists, Dutch esotericists, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Managing Directors of the International Monetary Fund, People from Zeist, People's Party for Freedom and Democracy politicians, Politicians from Utrecht (province), Sufis, Writers from Utrecht (province)
Clifford Husbands	1926 births, 2017 deaths, Deaths from myocardial infarction, Governors-General of Barbados
Haldimand County	Counties of Ontario
César Pelli	1926 births, 2019 deaths, Naturalized citizens of the United States, Argentine people, American architects
Uhm Ji-won	1977 births, Living people, South Korean actors
Watsonville, California	Cities in California, Santa Cruz County, California
Kylie Jenner	1997 births, Living people, Kardashian family, Businesspeople from Los Angeles, California, Models from Los Angeles, California, Participants in American reality television series, Television personalities from Los Angeles, California, American bloggers
David Sills	1938 births, 2011 deaths, Reagan family, American mayors, American judges, People from Peoria, Illinois
Jack Hogan	1929 births, Living people, American movie actors, American television actors, Actors from North Carolina
Dundas, Illinois	Unincorporated communities in Illinois
Sock puppet (internet)	Internet
Dick Wagner	1942 births, 2014 deaths, Deaths from respiratory failure, American guitarists, American singer-songwriters, Musicians from Iowa, Writers from Iowa
Dick Smith (make-up artist)	1922 births, 2014 deaths, Academy Award winning make-up artists, Make-up artists, Artists from New York, Disease-related deaths in Los Angeles
Peter Hall (planner)	1932 births, 2014 deaths, British educators, British geographers, Scientists from London, Urban planners, Writers from London
Harun Farocki	1944 births, 2014 deaths, German movie directors, German educators
Mukku Raju	1930s births, 2014 deaths, Indian movie actors
Kenny Ireland	1945 births, 2014 deaths, Deaths from brain cancer, Scottish movie actors, Scottish television actors, Scottish theatre directors
Idris Muhammad	1939 births, 2014 deaths, American jazz musicians, American drummers, Musicians from New Orleans, Louisiana
Nabarun Bhattacharya	1948 births, 2014 deaths, Cancer deaths in India, Deaths from pancreatic cancer, Indian writers
Sex and the City	1998 American television series debuts, 2004 American television series endings, 1990s American drama television series, 1990s American sitcoms, 1990s comedy-drama television series, 1990s romance television series, 2000s American drama television series, 2000s American sitcoms, 2000s comedy-drama television series, 2000s romance television series, American comedy-drama television series, Romantic comedy television series, Television series about friendship, Television series set in New York City, English-language television programs
Kristin Davis	1965 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from Colorado
Helen Slater	1963 births, Living people, Actors from New York, American movie actors, American television actors, Jewish American actors, Singer-songwriters from New York
Jaimee Foxworth	1979 births, Living people, Actors from Illinois, African American actors, African-American sex industry people, American child actors, American pornographic actors, American television actors, Models from Illinois, People from Belleville, Illinois
Roshumba Williams	1968 births, Living people, Models from Chicago
Heather Kuzmich	1986 births, Living people, Models from Chicago
Jorge Jacobson	1936 births, 2014 deaths, Argentine Jews, Argentine writers, Deaths from myocardial infarction, Jewish writers, People from Buenos Aires, Argentine journalists
Gogó Andreu	1919 births, 2012 deaths, Deaths from respiratory failure, Argentine movie actors, Argentine stage actors, Argentine television actors, Argentine comedians, Actors from Buenos Aires
Ontario Highway 6	Roads in Ontario
Javier Portales	1937 births, 2003 deaths, Argentine actors, Argentine comedians
Abel Santa Cruz	1915 births, 1995 deaths, Argentine screenwriters, Writers from Buenos Aires
Juan Carlos Altavista	1929 births, 1989 deaths, Argentine movie actors, Argentine television actors, Argentine comedians, Actors from Buenos Aires
Luminous paint	Paints
National Holiday (Quebec)	Quebec, Holidays
Harald Fairhair	850 births, 932 deaths, Kings and Queens of Norway
One Wall Centre	Hotels, Skyscrapers in Canada, Vancouver
Berkley Bedell	1921 births, 2019 deaths, Deaths from stroke, Cardiovascular disease deaths in Florida, Businesspeople from Iowa, United States representatives from Iowa, US Democratic Party politicians
Jennifer Esposito	1973 births, Living people, Actors from New York City, American dancers, American movie actors, American television actors, American voice actors, Models from New York City
Valyantsin Byalkevich	1973 births, 2014 deaths, Belarusian footballers, Deaths from blood clot, People from Minsk
Tavernier, Florida	Census-designated places in Florida, Unincorporated communities in Florida
Patricia Barry	1922 births, 2016 deaths, Deaths from natural causes, American movie actors, American television actors, American stage actors, American philanthropists, Actors from Davenport, Iowa
Richard Anderson	1926 births, 2017 deaths, Deaths from congestive heart failure, Cardiovascular disease deaths in Los Angeles, American movie actors, American television actors, Actors from New Jersey
Earl Holliman	Golden Globe Award winning actors, 1928 births, Living people, American movie actors, American television actors, American stage actors, Actors from Louisiana
Jan Roar Leikvoll	1974 births, 2014 deaths, Deaths from brain cancer, Norwegian writers, People from Bergen
Byron White	1917 births, 2002 deaths, United States Supreme Court justices, Deaths from pneumonia, American lawyers, Detroit Lions players, Disease-related deaths in Colorado, Pittsburgh Pirates players, Politicians from Colorado, Sportspeople from Colorado, United States Deputy Attorneys General
Brisbane Roar FC	Australian football clubs, 2004 establishments in Australia, Bakrie Group
Western Sydney Wanderers FC	Australian football clubs
Central Coast Mariners FC	Australian football clubs, 2004 establishments in Australia
Travis Tritt	1963 births, Living people, American country musicians, People from Marietta, Georgia, Warner Bros. Records artists
Manfred Roeder	1929 births, 2014 deaths, German activists, German lawyers, German military personnel of World War II, German prisoners, German terrorists, Holocaust deniers, Neo-Nazis, People from Berlin
Monty M. Wyche	1926 births, 2014 deaths, American judges, People from Louisiana
Liberal Democratic Party (Australia)	Political parties in Australia, 2001 establishments in Australia
Australian Country Alliance	2004 establishments in Australia, Political parties in Australia
Government of New Zealand	Government of New Zealand, 1853 establishments in Oceania, 19th-century establishments in New Zealand
New Zealand Parliament	Government of New Zealand
List of political parties in New Zealand	Lists of political parties, Political parties in New Zealand
Wong Tai Sin Temple (Hong Kong)	Buildings and structures in Hong Kong, Temples in Asia
Wong Tai Sin Temple (Guangzhou)	Guangzhou, Buildings and structures in China, Temples in Asia, Taoism
Springfield, Ohio	Cities in Ohio, County seats in Ohio, 1801 establishments in the United States, 1800s establishments in Ohio
