Magan (civilization)	Ancient history, Middle East
David Yonggi Cho	1936 births, 2021 deaths, Christian ministers, South Korean criminals, Deaths from stroke
Viktor Kazantsev	1946 births, 2021 deaths, Russian generals, Russian politicians, Soviet generals, Soviet politicians
Ali Ahmed Mullah	Mu'azzins, 1945 births, Living people
Ladislav Lubina	1967 births, 2021 deaths, Czech ice hockey players, Deaths from brain cancer, Olympic bronze medalists
Sergio Fajardo	1956 births, Living people, Colombian politicians, Mayors, Mathematicians
The Green Dome	Mosques in Medina, Mosques, Medina
Fred Stanfield	1944 births, 2021 deaths, Canadian ice hockey centres, Chicago Blackhawks players, Boston Bruins players, Minnesota North Stars players, Buffalo Sabres players, Ice hockey people from Ontario, Sportspeople from Toronto, Stanley Cup champions
Beverly Hills, Michigan	Villages in Michigan
Fran Bennett	1937 births, 2021 deaths, American educators, American movie actors, American television actors, American stage actors, American voice actors, Actors from Arkansas, Actors from Los Angeles County, California
California Institute of the Arts	Colleges and universities in California
Do Not Disturb (1965 movie)	1965 comedy movies, 1960s romantic comedy movies, American romantic comedy movies, Movies based on plays, 20th Century Fox movies, Movies directed by George Marshall
Yuriy Sedykh	1955 births, 2021 deaths, Soviet sportspeople, Soviet Olympic gold medalists, Soviet Olympic silver medalists
Novocherkassk	Cities in Russia
Rostov Oblast	Oblasts of Russia
Dix Hills, New York	Hamlets in New York, Census-designated places in New York (state)
Pithecopus oreades	Frogs, Animals of South America
Nikah mut'ah	Islamic law, Marriage
Dominic West	1969 births, Living people, English movie actors, English stage actors, English television actors, English voice actors, People from Sheffield
João Martins (footballer, born 1927)	1927 births, 1993 deaths, Portuguese footballers, Association football forwards
Military career of Muhammad	Military careers by individual, Battles of Muhammad
Nouman Ali Khan	Living people, American Muslims, 1978 births
Meromorphic function	Mathematics
Blue Springs, Missouri	Cities in Missouri
Buckner, Missouri	Cities in Missouri
Grain Valley, Missouri	Cities in Missouri
Lake Lotawana, Missouri	Cities in Missouri
Lake Tapawingo, Missouri	Cities in Missouri
Levasy, Missouri	Cities in Missouri
Lone Jack, Missouri	Cities in Missouri
Raytown, Missouri	Cities in Missouri
Yasmin Mogahed	American Muslims, American women writers, Living people, 1980 births
Avondale, Missouri	Cities in Missouri
Gladstone, Missouri	Cities in Missouri
Glenaire, Missouri	Cities in Missouri
Kearney, Missouri	Cities in Missouri
Missouri City, Missouri	Cities in Missouri
Mosby, Missouri	Cities in Missouri
North Kansas City, Missouri	Cities in Missouri
Pleasant Valley, Missouri	Cities in Missouri
Randolph, Missouri	Cities in Missouri
Gender bias in science	Gender, Discrimination
Johan Huizinga	1872 births, 1945 deaths, Dutch historians, People from Groningen (city)
Chestnut flour	Flour
Li Yin	1610s births, 1685 deaths, Chinese painters, Chinese women artists, Chinese poets
Lin Xue	Chinese painters
Sun Long	Chinese painters
Lust for Gold	1949 movies, 1940s adventure movies, 1940s western movies, American adventure movies, American western movies, Movies based on books, Movies directed by S. Sylvain Simon
Mangala	Mars
The Runaround (1946 movie)	1946 movies, 1940s mystery movies, American mystery movies, Movies directed by Charles Lamont
Frontier Gal	1945 movies, 1940s western movies, American western movies, Movies directed by Charles Lamont
LIV Swiss Watches	21st-century establishments in the United States, Companies of the United States
Ai (singer)	1981 births, American R&B singers, J-pop singers, Japanese musicians, Japanese singers, Living people, People from Kagoshima Prefecture
The Leopard Man	1943 movies, 1940s horror movies, American horror movies, American serial killer movies, Movies based on books, Movies directed by Jacques Tourneur
The Fabulous Texan	1947 movies, 1940s western movies, American western movies, Movies directed by Edward Ludwig
Blackmail (1947 movie)	1947 movies, 1940s action movies, 1940s crime movies, American action movies, American crime movies, Movies directed by Lesley Selander
Daughters of the Polo God	Movie industry, Meitei culture, Women's rights
Pithecopus ayeaye	Frogs, Animals of South America
Murder of Marina Sabatier	2001 births, 2009 deaths, 2009 crimes, Children victims of violence
Olumide Makanjuola	LGBT people from Nigeria
Surah Hud	Chapters in the Quran
Surah Yusuf	Chapters in the Quran
Surah Ar-Ra'd	Chapters in the Quran
Surah Ibrahim	Chapters in the Quran
Accusation of Manuel de León	Accuracy disputes, Judges, Mathematicians
Number field	Algebraic number theory
Field extension	Algebraic number theory
Subfield	Set theory
Field axioms	Algebraic number theory
Commutativity of addition	Number theory
L-functions and modular forms database	Mathematics, Databases
Subgroup	Mathematics
Normal subgroup	Mathematics
Grammar of Interlingue	Interlingue
History of Interlingue	Interlingue
States Assembly	Jersey
Dick Parfitt	1931 births, 2021 deaths, College basketball coaches, Sportspeople from Michigan
Gene Littles	1943 births, 2021 deaths, National Basketball Association coaches, Sportspeople from Washington, D.C., African-American basketball players
Andrey Makeyev	1952 births, 2021 deaths, Soviet Olympic medalists, Olympic bronze medalists, Basketball players
Ida Nudel	1931 births, 2021 deaths, Naturalized citizens of Israel, Soviet people, Israeli activists, Economists
Rehovot	Cities in Israel
Vicente Zarzo Pitarch	1938 births, 2021 deaths, Spanish writers, Spanish musicians
Rob Duhamel	1950s births, 2021 deaths, Jersey people, European politicians
Xavi Simons	2003 births, Living people, Dutch footballers, People from Amsterdam
Lieutenant Governor of Jersey	Governors of Jersey
Stephen Dalton	1954 births, Living people, Governors of Jersey
John McColl (British Army officer)	1952 births, Living people, Governors of Jersey
Chief Minister of Jersey	Chief Ministers of Jersey
Frank Walker (Jersey politician)	Chief Ministers of Jersey, Living people
Terry Le Sueur	Living people, 1942 births, Chief Ministers of Jersey
Ian Gorst	1969 births, Living people, Chief Ministers of Jersey, Politicians from Lancashire
John Le Fondré	Living people, Chief Ministers of Jersey
Justín Javorek	1936 births, 2021 deaths, Slovakian sportspeople, European footballers, Football managers
Žana Lelas	1970 births, 2021 deaths, Croatian sportspeople, Olympic silver medalists, Basketball players, People from Split
Marthe Mercadier	1928 births, 2021 deaths, French movie actors, French television actors, French stage actors, French voice actors, Deaths from Alzheimer's disease
2018 International Congress of Mathematicians	2018, Brazil, Rio de Janeiro
2014 International Congress of Mathematicians	2014 in Asia, 2014, South Korea, Seoul
Colin Urquhart	1940 births, 2021 deaths, British Christians, Writers from London
Twickenham	Areas of London
Red-necked avocet	Birds of Australia
CounterPunch	Magazines
Universal Television	Companies based in California
Inspiration4	September 2021 events
Towner, North Dakota	Cities in North Dakota, County seats in North Dakota
Head of the Islamic Emirate of Afghanistan	Heads of the Islamic Emirate of Afghanistan
Prime Minister of Afghanistan	Prime Ministers of Afghanistan
Gulbuddin Hekmatyar	1949 births, Living people, Prime Ministers of Afghanistan
Sultan Ali Keshtmand	1935 births, Living people, Vice Presidents of Afghanistan, Prime Ministers of Afghanistan
Baraga, Michigan	Villages in Michigan
River of Romance	1929 movies, 1920s drama movies, American drama movies, Movies based on plays, Movies directed by Richard Wallace
Cabinet of prime minister Akhund	Politics of Afghanistan
Meira Paibi	Women's rights
List of state leaders in 1960	1960
List of state leaders in 1961	1961
List of state leaders in 1962	1962
List of state leaders in 1963	1963
List of state leaders in 1964	1964
List of state leaders in 1965	1965
List of state leaders in 1966	1966
List of state leaders in 1967	1967
List of state leaders in 1968	1968
Clement Agba	1964 births, Living people, Nigerian politicians
List of state leaders in 1969	1969
Aminu Ado Bayero	1961 births, Living people
My Darling Clementine	1946 movies, 1940s romance movies, 1940s western movies, American romance movies, American western movies, Movies based on books, 20th Century Fox movies, Movies directed by John Ford
The Big Noise	1944 movies, 1940s comedy movies, American comedy movies, 20th Century Fox movies, Movies directed by Malcolm St. Clair
Baillon's crake	Birds
Pithecopus palliatus	Frogs, Animals of South America
Alcorcón	Cities in the Community of Madrid, Municipalities in the Community of Madrid
Fireflies (movie)	Women's rights, 2018 movies
Fuenlabrada	Cities in the Community of Madrid, Municipalities in the Community of Madrid
Leganés	Cities in the Community of Madrid, Municipalities in the Community of Madrid
Coslada	Cities in the Community of Madrid, Municipalities in the Community of Madrid
Parla	Cities in the Community of Madrid, Municipalities in the Community of Madrid
Kingdom of Aragon	Former countries in Europe, 1707 disestablishments, 11th century establishments in Europe, History of Spain
Sunflower butter	Nut butters
Kingdom of Kongo	1914 disestablishments, Former countries in Africa, 1390 establishments
Roberta Rodrigues	1982 births, Living people, Brazilian actors, Brazilian singers
Aïr Mountains	Geography of Niger
Marsh crake	Birds of New Zealand
San Elizario, Texas	Cities in Texas
Crandall, Texas	Cities in Texas
Kemp, Texas	Cities in Texas
Talty, Texas	Cities in Texas
Driscoll, Texas	Cities in Texas
Petronila, Texas	Cities in Texas
Port Aransas, Texas	Cities in Texas
Robstown, Texas	Cities in Texas
Lakeport, Texas	Cities in Texas
White Oak, Texas	Cities in Texas
Career Ahead Magazine	2006 establishments in Asia, Magazines of Asia
No Means No	Thriller movies
Running Shaadi	Romantic comedy movies
Disney Renaissance	Disney
BoJack Horseman	2014 American television series debuts, 2010s American sitcoms, American animated television series
Mauricio Rosero	Colombian singers, 1991 births, Living people
It's Pony	2020 television series debuts, Nickelodeon television series, American animated television series
Blac Chyna	1988 births, Living people, American businesspeople, American models
Swae Lee	1993 births, Living people, African-American rappers, American rap musicians from Mississippi, Singers from Mississippi
Rae Sremmurd	Hip hop bands
Nav (rapper)	1989 births
Pooh Shiesty	1999 births, Living people, American rap musicians
100 Days (TV series)	2016 Indian television series debuts, 2017 Indian television series endings
Soul food	American food
Pan-African flag	African-American people
Franco-Provençal language	Romance languages
Gunna (rapper)	1993 births, Living people, American rap musicians from Georgia
42 Dugg	1995 births, Living people, Singers from Detroit, Michigan, American songwriters
Met Gala	Fashion, 1948 establishments
Glosa (auxiliary language)	Constructed languages
History of France	History of France
IPhone 13	IPhone, Mobile phones with multiple rear cameras, Mobile phones released in 2021, Mobile phones with 4K video recording
Jaye Davidson	1968 births, Living people, English movie actors, American movie actors, English LGBT people, LGBT people from California, Gay men, Actors from Riverside County, California, People from Herefordshire, English models, Models from California
Video game composer	Occupations, Video game design
Ima Keithel	Women's rights, Manipur
Imphal West	Manipur
Imphal East	Manipur
Pithecopus gonzagai	Frogs, Animals of South America
SIX Swiss	Stock exchanges
Fc Barcelona in 2008-09	2008 in sports
AUKUS	September 2021 events
Jean-Claude van Itallie	1936 births, 2021 deaths, Deaths from pneumonia, American playwrights, Belgian playwrights, Writers from Brussels, Writers from New York City, American political activists
James Snyder Jr.	1945 births, 2021 deaths, American lawyers, State legislators of the United States, Politicians from North Carolina, Writers from North Carolina, US Republican Party politicians
Philippe Adrien	1939 births, 2021 deaths, French theatre directors, French movie actors, French stage actors, French playwrights
Satoshi Hirayama	1930 births, 2021 deaths, Japanese baseball players, American baseball players, Sportspeople from California
Tex Clevenger	1932 births, 2019 deaths, Deaths from Alzheimer's disease, Boston Red Sox players, Los Angeles Angels players, New York Yankees players, Washington Nationals players, Sportspeople from California
Porterville, California	Cities in California, Settlements in Tulare County, California
Adnan Abu Walid al-Sahrawi	1973 births, 2021 deaths, Islamic State people, Terrorists, Deaths by airstrike
Lou Angotti	1938 births, 2021 deaths, Chicago Blackhawks players, New York Rangers players, Philadelphia Flyers players, Pittsburgh Penguins players, St. Louis Blues players, Canadian ice hockey coaches, Canadian ice hockey right wingers, Ice hockey people from Ontario, Sportspeople from Toronto
Boet van Dulmen	1948 births, 2021 deaths, Road accident deaths, Dutch sportspeople
Dušan Ivković	1943 births, 2021 deaths, Deaths from pulmonary edema, Serbian sportspeople, Basketball players, Olympic silver medalists
Hlengiwe Mkhize	1952 births, 2021 deaths, South African politicians
George Mraz	1944 births, 2021 deaths, Czech musicians, American jazz musicians, American saxophonists, Naturalized citizens of the United States
Casimir Oyé-Mba	1942 births, 2021 deaths, Prime Ministers of Gabon, Deaths from the COVID-19 pandemic in France
Graciete Santana	1980 births, 2021 deaths, Competitors in athletics, Brazilian Olympians, Deaths from melanoma
Serra Preta	Cities in Bahia
Clive Sinclair	1940 births, 2021 deaths, English inventors, Businesspeople from London, Cancer deaths in London
Roger Brown (defensive tackle)	1937 births, 2021 deaths, Los Angeles Rams players, Detroit Lions players, Sportspeople from Virginia
Thanu Padmanabhan	1957 births, 2021 deaths, Indian scientists, Indian academics, People from Kerala, Indian writers, Deaths from myocardial infarction, Physicists
Alfonso Sastre	1926 births, 2021 deaths, Playwrights, Essayists, Critics, Writers from Madrid
Hondarribia	Towns in Spain, Municipalities in the Basque Country
Minja Subota	1938 births, 2021 deaths, Serbian musicians, Photographers, Television personalities, Composers
Hazard (1948 movie)	1948 movies, 1940s comedy movies, 1940s drama movies, American comedy-drama movies, Movies directed by George Marshall
Tap Roots	1948 movies, 1940s war movies, 1940s western movies, American western movies, American war movies, Movies based on books, Movies directed by George Marshall
Kemal Kurspahić	1946 births, 2021 deaths, Bosnia and Herzegovina writers, Bosnia and Herzegovina politicians, Journalists
Carlos Gianelli	1948 births, 2021 deaths, People from Montevideo, Deaths from myocardial infarction, Uruguayan politicians, Lawyers
Daniel Quinn (disambiguation)	Disambiguation
Palauan language	Micronesian languages, Palau
Hidalgo, Texas	Cities in Texas
Nauruan language	Micronesian languages, Nauru
La Joya, Texas	Cities in Texas
Mercedes, Texas	Cities in Texas
Palmhurst, Texas	Cities in Texas
San Juan, Texas	Cities in Texas
Weslaco, Texas	Cities in Texas
W. Tayloe Murphy Jr.	1933 births, 2021 deaths, State legislators of the United States, Politicians from Virginia, US Democratic Party politicians
Love for Sale (album)	2021 albums, Jazz albums, Lady Gaga albums
Philip Davis (Bahamian politician)	Living people, Prime Ministers of the Bahamas, Current national leaders, 1951 births
Kennedy Township, Allegheny County, Pennsylvania	Townships in Pennsylvania
IPhone 13 Pro	iPhone, Mobile phones released in 2021, Mobile phones with multiple rear cameras, Mobile phones with 4K video recording
Fox (German TV channel)	Television channels
Torpedo Run	1958 movies, 1950s war movies, American war movies, World War II movies, MGM movies, Movies directed by Joseph Pevney
ABC Studios	Disambiguation
Wataru Takeshita	1946 births, 2021 deaths, Deaths from esophageal cancer, Japanese politicians
Digoin	Communes in Saône-et-Loire
ITV News	British television series
Uvac	Rivers of Serbia, Rivers of Bosnia and Herzegovina
Americana, São Paulo	Cities in São Paulo (state)
Garda, Veneto	Settlements in Veneto
Romani flag	Flags
Legnago	Cities in Veneto
Termoli	Cities in Molise
Orenburg	Capital cities in Russia
Colfax, Washington	Cities in Washington (U.S. state), County seats in Washington
Colfax, California	Cities in California, Settlements in Placer County, California
Roost-Warendin	Communes in Nord
Łuków	Łuków, Cities in Poland
Desenzano del Garda	Settlements in Lombardy
Sirmione	Settlements in Lombardy
Centro Municipality, Tabasco	Municipalities of Mexico, Tabasco (state)
The Neon Demon	2016 horror movies, 2010s LGBT movies, American horror movies, American LGBT movies, Belgian movies, French horror movies, Danish movies, Movies directed by Nicolas Winding Refn
Gonfaron	Communes in Var
Grimaud	Communes in Var
Le Lavandou	Communes in Var
La Londe-les-Maures	Communes in Var
Lorgues	Communes in Var
Le Luc	Communes in Var
La Martre, Var	Communes in Var
Les Mayons	Communes in Var
Mazaugues	Communes in Var
Méounes-lès-Montrieux	Communes in Var
Cortland, New York	Cities in New York, County seats in New York
Mario Camus	1935 births, 2021 deaths, Spanish movie directors, Spanish screenwriters
Sheboygan River	Rivers of Wisconsin
They Were Expendable	1945 movies, 1940s war movies, American war movies, World War II movies, Movies based on books, MGM movies, Movies directed by John Ford
Marja'	Religious leaders
Ali al-Sistani	1930 births, Living people, Iranian writers, Iraqi people, Religious leaders, Academics
Banda Sea	Seas of the Pacific Ocean
Pithecopus hypochondrialis	Frogs, Animals of South America
Prostitution in Afghanistan	Afghan society and culture, Pages with unreviewed translations, Crime in Afghanistan
Matrix (geology)	Geology
Surah Al-Hijr	Chapters in the Quran
Reduced affect display	Mood disorders
Martin Hemings	1755 births, People from Virginia, African-American people, Slaves
Wildlife conservation	Environmental issues
Hungarian food	Foods by nationality
Yak (disambiguation)	Disambiguation
Spanish food	Foods by nationality, Spanish food
Saturday Night Speedway	2004 video games, Atari video games, PlayStation 2 games, Racing video games, Windows games
A Matter of Life and Death (movie)	1946 movies, 1940s war movies, 1940s romance movies, 1940s fantasy movies, British war movies, British romance movies, British fantasy movies, World War II movies, Movies directed by Michael Powell, Movies directed by Emeric Pressburger
List of Meitei scholars	Meitei scholars
Cover Girl	1944 movies, 1940s romance movies, 1940s musical movies, 1940s comedy movies, American musical movies, American romantic comedy movies, Movies directed by Charles Vidor
School for Secrets	1946 movies, 1940s war movies, 1940s drama movies, British war movies, British drama movies, Movies directed by Peter Ustinov
Juz'	Components of the Quran
Ruku	Salah, Arabic words and phrases
Surah An-Nahl	Chapters in the Quran
Surah Al-Isra	Chapters in the Quran
Surah Al-Kahf	Chapters in the Quran
Surah Maryam	Chapters in the Quran
The Heavenly Kid	1985 comedy movies, 1985 romance movies, 1980s fantasy movies, 1980s romantic comedy movies, 1980s teen comedy movies, American romantic comedy movies, American fantasy movies
Superstore (season 6)	2020 television seasons, COVID-19 pandemic in the United States
Pithecopus araguaius	Frogs, Animals of South America
Zelenograd	Cities in Russia, Moscow
Birmal Hembram( Kunar)	17th Lok Sabha members, Lok Sabha members from West Bengal, Living people, Bharatiya Janata Party politicians from West Bengal, People from Jhargram district
Zhang Wentian	1900 births, 1976 deaths, Chinese communist politicians
Enrico Maccioni	1940 births, Italian painters
Feminist pornography	Movie genres, Feminism
Fernando Mario Chávez Ruvalcaba	1932 births, 2021 deaths, Deaths from the COVID-19 pandemic in Mexico, Roman Catholic bishops, People from Zacatecas
John Ruggie	1944 births, 2021 deaths, American academics, American political scientists, Naturalized citizens of the United States, People from Graz
Shut Up and Dance	2010s television episodes, British television episodes
Ronald Paris	1933 births, 2021 deaths, German painters
Michał Turkiewicz	1956 births, 2021 deaths, Polish politicians, Polish academics
Julos Beaucarne	1936 births, 2021 deaths, Belgian singers, Belgian movie actors, Belgian poets, Belgian artists, Songwriters
Jolidee Matongo	1975 births, 2021 deaths, South African politicians, Mayors, People from Johannesburg, Road accident deaths
Chris Anker Sørensen	1984 births, 2021 deaths, Road accident deaths, Danish sportspeople, Cyclists, Belgian Olympians
Butterfly knife	Blades
James Bilbray	1938 births, 2021 deaths, United States representatives from Nevada, American lawyers, Businesspeople from Las Vegas, Nevada, Politicians from Las Vegas, Nevada, US Democratic Party politicians
Sylvano Bussotti	1931 births, 2021 deaths, Italian composers, Italian LGBT people, Gay men, LGBT composers, People from Florence
Dinky Soliman	1953 births, 2021 deaths, Deaths from renal failure, Deaths from heart failure, Filipino politicians, Activists
Assignment in Brittany	1943 movies, 1940s war movies, American war movies, Movies based on books, MGM movies, Movies directed by Jack Conway
Stop/gallery	Stop signs, Symbols of transport
Wee Willie Winkie	1937 movies, 1930s adventure movies, 1930s drama movies, American adventure movies, American drama movies, 20th Century Fox movies, Movies based on short stories, Movies directed by John Ford
Phil Kluba	Canadian male singer-songwriters, Canadian singer-songwriters, Musicians from Toronto
When Willie Comes Marching Home	1950 comedy movies, 1950s war movies, American comedy movies, American war movies, World War II movies, Movies based on short stories, 20th Century Fox movies, Movies directed by John Ford
Two Sisters from Boston	1946 movies, 1940s musical movies, 1940s comedy movies, American musical comedy movies, MGM movies, Movies directed by Henry Koster
The Jakarta Post	Newspapers
Liam Walsh (rugby league)	1998 births, 2021 deaths, Rugby league players
The Vanquished	1953 movies, 1950s western movies, American western movies, Movies directed by Edward Ludwig
Maksim Konstantinov	Living people, 1990 births, Business people
Verdis	Territorial disputes, 2019 establishments in Europe, micronations, Croatia, Serbia
Accidents Will Happen (movie)	1938 movies, 1930s drama movies, American drama movies, Warner Bros. movies, Movies directed by William Clemens
Birth of Christianity	Christianity
Calmerry Platform	Medicine, Psychology, Companies
Evidence-based practice	Medical procedures
Pithecopus rohdei	Frogs, Animals of South America
Tibetan calendar	Calendars
Numantia	Archaeological sites in Spain, Buildings and structures in Spain
Erzincan Binali Yıldırım University	Colleges and universities in Turkey
Scipio Aemilianus	Ancient Rome
Cosmoglotta	Interlingue
Senior Enlisted Advisor to the Chairman	American military people
Mary Hemings Bell	People from Virginia, 1753 births, African-American people, Slaves
Ruth C. Sullivan	1924 births, 2021 deaths, American activists, People from Louisiana, People from Huntington, West Virginia
Billy Maxwell	1929 births, 2021 deaths, American golfers, Sportspeople from Texas
Neil McCarthy (basketball)	1939 births, 2021 deaths, Sportspeople from San Francisco, College basketball coaches, Sportspeople from Salt Lake City, Utah, Sportspeople from New Mexico, People from Las Cruces, New Mexico
Smøla	Municipalities of Norway
Gudmund Restad	1937 births, 2021 deaths, Norwegian politicians, Mayors
Skaun	Municipalities of Norway
Stephen Critchlow	1966 births, 2021 deaths, British movie actors, British television actors, British stage actors, British radio actors, British voice actors, Actors from Nottinghamshire
Robin Thede	1979 births, Living people, American television presenters, American radio personalities, American movie actors, American television actors, American voice actors, American stage actors, American television writers, Comedians from Iowa, Actors from Davenport, Iowa, Writers from Iowa
Andre Braugher	1962 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Chicago
Chelsea Peretti	1978 births, Living people, American movie actors, American television actors, American voice actors, American television writers, Actors from Oakland, California, Comedians from California, Singer-songwriters from California
Steve Davisson	1950s births, 2021 deaths, State legislators of the United States, Politicians from Indiana, US Republican Party politicians, Cancer deaths in the United States
Ole Nordhaug	1925 births, 2021 deaths, Lutheran bishops, People from Oslo
Betty Hemings	People from Virginia, 1735 births, African-American people, Slaves
Marina Tucaković	1953 births, 2021 deaths, People with cancer, Songwriters, People from Belgrade, Deaths from the COVID-19 pandemic in Serbia
Labelle	American funk musicians, American R&B bands, American soul musicians, American rock bands
Sarah Dash	1945 births, 2021 deaths, American funk singers, American R&B singers, American soul singers, American movie actors, Singers from New Jersey, Writers from New Jersey, Actors from New Jersey, People from Trenton, New Jersey
Nona Hendryx	1944 births, Living people, American funk musicians, American funk singers, American soul musicians, American soul singers, American pop singers, American pop musicians, American R&B musicians, American R&B singers, American rock guitarists, American pianists, American singer-songwriters, Musicians from New Jersey, Actors from New Jersey, Singers from New Jersey, Writers from New Jersey, American record producers, Businesspeople from New Jersey, American LGBT rights activists, LGBT businesspeople, LGBT actors, LGBT singers, LGBT musicians, American movie actors, LGBT writers, Bisexual people, LGBT people from New Jersey
Cumbre Vieja	Volcanoes of Ecuador
2021 La Palma eruption	September 2021 events
Gabby Petito	1999 births, 2021 deaths, Missing American people, People from New York
Death of Gabby Petito	2021 in the United States, August 2021 events, History of Utah, History of Wyoming, September 2021 events
The Muppet Movie	1979 movies, American movies, British movies
Phineas and Ferb	American animated television series, 2007 American television series debuts, 2015 American television series endings
Nima Bavardi	1992 births, Living people, Designers, Cartoonists
Recess (TV series)	American animated television series
Millard Sheets	1907 births, 1989 deaths, People from Pomona, California
Charles Reid	1937 births, 2019 deaths
Malabar Headland National Park	National parks in Australia
Laurel and Hardy	American comedy bands
The New Scooby-Doo Movies	American animated television series
List of The New Scooby-Doo Movies episodes	Television episodes
Scooby-Doo and Guess Who?	American animated television series
Darci Lynne	2004 births, Living people, Singers from Oklahoma, Actors from Oklahoma
Warner Bros. Animation	American animation studios
Spring Song (1946 movie)	1946 movies, 1940s drama movies, British drama movies, Movies directed by Montgomery Tully
Dorrigo National Park	Gondwana rainforests, National parks in Australia
Sydney Harbour National Park	National parks in Australia
Bob Faehn	1958 births, 2021 deaths, Cancer deaths in the United States, State legislators of the United States, Politicians from Minneapolis, Minnesota, Politicians from South Dakota, US Republican Party politicians
Barrington Tops National Park	Gondwana rainforests, National parks in Australia
Perm State University	20th century establishments in Russia, 1916 establishments in Europe, Colleges and universities in Russia, Perm
Perm State University shooting	2021 crimes in Europe, 2021 mass shootings, 2020s mass shootings in Europe, 21st century in Russia, Attacks on buildings and structures in 2021, Attacks on schools in Europe, Perm, School shootings, September 2021 events
Burgundian language	Languages of Europe, Romance languages
Visigothic Kingdom	Former monarchies of Europe, History of France, History of Portugal, History of Spain
Jan Jindra	1932 births, 2021 deaths, Czech sportspeople, Olympic gold medalists, Olympic bronze medalists, Rowers
Třeboň	Towns in the Czech Republic, Spa towns
The Blue Dahlia	1946 movies, 1940s crime movies, 1940s thriller movies, American crime thriller movies, Movies directed by George Marshall
Berowra Valley National Park	National parks in Australia
A Message to Garcia (movie)	1936 movies, 1930s adventure movies, 1930s war movies, American adventure movies, American war movies, 20th Century Fox movies, Movies directed by George Marshall
Heathcote National Park	National parks in Australia
Ashish Chanchlani	1993 births, People from India, Indian people, Indian YouTubers, Living people
Werakata National Park	National parks in Australia
Ḥumāt ad-Diyār	National anthems
Pithecopus centralis	Frogs, Animals of South America
Condemned property	Public health, Cities, Buildings and structures
Áfram Latibær!	Plays, Musicals
Andrey Aleksandrovich Andreev	Russian lawyers
Magna Carta (An Embroidery)	Works about Wikipedia, 2015
Supreme Council of the Armed Forces	Egypt
Frank Pratt (politician)	1942 births, 2021 deaths, State legislators of the United States, Politicians from Arizona, US Republican Party politicians
Richard H. Kirk	1956 births, 2021 deaths, English composers, English guitarists, Saxophonists, Keyboardists, Clarinetists, Musicians from Yorkshire, Electronic musicians
Angelo Codevilla	1943 births, 2021 deaths, Italian academics, American academics, Naturalized citizens of the United States, People from Milan
Aharon Abuhatzira	1938 births, 2021 deaths, Israeli politicians, Moroccan politicians, Naturalized citizens of Israel, Israeli criminals, Fraudsters
Claude Lombard	1945 births, 2021 deaths, Belgian singers, Eurovision Song Contest entrants, Pop singers, Entertainers from Brussels
Aloys Jousten	1937 births, 2021 deaths, Belgian Roman Catholics, Roman Catholic bishops
Cheung Yan-lung	1922 births, 2021 deaths, Business people, Asian politicians
Tom Vraalsen	1936 births, 2021 deaths, Ambassadors, Politicians from Oslo
Willie Garson	1964 births, 2021 deaths, Deaths from pancreatic cancer, Cancer deaths in Los Angeles, American movie actors, American television actors, American stage actors, American voice actors, Actors from New Jersey
Highland Park, New Jersey	Boroughs in New Jersey, Middlesex County, New Jersey
Santa Maria a Monte	Settlements in Tuscany
Isabelle (Animal Crossing)	Fictional characters introduced in the 2010s
Paul Germain	1959 births, Living people, American screenwriters, American television producers
Joe Ansolabehere	1959 births, Living people, American television producers, American screenwriters
Jeff "Swampy" Marsh	1960 births, Living people, American animators, American voice actors
Crazy Girlfriend of Rachael	2000s American sitcoms
Juanito Jones	2001 television series debuts, 2002 television series endings
Tytus, Romek i A'Tomek	Comic books
Bali (TV series)	2006 television series debuts
History of Albania	History of Albania
List of assets owned by 21st Century Fox	21st Century Fox
Walls of Jerusalem National Park	Tasmanian Wilderness, National parks in Australia
History of Andorra	Andorra
Royal National Park	National parks in Australia
Pithecopus megacephalus	Frogs, Animals of South America
Ecclesiastical court	Christianity, Law
Flinders Chase National Park	National parks in Australia
Hemings family	People from Virginia, Slaves
2095	21st century, Years in the future
Indian Women's League	2016 establishments in India, Sport in India
Silk Sonic	Musical duos
Greg Maluma	Zambian sportspeople, Karate, Martial artists, 1998 births, Living people
Tom Moyal	Living people, French people, Designers
Tarantino Wikipedia	Wikipedias
Northern Alliance	1996 establishments in Asia, 2001 disestablishments, History of Afghanistan, Military alliances
Bouddi National Park	National parks in Australia
Of Human Bondage (1946 movie)	1946 movies, 1940s drama movies, American drama movies, Movies based on books, Warner Bros. movies, Movies directed by Edmund Goulding
Paddy field	Agriculture, Rice
Naracoorte Caves National Park	National parks in Australia
Deepwater rice	Rice
Oxley Wild Rivers National Park	Gondwana rainforests, National parks in Australia
Barakee National Park	National parks in Australia
Willandra National Park	National parks in Australia
Brisbane Water National Park	National parks in Australia
Extrajudicial killing	Law
Islamic ethics	Ethics, Islam
Magnificent Doll	1946 movies, 1940s drama movies, American drama movies, Universal Pictures movies, Movies directed by Frank Borzage
Boonoo Boonoo National Park	National parks in Australia
Internet Stream Protocol	Internet protocols
Night Editor	1946 movies, 1940s crime movies, American crime movies, Movies directed by Henry Levin
