Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Chevy Chase, Maryland	Towns in Maryland, Census-designated places in Maryland, Montgomery County, Maryland
Battle of the Kasserine Pass	1943, North African battles of World War II, 20th century in Tunisia
Anselme Payen	1795 births, 1878 deaths, French chemists, Scientists from Paris
List of Roman Catholic cathedrals in Spain	Cathedrals in Spain, Spain-related lists, Lists of buildings
Bernard Mayes	1929 births, 2014 deaths, Deaths from Parkinson's disease, British LGBT people, LGBT people from California, Gay men, British activists, American activists, Writers from San Francisco
Raphael Ravenscroft	1954 births, 2014 deaths, British composers, British rock musicians, British saxophonists, British writers, Deaths from myocardial infarction
Carlos Morales Troncoso	1940 births, 2014 deaths, Deaths from leukemia, Dominican Republic politicians, Vice presidents
Pavle Merkù	1927 births, 2014 deaths, Slovenian scientists, People from Trieste, Composers
Title (album)	2015 albums, Meghan Trainor, Pop albums, Blue-eyed soul albums, R&B albums
Hotline Miami	2012 video games, Windows games, PlayStation 3 games, PlayStation 4 games, PlayStation Vita games
Diastase	Enzymes
Ontario Highway 401	Roads in Ontario
Vadakkangara	Villages in India
Iridescence	light, Color
Specialized High Schools Admissions Test	Education in the United States
Festus Mogae	1939 births, Living people, Presidents of Botswana, Vice Presidents of Botswana
Lubrication	Mechanics
Gaolese Kent Koma	1918 births, 2006 deaths, Deaths from stroke, Botswana politicians, Civil servants, African businesspeople
Michael Dingake	1928 births, Living people, Botswana people, Writers
Thomas Tlou	1932 births, 2010 deaths, Deaths from myocardial infarction, Botswana people, Historians, Educators, Ambassadors
Francistown	Cities in Botswana
Kanye, Botswana	Cities in Botswana
Flag of Botswana	National flags, Botswana
Fiorello H. LaGuardia High School	Buildings and structures in Manhattan, Performing arts, Schools in New York
Ingrid Pitt	British movie actors, British novelists, Entertainers from Warsaw, Polish novelists, Polish movie actors, Polish television actors, Writers from Warsaw, 1937 births, 2010 deaths
Gustav Adolf Church, Hamburg	Buildings and structures in Hamburg, Church of Sweden churches, Protestant churches in Germany
Huddinge HK	1971 establishments in Sweden, Handball clubs in Sweden
Växjö HF	Handball clubs in Sweden, Växjö, 1972 establishments in Sweden
Shine On (Pink Floyd album)	1992 albums, Pink Floyd albums
Seretse Khama	1921 births, 1980 deaths, Deaths from pancreatic cancer, Presidents of Botswana
Oscar Taveras	1992 births, 2014 deaths, Canadian baseball players, Dominican Republic sportspeople, Road accident deaths, St. Louis Cardinals players
Marcia Strassman	1948 births, 2014 deaths, Actors from New Jersey, Actors from New York City, American movie actors, American television actors, American voice actors, Cancer deaths in California, Deaths from breast cancer, Singers from New York City, People from Passaic, New Jersey, Television personalities from New York City
Scott Darling	1988 births, American Hockey League players, Chicago Blackhawks players, Living people, Sportspeople from Illinois, ECHL players, United States Hockey League players, American ice hockey goaltenders
Ho-Chunk	Native American people
False positives and false negatives	Science
Hartola Church	Churches in Europe, 1913 establishments in Europe, 1910s establishments in Finland
List of Roman sites in Spain	Archaeological sites in Europe, Spain
Skellefteå IBK	1985 establishments in Europe, Floorball clubs in Sweden, Skellefteå, 1980s establishments in Sweden
Sonic Rush	2005 video games, Nintendo DS games, Nintendo DS-only games, Sonic the Hedgehog games, Video games developed in Japan, Platform games
Jan Öjlers	Dansbands, Swedish musical groups
Beauvau family	French nobility, House of Beauvau
Hemlock	Poisons, Apiaceae
Stijn Streuvels	1871 births, 1969 deaths, Belgian novelists, Belgian writers, People from West Flanders, Translators
Felix Timmermans	1886 births, 1947 deaths, Belgian artists, Belgian novelists, Belgian playwrights, Belgian poets
Hall, Indiana	Unincorporated communities in Indiana
Mo Collins (American football)	1976 births, 2014 deaths, Deaths from renal failure, Disease-related deaths in North Carolina, Oakland Raiders players, Sportspeople from Charlotte, North Carolina
Senzo Meyiwa	1987 births, 2014 deaths, Murders by firearm, South African footballers
Jeff Robinson (starting pitcher)	1961 births, 2014 deaths, American baseball players, Baltimore Orioles players, Pittsburgh Pirates players, Texas Rangers players, Detroit Tigers players, Sportspeople from California
Vasaloppet USA	1973 establishments in the United States, Sports competitions, Sports in Minnesota, Skiing, Events in the United States, 1970s establishments in Minnesota
Johanna Ölander	1827 births, 1909 deaths, Composers, Swedish people
Vasaloppet Japan	Skiing, Sport in Japan, 1981 establishments in Japan
Vasaloppet de la Sergerie	Skiing in Canada, Sport in Quebec, 2007 establishments in Canada
Botniavasan	2006 establishments in Europe, Skiing in Finland, 2000s establishments in Finland
Democratic Labour Party (Australia)	Political parties in Australia, 1955 establishments in Australia
Vasaloppet China	2003 establishments, Skiing, Sport in China
Atlanta Campaign	American Civil War battles, 19th century in Tennessee, 1864 in Georgia (U.S. state)
Tjejtrampet	1990 establishments in Sweden, Cycle races, Cycling, Sport in Sweden
Starke Taylor	1922 births, 2014 deaths, Mayors of Dallas, People from Paris, Texas, US Republican Party politicians
Paris, Texas	Cities in Texas, County seats in Texas
Francisco Accioly Rodrigues da Costa Filho	Brazilian politicians, 1920 births, 1979 deaths
The Fall of Ideals	2006 albums, Heavy metal albums
Brassica juncea	Brassicaceae, Leaf vegetables
Recess (album)	2014 albums, Skrillex albums
Climbing plant	Types of plants
Flanking maneuver	Military terminology, Military tactics
Lincoln Center	Landmarks in Manhattan, Buildings and structures in Manhattan, New York City Designated Landmarks
Mike Moustakas	1988 births, Living people, Kansas City Royals players
List of shoe companies	Lists, Footwear, Clothing companies
Marc de Beauvau, Prince of Craon	1679 births, 1754 deaths, French politicians, French nobility, Regents, House of Beauvau, Viceroys
Kit Carson Mountain	Geography of Colorado, Mountains of the United States
Jason Vargas	Kansas City Royals players, Living people, 1983 births
If You Were Still Around	1982 songs, Rock songs
Tomasgårdens IF	1999 disestablishments in Europe, 1982 establishments in Sweden, Floorball clubs in Sweden, 1990s disestablishments in Sweden
KFUM Örebro	1890 establishments in Europe, Floorball clubs in Sweden, Volleyball clubs in Sweden, Örebro, 1890s establishments in Sweden
Kolbäcks VK	1948 establishments in Europe, Volleyball clubs in Sweden, 1940s establishments in Sweden
Kolbäck	Settlements in Vastmanland County
Samantha Power	1970 births, Living people, American academics, American human rights activists, American journalists, American political writers, Harvard University alumni, Naturalized citizens of the United States, Pulitzer Prize winners, United States Ambassadors to the United Nations, Women diplomats, Writers from Dublin, Yale University alumni
Edward J. Perkins	1928 births, 2020 deaths, Politicians from Louisiana, United States Ambassadors to the United Nations
John Bolton	1948 births, Living people, United States National Security Advisors, United States Ambassadors to the United Nations, American lawyers, Politicians from Baltimore, Maryland, US Republican Party politicians
Vernon A. Walters	1917 births, 2002 deaths, United States Ambassadors to the United Nations, Politicians from New York City, US Republican Party politicians, Ambassadors of the United States to Germany
Jeane Kirkpatrick	1926 births, 2006 deaths, Deaths from congestive heart failure, Politicians from Oklahoma, United States Ambassadors to the United Nations, US Republican Party politicians, Women diplomats
Edward Stettinius, Jr.	1900 births, 1949 deaths, Deaths from coronary thrombosis, United States Secretaries of State, United States Ambassadors to the United Nations, Politicians from Chicago, US Democratic Party politicians, 20th-century American politicians, Businesspeople from Chicago, American diplomats, Deaths from cardiovascular disease, Deaths from thrombosis, World War II political leaders
Office of Management and Budget	United States Executive Cabinet, 1970 establishments in the United States
Administrator of the Environmental Protection Agency	United States federal executive departments
Council of Economic Advisers	United States Executive Cabinet, 1946 establishments in the United States
Samuel Pierce	1922 births, 2000 deaths, United States Secretaries of Housing and Urban Development, Politicians from New York, US Republican Party politicians
Hans Schneider (mathematician)	1927 births, 2014 deaths, Deaths from cancer, Naturalized citizens of the United States, Austrian scientists, American mathematicians
Shin Hae-chul	1968 births, 2014 deaths, Deaths from myocardial infarction, South Korean singers, People from Seoul
The Elephants' Graveyard (1976)	British television, 1976 in entertainment, Television programs
Thittuvilai	Kanyakumari district
Diane de Poitiers	French people, 1499 births, 1566 deaths
Big Banana Feet	1976 comedy movies, British comedy movies, English-language movies
Blue Money	1985 comedy movies, 1980s crime movies, British criminal comedy movies, English-language movies, Television movies
Mastitis	Diseases, Breasts
Coal Chamber	1993 establishments in California, 1990s American music groups, 2000s American music groups, 2010s American music groups, Musical groups established in 1993, Musical groups from Los Angeles, California, Nu metal bands, Roadrunner Records, 2003 disestablishments in the United States, Musical groups disestablished in 2003, 2000s disestablishments in California, Musical groups established in 2011, 2011 establishments in California
Battle of Crete	1941 in Europe, 20th century in Greece, Battles involving Australia, Battles involving Germany, Battles involving Greece, battles involving Italy, Battles involving New Zealand, Battles involving the United Kingdom, Crete, European battles of World War II
Romualdas Granauskas	1939 births, 2014 deaths, Lithuanian writers
Koichiro Kimura	1969 births, 2014 deaths, Deaths from pneumonia, Japanese professional wrestlers, Mixed martial artists, Japanese martial artists, People from Gunma Prefecture
Galway Kinnell	Pulitzer Prize winners, 1927 births, 2014 deaths, Deaths from leukemia, American poets, People from Providence, Rhode Island
Michael Sata	1937 births, 2014 deaths, Disease-related deaths in England, Presidents of Zambia
Rupiah Banda	1937 births, Living people, Presidents of Zambia, Vice-Presidents of Zambia
Armançon	Rivers of France, Bourgogne-Franche-Comté, Grand Est
Charles Juste de Beauvau, Prince of Craon	1720 births, 1793 deaths, Members of the Académie française, Marshals of France, House of Beauvau, French nobility
Frederick Chiluba	1943 births, 2011 deaths, Deaths from heart failure, Presidents of Zambia
Guy Scott	1944 births, Living people, Presidents of Zambia, Vice-Presidents of Zambia
Klas Ingesson	1968 births, 2014 deaths, Deaths from multiple myeloma, Swedish footballers, Swedish football managers
Barranquilla	Cities in Colombia, 1813 establishments, 19th-century establishments in Colombia, 1810s establishments in South America
Flag of Zambia	Zambia, National flags
Lleida Esportiu	Spanish football clubs, 2011 establishments in Europe, Catalonia
Lleida	Capital cities in Spain, Cities in Catalonia, Municipalities in Catalonia
Flag of Uruguay	Uruguay, National flags
Bucaramanga	Cities in Colombia, 1622 establishments, 17th-century establishments in the Spanish Empire
Noguera (comarca)	Catalonia
Barcelonès	Catalonia
L'Hospitalet de Llobregat	Cities in Catalonia, Municipalities in Catalonia
Alicia von Rittberg	1993 births, Living people, Actors from Bavaria, Entertainers from Munich, German movie actors, German television actors
San Sebastián	Capital cities in Spain, Cities in the Basque Country, Municipalities in the Basque Country
Topik	Meat dishes
Atlético Junior	Colombian football clubs, 1924 establishments in South America, 1920s establishments in Colombia
Maja Dramadol	Montenegro, Mountains of Europe, Kosovo
Kilcullen	County Kildare, Villages in Ireland
Mullingar	County towns in Ireland
Hyacinthe Rigaud	1659 births, 1743 deaths, French painters, Artists from Paris
Bridegroom	2013 movies, 2010s LGBT movies, English-language movies, American documentary movies, American LGBT movies
First Dog	American family movies, English-language movies, 2010 movies
Belubula River	Rivers of New South Wales
To Heal a Nation	American television movies, American drama movies, American biographical movies, Vietnam War movies, English-language movies, 1988 movies
To the North of Katmandu	1986 movies, British comedy movies, English-language movies, Nepali culture
Perennial stream	Bodies of water, Rivers
Ramie	Plants of Asia, Fibers
Trio me' Bumba	1957 establishments in Europe, Stockholm, Swedish musical groups, 1950s establishments in Sweden
Anthony Duclair	1995 births, American Hockey League players, Arizona Coyotes players, Canadian ice hockey left wingers, Chicago Blackhawks players, Columbus Blue Jackets players, Ice hockey people from Quebec, New York Rangers players, Living people, Ottawa Senators players, Quebec Remparts players, Sportspeople from Montreal
Aneuploidy	Chromosomes, Genetic disorders
Anson Carter	1974 births, Boston Bruins players, Canadian ice hockey right wingers, Carolina Hurricanes players, Columbus Blue Jackets players, Edmonton Oilers players, Ice hockey people from Ontario, Los Angeles Kings players, Living people, New York Rangers players, Sportspeople from Toronto, Vancouver Canucks players, Washington Capitals players
Bob Geigel	1924 births, 2014 deaths, Deaths from Alzheimer's disease, American wrestlers, Sportspeople from Iowa
Thomas Menino	1942 births, 2014 deaths, Mayors of Boston, Deaths from cancer of unknown primary origin, Cancer deaths in Massachusetts, US Democratic Party politicians
The Boy Next Door	2015 movies, 2010s thriller movies, Adultery in movies, American thriller movies, English-language movies, Movies about families, Movies about murderers, Universal Pictures movies
Coyote Ugly	2000 comedy-drama movies, 2000s romantic comedy movies, 2000s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, Movies set in California, Movies set in Los Angeles, California, Movies set in New Jersey, Movies set in New York City
Girl on the Edge	2014 drama movies, American drama movies, English-language movies, Movies based on real life events, Movies set in California, Movies set in Los Angeles, California
Northampton railway station	Northamptonshire, Railway stations in England
Taylor Spreitler	1993 births, American movie actors, American television actors, Living people, Actors from Mississippi
Will Jennings	1944 births, Living people, People from Texas, Grammy Award winners, Best Original Song Academy Award-winning songwriters
Colors of the Wind	1995 songs, Best Original Song Academy Award-winning songs, Disney Renaissance songs, Pocahontas (Disney)
Property Brothers	Canadian television series, 2011 establishments in Canada
Bride of Violence	American television movies, American drama movies, 1991 movies
Ravaillacz	2013 establishments in Sweden, Swedish musical groups
Lee Kings	Musical groups established in 1964, Swedish pop music groups
Paris Smith	1998 births, Living people, Actors from Texas, American child actors, American child singers, American movie actors, American television actors
Grumpy Cat	2012 births, 2019 deaths, Deaths from urinary tract infection, Internet celebrities, Individual cats
South Hams	South Hams, 1974 establishments in England
James B. McPherson	1828 births, 1864 deaths, American Civil War generals, Deaths by firearm in the United States, Military people killed in action, People from Ohio
Army of the Tennessee	Union Army, 1861 establishments in the United States, History of Tennessee
Tony Kaye	1945 births, Living people, English rock musicians, Keyboardists, Musicians from Leicestershire, People from Leicester
Rock art of the Iberian Mediterranean Basin	World Heritage Sites in Spain, Archaeological sites in Europe, Art
Nick Cave	1957 births, Australian composers, Australian novelists, Australian rock singers, Australian singer-songwriters, Living people, Musicians from Victoria (Australia)
Deaths in November 2014	2014 deaths
David Manker Abshire	1926 births, 2014 deaths, Deaths from pulmonary fibrosis, Permanent Representatives of the United States to NATO, Writers from Tennessee, Politicians from Tennessee, People from Chattanooga, Tennessee, US Republican Party politicians
Hitoshi Motoshima	1922 births, 2014 deaths, Deaths from natural causes, Japanese politicians, Mayors, People from Nagasaki Prefecture
Bridges to Babylon	1997 albums, The Rolling Stones
Dijon mustard	Condiments, Dijon
Jumper	2001 disestablishments, Musical groups established in 1996, Swedish pop music groups
Christer Sjögren	1950 births, Living people, Swedish singers
Witold Kiełtyka	1966 births, 2007 deaths, Drummers, Heavy metal musicians, Polish musicians, Road accident deaths
The Imitation Game	2014 drama movies, 2014 thriller movies, 2010s biographical movies, 2010s drama thriller movies, 2010s LGBT movies, 2010s war movies, American biographical movies, American drama thriller movies, American LGBT movies, English-language movies, LGBT drama movies, LGBT thriller movies, World War II movies, American independent movies
The Pelican Brief (movie)	1993 thriller movies, 1990s legal movies, American legal movies, American thriller movies
The Secret Garden (movie)	1990s family movies, 1993 movies, 1990s fantasy movies, 1993 drama movies, American fantasy movies, American drama movies, British drama movies, Movies set in England, Movies set in India, Movies directed by Agnieszka Holland
Clyde, Ohio	Cities in Ohio
National Tiger Conservation Authority	Tigers, Environmental organizations, 2005 establishments in Asia, 2000s establishments in India
Croatian Spring	History of Croatia, 1971 in Europe
John Forzani	1947 births, 2014 deaths, Canadian businesspeople, Cardiovascular disease deaths in California, Deaths from myocardial infarction, Sportspeople from Calgary
Lieutenant colonel	Military ranks, Colonels
Fattoush	Appetizers, Salads
Garlic knot	Appetizers, Breads
Lieutenant general	Military ranks, Generals
Gustau Biosca	1928 births, 2014 deaths, Spanish footballers, Spanish football managers, Sportspeople from Catalonia
Germain Gagnon	1942 births, 2014 deaths, Canadian ice hockey left wingers, Chicago Blackhawks players, Ice hockey people from Quebec, Kansas City Scouts players, Montreal Canadiens players, New York Islanders players, Sportspeople from Quebec, American Hockey League players
Rachel Makinson	1917 births, 2014 deaths, Deaths from natural causes, Australian scientists, Australian businesspeople
Jean-Pierre Roy	1920 births, 2014 deaths, Brooklyn Dodgers players, Sportspeople from Montreal
Ontario Highway 10	Roads in Ontario
Ontario Highway 26	Roads in Ontario
Jiang Zemin	1926 births, Living people, General Secretaries of the Communist Party of China, Presidents of the People's Republic of China
Aaron Brooks (basketball)	1985 births, Living people, Chicago Bulls players, Houston Rockets players, Denver Nuggets players, Phoenix Suns players, Sacramento Kings players, Sportspeople from Seattle, Washington, Indiana Pacers players
Ontario Highway 400	Roads in Ontario
Wayne Static	1965 births, 2014 deaths, Drug-related deaths in the United States, American guitarists, Singers from Michigan, Singers from Chicago, Singers from California, Musicians from Michigan, Musicians from Chicago, Musicians from California
Ghostface (Scream)	Fictional characters introduced in 1996, Fictional murderers, Horror movie characters, Scream (franchise)
Klaus Iohannis	1959 births, Living people, Mayors, Presidents of Romania, Current national leaders, Teachers
Abdus Salim Khan	Pakistani people, 1907 births, 1957 deaths, Ambassadors to Japan
Jimmy Ruffin	1936 births, 2014 deaths, African-American singers, American soul musicians, Musicians from Detroit, Michigan, Musicians from Mississippi
Patherdanda	Subdivisions of Nepal, Villages in Asia
Charles de Beauvau, Prince of Beauvau	1793 births, 1864 deaths, House of Beauvau, French politicians
Battle of Atlanta	American Civil War battles, 1864 in Georgia (U.S. state), History of Atlanta, Georgia, July events
Hyperthermia	Health problems
Samsung Galaxy	Samsung mobile phones
Sucker Punch (movie)	2010s action movies, 2011 movies
Supply depot	Military terminology
Cyclone Hudhud	Cyclonic storms, 2014 in weather, October 2014 events, 2014 in India
Kerrin Petty	1970 births, American skiers, Living people, Swedish skiers
Laila Kveli	1987 births, Living people, Norwegian sportspeople, People from Trondheim, Skiers
Ulrica Persson	1975 births, Living people, Swedish skiers
Anders Larsson	1961 births, Living people, Swedish skiers
Jessica Lowndes	Canadian television actors, Canadian movie actors, Actors from Vancouver, Canadian singers, 1988 births, Living people, Canadian composers, Canadian pop singers, Canadian singer-songwriters, Musicians from Vancouver
Paddington (movie)	2014 comedy movies, British comedy movies, Movies based on books
Elias Nilsson	1910 births, 2001 deaths, Swedish skiers
Elin Pikkuniemi	1895 births, 1988 deaths, Swedish skiers
Verner Lundström	1901 births, Swedish skiers, 1930 deaths
Paddington Bear	Fictional characters introduced in the 1950s, Fictional bears, Children
Alfred Lif	Possibly living people, Swedish skiers
Håkan Westin	1964 births, Living people, Swedish skiers
Hans Wilhelmsson	2004 deaths, Swedish sportspeople, Speed skaters, 1936 births
Elin Ek	1973 births, Living people, Swedish skiers
Henrik Eriksson	1974 births, Swedish skiers
José, Prince of Brazil	1761 births, 1788 deaths, Deaths from smallpox, Heirs apparent who never acceded, House of Braganza
Sandra Hansson	1974 births, Swedish skiers
Susanne Nyström	1982 births, Swedish  skiers
Norman Bates	Dissociative identity disorder in fiction, Fictional American people, Fictional characters introduced in the 1950s, Fictional murderers, Horror movie characters
Olle Häger	1935 births, 2014 deaths, Swedish historians, Swedish journalists, Television producers
Joel Barnett, Baron Barnett	1923 births, 2014 deaths, British politicians, Civil servants
Acker Bilk	1929 births, 2014 deaths, English musicians, People from Somerset
Veljko Kadijević	1925 births, 2014 deaths, European military people, Generals, Yugoslavian people
Bottom trawling	Fishing, Environmental issues
Tinus Linee	1969 births, 2014 deaths, Deaths from motor neurone disease, South African rugby union players
Sadashiv Amrapurkar	1950 births, 2014 deaths, Deaths from respiratory tract infection, Indian movie actors, Infectious disease deaths in India
Mariam Fakhr Eddine	1933 births, 2014 deaths, Deaths from surgical complications, Egyptian movie actors
Augusto Martelli	1940 births, 2014 deaths, Italian composers, Italian conductors, People from Genoa, Italian television personalities
Women’s Equality Party	Political parties in the United States, 2014 establishments in New York (state), 2010s establishments in New York (state)
Ligature (typography)	Typography
Sigfrid Mattsson	1917 births, 2009 deaths, Swedish skiers
Josef Marha	1976 births, Chicago Blackhawks players, Colorado Avalanche players, Czech ice hockey players, Living people, Mighty Ducks of Anaheim players, American Hockey League players, Ice hockey centres
Konrad Pettersson	1976 deaths, 1903 births, Swedish skiers
Johan Abram Persson	1898 births, 1971 deaths, Swedish skiers
Olle Wiklund	1914 births, 1999 deaths, Swedish skiers
Sigvard Jonsson	1923 births, 1969 deaths, Swedish skiers
Lars-Arne Bölling	1944 births, Living people, 1972 Winter Olympics, Swedish skiers
Pauli Siitonen	1938 births, Living people, 1968 Winter Olympics, Finnish Olympians, Skiers, Skiing in Finland
Ola Hassis	1951 births, Living people, Swedish skiers
Lasse Frykberg	1957 births, Living people, Swedish skiers
Hans Persson	1959 births, Living people, Swedish skiers
Bengt Hassis	1957 births, Swedish skiers
Anders Blomquist	1960 births, Living people, Swedish skiers
Örjan Blomquist	1957 births, 2000 deaths, Swedish skiers
A. P. J. Abdul Kalam	Presidents of India, Indian politicians, 1931 births, 2015 deaths, Deaths from cardiac arrest, Tamil people, Ramanathapuram District
Ampersand	Typography
Darhal Tehsil	Tehsils of Jammu and Kashmir
Denishawn School of Dancing	Schools, Dance, American dancers
Snow goose	Geese
Kjetil-Vidar Haraldstad	1973 births, Heavy metal musicians, Living people, Norwegian musical entertainers, Rock drummers
Christer Hult	Living people, Swedish footballers, 1946 births
Ulrika Kalte	1970 births, Living people, Swedish footballers, Shiroki FC Serena players
Lena Carlzon-Lundbäck	1954 births, Living people, Swedish skiers
The Frugal Gourmet	American television series, 1983 television series debuts, 1997 disestablishments, 1983 establishments in the United States, 1990s disestablishments in the United States
Jukka Koskilahti	1954 births, Finnish ice hockey players, Living people
Renato Sellani	1926 births, 2014 deaths, Italian composers, Jazz musicians, Marche, Italian pianists
Nina Timofeeva	1935 births, 2014 deaths, People from Saint Petersburg, Russian ballerinas, Soviet people
Eddie Stuart	1931 births, 2014 deaths, South African footballers
Enrique Olivera	1940 births, 2014 deaths, Argentine politicians, Mayors, People from Buenos Aires
Aliya Mustafina	1994 births, Living people, 2012 Summer Olympics, Russian gymnasts, Olympic bronze medalists, Olympic gold medalists, Olympic silver medalists, World champions
Chaat	Snack foods
Amber Montana	1998 births, Living people, American child actors, American television actors, American movie actors, Actors from Tampa, Florida
Peyton List	1998 births, Living people, American child actors, American television actors, American movie actors, Actors from Florida
Xenolith	Igneous rocks
Cyclone Ashoba	Severe weather, 2014 in weather, 2014 in Asia
Chelsea Lately	2000s American television series, American television talk shows, American comedy television series, English-language television programs
Suwon	Cities in South Korea
Mao Zedong Statue (Fuzhou)	Chinese culture, Statues
Se hace saber	Comedy television series, Spanish culture
Transport hub	Transport
Cheese mite	Cheese, Arachnids
Ina Catani	1906 births, 1938 deaths, Swedish sportspeople
Apoica pallens	Wasps
Handbag	Accessories
Donauparkhalle	Sport in Austria, Vienna
Argument from ignorance	Logical fallacies
Drug tolerance	Drugs
Elizabeth of Doberschütz	1751 deaths, Witches
Matthias Schleiden	1804 births, 1881 deaths, German botanists, People from Hamburg, German biologists, German lawyers, German scientists, People from Frankfurt
Auckland War Memorial Museum	Museums, Buildings and structures in Oceania, Auckland
Yarra River	Rivers of Victoria (Australia)
Bill Ward	1948 births, Living people, English rock drummers
Murder (United States law)	United States law
Bokhara River	Rivers of Queensland
Diamantina River	Rivers of Queensland
George Ferguson Bowen	1821 births, 1899 deaths, Australian politicians
Grapheme	Typography, Writing
Mumu	Russian literature, Non-fiction literature
Reality Bites	1994 comedy-drama movies, 1990s romantic comedy movies, 1990s romantic drama movies, American comedy-drama movies, American romantic comedy movies, American romantic drama movies, English-language movies, Houston, Texas, Movies set in Texas, Universal Pictures movies
The Odd Life of Timothy Green	2012 comedy-drama movies, 2010s fantasy movies, American comedy-drama movies, American fantasy movies, English-language movies, Movies about families, Movies set in North Carolina
Natural Born Killers	1994 crime movies, 1994 drama movies, 1990s crime drama movies, American crime drama movies, English-language movies, Movies directed by Oliver Stone, American independent movies
The Outsiders (movie)	1983 crime movies, 1983 drama movies, 1980s crime drama movies, 1980s teen drama movies, American crime drama movies, American gangster movies, American teen drama movies, English-language movies, Movies based on books, Movies set in Oklahoma, Movies set in the 1960s, Movies directed by Francis Ford Coppola
Before I Go to Sleep	2014 drama movies, 2010s drama thriller movies, 2014 mystery movies, British drama movies, British thriller movies, British mystery movies, American drama thriller movies, American mystery movies, French drama movies, French thriller movies, Swedish movies, English-language movies, Movies set in London
Lawrence Kasdan	American movie directors, American movie producers, Writers from Miami, Florida, Businesspeople from Miami, Florida, 1949 births, Living people, American screenwriters
Kazaam	1996 comedy movies, 1990s fantasy movies, 1990s musical movies, American comedy movies, American fantasy movies, American family movies, American musical movies, English-language movies, Movies set in New York City
Bloxwich	Settlements in the West Midlands (county), Villages in England
Brad Halsey	1981 births, 2014 deaths, Accidental deaths from falls, New York Yankees players, Oakland Athletics players, Arizona Diamondbacks players, Sportspeople from Houston, Texas
Richard Schaal	1928 births, 2014 deaths, American movie actors, American television actors, Actors from Chicago, Comedians from Chicago, Television personalities from Chicago
Lane Evans	1951 births, 2014 deaths, Deaths from Parkinson's disease, Disease-related deaths in Illinois, United States representatives from Illinois, US Democratic Party politicians
Manitas de Plata	1921 births, 2014 deaths, French musicians
Pearl Harbor (movie)	2001 drama movies, 2001 romance movies, 2000s romantic drama movies, 2000s war movies, American epic movies, American romantic drama movies, American war movies, English-language movies, Movies set in Hawaii, Japanese-language movies, Movies based on real life events, Movies composed by Hans Zimmer, Movies directed by Michael Bay, Movies set in England, Movies set in Japan, Movies set in New York, Movies set in Washington, D.C., Movies set in the 1920s, Movies set in the 1940s, Tennessee, World War II movies
Bootlegs & B-Sides	Hip hop albums, 1994 albums
The Hotwives of Orlando	2010s American television series, 2014 American television series debuts, American sitcoms, Orlando, Florida, Television series set in Florida, English-language television programs
Hulu	2007 establishments in the United States, Companies based in California, Entertainment websites
No Vaseline	1991 songs
Kmart	1899 establishments, 19th-century establishments in the United States, American department stores, Companies based in Illinois, Detroit, Michigan
The Dog Who Saved Easter	2014 movies, Family movies, American movies, English-language movies, Movies set in Los Angeles, California
The Wedding Ringer	2015 comedy movies, English-language movies, Movies about weddings, Movies set in Los Angeles, California
Woods of Ypres	Canadian black metal bands, Doom metal bands, Musical entertainers from Toronto, Musical groups disestablished in 2011, Musical groups established in 2002, Musical quartets, 2002 establishments in Canada, 2011 disestablishments in Canada
Lila & Eve	American drama movies, 2015 drama movies
Fitzgerald River	Rivers of Western Australia
Ilya Salmanzadeh	1986 births, Living people, Songwriters, Swedish record producers, Swedish writers
John Septimus Roe	1797 births, 1878 deaths, Explorers
Jeremy Dale	1980s births, 2014 deaths, American comics artists, People from Atlanta, Georgia, People from Indiana
Pinax	Ancient Greece, Writing media
Joni Ernst	US Republican Party politicians, United States senators from Iowa, State legislators of the United States, American Lutherans, 1970 births, Living people
The Animal	2001 comedy movies, 2001 science fiction movies, American comedy movies, Columbia Pictures movies, Comedy science fiction movies, English-language movies
Amazon Echo	2014 establishments, 2014 in music, Audio technology, Amazon (company)
Arrondissements of the Nièvre department	Arrondissements of France, Lists of arrondissements of France
Arrondissement of Château-Chinon (Ville)	Arrondissements of France
Arrondissement of Clamecy	Arrondissements of France
Riley Perrin	Fictional American people, Television characters
Trevor van Riemsdyk	1991 births, American ice hockey players, Chicago Blackhawks players, Living people, Sportspeople from New Jersey, American Hockey League players, Ice hockey defencemen
Arrondissement of Cosne-Cours-sur-Loire	Arrondissements of France
Arrondissement of Nevers	Arrondissements of France
Nièvre (Loire)	Rivers of France, Bourgogne-Franche-Comté
Tropic Thunder	2008 comedy movies, 2000s action comedy movies, 2000s parody movies, 2000s satirical movies, American action comedy movies, American parody movies, American satirical movies, English-language movies, Movies about entertainers, Movies set in Asia, Movies set in Los Angeles, California
Werribee River	Rivers of Victoria (Australia)
Tonic (music)	Music theory
Division of Pearce	Electoral divisions of Australia, Western Australia, 1989 establishments in Australia
THX	Movie industry, Sound, Disney companies
Deep Note	Electronic music
Queanbeyan River	Rivers of New South Wales
In Through the Out Door	1979 albums
Coda (album)	1982 albums, Led Zeppelin albums
Boorowa River	Rivers of New South Wales
Derwent River	Rivers of Australia, Geography of Tasmania
Concha Piquer	1906 births, 1990 deaths, Spanish actors, Spanish singers, People from Valencia
