Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Zbigniew Ścibor-Rylski	1917 births, 2018 deaths, Generals, Centenarians, Polish military people
Scotty Bowers	1923 births, 2019 deaths, American military personnel of World War II, American sex industry businesspeople, Deaths from renal failure, Entertainers from Illinois, Military people from Illinois, Prostitution, Writers from Illinois
Lorrie Collins	1942 births, 2018 deaths, Accidental deaths from falls in the United States, American country guitarists, American rock guitarists, American country singers, American rock singers, American television actors, Actors from Oklahoma, Musicians from Oklahoma, Singers from Oklahoma
Ricky Nelson	1940 births, 1985 deaths, Aviation deaths in the United States, American rock singers, American rock guitarists, American singer-songwriters, American pop singers, American pop musicians, American folk singers, American folk musicians, American movie actors, American television actors, American child actors, Singers from New Jersey, Musicians from New Jersey, Actors from New Jersey
De Kalb, Texas	Cities in Texas
Chuckle Brothers	1944 births, 1947 births, 2018 deaths, Deaths from bone cancer, Living people, Duos, English comedians, British television actors, British movie actors, British stage actors, Actors from Yorkshire
Ellen Joyce Loo	1986 births, 2018 deaths, People with bipolar disorder, Canadian singer-songwriters, Singers from Hong Kong, Singers from Toronto, Writers from Toronto, Suicides by jumping
Eleanor Bron	1938 births, Living people, English movie actors, English television actors, English stage actors, Actors from Middlesex, Writers from Middlesex
Alan Rabinowitz	2018 deaths, American zoologists, 1953 births, American Jews, People from Brooklyn, Scientists from New York City, Cancer deaths in New York City, Deaths from leukemia
Piotr Szulkin	1950 births, 2018 deaths, Polish movie directors, Polish screenwriters, Polish educators, People from Gdańsk
David Pasquesi	1960 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Chicago, Comedians from Chicago
Trebetherick	Villages in Cornwall
Szeged	Cities in Hungary
Pécs	Cities in Hungary
Mull	Inner and Outer Hebrides
Kecskemét	Cities in Hungary
Alan Garner	English children's writers, English short story writers, Writers from Cheshire, Officers of the Order of the British Empire, People with bipolar disorder, 1934 births, Living people
Tallapoosa County, Alabama	1832 establishments in Alabama, Alabama counties
Jasper, Alabama	Cities in Alabama, County seats in Alabama
Washington County, Alabama	Alabama counties, 1800 establishments in the United States, 1800s establishments in Mississippi Territory
Chatom, Alabama	Towns in Alabama, County seats in Alabama
Wilcox County, Alabama	1819 establishments in Alabama, Alabama counties
Camden, Alabama	Cities in Alabama, County seats in Alabama
Winston County, Alabama	1850s establishments in Alabama, 1850 establishments in the United States, Alabama counties
Double Springs, Alabama	Towns in Alabama, County seats in Alabama
Brookside, Alabama	Towns in Alabama
Detroit, Alabama	Towns in Alabama
Ethelsville, Alabama	Towns in Alabama
Gordo, Alabama	Towns in Alabama
McMullen, Alabama	Towns in Alabama
Memphis, Alabama	Towns in Alabama
Pickensville, Alabama	Towns in Alabama
Brookwood, Alabama	Towns in Alabama
Newton, Alabama	Towns in Alabama
Riverside, Alabama	Towns in Alabama
Frisco City, Alabama	Towns in Alabama
Camp Hill, Alabama	Towns in Alabama
Kansas, Alabama	Towns in Alabama
Carolina, Alabama	Towns in Alabama
Coosada, Alabama	Towns in Alabama
Providence, Alabama	Towns in Alabama
Center Point, Alabama	Cities in Alabama
Kellyton, Alabama	Towns in Alabama
Pleasant Groves, Alabama	Towns in Alabama
Dayton, Alabama	Towns in Alabama
DeKalb County, Missouri	1845 establishments in Missouri, Missouri counties
Cowarts, Alabama	Towns in Alabama
Chickasaw, Alabama	Cities in Alabama
Dozier, Alabama	Towns in Alabama
Discworld	Fiction books
The Colour of Magic	Fantasy books, 1983 books, English novels, Science fiction books
Sorites paradox	Logical paradoxes
The Light Fantastic	British novels, Fantasy books, 1986 books
Nancy Tuckerman	1928 births, 2018 deaths, Deaths from COPD, Disease-related deaths in Connecticut, Civil servants, People from Manhattan
Robert Dugard	1942 births, 2018 deaths, Deaths from lung cancer, English businesspeople, Sportspeople from Sussex, People from East Sussex
2.0 (movie)	2018 movies, Robot movies, Indian movies, Multilingual movies, Tamil-language movies, 2010s science fiction movies, Science fiction action movies
Joël Robuchon	1945 births, 2018 deaths, Deaths from pancreatic cancer, Cancer deaths in Switzerland, French chefs, French television presenters, French writers, People from Poitiers
KFUO	Radio stations in the United States, Lutheranism
Kris Kobach	1966 births, Living people, People from Madison, Wisconsin, Harvard University alumni, Alumni of the University of Oxford, Yale University alumni, Politicians from Kansas, US Republican Party politicians, 21st-century American politicians, Kansas Republicans
War of the Third Coalition	Wars, 1800s in Europe
War of the Fourth Coalition	1800s in Europe, Wars
Thomas B. Evans, Jr.	1931 births, Living people, American lawyers, United States representatives from Delaware, Politicians from Nashville, Tennessee, Politicians from Wilmington, Delaware, US Republican Party politicians
Uvalde, Texas	Cities in Texas, County seats in Texas
2016 United States presidential election in Oklahoma	2010s in Oklahoma, 2016 United States presidential election by state
Lyric poetry	Poetry
FeesMustFall	2010s in South Africa, Internet memes, 2015 in Africa, 2016 in Africa
Economic Freedom Fighters	Political parties in South Africa, 2010s establishments in South Africa, 2013 establishments
Draymond Green	1990 births, Living people, African-American basketball players, Golden State Warriors players, Medalists at the 2016 Summer Olympics, Sportspeople from Michigan, People from Saginaw, Michigan, American basketball players
Humberto de Alencar Castelo Branco	1897 births, 1967 deaths, Presidents of Brazil, Aviation deaths, Dictators, Human rights abuses, Military personnel of World War II, People from Fortaleza
Dareen Tatour	1982 births, Photographers, Poets, Israeli writers
Durban University of Technology	Colleges and universities in South Africa, Durban
Steven Ogg	1973 births, Living people, Actors from Calgary, Canadian movie actors, Canadian voice actors, Canadian television actors
Affirmative Repositioning	21st-century establishments in Africa, 2015 establishments, Windhoek
Middle High German	German language, Middle Ages
Mbuyiseni Ndlozi	Living people, South African politicians, Activists, 1985 births
Mort	Fantasy books
WannaCry ransomware attack	Computer security
Brenda Fassie	1964 births, 2004 deaths, South African people, People associated with Apartheid, Bisexual people, LGBT singers, Drug-related deaths, People with HIV/AIDS, People from Cape Town
Lucky Dube	1964 births, 2007 deaths, South African people, Reggae musicians, Rastafari, Murdered musicians, Murder victims
2018 United States Senate election in Texas	2018 elections, 2018 in the United States, 2010s in Texas, 2018 United States Senate elections
2018 United States Senate election in Arizona	2018 elections, 2018 in the United States, 2010s in Arizona, 2018 United States Senate elections
Roop - Mard Ka Naya Swaroop	2018 Indian television series debuts, Hindi-language television series
Arthur Samuel	1901 births, 1990 deaths, American computer scientists, People from California
Jakob Schönenberger	1931 births, 2018 deaths, Swiss politicians, Conservatives, Bankers
Nicholas Bett	1990 births, 2018 deaths, Road accident deaths, Kenyan people, Olympians, Male athletes, Sprinters, Competitors at the 2016 Summer Olympics
Godrich Gardee	South African politicians, Living people, Year of birth missing (living people)
Psycho (1998 movie)	1998 horror movies, American horror movies, American movie remakes, Dissociative identity disorder in movies, Movies directed by Gus Van Sant, Universal Pictures movies
Rocket engine nozzle	Rockets
Anne Manie, Alabama	Unincorporated communities in Alabama
Carbon Hill, Alabama	Cities in Alabama
Cedar Bluff, Alabama	Towns in Alabama
Chelsea, Alabama	Cities in Alabama
Masahiko Tsugawa	1940 births, 2018 deaths, Deaths from heart failure, Japanese movie actors, Japanese television actors, Japanese screenwriters, Japanese movie producers, Japanese movie directors
John Ciaccia	1933 births, 2018 deaths, Italian politicians, Politicians from Montreal
Gustavo Giagnoni	1933 births, 2018 deaths, Italian footballers
Anton Lehmden	1929 births, 2018 deaths, Austrian artists
Romelu Lukaku	1993 births, Belgian footballers, Manchester United F.C. players, People from Antwerp, Living people
Cherokee, Alabama	Towns in Alabama
Calera, Alabama	19th-century establishments in Alabama, 1887 establishments in the United States, Cities in Alabama
Tendai Biti	Living people, Zimbabwe politicians, 1966 births
Citronelle, Alabama	Cities in Alabama
Semmes, Alabama	Cities in Alabama
Clayhatchee, Alabama	Towns in Alabama
Napier Field, Alabama	Towns in Alabama
Pinckard, Alabama	Towns in Alabama
Lady Gaga Enigma	Lady Gaga
Midland City, Alabama	Towns in Alabama
Douglas, Alabama	Towns in Alabama
Sardis City, Alabama	Towns in Alabama
Oak Hill, Alabama	Towns in Alabama, 1938 establishments in the United States, 20th-century establishments in Alabama
Carlos Almenar Otero	1926 births, 2018 deaths, Deaths from pneumonia, Disease-related deaths in Florida, Singer-songwriters, People from Caracas
Lamberton, Minnesota	Towns in Minnesota
Burr Ridge, Illinois	Suburbs of Chicago, Illinois, Villages in Illinois, Settlements in Cook County, Illinois, Settlements in DuPage County, Illinois
Carnegie, Pennsylvania	Boroughs in Pennsylvania
Development economics	Economics
Charlottesville car attack	2017 crimes, 2017 deaths, 2017 in Virginia, 2010s crimes in the United States, August 2017 events
N'Golo Kanté	1991 births, French footballers, Chelsea F.C. players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Sportspeople from Paris, Living people
Floyd Shivambu	1983 births, Living people, South African politicians
Tu Aashiqui	2017 Indian television series debuts, Hindi-language television series
Hakainde Hichilema	Presidents of Zambia, Living people, 1962 births, African businesspeople, Current national leaders
Michael A. Sheehan	1955 births, 2018 deaths, Deaths from multiple myeloma, Cancer deaths in Maryland, American political writers, American military people, Colonels, Politicians from New Jersey, Writers from New Jersey, Politicians from New York City, Writers from New York City
Red Bank, New Jersey	Boroughs in New Jersey, Monmouth County, New Jersey
Fikile Mbalula	South African politicians, Living people, 1971 births
Mendocino Complex Fire	2018 in California, July 2018 events, August 2018 events, September 2018 events
Terai	Geography of India, Geography of Nepal
Patricia De Lille	1951 births, South African politicians, Mayors, Living people
Joseph Warren	Scientists from Massachusetts, 1741 births, 1775 deaths, American revolutionaries, American generals
Asia Network Television	Television channels, 2012 establishments in Asia, Iraq
Forbes	American magazines
ENCA	Television stations, South African culture
Simona Halep	1991 births, Living people, Female tennis players
Feeding frenzy (Game)	Mobile games, Windows games, 2004 video games
Ndola	Cities in Zambia
Mpumalanga	Provinces of South Africa, 1994 establishments in South Africa
Katanga Province	Provinces of the Democratic Republic of the Congo
Kogelo	Villages in Africa, Settlements in Kenya
Kisumu	1899 establishments, 19th-century establishments in Africa, Cities in Kenya
Nelspruit	20th-century establishments in South Africa, Cities in South Africa, 1905 establishments, 1900s establishments in Africa
Monheim, Bavaria	Donau-Ries
Concordia Theological Seminary	Seminaries, Lutheranism, 1846 establishments in the United States
Cleveland, Alabama	Towns in Alabama
Borgerhout	Antwerp, Settlements in Belgium
Newbern, Alabama	Towns in Alabama
Moundville, Alabama	Towns in Alabama
Heath, Alabama	Towns in Alabama
Gantt, Alabama	Towns in Alabama
Libertyville, Alabama	Towns in Alabama
Priscilla Chan	1985 births, Living people, American billionaires, American philanthropists, American physicians, Harvard University alumni, Businesspeople from California, Businesspeople from Massachusetts, People from Palo Alto, California
War of the Fifth Coalition	1809, 1800s in Europe, Wars
Manfred Melzer	1944 births, 2018 deaths, German Roman Catholics, Bishops, People from Cologne
Michael Avenatti	1971 births, American lawyers, Businesspeople from Los Angeles, California, Living people, People from Sacramento, California
Michael Cohen (lawyer)	1966 births, Living people, American fraudsters, American lawyers, Criminals from New York City, Jewish American criminals, Jewish lawyers
Marina Silva	1958 births, Living people, Brazilian politicians, Environmentalists, Conservatives
2018 Brazilian general election	2018 elections, 2010s in Brazil, October 2018 events, Politics of Brazil
Vice President of Brazil	Vice Presidents of Brazil
Marco Maciel	1940 births, 2021 deaths, Vice Presidents of Brazil, Presidents of the Chamber of Deputies (Brazil), Deaths from multiple organ failure, Deaths from the COVID-19 pandemic in Brazil
Impeachment of Dilma Rousseff	2010s in Brazil, 2016
Ciro Gomes	1957 births, Living people, Brazilian politicians
Geraldo Alckmin	1952 births, Living people, Brazilian politicians
Pindamonhangaba	Cities in São Paulo (state)
Álvaro Dias	1944 births, Living people, Brazilian politicians
João Amoêdo	1962 births, Living people, Brazilian politicians
Henrique Meirelles	1945 births, Living people, Brazilian businesspeople, Brazilian politicians
Guilherme Boulos	1982 births, Living people, Brazilian politicians, Political activists, Political writers, Brazilian writers
Jarrod Lyle	1981 births, 2018 deaths, Deaths from acute myeloid leukemia, Cancer deaths in Australia, Golfers, Sportspeople from Victoria (Australia)
Felicia Farr	1932 births, Living people, American movie actors, American television actors, Models from New York, Actors from New York
Room (2015 movie)	2015 drama movies, Irish movies, British drama movies, Canadian drama movies, American drama movies, Movies based on books, American independent movies
Jacob Tremblay	2006 births, Living people, Canadian movie actors, Canadian television actors, Canadian child actors, Actors from Vancouver, Canadian voice actors
July 2018 Lombok earthquake	2018 in Indonesia, 2018 earthquakes, July 2018 events, Earthquakes in Indonesia
5 August 2018 Lombok earthquake	2018 earthquakes, 2018 in Indonesia, August 2018 events, Earthquakes in Indonesia
Western Cape	1994 establishments in South Africa, Provinces of South Africa
Sesheke	Geography of Zambia, Towns in Africa
Munningen	Donau-Ries
Münster, Bavaria	Donau-Ries
Computer-aided manufacture (CAM)	Computer science, Manufacturing
Limpopo	Provinces of South Africa, 1994 establishments in South Africa
Antoine Griezmann	1991 births, French footballers, 2018 FIFA World Cup players, Association football forwards, Living people
Kevin De Bruyne	1991 births, Living people, Belgian footballers, 2018 FIFA World Cup players
Adélie Land	Geography of Antarctica
Jaynagar Majilpur	Cities in India, West Bengal
Sranan Tongo	Pidgins and creoles, Languages of South America, Suriname, English-based pidgins
Nördlingen	Donau-Ries
Livingstone, Zambia	Cities in Zambia
Luanshya	Towns in Africa, Geography of Zambia
Coaling, Alabama	Towns in Alabama
Coffeeville, Alabama	Towns in Alabama
Fulton, Alabama	Towns in Alabama
Entebbe	Towns in Africa, Settlements in Uganda
Columbia, Alabama	Towns in Alabama
Faunsdale, Alabama	Towns in Alabama
ISO 4165	ISO standards, Auto parts
Chingola	Cities in Zambia
Garden City, Alabama	Towns in Alabama
Holly Pond, Alabama	Towns in Alabama
South Vinemont, Alabama	Towns in Alabama
Gu-Win, Alabama	Towns in Alabama
Sikasso	Cities in Mali
D12	1990s establishments in Michigan, 1995 establishments in the United States, 2017 disestablishments in the United States, Disestablishments in Michigan, Musical groups from Detroit, Michigan, 1990s American music groups, 2000s American music groups, Hip hop bands, Musical groups established in 1995, Musical groups disestablished in the 2010s
David P.I. James	Living people, American artists, Year of birth missing (living people)
Toyota Owners 400	1950s establishments in Virginia, 1953 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, Richmond, Virginia, April events
GEICO 500	20th-century establishments in Alabama, 1970 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1970 in sports
S Doradus	Hypergiants, Variable stars
Red supergiant star	Red giants, Types of stars
Western Province, Zambia	Provinces of Zambia
Kasungu	Settlements in Malawi, Towns in Africa
Zagazig	Cities in Egypt
Ghats	Mountain ranges of India
2018 Monster Energy NASCAR Cup Series	Monster Energy NASCAR Cup Series races, 2018 in sports
AAA 400 Drive for Autism	20th-century establishments in Delaware, 1969 establishments in the United States, Autism, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1969 in sports
Joshua Wong	1996 births, Activists from Hong Kong, Chinese politicians, Protestants, People with disabilities, Living people
Nathan Law	1993 births, Living people, Activists from Hong Kong, Chinese politicians, Guangdong, Liberals, People from Hong Kong
Alex Chow	1990 births, Activists from Hong Kong, Living people, Alumni of the London School of Economics
Sam Kazemian	1993 births, American people, Iranian people, Living people
Milpitas	1950s establishments in California, 1954 establishments in the United States, Settlements in Santa Clara County, California, Cities in California, Cities in the San Francisco Bay Area
Brisbane, California	1908 establishments in California, Settlements in San Mateo County, California, Cities in California, Cities in the San Francisco Bay Area
Lake View, Alabama	Towns in Alabama
Lakeview, Alabama	Towns in Alabama
Fyffe, Alabama	Towns in Alabama
Childersburg, Alabama	Cities in Alabama
Colma, California	1920s establishments in California, 1924 establishments in the United States, Settlements in San Mateo County, California, Cities in California, Cities in the San Francisco Bay Area
Dutton, Alabama	Towns in Alabama
Mongu	Cities in Zambia
Washington Terrace, Utah	1942 establishments in the United States, Cities in Utah, 20th-century establishments in Utah
Monster Energy NASCAR All Star Race	Sports in Charlotte, North Carolina, Monster Energy NASCAR Cup Series races
Coca-Cola 600	20th-century establishments in North Carolina, 1960 establishments in the United States, Monster Energy NASCAR Cup Series races, NASCAR tracks, 1960 in sports, Coca-Cola
Angelique Kerber	1988 births, Living people, Female tennis players
Fire and Fury	2018 books, Non-fiction books, Donald Trump
Pocono 400	1980s establishments in Pennsylvania, 1982 establishments in the United States, Monster Energy NASCAR Cup Series races, NASCAR tracks, 1982 in sports
U Lacertae	Red giants, Variable stars, Binary stars, Supergiants
WOH G64	Red giants, Hypergiants, Variable stars
David Hussey	1950s births, Actors from California, American movie actors, Comedians from California, Singers from California, American dancers
Jack Doepke	1950 births, Actors from Minnesota, Living people
Patriotic Front	Political parties in Africa, 2001 establishments, 2000s establishments in Africa, Establishments in Zambia
ZANU-PF	Zimbabwe, Political parties in Africa
SCUM Manifesto	Feminism
Garbiñe Muguruza	1993 births, Female tennis players, Living people
Nerbudda River	Rivers of India
Karolína Plíšková	Living people, 1992 births, Female tennis players
Jelena Janković	Living people, 1985 births, Female tennis players
Viceroy	Titles
Cale Yarborough	1939 births, NASCAR drivers, Sportspeople from South Carolina, Living people
Mehrdad Pahlbod	1917 births, 2018 deaths, Centenarians, Iranian politicians, People from Tehran, Roman Catholics
Democratic Alliance	Political parties in South Africa
2019 NASCAR Gander Outdoors Truck Series	NASCAR, 2019 in sports, 2010s in the United States
Bad Balance	1980s establishments in the Soviet Union, Hip hop bands, Musical groups established in 1989, Russian musical groups
Umbrella Movement	Politics of the People's Republic of China, 2010s in Hong Kong
Terry Labonte	1956 births, NASCAR drivers, Sportspeople from Texas, People from Corpus Christi, Texas, Living people
Sexual addiction	Addiction, Human sexuality, Symptoms
FireKeepers Casino 400	1960s establishments in Michigan, 1969 establishments in the United States, NASCAR tracks, Monster Energy NASCAR Cup Series races, 1969 in sports
Namibia National Students Organisation (NANSO)	Organizations, Windhoek
Peya Mushelenga	1975 births, Poets, Namibian politicians, Living people
Mikhail Shakhov	1931 births, 2018 deaths, Soviet Olympic medalists, Olympic bronze medalists, Wrestlers
Franklin, Alabama	Towns in Alabama
Eclectic, Alabama	Towns in Alabama
Copyright status of work by the U.S. government	United States law
Chavornay, Switzerland	Municipalities of Vaud
United Party for National Development	Political parties in Africa, 2000 establishments, 2000s establishments in Africa, Establishments in Zambia
2018 Horizon Air Q400 incident	2018 crimes in the United States, 2010s in Washington (U.S. state), August 2018 events
Eurocentrism	Marxism
Steve Oedekerk	1961 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American television writers, American editors, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California, Screenwriters from Los Angeles, California, Actors from Los Angeles, California, Comedians from Los Angeles, California
Santiago a mil	Chilean culture, Santiago de Chile
SeaTac, Washington	Cities in Washington (U.S. state)
Camel toe	Slang, Clothing controversies
Labia majora	Female reproductive system
Labia minora	Female reproductive system
Mons pubis	Female reproductive system
Arthur Davies (tenor)	1941 births, 2018 deaths, Welsh singers
Fabio Mamerto Rivas Santos	1932 births, 2018 deaths, Dominican Republic people, Roman Catholic bishops
Samir Amin	1931 births, 2018 deaths, Marxism, French critics, French economists, Egyptian writers, People from Cairo, Writers from Paris
Gabriela Michetti	1965 births, Living people, Vice Presidents of Argentina, People from Buenos Aires
Parker Solar Probe	August 2018 events, NASA spacecraft
Eugene Parker	1927 births, Living people, Astrophysicists, American physicists, American educators, Scientists from Michigan, Writers from Michigan, Scientists from Chicago, Writers from Chicago
Houghton, Michigan	Cities in Michigan, County seats in Michigan
Huntington Woods, Michigan	Cities in Michigan
Milford, Michigan	Villages in Michigan
Houghton Lake, Michigan	Unincorporated communities in Michigan, Census-designated places in Michigan
Upper Peninsula of Michigan	Geography of Michigan, Peninsulas
Cath Kidston Limited	1990s establishments in England, Companies of the United Kingdom
Sault Ste. Marie, Michigan	Cities in Michigan, County seats in Michigan
Escanaba, Michigan	Cities in Michigan, County seats in Michigan
Iron Mountain, Michigan	County seats in Michigan, Cities in Michigan
Richard L. Hanna	1951 births, 2020 deaths, Cancer deaths in New York, United States representatives from New York, People from Utica, New York, US Republican Party politicians
Saugerties, New York	Towns in New York
Chief Keef	1995 births, Living people, American rap musicians from Illinois, American record producers, Singers from Chicago, Musicians from Chicago
Logic (rapper)	1990 births, Living people, American rap musicians from Maryland, American singer-songwriters, American record producers, People from Rockville, Maryland, Singers from Maryland, Musicians from Maryland, Writers from Maryland
Gaithersburg, Maryland	Cities in Maryland, Montgomery County, Maryland, 1878 establishments in the United States, 19th-century establishments in Maryland, 1968 establishments in the United States, 20th-century establishments in Maryland
Diplo	1978 births, Living people, American record producers, American educators, American dance musicians, American hip hop musicians, American DJs, Musicians from Mississippi, Singers from Mississippi, Musicians from Philadelphia, Pennsylvania, Singers from Philadelphia, Pennsylvania, Trap musicians
Tansu Çiller	1946 births, Living people, Prime Ministers of Turkey, Economists, People from Istanbul
Bülent Ecevit	1925 births, 2006 deaths, Prime Ministers of Turkey, Turkish poets, Turkish journalists
Mutare	Cities in Zimbabwe
Mbale	Cities in Africa, Settlements in Uganda
Geoffrey Bwalya Mwamba	1959 births, Zambian politicians, Living people
Prime Minister of Turkey	Prime Ministers of Turkey
Ahmet Davutoğlu	1959 births, Living people, Prime Ministers of Turkey
Mesut Yılmaz	1947 births, 2020 deaths, Deaths from lung cancer, Prime Ministers of Turkey
Necmettin Erbakan	1926 births, 2011 deaths, Deaths from heart failure, Prime Ministers of Turkey
Lay Me Down (Sam Smith song)	2013 songs, Pop ballads, Sam Smith (singer) songs
Pietermaritzburg	1880 establishments, 1880s establishments in South Africa, Cities in South Africa
Money on My Mind	2013 songs, Sam Smith (singer) songs
Stay with Me (Sam Smith song)	2014 songs, Pop ballads, Sam Smith (singer) songs
Latch (song)	2012 songs, Sam Smith (singer) songs
Too Good at Goodbyes	2017 songs, Pop ballads, Sam Smith (singer) songs
The Thrill of It All (Sam Smith album)	Sam Smith (singer), 2017 albums
Pray (Sam Smith song)	2017 songs, Sam Smith (singer) songs
Willie Brown (politician)	1934 births, Living people, Mayors of San Francisco, Politicians from Texas, US Democratic Party politicians, 20th-century American politicians, 21st-century American politicians
Sylvester Turner	1954 births, Living people, Mayors of Houston, US Democratic Party politicians
Jim Hood	1962 births, Living people, American lawyers, Politicians from Mississippi, US Democratic Party politicians
London Breed	1974 births, Living people, Mayors of San Francisco, US Democratic Party politicians, People from California, Women politicians
Frank Jordan	1935 births, Living people, Mayors of San Francisco, US Democratic Party politicians, 20th-century American politicians
Megan Barry	1963 births, Living people, Mayors of Nashville, Tennessee, Politicians from California, Businesspeople from California, US Democratic Party politicians
David Briley	1964 births, Living people, Mayors of Nashville, Tennessee, US Democratic Party politicians
November 2016 UK Independence Party leadership election	Elections in the United Kingdom, 2016 in the United Kingdom, 2016 elections, November 2016 events
Sam Massell	1927 births, Living people, Mayors of Atlanta, US Democratic Party politicians
William B. Hartsfield	1890 births, 1971 deaths, Mayors of Atlanta, US Democratic Party politicians
Keisha Lance Bottoms	1970 births, Living people, Mayors of Atlanta, US Democratic Party politicians
Wesley C. Uhlman	1935 births, Living people, Mayors of Seattle, US Democratic Party politicians
Jenny Durkan	1958 births, Living people, Mayors of Seattle, American lawyers, Lesbians, LGBT politicians, US Democratic Party politicians
Maurice Ferré	1935 births, 2019 deaths, Deaths from spinal cancer, Cancer deaths in Florida, Mayors of Miami, Puerto Rican people, US Democratic Party politicians
Tomás Pedro Regalado	1947 births, Living people, Mayors of Miami, American journalists, US Republican Party politicians, People from Havana
Xavier Suárez	1948 births, Living people, Mayors of Miami, US Democratic Party politicians
Francis X. Suarez	1977 births, Living people, Mayors of Miami, US Republican Party politicians
Jacob Frey	1981 births, Living people, Mayors of Minneapolis, US Democratic Party politicians
Hatfield, Hertfordshire	Towns in Hertfordshire
Albert Hofstede	1940 births, 2016 deaths, Mayors of Minneapolis, US Democratic Party politicians
Frank G. Jackson	1946 births, Living people, Mayors of Cleveland, US Democratic Party politicians
John B. Nelson	1936 births, Living people, Mayors of Phoenix, Arizona, US Republican Party politicians
Greg Stanton	1970 births, Living people, United States representatives from Arizona, Mayors of Phoenix, Arizona, US Democratic Party politicians
Tom Barrett (politician)	1953 births, Living people, American mayors, United States representatives from Wisconsin, Politicians from Milwaukee, Wisconsin, US Democratic Party politicians
Raheem Kassam	1986 births, Living people, English atheists
Jim Kenney	Mayors of Philadelphia, 1958 births, Living people, US Democratic Party politicians
Marty Walsh (politician)	1967 births, Living people, United States Secretaries of Labor, Mayors of Boston, US Democratic Party politicians
Raymond Flynn	1939 births, Living people, Mayors of Boston, Ambassadors of the United States, American Roman Catholics, US Democratic Party politicians
Ted Wheeler	1962 births, Living people, Mayors of Portland, Oregon, US Democratic Party politicians
Thomas D'Alesandro III	1929 births, 2019 deaths, Deaths from stroke, Mayors of Baltimore, US Democratic Party politicians
Catherine E. Pugh	1950 births, Living people, Mayors of Baltimore, US Democratic Party politicians, Politicians from Pennsylvania
Kenneth A. Gibson	1932 births, 2019 deaths, Mayors of Newark, New Jersey, US Democratic Party politicians, Politicians from Alabama
Ras Baraka	1970 births, Living people, Mayors of Newark, New Jersey, US Democratic Party politicians
Somnath Chatterjee	1929 births, 2018 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in India, Communists, Speakers of the Lok Sabha
Mousa Dembele	1987 births, 2014 FIFA World Cup players, Belgian footballers, Tottenham Hotspur F.C. players, UEFA Euro 2016 players, 2018 FIFA World Cup players, People from Antwerp, Living people
Shivraj Patil	1935 births, Living people, Speakers of the Lok Sabha, Governors of Punjab, India, Administrators of Chandigarh, Governors of Rajasthan
Norristown, Pennsylvania	Boroughs in Pennsylvania, County seats in Pennsylvania
Jabalpur	Settlements in Madhya Pradesh, Cities in India
Mmusi Maimane	1980 births, Living people, South African politicians
Shaun Abrahams	South African lawyers, Year of birth missing (living people), Living people
Yajurveda	Vedas, Hinduism
Uterine fibroid	Diseases and disorders of the female reproductive system‎
Moise Katumbi	1964 births, Living people, Governors, Democratic Republic of the Congo politicians
Jean-Pierre Bemba	1962 births, Living people, Vice presidents, Democratic Republic of the Congo politicians
Fediverse	Free software, Social networking
Senanga	Towns in Africa, Geography of Zambia
Coker, Alabama	Towns in Alabama
Lubumbashi	Settlements in the Democratic Republic of the Congo, Cities in Africa
Masera	Settlements in Piedmont
Goma	Settlements in the Democratic Republic of the Congo, Cities in Africa
Globish	English language
Wes Wise	1929 births, Living people, Mayors of Dallas, American journalists, Writers from Texas, Writers from Louisiana, Politicians from Louisiana, People from Shreveport, Louisiana
Adlene Harrison	1923 births, Living people, Jewish American politicians, Jewish women politicians, Mayors of Dallas, US Democratic Party politicians
Mike Rawlings	1954 births, Living people, Mayors of Dallas, Businesspeople from Texas, US Democratic Party politicians
Luke Ravenstahl	1980 births, Living people, Mayors of Pittsburgh, US Democratic Party politicians
Thomas J. Murphy Jr.	1944 births, Living people, Mayors of Pittsburgh, US Democratic Party politicians
Bill Peduto	Living people, 1964 births, Mayors of Pittsburgh, US Democratic Party politicians
Polokwane	Cities in South Africa
Mahikeng	Cities in South Africa
Thembisa	Settlements in South Africa
Mamelodi	Settlements in South Africa
Jim Neidhart	1955 births, 2018 deaths, Accidental deaths from falls, People with Alzheimer's disease, Deaths from seizure, American professional wrestlers, Sportspeople from Tampa, Florida
Caelestiventus	Pterosaurs
Jean-Michel Liade Gnonka	1980 births, Burkinabé footballers, People from Ouagadougou, Living people
Sonic and Sega All-Stars Racing	2010 video games, Sega arcade games, Nintendo DS games, PlayStation 3 games, Racing video games, Wii games, Xbox 360 games, Windows games
Ben Idrissa Dermé	1982 births, 2016 deaths, Burkinabé footballers, Deaths from myocardial infarction
Zéphyrin Toé	1928 births, 2013 deaths, Burkinabé people, Roman Catholic bishops
Patricia Benoit	1927 births, 2018 deaths, American movie actors, American television actors, American stage actors, American movie directors, Actors from Fort Worth, Texas
Port Chester, New York	Villages in New York
Meadows Place, Texas	Cities in Texas
Borger, Texas	Cities in Texas
