Astelia banksii	Asparagales
Spider Kiss	1961 books, Books by Harlan Ellison, English-language novels
Pakistan Air Force	Air forces, Military of Pakistan
The Vines	Australian alternative rock bands, Post-grunge bands, Musical groups from Sydney
The Libertines	1997 establishments in England, 2004 disestablishments in the United Kingdom, 1990s British music groups, 2000s British music groups, English rock bands, Musical groups established in 1997, Musical groups from London
The Hives	Swedish rock music groups, Punk bands
Interpol (band)	1997 establishments in the United States, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, Musical groups established in 1997, Musical groups from New York City
Editors	English rock bands
A Clash of Kings	A Song of Ice and Fire, 1998 books, 20th century American novels, Fantasy books
A Storm of Swords	A Song of Ice and Fire, 2000 books
A Feast for Crows	A Song of Ice and Fire, 2005 books, 21st century American novels, Fantasy books
Zest (ingredient)	Food ingredients, Citrus
Paprika	Spices
Clove	Myrtaceae, Spices, Indonesia, Herbs, Medicinal plants
Myrtales	Myrtales
Myrtaceae	Myrtaceae
Government of Pakistan	Government of Pakistan
Syzygium	Myrtaceae
Junoon (band)	Rock bands, Pakistani entertainers
Transportation in Pakistan	Transport in Pakistan
List of companies based in Tulsa, Oklahoma	Tulsa, Oklahoma, Oklahoma-related lists
ONEOK	Tulsa, Oklahoma, 1906 establishments in the United States, 1900s establishments in Oklahoma Territory
Ashley Force	1982 births, Living people, American racecar drivers, Yorba Linda, California, Sportspeople from California
Cottontail rabbit	Lagomorphs, Mammals of North America, Mammals of South America
Selhurst Park	Football stadiums in London
Zack de la Rocha	1970 births, Living people, Singers from California, People from Long Beach, California
Fire triangle	Fire
Modus ponens	Rules of inference
Angelo State University	Colleges and universities in Texas, 1928 establishments in the United States, 1920s establishments in Texas
Nicaragua	Nicaragua, Spanish-speaking countries
Battle of the Bands	Music competitions
Lalon Shah Bridge	Buildings and structures in Bangladesh, Bridges
Charlotte Moore Sitterly	1898 births, 1990 deaths, American astronomers, Scientists from Pennsylvania
Widzew Łódź	Polish football clubs, Łódź, 1910 establishments in Europe, 20th century establishments in Poland
Palestinian territories	Palestinian territories, Palestine
West Indies Federation	Former countries in North America, 1958 establishments in North America, 1962 disestablishments, 20th century disestablishments in North America
A Little Bit Longer	2008 albums
A Little Bit Longer (song)	2008 songs
Antioxidant	Health, Chemical processes
Marshmallow	Desserts
Coen brothers	American movie directors, Living people, American Jews, Writers from Minneapolis, Minnesota, Academy Award winning directors
Find a Way (song)	Rock songs, 1998 songs
The Picture of Dorian Gray	1890 books, British novels, Horror novels, English-language novels
The Little Red Book	Non-fiction books, China
Scouting for Boys	1908 books, Non-fiction books, Scouting
Wii Sports Resort	2009 video games, Wii games, Sports video games
Wii Chess	2008 video games, Wii games
Naked Lunch	Beat Generation
On the Road	Beat Generation, English-language novels, American novels
William Faulkner	1897 births, 1962 deaths, Writers from Mississippi, Pulitzer Prize winners, American Nobel Prize winners
Arthur Miller	1915 births, 2005 deaths, American atheists, American playwrights, Cardiovascular disease deaths in the United States, Deaths from heart failure, Jewish American writers, Jewish atheists, Pulitzer Prize winners
Oral sex	Human sexuality
Clyde F.C.	Scottish football clubs, North Lanarkshire, 1877 establishments in Scotland
Jouke de Vries	1960 births, Living people, Dutch columnists, Dutch political scientists, Writers from Friesland
Dundee F.C.	Scottish Premier League clubs, Dundee, 1893 establishments in the United Kingdom, 1890s establishments in Scotland
Siamang	Apes, Mammals of Asia
Caroline Unger	1803 births, 1877 deaths, Singers from Vienna, Contraltos, European opera singers
Jeremias Gotthelf	1797 births, 1854 deaths, Swiss writers
CBBC	BBC television channels
Brisingr	Inheritance Cycle, 2008 books, American novels, English-language novels, Fantasy books
Mermaid	Mythology
University of Edinburgh	Universities in the United Kingdom, Edinburgh, 1583 establishments, 1580s establishments in Europe, Establishments in Scotland
Inheritance Cycle	Inheritance Cycle
Continental Congress	18th century in Philadelphia, Legislatures, 1770s in Pennsylvania, Legislative branch of the United States government
Take This to Your Grave	2003 albums, Fall Out Boy albums, Fall Out Boy
Stephen Guernsey Cook Ensko	1896 births, 1969 deaths, Businesspeople from New York City
Will Turner	Pirates of the Caribbean characters
Jack Sparrow	Pirates of the Caribbean characters
Elizabeth Swann	Pirates of the Caribbean characters
Tom Hollander	1967 births, Living people, English movie actors, English stage actors, English television actors, Musical theater actors
Jack Davenport	1973 births, Living people, Actors from London, English movie actors, English television actors
Yulia MacLean	1986 births, Living people, Contraltos, Russian singers, New Zealand singers, Volgograd
Tia Dalma	Pirates of the Caribbean characters
Shasta Dam	Dams in the United States, Buildings and structures in California, Shasta County, California
Herman Melville	1819 births, 1891 deaths, 19th-century American novelists, 19th-century American poets, Writers from New York City
Martin Heidegger	1889 births, 1976 deaths, 20th century philosophers, German academics, German philosophers, Nazis, People from Baden-Württemberg
Parmenides	Presocratic philosophers
Democritus	Presocratic philosophers
Leucippus	Presocratic philosophers, 5th century BC births, 5th century BC deaths
Olympus	Biosphere reserves, Balkan Mountains, Mountains of Greece, Greek mythology
Kate (text editor)	KDE
Ronald David Laing	1927 births, 1989 deaths, Psychiatrists, Scottish people
Alcoholic drink	Alcoholic drink
Hapoel asi gilboa	Israeli football clubs
Amy Lee	Singer-songwriters from California, American pianists, Grammy Award winners, Singers from Arkansas, Mezzo-sopranos, 1981 births, Living people, Evanescence
Wild Dances	2004 songs, Eurovision Song Contest
Rocket-propelled grenade	Explosives
Tibetan Plateau	Geography of China, Plateaus
Heraclitus	Presocratic philosophers
Thales	Presocratic philosophers
Hardancourt	Communes in Vosges
Anaximander	610 BC births, 546 BC deaths, Presocratic philosophers
Anaximenes of Miletus	585 BC births, 525 BC deaths, Presocratic philosophers
Eberhardt del’Antonio	German writers, 1926 births, 1997 deaths
Gorgias	Philosophers, Presocratic philosophers, 5th century BC births, 4th century BC deaths
Sophism	Philosophy
Protagoras	Presocratic philosophers, Philosophers, 5th century BC births, 5th century BC deaths
Joshamee Gibbs	Pirates of the Caribbean characters
Pirate code	Piracy, Ethics
Hallelujah (Leonard Cohen song)	1984 songs, Leonard Cohen songs, Rock songs, Songs written by Leonard Cohen
Islamic State of Afghanistan	History of Afghanistan
Leonard Cohen	1934 births, 2016 deaths, Accidental deaths from falls in the United States, Canadian Jews, Canadian novelists, Canadian singer-songwriters, Cancer deaths in Los Angeles, Deaths from leukemia, Folk musicians, Folk singers, Jewish musicians, Jewish writers, Leonard Cohen, Musicians from Montreal, People from Westmount, Quebec, Canadian poets, Rock musicians, Rock singers, Writers from Montreal
Jeff Buckley	Accidental deaths by drowning in the United States, American folk musicians, American guitarists, American rock musicians, Musicians from California, Singers from California, 1966 births, Former Roman Catholics, 1997 deaths
Stigmata	Stigmata
Flag of Turkmenistan	Turkmenistan
Philolaus	Presocratic philosophers
Coat of arms of Turkmenistan	Turkmenistan, National coats of arms
Pre-Socratic philosophy	Presocratic philosophy
Milesian school	Presocratic philosophy
Pythagoreanism	Philosophical movements and positions
Anaxagoras	500 BC births, 428 BC deaths, Presocratic philosophers
Miletus	Settlements in Turkey
Tooth fairy	Folklore
893	893
Frederick I, Holy Roman Emperor	1122 births, 1190 deaths, Holy Roman Emperors
1036	1036
BBC Weather	BBC Online, Weather services
Cheap Trick	1973 establishments in the United States, 1970s American music groups, 1970s establishments in Illinois, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American hard rock bands, American pop music groups, American rock bands, Musical groups established in 1973, Musical groups from Illinois, Rockford, Illinois, Warner Bros. Records artists
Strychnine	Poisons, Chemical compounds, Toxicology
Alkaloid	Chemical compounds, Biochemistry
Quinine	Chemical compounds, Drugs
Progressive bluegrass	Music genres
Hot Country Songs	Record charts
Neverland	Fictional locations
International Bluegrass Music Association	Music industry
Country Music Association Awards	Music awards
The Used	2000s American music groups, 2010s American music groups, American rock bands, Post-hardcore bands, Emo bands, Musical groups from Utah, 2000 establishments in the United States, Musical groups established in 2000, 20th-century establishments in Utah
Bobo-Dioulasso	Bobo Dioulasso
Koudougou	Cities in Burkina Faso
Banfora	Cities in Burkina Faso
Ouahigouya	Cities in Burkina Faso
Chirality	Stereochemistry
Londrina	Cities in Paraná State
Kaya	Cities in Burkina Faso
Superimposition	Graphics, Printmaking
Maringá	Cities in Paraná State
Tenkodogo	Cities in Burkina Faso
Fada N'gourma	Cities in Burkina Faso
Ponta Grossa	Cities in Paraná State
Dédougou	Cities in Burkina Faso
Houndé	Cities in Burkina Faso
Foz do Iguaçu	Cities in Paraná State
Cascavel	Cities in Paraná State
Julen Guerrero	1974 births, Living people, Spanish footballers
Emile Heskey	1978 births, Living people, 2002 FIFA World Cup players, 2010 FIFA World Cup players, Aston Villa F.C. players, Black British sportspeople, Liverpool F.C. players, Sportspeople from Leicester
Jan Koller	1973 births, Living people, Czech footballers
Rüştü Reçber	1973 births, Living people, Turkish footballers, Association football goalkeepers
William Regal	1968 births, Living people, WWE wrestlers, English professional wrestlers
Bryan Robson	1957 births, Living people, English footballers, English football managers, Manchester United F.C. players, Sportspeople from County Durham, Premier League players
Robbie Fowler	1975 births, Living people, English footballers, English football managers, Sportspeople from Liverpool, Premier League players
Hernán Crespo	1975 births, Living people, Argentine footballers
Kevin Keegan	1951 births, Living people, English footballers, English football managers, England national football team managers, People from South Yorkshire
Bob Holly	American professional wrestlers, Sportspeople from California, 1963 births, Living people, People from Glendale, California
Raúl González	1977 births, Living people, Spanish footballers, Sportspeople from Madrid
Luís Figo	1972 births, Living people, Portuguese footballers
Rudi Völler	1960 births, Living people, German football managers, German footballers, People from Hanau, Sportspeople from Hesse
Freddy Adu	1989 births, Living people, American footballers, Ghanaian people
Eamon Dunphy	1945 births, Living people, Irish footballers, Sportspeople from Dublin
Murat Yakin	1974 births, Living people, Swiss footballers, Swiss football managers, Sportspeople from Basel
Salmonella	Gram-negative bacteria
Paul Sturrock	1956 births, Living people, Scottish footballers, Scottish football managers
Avi Ran	1963 births, 1987 deaths, Association football goalkeepers, Israeli footballers, Jewish Israeli sportspeople
Mark Viduka	1975 births, Living people, Australian footballers, Sportspeople from Melbourne
Baichung Bhutia	1976 births, Living people, Indian footballers
Matthew Le Tissier	1968 births, Living people, English footballers, Guernsey
Amarok (software)	KDE
Ignoratio elenchi	Figures of speech, Logical fallacies
Informal fallacy	Logical fallacies, Critical thinking
Great Western Railway	Rail transport in Great Britain, Defunct railway companies of the United Kingdom, 1833 establishments, 1948 disestablishments in the United Kingdom, 1830s establishments in the United Kingdom
Stimulant	Chemistry, Drugs
Benzylpiperazine	Drugs
Turkish new lira	Turkish currency
Oedipus	Ancient Greece, Incest in fiction, Mythology
Gundam	Anime
Self-injury	Psychology
Guildford	Towns in Surrey, County towns in England
Socratic method	Human communication, Philosophy
Bill Maher	1956 births, Living people, American stand-up comedians, American political commentators, American television talk show hosts, Actors from New York City, American movie actors, American television actors, Comedians from New York City
Friedrich Hund	1896 births, 1997 deaths, German academics, German physicists, People from Karlsruhe
Ubuntu Live USB creator	Linux software
Shigella	Gram-negative bacteria
Puppet	Puppets
Paranthropus	Australopithecines
Lake Toba	Geography of Indonesia
Fatimah Jinnah Park	Islamabad, Parks in Pakistan
Hazratbal Shrine	Mosques in India, Srinagar
Jama Masjid, Srinagar	Mosques in India, Srinagar, 1394 establishments, 14th century establishments in India
Dachigam National Park	National parks in India
Hemis National Park	National parks in India
Kishtwar National Park	National parks in Pakistan
Salim Ali National Park	National parks in Pakistan
Ulysses (spacecraft)	NASA spacecraft, ESA spacecraft
Dual-tone multi-frequency	Telephone
Equilibrioception	Sensory system, Health, Fitness
Violence in ice hockey	Ice hockey
Gerard K. O'Neill	1927 births, 1992 deaths, American physicists, Cornell University alumni, Scientists from New York City
Rosary	Roman Catholicism
Kazakh language	Languages of Asia
Dunfermline Athletic F.C.	Scottish football clubs, 1885 establishments in the United Kingdom, 1880s establishments in Scotland
Greenock Morton F.C.	Scottish football clubs, 1874 establishments in Scotland
Livingston F.C.	Scottish football clubs, 1943 establishments in Europe, 1940s establishments in Scotland
Queen of the South F.C.	Scottish football clubs, 1919 establishments in the United Kingdom, 20th century establishments in Scotland
Ross County F.C.	Scottish Premier League clubs, 1929 establishments in Europe, 1920s establishments in Scotland
Irn-Bru	Soft drinks
Scottish Football League First Division	Scottish Football League, 1890 establishments in the United Kingdom, 1890s establishments in Scotland
Rain gauge	Measuring tools
Zürich S-Bahn	Rapid transit systems, Zürich, Transport in Switzerland
Thousand Foot Krutch	2000s music groups, 1990s music groups, Christian music bands, Canadian rock bands, Nu metal bands
Rosh Hashanah	Jewish festivals and holidays
Mass noun	Grammar
Dianthus	Caryophyllaceae
American Dream	American culture
Jason Upton	1973 births, Living people, Singers from Minneapolis, Minnesota, American singer-songwriters, Christian music singers
Richard Dean Anderson	1950 births, Living people, American movie actors, American television actors, Actors from Minneapolis, Minnesota, Ohio University alumni
Michael Shanks	1970 births, Canadian movie actors, Canadian television actors, Living people, People from Vancouver
Mycobacterium leprae	Gram-positive bacteria
Smells Like Teen Spirit	1991 songs, Nirvana songs
Mycobacterium tuberculosis	Gram-negative bacteria
Billabong (clothing)	Companies of Australia, Clothing companies
George Sand	1804 births, 1876 deaths, Feminists, French novelists, Writers from Paris, Pen names, French autobiographers, French culture, French feminists, French journalists, French literature, French nobility, French people, French playwrights, French socialists, French writers, LGBT writers, People from Centre-Val de Loire, People from Paris, Political activists
Type 23 frigate	British warships, Military of Chile
Nuremberg Laws	History of Germany, Legislation
Thrice	American rock bands, Musical groups from California, Irvine, California, Musical groups established in 1998, 1998 establishments in California, Musical groups disestablished in 2012, 2012 disestablishments in the United States, 2010s disestablishments in California
Sidewalk	Transport infrastructure
BMW	BMW, Companies listed on the DAX, 1916 establishments in Europe, 1910s establishments in Germany
Mazda	Automobile companies of Japan, Hiroshima, 1920 establishments in Asia, 1920s establishments in Japan
Itapema	Cities in Santa Catarina
Animal testing	Animal rights
Campylobacter	Gram-negative bacteria, Diseases caused by bacteria
Emperor Taishō	Emperors of Japan, 1879 births, 1926 deaths, People from Kyoto Prefecture
Emperor Meiji	Emperors of Japan, People from Kyoto Prefecture, 1852 births, 1912 deaths
Trivium (band)	1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Thrash metal bands, Metalcore bands, Musical groups from Orlando, Florida, Musical groups established in 1999, 1999 establishments in the United States, 1990s establishments in Florida
Emily Browning	1988 births, Living people, Australian movie actors, Actors from Melbourne, Australian child actors
Trivium (liberal arts)	Middle Ages, Liberal arts, Cultural history
Ancient Greek boxing	Ancient Greece, Boxing
London School of Economics	1895 establishments in England, City of Westminster, Colleges and universities in London
Friedrich Hayek	1899 births, 1992 deaths, Austrian Nobel Prize winners, British academics, British economists, British Nobel Prize winners, British philosophers, Companions of Honour, Liberals, Libertarians, Naturalised citizens of the United Kingdom, Scientists from Vienna
Ancient Olympic Games	Olympic Games
Manhattan (movie)	1979 comedy movies, 1979 drama movies, 1970s comedy-drama movies, 1970s LGBT movies, 1970s romantic drama movies, American comedy-drama movies, American LGBT movies, American romantic comedy movies, American romantic drama movies, BAFTA Award winners, English-language movies, Movies directed by Woody Allen, Movies set in New York City, Screenplays by Woody Allen, United States National Film Registry movies
Match Point	2005 crime movies, 2005 drama movies, 2000s crime drama movies, 2000s crime thriller movies, Adultery in movies, British crime drama movies, British thriller movies, American crime drama movies, American thriller movies, Irish movies, Luxembourgian movies, French crime movies, French drama movies, French thriller movies, English-language movies, Movies about murderers, Movies directed by Woody Allen, Movies set in London
Punching bag	Sports equipment, Martial arts
Nocera Inferiore	Towns in Italy, Settlements in Campania
Nevado del Ruiz	Andes, Volcanoes of South America, Geography of Colombia
Tao	Taoism, Confucianism
Vitaceae	Plant families, Vitaceae
Vitis	Vitaceae
Smiley Smile	The Beach Boys albums, 1967 albums, Rock albums, Pop albums
Sulfur dioxide	Sulfur compounds, Oxides
Foreign policy	International relations
Dolná Krupá	Villages in Slovakia
Little Carpathians	Mountain ranges of the Carpathians, Mountains of Austria, Geography of Slovakia
Danubian Hills	Mountains of Europe, Geography of Slovakia
Human nature	Psychology, Humans
Krupá River	Rivers of Slovakia
Belly dance	Dances
Atreyu	American heavy metal bands, Metalcore bands, Musical groups from California, Roadrunner Records, Yorba Linda, California, Musical groups established in 1998, 1998 establishments in California, Musical groups disestablished in 2012, 2012 disestablishments in the United States, 2010s disestablishments in California
Michael Laudrup	1964 births, Living people, Danish footballers, Danish football managers
Clive Charles	1951 births, 2003 deaths, English footballers, Sportspeople from London
Paul Gascoigne	1967 births, 1990 FIFA World Cup players, English autobiographers, English footballers, English football managers, Living people, People with bipolar disorder, Sportspeople from County Durham, Sportspeople from Tyne and Wear, Tottenham Hotspur F.C. players, Premier League players
Marcel Desailly	1968 births, Living people, French footballers, People from Accra
Vinnie Jones	Celebrity Big Brother contestants, English footballers, English movie actors, English television actors, 1965 births, Living people, Premier League players, Actors from Hertfordshire, Sportspeople from Hertfordshire, People from Watford
Peter Schmeichel	Danish footballers, Association football goalkeepers, Manchester City F.C. players, Manchester United F.C. players, Strictly Come Dancing participants, 1963 births, Living people
Peter Shilton	1949 births, 1982 FIFA World Cup players, 1986 FIFA World Cup players, 1990 FIFA World Cup players, English football managers, English association football goalkeepers, Living people, Officers of the Order of the British Empire, Sportspeople from Leicester, Strictly Come Dancing participants, West Ham United F.C. players
Chris Coleman	1970 births, Living people, Welsh footballers, Welsh football managers, People from Swansea, Crystal Palace F.C. players
Marcus Hahnemann	1972 births, Living people, American footballers, Sportspeople from Seattle, Washington, Association football goalkeepers
Kit Symons	1971 births, Living people, English footballers, Welsh footballers, English football managers, Welsh football managers, People from Basingstoke, Sportspeople from Hampshire, Premier League players, Crystal Palace F.C. players, Manchester City F.C. players
Tim Howard	1979 births, Living people, American footballers, Sportspeople from New Jersey, Association football goalkeepers
Marcelo Salas	1974 births, Living people, Chilean footballers, People from La Araucanía Region
Duncan Edwards	1936 births, 1958 deaths, Aviation deaths, English footballers, Manchester United F.C. players, Sportspeople from Worcestershire
Roger Milla	1952 births, Living people, Cameroonian footballers
Toni Turek	1919 births, 1984 deaths, German association football goalkeepers, People from Duisburg, Sportspeople from North Rhine-Westphalia
Arthur, Prince of Wales	1486 births, 1502 deaths, House of Tudor
Farah River	Rivers of Afghanistan
Asuwa River	Rivers of Japan
Sagami River	Rivers of Japan
American Museum of Natural History	Museums in New York City, 1869 establishments in the United States, 1860s establishments in New York (state), Buildings and structures in Manhattan, New York City Designated Landmarks, Natural history museums
Janis Joplin	1943 births, 1970 deaths, American rock singers, American rock guitarists, Singer-songwriters from Texas, Drug-related accidental deaths in the United States, Mezzo-sopranos, Bisexual people
Ukulele	Plucked string instruments
Gary Glitter	1944 births, Living people, British prisoners, British sex offenders, Buddhists, Child sexual abusers, English criminals, English rock musicians, English singers, Musicians from Oxfordshire, Operation Yewtree, Vegetarians
Rick Astley	1966 births, Living people, English pop musicians, English singers, Musicians from Merseyside, Rick Astley
Swallows and Amazons (series)	Series of books, Children's books
Rick Astley discography	Rick Astley, Discographies
Arthur Ransome	1884 births, 1967 deaths, English writers, British journalists
Never Gonna Give You Up	Rick Astley songs, 1987 songs
Stanley Cup playoffs	Stanley Cup playoffs, National Hockey League, Stanley Cup
Deepak Chopra	1946 births, Living people, Indian writers, Physicians, HuffPost writers and columnists, People from New Delhi
Prime Minister of Israel	Lists of Israeli people, Lists of prime ministers, Prime Ministers of Israel
Abukuma River	Rivers of Japan
Agano River	Rivers of Japan
Arakawa River	Rivers of Japan
Chikugo River	Rivers of Japan
The Replacements (band)	American rock bands, American punk bands, Musical groups from Minnesota, Musicians from Minneapolis, Minnesota
Fuji River	Rivers of Japan
Hino River	Rivers of Japan
Jinzū River	Rivers of Japan
Uono River	Rivers of Japan
Ibi River	Rivers of Japan
Steely Dan	American rock bands, Jazz bands, Pop rock bands, Musical groups from New York
Mastodon (band)	American heavy metal bands, Musical groups from Atlanta, Georgia, Musical groups established in 2000, 2000 establishments in the United States, 2000s establishments in Georgia (U.S. state)
Tony Chimel	Living people, WWE people, People from New Jersey, People from Pennsylvania
Latin alphabet in Turkic countries	Latin alphabet, Turkey, Kazakhstan
Listeria	Gram-positive bacteria
American Eagle Outfitters	American clothing companies, 1977 establishments in the United States, 1970s establishments in Pennsylvania
Church of Scotland	Presbyterianism, Establishments in Scotland, 1560s establishments in Europe, 1560 establishments
Malcolm Young	1953 births, 2017 deaths, AC/DC, Deaths from dementia, Australian guitarists, Musicians from Glasgow, Musicians from Sydney, Australian songwriters, Australian rock musicians
A & C Black	Publishing companies of the United Kingdom, Book publishing companies, 1807 establishments, 1800s establishments in the United Kingdom
Lush	English pop music groups, Musical groups from London
Disturbed	1994 establishments in Illinois, 1990s American music groups, 2000s American music groups, 2010s American music groups, American heavy metal bands, Musical groups established in 1994, Musical groups from Chicago
Survivor (band)	1978 establishments in the United States, 1970s American music groups, 1970s establishments in Illinois, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, Grammy Award winners, Musical groups established in 1978, Musical groups from Chicago
Herne Bay	Towns in Kent
Murten	Cities in Switzerland, Municipalities of Fribourg, Imperial free cities
NOT gate	Logic gates
Paul Breitner	1951 births, Living people, German footballers, Sportspeople from Bavaria
Bobby Convey	1983 births, Living people, American footballers, Sportspeople from Philadelphia, Pennsylvania
Bruce Arena	1951 births, Living people, American footballers, American football managers, Sportspeople from New York City, Association football goalkeepers, Cornell University alumni
Jimmy Glass	1973 births, Living people, English association football goalkeepers, Sportspeople from Surrey
Miklós Fehér	1979 births, 2004 deaths, Deaths from cardiomyopathy, Hungarian footballers
Åge Hareide	1953 births, Living people, Norwegian footballers
Moussa Hojeij	1974 births, Living people, Lebanese footballers, People from Beirut, Football managers
Paul Mariner	1953 births, 2021 deaths, Deaths from brain cancer, English footballers, Sportspeople from Lancashire, English football managers
Reculver	Towns in Kent
Whitstable	Towns in Kent, Ports and harbours of the United Kingdom
Herne, Kent	Villages in Kent
Pier	Transport buildings and structures
CM Punk	1978 births, American atheists, American mixed martial artists, American professional wrestlers, Former WWE wrestlers, Living people, Sportspeople from Chicago, Total Nonstop Action Wrestling alumni
Charlie Haas	1972 births, American Christians, American professional wrestlers, Living people, Sportspeople from Houston, Texas, Former WWE wrestlers
Impossible object	Illusions, Art
Van Halen	1970s American music groups, 1980s American music groups, 1990s American music groups, 2000s American music groups, 2010s American music groups, Grammy Award winners, American hard rock bands, American heavy metal bands, Musical groups from California, Pasadena, California, Musical groups established in 1972, 1972 establishments in California, Warner Bros. Records artists
Alliance for the Future of Austria	Political parties in Austria
Idealism	Philosophical movements and positions, Reality
Empiricism	Epistemology, Philosophical movements and positions
Stoicism	Philosophical concepts
William Godwin	1756 births, 1836 deaths, English philosophers, English journalists, Anarchists
Rose garden	Agriculture, Roses, Gardening
Peter Kropotkin	Anarchists, Russian writers, 1842 births, 1921 deaths
Anarcho-communism	Communism, Anarchism
Johann Baptist Martinelli	1701 births, 1754 deaths, Austrian architects, People from Vienna
Agorism	Anarcho-capitalism, Libertarianism
Anton Pius Riegel	1789 births, 19th century deaths, Austrian architects, Year of death unknown
Hesperomannia arbuscula	Asteraceae
Eureka Tower	Buildings and structures in Melbourne, Skyscrapers in Australia, 2006 establishments in Australia
Tay Zonday	1982 births, Living people, Singers from Minneapolis, Minnesota, American Internet celebrities
Antoine Dufour	1979 births, Canadian guitarists, Folk musicians, Living people, Musicians from Quebec
Vheissu	2005 albums
The Artist in the Ambulance	2003 albums
Chuck Palumbo	1971 births, American professional wrestlers, Living people, People from West Warwick, Rhode Island, Sportspeople from Rhode Island
Vince J. McMahon	1914 births, 1984 deaths, Businesspeople from New York City, Deaths from pancreatic cancer, WWE people, WWE Hall of Fame
René Adler	1985 births, Living people, German association football goalkeepers, Sportspeople from Saxony
Kreator	1980s establishments in Germany, 1980s German music groups, 1990s German music groups, 2000s German music groups, 2010s German music groups, Essen, German heavy metal bands, Musical groups established in 1982, Thrash metal bands
Gojira	Death metal bands
Colin Barnett	1950 births, Living people, Premiers of Western Australia, People from Perth, Western Australia, Liberal Party of Australia politicians
Nathan Rees	1968 births, Living people, Premiers of New South Wales, Politicians from Sydney, Australian Labor Party politicians
Anna Bligh	1960 births, Living people, Premiers of Queensland, Australian Labor Party politicians
Mike Rann	1953 births, Living people, Premiers of South Australia, People from Adelaide, Australian Labor Party politicians
David Bartlett	Premiers of Tasmania, People from Hobart, 1968 births, Living people, Australian Labor Party politicians
John Brumby	1953 births, Living people, Premiers of Victoria, Politicians from Melbourne, Australian Labor Party politicians, Australian educators
Quentin Bryce	1942 births, Living people, Australian lawyers, Governors of Queensland, Australian Governors-General, Politicians from Brisbane, Knights of Grace of the Order of St John, Order of Australia
Crich Tramway Village	Derbyshire, Tram transport in the United Kingdom, Open air museums, Museums in England
Blue-baby syndrome	Syndromes
Kings of Leon	American rock bands, Musical groups from Oklahoma
Plaster	Materials
Minaret	Architectural elements, Islamic architecture
Omi	History of Japan, Japanese language
Mining feasibility study	Mining
Free market	Economic markets, Libertarianism
Quba Mosque	Mosques in Saudi Arabia, Religion in Saudi Arabia
Alan Carpenter	1957 births, Living people, Premiers of Western Australia, Australian Labor Party politicians
Geoff Gallop	1951 births, Living people, Premiers of Western Australia, Australian Labor Party politicians
Renton, Washington	Cities in Washington (U.S. state)
Premier of Western Australia	Premiers of Western Australia
Christian Heinrich Nebbien	1778 births, 1841 deaths, German architects, People from Lübeck
Krompachy	Cities in Slovakia
Kingfisher	Coraciiformes
São José dos Pinhais	Cities in Paraná State
Yone Minagawa	Japanese supercentenarians, 1893 births, 2007 deaths, People from Fukuoka Prefecture
Richard G. Hovannisian	American historians, Living people, 1932 births
Armenians in the Ottoman Empire	History of Armenia
Armenian Question	Armenian Genocide
Annihilation	Nuclear physics, Antimatter
South Asian river dolphin	River dolphins
Phone Booth (movie)	2003 crime movies, 2000s crime thriller movies, 20th Century Fox movies, American crime thriller movies, English-language movies, Movies directed by Joel Schumacher, Movies set in New York City
Beltway sniper attacks	2002 in the United States, 2000s in Maryland, 2000s in Virginia, 2000s in Washington, D.C., Crime in Virginia, Crime in Washington, D.C., Murder in 2002, Murder in the 21st century in the United States, Murders by firearm in the United States, October events, Terrorist attacks in the United States, Terrorist incidents in the 2000s
Ulmus wallichiana	Plants and animals of Kashmir, Ulmaceae
Central Karakoram National Park	National parks in Pakistan
Chitral National Park	National parks in Pakistan
Richard Court	1947 births, Living people, Premiers of Western Australia, Liberal Party of Australia politicians
Hazarganji-Chiltan National Park	National parks in Pakistan
Hingol National Park	National parks in Pakistan
Khunjerab National Park	National parks in Pakistan
Kirthar National Park	National parks in Pakistan
Lehri Nature Park	National parks in Pakistan
Carmen Lawrence	1948 births, Living people, Premiers of Western Australia, Australian Labor Party politicians, Government ministers of Australia
Machiara National Park	National parks in Pakistan
Margala Hills National Park	National parks in Pakistan
Cholistan desert	Deserts of Pakistan
Peter Dowding	1943 births, Living people, Premiers of Western Australia, Politicians from Melbourne, Australian lawyers, Australian Labor Party politicians
Indus Valley Desert	Deserts of Pakistan
Kharan desert	Deserts of Pakistan
Thal desert	Deserts of Pakistan
Flag of Texas	United States state flags, Texas
Benny Benson	People from Alaska, Deaths from myocardial infarction, 1913 births, 1972 deaths
Bowling for Soup	1994 establishments in Texas, 1990s American music groups, 2000s American music groups, 2010s American music groups, American rock bands, American punk bands, Musical groups established in 1994, Musical groups from Texas, Pop punk bands
Flag of Alaska	United States state flags, Alaska
2005 civil unrest in France	2005 crimes, 2005 in Europe, 2000s crimes in Europe, 2000s in France, 2000s riots, Crime in France, November events, October 2005 events, Riots in Europe
ASCII	Data input, Encodings
Vantage Point	2008 movies, American movies, Multilingual movies
Flag of Hawaii	United States state flags, Hawaii
2010 FIFA World Cup	FIFA World Cup, 2010 in association football, Football in South Africa, 2010s in South Africa
