Compact disc	Compact Disc
Trossingen	Tuttlingen
The Smurfs	Smurfs
Istanbul	Istanbul, World Heritage Sites in Turkey
ABBA	1970s Swedish music groups, 1980s Swedish music groups, Eurovision Song Contest winners, Musical groups disestablished in 1982, Musical groups established in 1972, Stockholm, Swedish pop music groups, 1972 establishments in Sweden, 1982 disestablishments in Europe, 1980s disestablishments in Sweden
Gregg Allman	1947 births, 2017 deaths, Deaths from liver cancer, American guitarists, Musicians from Nashville, Tennessee, Southern rock musicians, American rock musicians, Blues musicians, Gospel musicians
Allman Brothers Band	American rock bands, Blues bands, Musical groups from Florida, Musicians from Jacksonville, Florida, Southern rock bands, Musical groups established in 1969, 1969 establishments in the United States, 1960s establishments in Florida, 1976 disestablishments in the United States, 20th-century disestablishments in Florida, Musical groups established in 1978, 1978 establishments in the United States, 1970s establishments in Florida, Musical groups disestablished in 1982, 1982 disestablishments in the United States, Musical groups established in 1989, 1989 establishments in the United States, 1980s establishments in Florida
London Borough of Hackney	London Borough of Hackney
John Frost Bridge	Bridges, Buildings and structures in the Netherlands, Transport in the Netherlands, Arnhem
Vengaboys	1990s Dutch music groups, 2000s Dutch music groups, 2010s music groups, Dance music groups, Musical groups established in 1997, Pop music groups
Pope Benedict XVI	1927 births, Living people, German popes, Order of Merit of the Federal Republic of Germany, People from Bavaria
Guan Gong	160 births, 219 deaths, Three Kingdoms generals, Chinese gods and goddesses
Subsistence farming	Agriculture
River Clyde	Rivers of Scotland
Electric charge	Electricity, Magnetism
Argyroxiphium	Asterales
Mr. Pacman	American pop music groups, Electronic music bands, Musical groups from Colorado, Musical groups established in 2001, 2001 establishments in the United States, 2000s establishments in Colorado
Music video	Music media, Movies
Hip hop	Hip hop, Music genres
Color blindness	Diseases and disorders of the eye, Genetic disorders, Tests
Sopron	Cities in Hungary, Wine regions
Sumo	Sport in Japan, Wrestling
List of German districts	Local government of Germany, Districts of Germany, Germany-related lists
Bremen (state)	Bremen (state)
Saxony-Anhalt	Saxony-Anhalt
Erfurt	Erfurt, Urban Districts of Thuringia
Magdeburg	Magdeburg, Urban districts of Saxony-Anhalt
Romance languages	Romance languages
Stellar evolution	Astrophysics
Genetics	Genetics
Church Square Park	New Jersey, Parks in the United States
Supply	Microeconomics
Demand	Microeconomics
Transaction	Commerce
Encyclopædia Britannica	Encyclopædia Britannica, Encyclopedias
Pipeline	Technology
Avocado	Avocados
Ice hockey	Hockey, Ice hockey, Ice sports, Skating, Team sports, Winter Olympic sports, Winter sports
1492	1492
Virtues of Harmony	Sitcoms, 2001 television series debuts, 2000s establishments in Asia, 2005 television series endings, 21st century disestablishments in Asia
Ashford, Kent	Towns in Kent
Song	Basic English 850 words, Songs
Magnesium	Alkaline earth metals, Alkali metals
Dan Brown	American novelists, Writers from New Hampshire, 1964 births, Living people
Thurso	Towns in Scotland
Penzance	Towns in Cornwall, Civil parishes in Cornwall
The Tonight Show	1954 television series debuts, 1950s American television series, 1960s American television series, 1970s American television series, 1980s American television series, 1990s American television series, 2000s American television series, 2010s American television series, American television talk shows, NBC network shows
January 17	Days of the year
Antoni Grabowski	1857 births, 1921 deaths, Deaths from myocardial infarction, Engineers, Esperantists, Polish people
Fire	Basic English 850 words, Fire
Five solas	Protestant theology, Protestant Reformation
Göran Persson	1949 births, Living people, Government ministers of Sweden, Prime Ministers of Sweden
Jane Fonda	1937 births, Living people, Academy Award winning actors, Movie producers from New York City, Screenwriters from New York City, Models from New York City, Actors from New York City, Breast cancer survivors, People with cancer, American feminists, American movie actors, American television actors, American stage actors, American voice actors, American feminist writers, American political activists
Physician	Physicians, Healthcare occupations
Buffy the Vampire Slayer	1997 American television series debuts, 2003 American television series endings, 1990s American drama television series, 2000s American drama television series, American fantasy television series, American horror television series, American teen drama television series, College television series, High school television series, Television series created by Joss Whedon, Television series set in California, UPN network shows, Whedonverse, WB network shows, English-language television programs, The WB original programming
Vampire	Mythology, Legendary creatures, Folklore
Academic degree	Academia, Academic degrees
High school	Types of educational institutions
Public school	Types of educational institutions, Schools in the United Kingdom, Schools in the United States
Seoul	Seoul, Olympic cities
May 8	Days of the year
July 25	Days of the year
Welfare state	Politics
Athlete (band)	Musical groups from London
Organic chemistry	Chemistry
Proton	Subatomic particles
July 26	Days of the year
April 7	Days of the year
March 16	Days of the year
1774	1774
Clint Eastwood	1930 births, Living people, Academy Award winning directors, Actors from San Francisco, American mayors, American movie actors, American television actors, American television directors, American television writers, Military people from California, Movie directors from California, Movie producers from California, Politicians from California, Screen Actors Guild Award winners, US Republican Party politicians
Spaghetti Western	Western movies
Disneyland	1955 establishments in California, Anaheim, California, Disney theme parks, Theme parks in California
Boroughs of Berlin	Boroughs in Berlin
Superhuman	Fiction
Real Madrid CF	Spanish football clubs, Madrid, 1902 establishments in Europe, 1900s establishments in Spain
1874	1874
Bigfoot	American folklore, Cryptozoology
The Da Vinci Code	2003 books, 20th century American novels, English-language novels
1959	1959
1957	1957
1966	1966
Peugeot	19th century establishments in France, Automobile companies of France
Milton Keynes	Milton Keynes
Calais	Communes in Pas-de-Calais, Port cities and towns of the North Sea, Subprefectures in France
December 2	Days of the year
A Clockwork Orange	1962 books, Antisocial personality disorder in fiction, Crime fiction books, English novels, Fiction set in the future, Rape in fiction
False	Logic, Basic English 850 words
Marine biology	Biology
President of Russia	Presidents of Russia
Silvio Berlusconi	1936 births, Living people, Fraudsters, Italian businesspeople, Italian Roman Catholics, People acquitted of sex crimes, People from Milan, MEPs for Italy, Politicians from Lombardy, Prime Ministers of Italy
Burundi	Burundi, States and territories established in the 1960s, 1962 establishments in Africa, French-speaking countries, Least developed countries
Espoo	Espoo
Hospital	Basic English 850 words, Hospitals
Nose	Basic English 850 words, Sensory system, Anatomy of the respiratory system, Face
Love	Basic English 850 words, Emotions, Healthy lifestyle
Michael Jackson	1958 births, 2009 deaths, African American actors, African American musicians, American autobiographers, American manslaughter victims, American philanthropists, American drummers, American guitarists, American pianists, American pop musicians, American R&B musicians, Jackson family, American singer-songwriters, Brit Award winners, Grammy Award winners, Deaths from cardiac arrest, Drug-related accidental deaths in the United States, New wave musicians, Michael Jackson, People acquitted of sex crimes, People from Gary, Indiana, Singers from Indiana
History of graphic design	Graphics, History of printing, Communication
Pornography	Pornography
Nudity	Nudity
Kingdom	Monarchy
Protestantism	Protestantism
Algiers	Algiers, 10th-century establishments in Africa, Establishments in Algeria, 944 establishments
Arles	Arles, Subprefectures in France
Certificate	Awards
Daily Mail	1896 establishments in the United Kingdom, Newspapers published in the United Kingdom
Rhineland-Palatinate	Rhineland-Palatinate, Wine regions
Rhine River	Geography of Baden-Württemberg, Geography of North Rhine-Westphalia, Geography of Rhineland-Palatinate, Rivers of Austria, Rivers of France, Rivers of Germany, Rivers of Liechtenstein, Rivers of the Netherlands, Rivers of Switzerland, Vorarlberg, Grand Est, Gelderland, South Holland, Utrecht (province)
Robber baron	History of Germany, People
Winery	Wine
Sugar	Basic English 850 words, Carbohydrates, Chemical compounds, Sweeteners
Canterbury	Canterbury
Huddersfield	Huddersfield
Anti-tank dog	Military animals
October 2	Days of the year
January 2	Days of the year
January 5	Days of the year
January 6	Days of the year
January 7	Days of the year
Eyeglasses	Eye, Optics
Goa	Goa, States of India
Second language	Language
Ido	Esperanto, Constructed languages
Javier Solana	1942 births, Living people, Spanish diplomats, European Union politicians, Secretaries General of NATO, People from Madrid, Physicists, Spanish politicians, Spanish scientists
Paragraph	Grammar, Typography, Writing
Lansing, Michigan	Lansing, Michigan, State capitals in the United States, 1835 establishments in Michigan Territory
Parody	Parodies
Fact	Basic English 850 words, Philosophy
Victim	Criminal justice
Culprit	law
Shot put	Events in athletics
Hitchhiking	Transport
Owl	Strigiformes
Copyright infringement	Property crimes, Copyright
International Women's Day	Holidays, Human rights
May Day	Holidays, May events
Beirut	Phoenicia, Beirut
Nancy Ajram	1983 births, Living people, Lebanese Christians, Lebanese singers
Fairuz	1935 births, Living people, Lebanese Christians, Lebanese singers
Sword	Swords
Moses	Religious leaders, Old Testament people, Ancient Israeli people
Canaan	Ancient Israel and Judah, Former countries in the Middle East, History of Jordan, History of Lebanon, History of Syria
Prophet	Theology
Cotopaxi	Andes, Volcanoes of Ecuador, Mountains of Ecuador
Israelites	Jewish people, Ancient Israel and Judah
January 11	Days of the year
January 12	Days of the year
January 13	Days of the year
January 14	Days of the year
January 16	Days of the year
January 18	Days of the year
January 19	Days of the year
January 20	Days of the year
January 21	Days of the year
January 22	Days of the year
January 23	Days of the year
Bali	Bali
Flag of the People's Republic of China	China, National flags
The Prince	Works of philosophy
Round	Basic English 850 words
512	512
February 9	Days of the year
United Russia	Political parties in Russia
August 5	Days of the year
February 17	Days of the year
October 30	Days of the year
Tiger	Tigers, Felines
1735	1735
Leopard	Panthera, Mammals of Africa, Mammals of Asia
Jaguar	Panthera, Mammals of South America
Cheetah	Felines
January 28	Days of the year
October 16	Days of the year
1794	1794
September 18	Days of the year
Quartz	Minerals
Pink Floyd	Musical groups established in 1965, 1965 establishments in England, Musical groups disestablished in 1994, 1990s disestablishments in England, 1960s British music groups, 1970s British music groups, 1980s British music groups, 1990s British music groups, English rock bands, Musical groups from London, Pink Floyd, Progressive rock bands
Pope John Paul I	1912 births, 1978 deaths, Deaths from myocardial infarction, Italian popes, People from Veneto, Servants of God
October 17	Days of the year
1912	1912
Ted Cassidy	American television actors, American movie actors, American stage actors, American voice actors, Actors from Pittsburgh, Pennsylvania, 1932 births, 1979 deaths, Deaths from surgical complications, Cardiovascular disease deaths in the United States
July 31	Days of the year
Aileen Wuornos	1956 births, 2002 deaths, American LGBT sex industry people, American prostitutes, Bisexual people, Criminals from Michigan, Executed American serial killers, LGBT criminals, People executed by lethal injection, People with antisocial personality disorder, People with borderline personality disorder, People from Troy, Michigan
May 20	Days of the year
June 11	Days of the year
April 5	Days of the year
January 26	Days of the year
January 27	Days of the year
February 1	Days of the year
February 5	Days of the year
February 8	Days of the year
February 15	Days of the year
February 10	Days of the year
February 16	Days of the year
February 19	Days of the year
February 23	Days of the year
February 25	Days of the year
February 26	Days of the year
February 27	Days of the year
February 28	Days of the year
Crater	Craters
Store	Basic English 850 words
1930	1930
1857	1857
1887	1887
March 1	Days of the year
March 2	Days of the year
March 9	Days of the year
March 10	Days of the year
March 30	Days of the year
March 27	Days of the year
March 25	Days of the year
March 23	Days of the year
March 19	Days of the year
March 15	Days of the year
March 14	Days of the year
March 13	Days of the year
March 12	Days of the year
March 11	Days of the year
April 3	Days of the year
April 6	Days of the year
April 9	Days of the year
April 25	Days of the year
April 26	Days of the year
April 24	Days of the year
April 27	Days of the year
April 18	Days of the year
April 19	Days of the year
April 22	Days of the year
April 21	Days of the year
April 29	Days of the year
April 30	Days of the year
April 16	Days of the year
April 10	Days of the year
April 11	Days of the year
April 12	Days of the year
April 13	Days of the year
May 9	Days of the year
May 7	Days of the year
May 6	Days of the year
May 5	Days of the year
May 4	Days of the year
May 2	Days of the year
May 23	Days of the year
May 22	Days of the year
May 31	Days of the year
May 15	Days of the year
May 16	Days of the year
May 10	Days of the year
May 11	Days of the year
May 14	Days of the year
May 21	Days of the year
May 27	Days of the year
May 26	Days of the year
May 25	Days of the year
May 17	Days of the year
July 3	Days of the year
July 6	Days of the year
July 7	Days of the year
July 2	Days of the year
July 9	Days of the year
July 8	Days of the year
June 6	Days of the year
June 2	Days of the year
June 3	Days of the year
June 9	Days of the year
June 8	Days of the year
June 7	Days of the year
November 7	Days of the year
November 6	Days of the year
November 5	Days of the year
November 2	Days of the year
November 3	Days of the year
November 4	Days of the year
December 1	Days of the year
December 4	Days of the year
December 5	Days of the year
December 6	Days of the year
December 7	Days of the year
December 8	Days of the year
December 9	Days of the year
November 8	Days of the year
November 9	Days of the year
May 13	Days of the year
October 9	Days of the year
October 7	Days of the year
October 6	Days of the year
October 5	Days of the year
October 3	Days of the year
October 1	Days of the year
September 2	Days of the year
September 4	Days of the year
September 5	Days of the year
September 6	Days of the year
September 8	Days of the year
August 6	Days of the year
August 4	Days of the year
August 3	Days of the year
August 2	Days of the year
August 1	Days of the year
August 7	Days of the year
August 9	Days of the year
Transgender	LGBT variations, Transgender
August 28	Days of the year
August 21	Days of the year
August 23	Days of the year
August 30	Days of the year
August 31	Days of the year
August 24	Days of the year
August 25	Days of the year
August 26	Days of the year
August 27	Days of the year
August 20	Days of the year
August 19	Days of the year
August 18	Days of the year
August 17	Days of the year
August 15	Days of the year
August 14	Days of the year
August 13	Days of the year
August 11	Days of the year
August 10	Days of the year
August 22	Days of the year
1485	1485
Noon	Parts of a day
24-hour clock	Time
Fifth Avenue	Roads in New York City
Yarm	Towns in North Yorkshire
Ulster Volunteer Force	1966 establishments in the United Kingdom, 20th century establishments in Northern Ireland, Nationalist organisations in the United Kingdom
June 12	Days of the year
1254	1254
1473	1473
1898	1898
Spanish–American War	1898, 1898 in the United States, Wars involving Spain, Wars involving the United States
Infection	Infectious diseases, Microbiology, Parasitism
Minesweeper (video game)	Microsoft software, Windows games
Fishing	Fishing, Survival skills
Confederate States of America	Unrecognized countries, Confederate States of America
A Tale of Two Cities	1859 books, Books by Charles Dickens, English novels, English-language novels
Fiji	Fiji, Commonwealth member states, 1970 establishments in Oceania
Fijian language	Austronesian languages, Languages of Oceania, Fiji
1922	1922
Legend	Legends, Oral tradition
Fountain of Youth	Mythology
Ho Chi Minh City	Cities in Vietnam
Apricot	Prunus
Contraction	Grammar
Tonga	Tonga, Current monarchies, 1970 establishments in Oceania
Filippo Azzaiolo	1530 births, 1569 deaths, Italian composers, Renaissance composers
June 10	Days of the year
June 25	Days of the year
June 13	Days of the year
June 14	Days of the year
June 15	Days of the year
June 16	Days of the year
June 17	Days of the year
June 18	Days of the year
June 19	Days of the year
June 26	Days of the year
June 30	Days of the year
June 28	Days of the year
June 27	Days of the year
June 22	Days of the year
June 23	Days of the year
June 24	Days of the year
June 29	Days of the year
July 24	Days of the year
July 11	Days of the year
July 12	Days of the year
July 10	Days of the year
July 21	Days of the year
July 22	Days of the year
July 14	Days of the year
July 15	Days of the year
July 18	Days of the year
July 19	Days of the year
July 27	Days of the year
July 28	Days of the year
July 29	Days of the year
July 23	Days of the year
September 10	Days of the year
September 30	Days of the year
September 27	Days of the year
September 25	Days of the year
September 20	Days of the year
September 21	Days of the year
September 22	Days of the year
September 23	Days of the year
September 24	Days of the year
September 12	Days of the year
September 13	Days of the year

