Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Sergeant Bluff, Iowa	Cities in Iowa
Seymour, Iowa	Cities in Iowa
Shambaugh, Iowa	Cities in Iowa
Shannon City, Iowa	Cities in Iowa
Sharpsburg, Iowa	Cities in Iowa
Sheffield, Iowa	Cities in Iowa
Shelby, Iowa	Cities in Iowa
Sheldahl, Iowa	Cities in Iowa
Sheldon, Iowa	Cities in Iowa
Shell Rock, Iowa	Cities in Iowa
Shellsburg, Iowa	Cities in Iowa
Shenandoah, Iowa	Cities in Iowa
Sherrill, Iowa	Cities in Iowa
Shueyville, Iowa	Cities in Iowa
Sibley, Iowa	Cities in Iowa, County seats in Iowa
Sidney, Iowa	Cities in Iowa, County seats in Iowa
Sigourney, Iowa	Cities in Iowa, County seats in Iowa
Silver City, Iowa	Cities in Iowa
Sioux Center, Iowa	Cities in Iowa
Sioux City, Iowa	Cities in Iowa, County seats in Iowa
Sioux Rapids, Iowa	Cities in Iowa
Slater, Iowa	Cities in Iowa
Spy Kids	2001 movies, Multilingual movies, Movies directed by Robert Rodriguez, Spy Kids
Sloan, Iowa	Cities in Iowa
Smithland, Iowa	Cities in Iowa
Soldier, Iowa	Cities in Iowa
Solon, Iowa	Cities in Iowa
Somers, Iowa	Cities in Iowa
South English, Iowa	Cities in Iowa
Spencer, Iowa	Cities in Iowa, County seats in Iowa
Spillville, Iowa	Cities in Iowa
Spirit Lake, Iowa	Cities in Iowa, County seats in Iowa
Spragueville, Iowa	Cities in Iowa
Spring Hill, Iowa	Cities in Iowa
Springbrook, Iowa	Cities in Iowa
University of Michigan Law School	University of Michigan campus, 1859 establishments in Michigan
Springville, Iowa	Cities in Iowa
St. Ansgar, Iowa	Cities in Iowa
St. Anthony, Iowa	Cities in Iowa
St. Charles, Iowa	Cities in Iowa
St. Donatus, Iowa	Cities in Iowa
St. Lucas, Iowa	Cities in Iowa
St. Marys, Iowa	Cities in Iowa
St. Olaf, Iowa	Cities in Iowa
St. Paul, Iowa	Cities in Iowa
Stacyville, Iowa	Cities in Iowa
Stanhope, Iowa	Cities in Iowa
Stanton, Iowa	Cities in Iowa
Stanwood, Iowa	Cities in Iowa
State Center, Iowa	Cities in Iowa
Steamboat Rock, Iowa	Cities in Iowa
Palomar Observatory	Astronomical observatories in California, San Diego County, California
Addison, Texas	Cities in Texas, Settlements in Dallas County, Texas
Law school	Education, Law
European Southern Observatory	Astronomical observatories in Chile, 1962 establishments in Europe
Legal education	Education by subject
Wind farm	Wind farms
Slide rule	Mathematical tools
Emerson Sheik	1978 births, Living people, Brazilian footballers, Qatari people
Albert Nađ	1974 births, Living people, Serbian footballers
Hajime Moriyasu	1968 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Sanfrecce Hiroshima players, Kyoto Sanga FC players, Vegalta Sendai players, Japan national football team managers, 1995 King Fahd Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Rahman Rezaei	1975 births, Living people, Iranian footballers
Muhsin Musabah	1964 births, Living people, Sport in the United Arab Emirates, Association football goalkeepers
Juan Sebastián Verón	1975 births, Living people, Argentine footballers
Claudio López	1974 births, Living people, Argentine footballers
Wagner Lopes	1969 births, Living people, Brazilian-Japanese footballers, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Japan Soccer League players, Yokohama F. Marinos players, Kashiwa Reysol players, Honda FC players, Shonan Bellmare players, Nagoya Grampus players, FC Tokyo players, Avispa Fukuoka players, 1998 FIFA World Cup players
Motohiro Yamaguchi	1969 births, Living people, Footballers from Gunma Prefecture, Japan international footballers, Japanese football managers, J1 League players, J2 League players, Japan Soccer League players, Yokohama Flügels players, Nagoya Grampus players, Albirex Niigata players, Yokohama FC players, 1998 FIFA World Cup players, 1995 King Fahd Cup players, 1996 AFC Asian Cup players
Álvaro Recoba	1976 births, Living people, Uruguayan footballers, Sportspeople from Montevideo
Roberto Abbondanzieri	1972 births, Living people, Argentine footballers, Association football goalkeepers
Park Ji-sung	1981 births, Living people, South Korean footballers, People from Seoul
Yoshikazu Nagai	1952 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players
Honda FC	Japanese football clubs, 1971 establishments in Asia, 1970s establishments in Japan
Tokushima Vortis	Japanese football clubs
Ehime FC	Japanese football clubs, Ehime Prefecture
The Great Gatsby	1925 books, Books by F. Scott Fitzgerald, 20th century American novels, English-language novels, Adultery in fiction, New York City in fiction, Romance novels
Sagawa Shiga FC	Japanese football clubs
Communes of the Aube department	Communes in Aube, Lists of communes of France
Ailleville	Communes in Aube
Aix-en-Othe	Former communes in Aube
Allibaudières	Communes in Aube
Amance, Aube	Communes in Aube
Arcis-sur-Aube	Communes in Aube
Arconville	Communes in Aube
Argançon	Communes in Aube
Arrelles	Communes in Aube
Arrembécourt	Communes in Aube
Arrentières	Communes in Aube
Arsonval	Communes in Aube
Assencières	Communes in Aube
Assenay	Communes in Aube
Aubeterre	Communes in Aube
Aulnay, Aube	Communes in Aube
Auxon, Aube	Communes in Aube
Avant-lès-Marcilly	Communes in Aube
Avant-lès-Ramerupt	Communes in Aube
Avirey-Lingey	Communes in Aube
Avon-la-Pèze	Communes in Aube
Avreuil	Communes in Aube
Bagneux-la-Fosse	Communes in Aube
Bailly-le-Franc	Communes in Aube
Balignicourt	Communes in Aube
Balnot-la-Grange	Communes in Aube
Balnot-sur-Laignes	Communes in Aube
Barberey-Saint-Sulpice	Communes in Aube
Barbuise	Communes in Aube
Baroville	Communes in Aube
Bar-sur-Aube	Communes in Aube, Subprefectures in France
Bar-sur-Seine	Communes in Aube
Bayel	Communes in Aube
Bercenay-en-Othe	Communes in Aube
Bercenay-le-Hayer	Communes in Aube
Bergères	Communes in Aube
Bernon	Communes in Aube
Bertignolles	Communes in Aube
Bérulle	Communes in Aube
Bessy	Communes in Aube
Bétignicourt	Communes in Aube
Beurey	Communes in Aube
Blaincourt-sur-Aube	Communes in Aube
Blignicourt	Communes in Aube
Bligny, Aube	Communes in Aube
Les Bordes-Aumont	Communes in Aube
Bossancourt	Communes in Aube
Bouilly, Aube	Communes in Aube
Boulages	Communes in Aube
Bouranton	Communes in Aube
Bourdenay	Communes in Aube
Bourguignons	Communes in Aube
Bouy-Luxembourg	Communes in Aube
Bouy-sur-Orvin	Communes in Aube
Bragelogne-Beauvoir	Communes in Aube
Braux, Aube	Communes in Aube
Bréviandes	Communes in Aube
Brévonnes	Communes in Aube
Briel-sur-Barse	Communes in Aube
Brienne-la-Vieille	Communes in Aube
Brienne-le-Château	Communes in Aube
Brillecourt	Communes in Aube
Bucey-en-Othe	Communes in Aube
Buchères	Communes in Aube
Buxeuil, Aube	Communes in Aube
Buxières-sur-Arce	Communes in Aube
Celles-sur-Ource	Communes in Aube
Chacenay	Communes in Aube
La Chaise	Communes in Aube
Chalette-sur-Voire	Communes in Aube
Chamoy, Aube	Communes in Aube
Champfleury, Aube	Communes in Aube
Champignol-lez-Mondeville	Communes in Aube
Champigny-sur-Aube	Communes in Aube
Champ-sur-Barse	Communes in Aube
Channes	Communes in Aube
Chaource	Communes in Aube
La Chapelle-Saint-Luc	Communes in Aube
Chapelle-Vallon	Communes in Aube
Chappes, Aube	Communes in Aube
Charmont-sous-Barbuise	Communes in Aube
Charmoy, Aube	Communes in Aube
Charny-le-Bachot	Communes in Aube
Chaserey	Communes in Aube
Châtres, Aube	Communes in Aube
Chauchigny	Communes in Aube
Chaudrey	Communes in Aube
Chauffour-lès-Bailly	Communes in Aube
Chaumesnil	Communes in Aube
Chavanges	Communes in Aube
Le Chêne	Communes in Aube
Chennegy	Communes in Aube
Chervey	Communes in Aube
Chesley, Aube	Communes in Aube
Chessy-les-Prés	Communes in Aube
Clérey	Communes in Aube
Coclois	Communes in Aube
Colombé-la-Fosse	Communes in Aube
Colombé-le-Sec	Communes in Aube
Cormost	Communes in Aube
Courcelles-sur-Voire	Communes in Aube
Coursan-en-Othe	Communes in Aube
Courtaoult	Communes in Aube
Courtenot	Communes in Aube
Courteranges	Communes in Aube
Courteron	Communes in Aube
Coussegrey	Communes in Aube
Couvignon	Communes in Aube
Crancey	Communes in Aube
Creney-près-Troyes	Communes in Aube
Crésantignes	Communes in Aube
Crespy-le-Neuf	Communes in Aube
Les Croûtes	Communes in Aube
Cunfin	Communes in Aube
Cussangy	Communes in Aube
Dampierre, Aube	Communes in Aube
Davrey	Communes in Aube
Dienville	Communes in Aube
Dierrey-Saint-Julien	Communes in Aube
Dierrey-Saint-Pierre	Communes in Aube
Dolancourt	Communes in Aube
Dommartin-le-Coq	Communes in Aube
Donnement	Communes in Aube
Dosches	Communes in Aube
Dosnon	Communes in Aube
Droupt-Saint-Basle	Communes in Aube
Droupt-Sainte-Marie	Communes in Aube
Eaux-Puiseaux	Communes in Aube
Échemines	Communes in Aube
Éclance	Communes in Aube
Éguilly-sous-Bois	Communes in Aube
Engente	Communes in Aube
Épagne	Communes in Aube
Épothémont	Communes in Aube
Ervy-le-Châtel	Communes in Aube
Essoyes	Communes in Aube
Estissac	Communes in Aube
Étourvy	Communes in Aube
Étrelles-sur-Aube	Communes in Aube
Faux-Villecerf	Communes in Aube
Fay-lès-Marcilly	Communes in Aube
Fays-la-Chapelle	Communes in Aube
Ferreux-Quincey	Communes in Aube
Feuges	Communes in Aube
Fontaine, Aube	Communes in Aube
Fontaine-les-Grès	Communes in Aube
Fontaine-Mâcon	Communes in Aube
Fontenay-de-Bossery	Communes in Aube
Fontette	Communes in Aube
Fontvannes	Communes in Aube
La Fosse-Corduan	Communes in Aube
Fouchères, Aube	Communes in Aube
Fralignes	Communes in Aube
Fravaux	Communes in Aube
Fresnay	Communes in Aube
Fresnoy-le-Château	Communes in Aube
Fuligny	Communes in Aube
Gélannes	Communes in Aube
Géraudot	Communes in Aube
Les Grandes-Chapelles	Communes in Aube
Grandville, Aube	Communes in Aube
Les Granges	Communes in Aube
Gumery	Communes in Aube
Gyé-sur-Seine	Communes in Aube
Hampigny	Communes in Aube
Herbisse	Communes in Aube
Isle-Aubigny	Communes in Aube
Isle-Aumont	Communes in Aube
Jasseines	Communes in Aube
Jaucourt, Aube	Communes in Aube
Javernant	Communes in Aube
Jessains	Communes in Aube
Jeugny	Communes in Aube
Joncreuil	Communes in Aube
Jully-sur-Sarce	Communes in Aube
Juvancourt	Communes in Aube
Juvanzé	Communes in Aube
Juzanvigny	Communes in Aube
Lagesse	Communes in Aube
Laines-aux-Bois	Communes in Aube
Landreville	Communes in Aube
Lantages	Communes in Aube
Lassicourt	Communes in Aube
Laubressel	Communes in Aube
Lavau, Aube	Communes in Aube
Lentilles	Communes in Aube
Lesmont	Communes in Aube
Lévigny	Communes in Aube
Lhuître	Communes in Aube
Lignières, Aube	Communes in Aube
Lignol-le-Château	Communes in Aube
Lirey	Communes in Aube
Loches-sur-Ource	Communes in Aube
La Loge-aux-Chèvres	Communes in Aube
La Loge-Pomblin	Communes in Aube
Les Loges-Margueron	Communes in Aube
Longchamp-sur-Aujon	Communes in Aube
Longeville-sur-Mogne	Communes in Aube
Longpré-le-Sec	Communes in Aube
Longsols	Communes in Aube
Longueville-sur-Aube	Communes in Aube
La Louptière-Thénard	Communes in Aube
Lusigny-sur-Barse	Communes in Aube
Luyères	Communes in Aube
Macey, Aube	Communes in Aube
Machy, Aube	Communes in Aube
Magnant, Aube	Communes in Aube
Magnicourt	Communes in Aube
Magny-Fouchard	Communes in Aube
Mailly-le-Camp	Communes in Aube
Maison-des-Champs	Communes in Aube
Tool	Tools
Maisons-lès-Chaource	Communes in Aube
Maisons-lès-Soulaines	Communes in Aube
Maizières-la-Grande-Paroisse	Communes in Aube
Maizières-lès-Brienne	Communes in Aube
Maraye-en-Othe	Communes in Aube
Marcilly-le-Hayer	Communes in Aube
Marigny-le-Châtel	Communes in Aube
Marnay-sur-Seine	Communes in Aube
Marolles-lès-Bailly	Communes in Aube
Marolles-sous-Lignières	Communes in Aube
Mathaux	Communes in Aube
Maupas, Aube	Communes in Aube
Mergey	Communes in Aube
Le Mériot	Communes in Aube
Merrey-sur-Arce	Communes in Aube
Méry-sur-Seine	Communes in Aube
Mesgrigny	Communes in Aube
Mesnil-la-Comtesse	Communes in Aube
Mesnil-Lettre	Communes in Aube
Mesnil-Saint-Loup	Communes in Aube
Mesnil-Saint-Père	Communes in Aube
Mesnil-Sellières	Communes in Aube
Messon	Communes in Aube
Metz-Robert	Communes in Aube
Meurville	Communes in Aube
Puerto Escondido	Archaeological sites in North America, History of Honduras
Communes of Mayotte	Communes in Mayotte, Lists of communes of France
Koungou	Communes in Mayotte
Urea	Chemical compounds
Vrancea County	Counties of Romania
Mucus	Biochemistry, Exocrine system
Actias luna	Saturniidae
Tiësto	1969 births, Living people, DJs, People from Breda
Syrian hamster	Hamsters, Syria
Sudbury, Massachusetts	Towns in Massachusetts, 1638 establishments in Massachusetts
List of settlements in Massachusetts	Settlements in Massachusetts, Lists of settlements in the United States
Belleville, Ontario	Cities in Ontario
Tropical Storm Nana (2008)	Atlantic tropical storms
Sample size	Statistics
Accumulated Cyclone Energy	Tropical cyclones, Meteorology
Bohemian F.C.	Irish football clubs, Sport in Dublin
Dalymount Park	Sport in Dublin, Football stadiums in Europe, Buildings and structures in Dublin
University College Dublin A.F.C.	Irish football clubs
Eurasian Avars	Ethnic groups in Europe
2006 Central Pacific cyclone	2006 in weather, Tropical cyclones in North America, Hurricanes in the United States, 2006 in North America
Brașov	Municipalities of Romania, County capitals of Romania, Transylvania
Tropical cyclone basins	Tropical cyclones
Bermuda Weather Service	Weather services, Bermuda
Central Pacific Hurricane Center	Tropical cyclones
Regional Specialized Meteorological Center	Meteorology
Abson	Settlements in Gloucestershire, Hamlets in England
Arlington, Wisconsin	Villages in Wisconsin, Columbia County, Wisconsin
Discovery	Basic English 850 words
Received Pronunciation	Dialects of English
Nobutoshi Kaneda	1958 births, Living people, Footballers from Hiroshima Prefecture, Japan international footballers, Japan Soccer League players, Yokohama F. Marinos players
Yoshikatsu Kawaguchi	1975 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Yokohama F. Marinos players, Júbilo Iwata players, FC Gifu players, SC Sagamihara players, 1998 FIFA World Cup players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2010 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2003 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players, Footballers at the 1996 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Francesco Totti	1976 births, Living people, Italian footballers, Sportspeople from Rome
Celestine Babayaro	1978 births, Living people, Nigerian footballers
Takashi Fukunishi	1976 births, Living people, Footballers from Ehime Prefecture, Japan international footballers, J1 League players, Júbilo Iwata players, FC Tokyo players, Tokyo Verdy players, 2002 FIFA World Cup players, 2006 FIFA World Cup players, 2005 FIFA Confederations Cup players
Tetsuo Nakanishi	1969 births, Living people, Footballers from Aichi Prefecture
Sunday Oliseh	1974 births, Living people, Nigerian footballers, Nigerian football managers
Karel Poborský	1972 births, Living people, Czech footballers
Shoji Jo	1975 births, Living people, Footballers from Hokkaidō Prefecture, Japan international footballers, J1 League players, J2 League players, JEF United Chiba players, Yokohama F. Marinos players, Vissel Kobe players, Yokohama FC players, 1998 FIFA World Cup players, Footballers at the 1996 Summer Olympics, 1996 AFC Asian Cup players
Julius Aghahowa	1982 births, Living people, Nigerian footballers
Takumi Horiike	1965 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, Japan Soccer League players, Tokyo Verdy players, Shimizu S-Pulse players, Cerezo Osaka players, 1995 King Fahd Cup players, 1988 AFC Asian Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Michel Miyazawa	1963 births, Living people, French footballers, Footballers from Chiba Prefecture
Sydney FC	Australian football clubs
Melbourne Victory FC	Australian football clubs
Newcastle Jets FC	Australian football clubs
Street prostitution	Prostitution
Excitebike 64	2000 video games, Nintendo 64 games
Ion Ivanovici	1845 births, 1902 deaths, Romanian composers
Mihai Eminescu	1850 births, 1889 deaths, Romanian writers
Pan flute	Flutes, Early musical instruments
Autocephaly	Church organization
Getae	Romanian people
Dacians	Romanian people
Scythians	History of Russia, History of Ukraine
Wayne Bridge	1980 births, Living people, English footballers, People from Southampton, Sportspeople from Hampshire, Premier League players
Shaun Wright-Phillips	1981 births, Living people, Black British sportspeople, British adoptees, Chelsea F.C. players, English footballers, Manchester City F.C. players, Sportspeople from London, Premier League players
Darren Bent	1984 births, Living people, Aston Villa F.C. players, Black British sportspeople, English footballers, People from Wandsworth (London borough), Sportspeople from London, Tooting, Tottenham Hotspur F.C. players, Premier League players
Stewart Downing	1984 births, Living people, 2006 FIFA World Cup players, Aston Villa F.C. players, English footballers, Liverpool F.C. players, People from Middlesbrough, Sportspeople from Yorkshire, West Ham United F.C. players, Premier League players
Matthew Upson	1979 births, Living people, Arsenal F.C. players, Crystal Palace F.C. players, West Ham United F.C. players, English footballers, Sportspeople from Suffolk, Premier League players
Micah Richards	1988 births, Living people, Black British sportspeople, English footballers, Manchester City F.C. players, People from Leeds, Sportspeople from Birmingham, Sportspeople from Yorkshire, Premier League players
Curtis Davies	1985 births, Living people, English footballers, Sportspeople from London, Premier League players
Jimmy Bullard	1978 births, Living people, English footballers, Sportspeople from London, Premier League players
List of geological features on Ariel	Uranus' moons, Astronomy lists
List of geological features on Miranda	Uranus' moons, Astronomy lists
List of rulers of Wallachia	History of Romania, Lists of heads of state
Eugène Joseph Delporte	1882 births, 1955 deaths, Belgian astronomers, People from Walloon Brabant
Apollo asteroids	Asteroids, Astronomy lists
Perpetual motion	Engineering, Mechanics, Pseudoscience
RPG Maker	Software
Pine hawk-moth	Sphinginae
Tropical Storm Laura (2008)	2008 Atlantic hurricane season, Hurricanes in Europe, 2008 in the United Kingdom, 2000s in the Netherlands, 21st century in Norway, 2000s in the Republic of Ireland
Implied repeal	Legal terms
John de Menteith	1270s births, 1320s deaths, Scottish politicians, Signatories to the Declaration of Arbroath
Zezë	Geography of Albania, Rivers of Europe
Digital subscriber line	Digital subscriber line
Ken Naganuma	1930 births, 2008 deaths, Footballers from Hiroshima Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, JEF United Chiba players, Japan national football team managers, Footballers at the 1956 Summer Olympics
Masaaki Yanagishita	1960 births, Living people, Footballers from Shizuoka Prefecture
Koichi Hashiratani	1961 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Urawa Red Diamonds players, Kashiwa Reysol players
Yasutaro Matsuki	1957 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japanese football managers, Japan Soccer League players, Tokyo Verdy players
Takeo Takahashi	1947 births, Living people, Footballers from Tokyo Prefecture, Japan international footballers, Japan Soccer League players, JEF United Chiba players, Hokkaido Consadole Sapporo players
Hugo Fernández	1945 births, Living people, Uruguayan footballers, Uruguayan football managers, Sportspeople from Montevideo
Hajime Ishii	1959 births, Living people, Footballers from Kanagawa Prefecture
Tetsuji Hashiratani	1964 births, Living people, Footballers from Kyoto Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama F. Marinos players, Tokyo Verdy players, 1995 King Fahd Cup players, 1992 AFC Asian Cup players, AFC Asian Cup-winning players
Eiji Ueda	1953 births, Living people, Footballers from Chiba Prefecture, Japanese football managers, Japan Soccer League players, Shonan Bellmare players, Japan women's national football team managers
Tijani Babangida	1973 births, Living people, Nigerian footballers
LMS diesel shunters	Rail transport in the United Kingdom
British Rail Class 01/5	British Rail diesel locomotives, Transport lists
British Rail 11001	British Rail diesel locomotives, C locomotives, Individual locomotives
British Rail 11104	British Rail diesel locomotives, B locomotives, Individual locomotives
British Rail 15107	British Rail diesel locomotives, Brush Traction locomotives, C locomotives, Individual locomotives
British Rail Class D1/1	British Rail diesel locomotives, B locomotives
British Rail Class D1/3	British Rail diesel locomotives, B locomotives, Ruston & Hornsby locomotives
British Rail Class D2/1	British Rail diesel locomotives, NBL locomotives, B locomotives
British Rail Class D2/5	British Rail diesel locomotives, C locomotives
British Rail Class D2/7	British Rail diesel locomotives, C locomotives
Yasuharu Sorimachi	1964 births, Living people, Footballers from Saitama Prefecture, Japan international footballers, Japanese football managers, J1 League players, Japan Soccer League players, Yokohama Flügels players, Shonan Bellmare players
Takayuki Suzuki	1976 births, Living people, Footballers from Ibaraki Prefecture, Japan international footballers, J1 League players, J2 League players, Kashima Antlers players, JEF United Chiba players, Kawasaki Frontale players, Yokohama F. Marinos players, Mito HollyHock players, 2002 FIFA World Cup players, 2001 FIFA Confederations Cup players, 2005 FIFA Confederations Cup players
Bismarck Barreto Faria	1969 births, Living people, Brazilian footballers
Genoa C.F.C.	Italian football clubs, Genoa, 1893 establishments in Italy
F.C. Pro Vercelli 1892	Italian football clubs, 1892 establishments in Europe, 1890s establishments in Italy
Casale F.B.C.	Italian football clubs
U.S.D. Novese	Italian football clubs, 1919 establishments in Italy
Bologna F.C. 1909	Italian football clubs, 1909 establishments in Italy
British Rail Class D2/10	British Rail diesel locomotives, NBL locomotives, B locomotives
Torino F.C.	Italian football clubs, Turin
British Rail Class D2/11	British Rail diesel locomotives, Brush Traction locomotives, B locomotives
Dr. No (movie)	1962 movies, James Bond movies, Movies based on books, English-language movies, Movies with underwater settings, Movies composed by John Barry, Movies directed by Terence Young
British Rail Class D2/12	British Rail diesel locomotives, C locomotives
British Rail Class D3/1	British Rail diesel locomotives, NBL locomotives, B locomotives
True Cross	Christian religious objects, Jesus Christ
British Rail Class 401	Southern Railway (Great Britain) electric multiple units, British Rail electric multiple units
British Rail Class 402	Southern Railway (Great Britain) electric multiple units, British Rail electric multiple units
British Rail Class 403	Southern Railway (Great Britain) electric multiple units, British Rail electric multiple units, Metropolitan Cammell multiple units
British Rail Class 404	Southern Railway (Great Britain) electric multiple units, British Rail electric multiple units
British Rail Class 405	Southern Railway (Great Britain) electric multiple units, British Rail electric multiple units
British Rail Class 411	British Rail electric multiple units
British Rail Class 413	British Rail electric multiple units
Logical disk	Computing
British Rail Class 414	British Rail electric multiple units
British Rail Class 415	British Rail electric multiple units
British Rail Class 416	British Rail electric multiple units
British Rail Class 418	British Rail electric multiple units
Robert Green	1980 births, Living people, 2010 FIFA World Cup players, English association football goalkeepers, Sportspeople from Surrey, West Ham United F.C. players, Premier League players
British Rail Class 419	British Rail electric multiple units, Non-passenger multiple units
British Rail Class 421	British Rail electric multiple units
British Rail Class 423	British Rail electric multiple units
British Rail Class 424	British Rail electric multiple units
Always (Sum 41 song)	Sum 41 songs, 2008 songs
British Rail Class 432	British Rail electric multiple units
British Rail Class 438	British Rail electric multiple units
British Rail Class 442	British Rail electric multiple units, BREL products
British Rail Class 444	British Rail electric multiple units
British Rail Classes 445 and 446	British Rail electric multiple units, BREL products
Ukrainians	Slavic peoples, Ukrainian people
Lipovans	Romanian people, Bulgaria, Ukraine
British Rail Class 447	British Rail electric multiple units
Canon (company)	Technology companies of Japan, Photography, 1937 establishments in Asia, 1930s establishments in Japan
British Rail Class 450	British Rail electric multiple units
Stephen III of Moldavia	1430 births, 1504 deaths, Romanian leaders
British Rail Class 455	British Rail electric multiple units, BREL products
Serbs	Slavic peoples, Serbian people
Slovaks	Slavic peoples, Slovakian people
British Rail Class 456	British Rail electric multiple units, BREL products
Czechs	Slavic peoples, Czech people
Ctenophore	Ctenophores, Minor phyla
Croats	Slavic peoples, Croatian people
Poles	Slavic peoples, Polish people
Histories (Herodotus)	History books, Classical Greek literature
Thracians	History of Europe, Indo-European, Ethnic groups in Europe
British Rail Class 458	British Rail electric multiple units
British Rail Class 460	British Rail electric multiple units
Domitian	51 births, 96 deaths, Roman Emperors
British Rail Class 465	British Rail electric multiple units, BREL products
British Rail Class 466	British Rail electric multiple units, BREL products
London Underground 1992 Stock	British Rail electric multiple units, London Underground electric multiple units
Carol I of Romania	1839 births, 1914 deaths, Romanian leaders, German nobility, Roman Catholics
British Rail Class 483	British Rail electric multiple units
Pechenegs	Eurasian nomads
Uzès	Communes in Gard
First Bulgarian Empire	Former empires, History of Bulgaria, 632 establishments, 12th century disestablishments in Europe, Establishments in Europe, 1185 disestablishments
Basarab I of Wallachia	Romanian leaders, 1310s births, 1352 deaths
Dragoş	Moldova, Romanian people
High Middle Ages	Middle Ages
Kingdom of Hungary	History of Austria, 1918 disestablishments in Europe, 10th century establishments in Europe, 1919 establishments in Europe, 1946 disestablishments in Europe, 1000 establishments
British Rail Classes 485 and 486	British Rail electric multiple units
Suzerainty	International law, International relations
British Rail Class 487	Southern Railway (Great Britain) electric multiple units, British Rail electric multiple units
British Rail Class 488	British Rail electric multiple units
British Rail Class 489	British Rail electric multiple units, Non-passenger multiple units
Second-class citizen	Social groups, Human rights abuses, Discrimination, Rights
British Rail Class 499	British Rail electric multiple units
British Rail Class 501	British Rail electric multiple units
British Rail Class 502	British Rail electric multiple units
British Rail Class 503	British Rail electric multiple units
British Rail Class 504	British Rail electric multiple units
Alexander Joan Cuza	1820 births, 1873 deaths, Romanian leaders
British Rail Class 505	British Rail electric multiple units
Hohenzollern-Sigmaringen	States of the German Confederation, States of the Confederation of the Rhine, States of the Holy Roman Empire, House of Hohenzollern, Former states in Germany, 1576 establishments, 16th century establishments in Germany, 1570s establishments in Europe, 1850 disestablishments, 19th century disestablishments in Germany, 1850s disestablishments in Europe
British Rail Class 506	British Rail electric multiple units
British Rail Class 507	British Rail electric multiple units, BREL products
British Rail Class 508	British Rail electric multiple units, BREL products
Iași	Municipalities of Romania, County capitals of Romania
British Rail Class AM1	British Rail electric multiple units
Russo-Turkish War (1877–1878)	History of Bulgaria, History of Romania, Wars involving Russia, 1877, 1878, 1870s in Europe, 19th century in Asia, Ottoman Empire
Kingdom of Romania	History of Romania, House of Hohenzollern, 1881 establishments in Europe, 1947 disestablishments, 1940s disestablishments in Europe
Treaty of Trianon	1920 in Europe, 20th century in Austria, 20th century in Ukraine, 1920s treaties
Treaty of Saint-Germain-en-Laye	1919 in Europe, 20th century in Austria, 1919 in France, 1910s treaties, September events
Treaty of Paris (1920)	1920 in Europe, 20th century in Romania, 1920s treaties
Bessarabia	Divided regions, Moldova, Geography of Romania, Geography of Ukraine
Bukovina	Areas of Romania, Geography of Ukraine
SR Class CP	British Rail electric multiple units
SR Class CW	British Rail electric multiple units
MR electric units	British Rail electric multiple units
SR Class SL	British Rail electric multiple units
TOPS	British Rail, Rail technologies
British Rail BEMU	British Rail electric multiple units
Dobruja	History of Romania, Geography of Bulgaria
LNER electric units	British Rail electric multiple units
LNWR electric units	British Rail electric multiple units
Golaniad	1990 in Europe, 20th century in Romania, Bucharest, Protests in the 20th century
LYR electric units	British Rail electric multiple units
Duchy of Courland and Semigallia	Former countries in Europe, 1560s establishments in Europe, 1795 disestablishments, 1562 establishments, 1790s disestablishments in Europe
Communes of the Calvados department	Communes in Calvados, Lists of communes of France
Carol II of Romania	1893 births, 1953 deaths, Romanian leaders, Kings and queens
SR Class 2Nol	British Rail electric multiple units
Ion Antonescu	1882 births, 1946 deaths, Anti-Communists, Eastern Orthodox Christians, European military people, Former dictators, Generals, Holocaust perpetrators, Military personnel of World War I, People executed by firearm, Prime Ministers of Romania, Recipients of the Knight's Cross
Ablon	Communes in Calvados
SR Class 2SL	British Rail electric multiple units
