Blood sugar	Health, Blood
List of World Heritage Sites in Sweden	World Heritage Sites in Sweden, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in France	World Heritage Sites in France, France-related lists, Lists of World Heritage sites
List of World Heritage Sites in the Republic of Ireland	World Heritage Sites in Europe, Republic of Ireland, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in the Netherlands	World Heritage Sites in Europe, Netherlands, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in Switzerland	World Heritage Sites in Switzerland, Switzerland-related lists, Lists of World Heritage sites
List of World Heritage Sites in Armenia	Armenia, World Heritage Sites in Europe, Lists of World Heritage sites
List of World Heritage Sites in Bulgaria	World Heritage Sites in Europe, Bulgaria, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in Poland	World Heritage Sites in Poland, Lists of World Heritage sites, Poland-related lists
List of World Heritage Sites in Romania	Romania, World Heritage Sites in Europe, Lists of World Heritage sites, Romania-related lists
List of World Heritage Sites in Russia	World Heritage Sites in Russia, Russia-related lists, Lists of World Heritage sites
List of World Heritage Sites in Turkey	World Heritage Sites in Turkey, Lists of World Heritage sites, Turkey-related lists
Air Traffic Safety Electronics Personnel	Occupations in aviation, Aviation licenses and certifications, Air traffic control
Instrument rating	Aviation licenses and certifications
Type rating	Aviation licenses and certifications
Peter O'Neill	Living people, 1965 births, Prime Ministers of Papua New Guinea
Programmable read-only memory	Computer memory
Ryuichi Sakamoto	1952 births, Living people, Environmentalists, Musicians from Tokyo, People with cancer, Nonviolence advocates
List of World Heritage Sites in Ukraine	Ukraine, World Heritage Sites in Europe, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in Albania	Albania-related lists, World Heritage Sites in Albania, Lists of World Heritage sites
The Idler Wheel...	2012 albums, Fiona Apple albums
30 Rock	2006 American television series debuts, 2013 American television series endings, 2000s American sitcoms, 2000s American workplace television series, 2000s workplace comedy television series, 2010s American sitcoms, 2010s American workplace television series, 2010s workplace comedy television series, American workplace comedy television series, Emmy Award winning programs, Golden Globe Award winning programs, Histrionic personality disorder in fiction, Manhattan in fiction, Screen Actors Guild Award winners, Television series set in New York City, English-language television programs
Prince Tomohito of Mikasa	1946 births, 2012 deaths, People from Kanagawa Prefecture, Japanese politicians, Japanese imperial family
List of World Heritage Sites in Bosnia and Herzegovina	World Heritage Sites in Europe, Lists of World Heritage sites, Geography of Bosnia and Herzegovina
List of World Heritage Sites in Greece	Lists of World Heritage sites, World Heritage Sites in Greece, Greece-related lists
List of World Heritage Sites in Italy	Lists of World Heritage sites, World Heritage Sites in Italy, Italy-related lists
List of World Heritage Sites in Spain	World Heritage Sites in Spain, Lists of World Heritage sites, Spain-related lists
List of World Heritage Sites in North Macedonia	North Macedonia, World Heritage Sites in Europe, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in Serbia	World Heritage Sites in Europe, Serbia, Lists of World Heritage sites, Europe-related lists
List of World Heritage Sites in Northern Europe	World Heritage Sites in Europe, Lists of World Heritage sites, Europe-related lists
Uakari	New World monkeys
List of World Heritage Sites in Western Europe	World Heritage Sites in Europe, Lists of World Heritage sites, Europe-related lists
Jean-Michel Vernhes	1950 births, Living people, Alumni of the École nationale de l'aviation civile, French aviators
Lego Harry Potter	Harry Potter, Lego
The Dead (1987)	1987 drama movies, British drama movies, Irish movies, Movies based on books, English-language movies, Movies directed by John Huston
The Dead (2010 movie)	2010 horror movies, British horror movies, English-language movies, Movies set in Africa, Zombie movies
Headhunterz	1985 births, Living people, DJs, Dutch musicians, People from Utrecht (province), Record producers
VooV Festival	Music festivals, Festivals in Europe, Entertainment in Germany, 1992 establishments in Europe, 1990s establishments in Germany
FileZilla	Software
Marc Drillech	Living people, French sociologists, Year of birth missing (living people), Alumni of the Institut d'études politiques de Paris
Siemens	Technology, Companies of Germany, 1847 establishments in Europe, 1840s establishments in Germany
Tomislav Nikolić	1952 births, Presidents of Serbia, Living people
Shuchō	Japanese eras, 686, 7th century in Japan
The First Wives Club	1996 comedy movies, 1990s buddy movies, American buddy movies, American comedy movies, Buddy comedy movies, English-language movies, Female buddy movies, Feminist movies, Movies about divorce, Movies about revenge, Suicide in movies, Movies based on books
Strait of Malacca	Straits, Southeast Asia, Geography of Malaysia, Geography of Indonesia, Geography of Singapore
Internet Relay Chat takeover	Internet Relay Chat
John Hughes (filmmaker)	1950 births, 2009 deaths, American television writers, Cardiovascular disease deaths in New York City, Deaths from myocardial infarction, John Hughes, Movie directors from Chicago, Movie producers from Chicago, Movie directors from Michigan, Movie producers from Michigan, People from Lansing, Michigan, People from Grosse Pointe, Michigan, Screenwriters from Chicago, Screenwriters from Michigan
Radio Studio 54 Network	Radio stations in Europe, 1985 establishments in Europe, Companies of Italy, 1980s establishments in Italy
Lists of World Heritage Sites in Asia	World Heritage Sites in Asia
List of World Heritage Sites in Northern and Central Asia	World Heritage Sites in Asia, Lists of World Heritage sites, Asia-related lists
List of World Heritage Sites in Western Asia	World Heritage Sites in Asia, Lists of World Heritage sites, Asia-related lists
Playing the Field	2012 comedy movies, 2012 romance movies, 2010s romantic comedy movies, American comedy movies, English-language movies, Sports comedy movies
Agbioeletric	Transformers (electrical), Oils
Débora Falabella	1979 births, Living people, Brazilian actors, People from Belo Horizonte
Library of Celsus	Libraries in Asia, Ancient Rome, Ancient Greece, Buildings and structures in Turkey, World Heritage Sites in Turkey
Guyancourt	Communes in Yvelines
Ma Mère	2004 drama movies, French drama movies, Austrian movies, Portuguese movies, Spanish movies, French-language movies, Incest in movies, Movies directed by Christophe Honoré
Pseudoscorpion	Arachnids
Astacus astacus	Decapods, Crustaceans
Dermestidae	Polyphaga
Dytiscidae	Adephaga
Confessions of a Teenage Drama Queen	2004 comedy movies, 2000s teen comedy movies, American teen comedy movies, English-language movies, Movies based on books, Movies set in New Jersey
Endosperm	Plant physiology
Teen movie	Teen movies
Wet 'n Wild Orlando	1977 establishments in the United States, 1970s establishments in Florida, 2016 disestablishments in the United States, Orlando, Florida, Theme parks in Florida, 2010s disestablishments in Florida
Terry and June	1979 television series debuts, 1987 television series endings, 1970s British sitcoms, 1980s British sitcoms, BBC television sitcoms, Television series about marriage, Television series about suburbia, Television series set in London, English-language television programs
Yukio Mishima	1925 births, 1970 deaths, Japanese novelists, Japanese poets, Writers from Tokyo
Zeami Motokiyo	1363 births, 1443 deaths, Japanese writers, Playwrights, People from Aichi Prefecture
The Exorcism of Emily Rose	2005 horror movies, 2005 drama movies, American horror movies, American drama movies, English-language movies, Religious horror movies
Hylidae	Frogs
Frugality	Philosophy, Economics, Virtues
Tineidae	Moths
Tanisha Thomas	1985 births, Living people, Participants in American reality television series, American television personalities
Wide Sargasso Sea	1990s drama movies, 1993 movies, English-language movies, NC-17 rated movies
Alejo Carpentier	1904 births, 1980 deaths, Communists, Cuban writers, Deaths from cancer, Disease-related deaths in Paris, Musicologists, Novelists, People from Havana, Writers from Paris, People from Lausanne
Sean Penn	Academy Award winning actors, Actors from Santa Monica, California, American activists, American movie actors, American stage actors, American television actors, Golden Globe Award winning actors, Madonna (entertainer), Movie directors from Los Angeles County, California, Movie producers from Los Angeles County, California, Screen Actors Guild Award winners, Screenwriters from California, 1960 births, Living people
Alice Walker	1944 births, Living people, African American writers, American activists, American feminists, American novelists, American poets, Pulitzer Prize winners, Writers from Georgia (U.S. state)
Clifford D. Simak	1904 births, 1988 deaths, Writers from Minnesota, Writers from Wisconsin, American science fiction writers, Hugo Award winning writers, Nebula Award winning writers
Jerry Mathers	American television actors, 1948 births, Living people
Dashiell Hammett	1894 births, 1961 deaths, American communists, American writers, American military people, American novelists, Deaths from lung cancer, Writers from Maryland, Burials at Arlington National Cemetery
Kasai River	Geography of Angola, Geography of the Democratic Republic of the Congo, Rivers of Africa
Tony Dow	American television actors, Actors from Hollywood, 1945 births, Living people
Ubangi River	Central African Republic, Geography of the Democratic Republic of the Congo, Geography of the Republic of the Congo, Rivers of Africa
Benue River	Cameroon, Geography of Nigeria, Rivers of Africa, Rivers of Nigeria
Regina Duarte	Brazilian actors, Living people, 1947 births
Anna Muzychuk	1990 births, Living people, Slovenian people, Ukrainian chess players
Bionics	Bionics
A1(M) motorway	Motorways in England
Herschel Space Observatory	ESA spacecraft, Telescopes
Frances Bavier	American television actors, 1902 births, 1989 deaths, Emmy Award winners
Leptodactylidae	Frogs
Eleutherodactylus	Frogs
Red-eared slider	Turtles, Reptiles of North America
Americanisation	United States, Culture
Bletchley Park	Cryptography, World War II, Museums in England, 1938 establishments in the United Kingdom, 1930s establishments in England
Guyot	Plate tectonics, Seamounts
Hazel (TV series)	American sitcoms, 1960s television series, English-language television programs
2 Broke Girls	2011 American television series debuts, 2017 American television series endings, 2010s American sitcoms, 2010s American workplace television series, 2010s workplace comedy television series, American workplace comedy television series, Brooklyn in fiction, CBS network shows, Television series about friendship, Television series set in New York City, English-language television programs
Dennis the Menace (TV series)	American sitcoms, 1950s television series, Black and white television series, English-language television programs
The Huckleberry Hound Show	1950s television series, Animated television series, Emmy Award winning programs, English-language television programs
Barbara Billingsley	1915 births, 2010 deaths, American movie actors, American television actors, American voice actors, American television personalities, Disease-related deaths in California
Submarine volcano	Volcanoes, Seamounts
Hugh Beaumont	1909 births, 1982 deaths, Actors from Kansas, American television actors, American television directors, Cardiovascular disease deaths in Germany, Deaths from myocardial infarction, American Methodists, American movie actors, American movie directors, American screenwriters, Republicans (United States), American stage actors
Ken Osmond	Actors from Glendale, California, American movie actors, American child actors, American television actors, Deaths from COPD, Deaths from peripheral artery disease, Cardiovascular disease deaths in Los Angeles, American police officers, 1943 births, 2020 deaths
Sue Randall	American television actors, 1935 births, 1984 deaths, Deaths from lung cancer
Baffin Bay	Bays of Canada, Atlantic Ocean, Nunavut, Geography of Greenland
Bragi	Norse gods and goddesses
Barents Sea	Seas of the Arctic Ocean, Geography of Norway, Geography of Russia
Beaufort Sea	Seas of the Arctic Ocean, Geography of Canada, Geography of Alaska, Northwest Territories
Chukchi Sea	Geography of Alaska, Geography of Russia, Seas of the Arctic Ocean
East Siberian Sea	Seas of the Arctic Ocean, Geography of Russia
Greenland Sea	Seas of the Atlantic Ocean, Seas of the Arctic Ocean, Geography of Greenland, Geography of Norway
Laptev Sea	Seas of the Arctic Ocean, Geography of Russia
White Sea	Seas of the Arctic Ocean, Geography of Russia
Philippe Harache	1954 births, Living people, Alumni of the Institut polytechnique des sciences avancées, French aviators, French engineers, Harvard University alumni
Raytheon	Companies of the United States, Electronics, Military
Jean-Paul Troadec	1948 births, Living people, Alumni of the École nationale de l'aviation civile, Alumni of the École Polytechnique, French aviators, French engineers, People from Brittany
Tilt Train	Tilting trains, Queensland, Rail transport in Australia
Artificial island	Artificial islands
List of artificial islands	Artificial islands, Lists of islands
Volcanic crater	Volcanic craters
Guglielmo Marconi	Inventors, 1874 births, 1937 deaths, Italian people, Italian physicists, Italian Nobel Prize winners
Roulette	Gambling
Fritz the Cat	Controversies, 1972 movies, Animated movies, Multilingual movies, American independent movies
Bay of Biscay	Bays, Atlantic Ocean, Geography of France, Geography of Spain
Gulf of Guinea	Gulfs, Atlantic Ocean, Geography of Africa
Gulf of Saint Lawrence	Gulfs, Atlantic Ocean, Geography of Canada
Labrador Sea	Seas of the Atlantic Ocean, Geography of Greenland, Newfoundland and Labrador
Ligurian Sea	Seas of the Atlantic Ocean, Geography of Italy, Geography of France
Sea of Marmara	Waterways, Seas of the Atlantic Ocean, Geography of Turkey
Norwegian Sea	Seas of the Atlantic Ocean, Geography of Norway
Sargasso Sea	Seas of the Atlantic Ocean
Kyoto University	1897 establishments, 19th century establishments in Japan, Kyoto University
Tokyo Medical and Dental University	Colleges and universities in Tokyo, 1928 establishments, 1920s establishments in Japan
John Cusack	1966 births, Living people, Actors from Illinois, American movie actors, American voice actors, Movie producers from Illinois, People from Evanston, Illinois, Screenwriters from Illinois, American bloggers
Andaman Sea	Seas of the Indian Ocean, Geography of Thailand, Geography of Myanmar
Timor Sea	Seas of the Indian Ocean, Bodies of water of Australia, East Timor, Geography of Indonesia
Arafura Sea	Seas of the Pacific Ocean, Bodies of water of Asia, Bodies of water of Australia, Geography of the Northern Territory, Geography of Indonesia
Joan Cusack	1962 births, Living people, Actors from Chicago, Actors from New York City, American movie actors, American stage actors, American television actors, American voice actors, Comedians from Chicago, People from Evanston, Illinois
Yōmei Seamount	Seamounts, Pacific Ocean
Bering Sea	Seas of the Pacific Ocean, Geography of Alaska, Geography of Russia, Arctic
Celebes Sea	Seas of the Pacific Ocean, Geography of Indonesia, Geography of the Philippines, Geography of Malaysia
Flores Sea	Seas of the Pacific Ocean, Geography of Indonesia
Gulf of Alaska	Gulfs, Pacific Ocean, Bodies of water of the United States, Geography of Alaska, Geography of British Columbia
Gulf of Thailand	Gulfs, Pacific Ocean, Geography of Thailand
Java Sea	Seas of the Indian Ocean, Geography of Indonesia
Koro Sea	Seas of the Pacific Ocean, Bodies of water of Oceania, Fiji
Molucca Sea	Seas of the Pacific Ocean, Geography of Indonesia
Sea of Okhotsk	Seas of the Pacific Ocean, Geography of Russia
Solomon Sea	Seas of the Pacific Ocean, Bodies of water of Oceania, Geography of Papua New Guinea, Solomon Islands
Sulu Sea	Seas of the Pacific Ocean, Bodies of water of Oceania, Geography of the Philippines, Geography of Malaysia
Jingū Seamount	Seamounts, Pacific Ocean, Volcanoes of Oceania
African forest elephant	Elephants
Amundsen Sea	Seas of the Southern Ocean
Great Australian Bight	Bays of Australia, Southern Ocean
Ross Sea	Bays, Seas of the Southern Ocean
Ōjin Seamount	Seamounts, Pacific Ocean, Volcanoes of Oceania
Scotia Sea	Seas of the Southern Ocean, Seas of the Atlantic Ocean
Weddell Sea	Seas of the Southern Ocean
Bab-el-Mandeb	Straits, Indian Ocean, Middle East, Geography of Yemen
Bass Strait	Straits, Bodies of water of Australia, Geography of Victoria, Australia, Geography of Tasmania
Davis Strait	Straits, Geography of Greenland, Nunavut, Atlantic Ocean
Nine-banded armadillo	Xenarthrans
Redundancy	Computer science
Hiroshima Toyo Carp	Baseball teams, Baseball in Japan, Hiroshima Prefecture, 1949 establishments, Hiroshima
Moyashimon	Comedy anime and manga
Kōkō Seamount	Seamounts, Pacific Ocean, Volcanoes of Oceania
Kammu Seamount	Seamounts, Pacific Ocean, Volcanoes of Oceania
Staffordshire Hoard	Staffordshire, Archaeological sites in England, Anglo-Saxons, History of England, Works of art, Treasure troves
Dietary supplement	Drugs, Food supplements, Healthy lifestyle, Eating disorders
Rana (genus)	Frogs
Roar (utterance)	Animal communication
Daikaku-ji	Buddhist temples in Japan
Auf Wiedersehen, Pet	1983 television series debuts, 2004 British television series endings, 1980s British television series, 1980s drama television series, 2000s British television series, 2000s drama television series, BBC Television programmes, British drama television series, ITV television programmes, English-language television programs
Daikakuji Seamount	Seamounts, Pacific Ocean, Volcanoes of Oceania
Bob Hoskins	1942 births, 2014 deaths, Actors from London, Actors from Suffolk, BAFTA Award winning actors, Deaths from pneumonia, English movie actors, English movie directors, English movie producers, English television actors, English voice actors, Golden Globe Award winning actors, People with Parkinson's disease
Hakuchi (era)	Japanese eras, 7th century establishments in Japan, 7th century disestablishments in Japan, 650 establishments, 654 disestablishments
Tororo	Japanese food
Lego big morl	Japanese rock bands
Fukuoka SoftBank Hawks	Baseball teams, Baseball in Japan, Fukuoka Prefecture, 1930s establishments in Japan
Shōten	Japanese television series
Slalom skiing	Skiing, Winter Olympic sports
Tumors of the hematopoietic and lymphoid tissues	Cancer, Blood disorders
Japanese calligraphy	Japanese culture, Writing
Picnic	Leisure
The Last Emperor	1987 movies, Historical movies, Chinese movies, British movies, Italian movies, Golden Globe Award winning movies, Academy Award winning movies, English-language movies, Mandarin-language movies, Multilingual movies, Movies directed by Bernardo Bertolucci
Kameoka, Kyoto	Settlements in Kyoto Prefecture, Cities in Japan
Soft tennis	Sport in Japan, Tennis
Botan nabe	Japanese food, Meat dishes
Monster	Monsters
Denmark Strait	Straits, Arctic, Geography of Iceland, Geography of Greenland
Hudson Strait	Straits, Geography of Canada, Atlantic Ocean
Kara Strait	Straits, Geography of Russia, Arctic
Variable Antshrike	Birds of South America, Passeriformes
Horned lizard	Lizards
White-backed vulture	Birds of Africa, Vultures
Checker-throated Antwren	Passeriformes
White-flanked Antwren	Passeriformes
Black-hooded Antshrike	Passeriformes
3D (album)	2002 albums, TLC albums
List of number-one Billboard Latin Albums from the 2010s	Billboard charts, American music, Latin music, 2010s albums, Music-related lists
Alejandro Fernández	1971 births, Living people, Mexican singers, Mexican movie actors, Folk musicians, People from Guadalajara, Latin Grammy Award winners
Banda Los Recoditos	Mexican musical groups, 1989 establishments in North America, 1980s establishments in Mexico
Genchū	Japanese eras, 1384 establishments, 1380s establishments in Japan, 1392 disestablishments, 1390s disestablishments in Japan
Chayanne	Puerto Rican singers, 1968 births, Living people, Singers from Miami, Florida, American pop singers
Marc Anthony	1968 births, Singers from New York City, Democrats (United States), Grammy Award winners, Living people, Latin singers, Jennifer Lopez, Latin Grammy Award winners
Romeo Santos	Singers from New York City, American R&B singers, Reggaeton, 1981 births, Living people
Songs in A Minor	2001 albums, Alicia Keys, Neo soul albums
Global dimming	Climate change, Environmental issues
Barefoot in the Park (movie)	1967 comedy movies, 1960s romantic comedy movies, American romantic comedy movies, English-language movies, Movies set in New York City
Interior design	Architecture sciences, Arts
Joey Harrington	Living people, 1978 births, Atlanta Falcons players, Detroit Lions players, Miami Dolphins players, American football players, Sportspeople from Portland, Oregon
Strait of Hormuz	Geography of Iran, Straits, Indian Ocean, Geography of Oman, Geography of the United Arab Emirates
Alan Ball (screenwriter)	Academy Award winning writers, American movie producers, American screenwriters, American television directors, American television producers, American television writers, Emmy Award winning directors, Gay men, Golden Globe Award winning writers, LGBT directors, LGBT people from Georgia (U.S. state), LGBT screenwriters, Movie directors from Georgia (U.S. state), Writers from Georgia (U.S. state), 1957 births, Living people
Randy Foye	1983 births, Living people, Los Angeles Clippers players, Oklahoma City Thunder players
Korea Strait	Geography of South Korea, Bodies of water of Japan, Straits, Pacific Ocean
Makassar Strait	Geography of Indonesia, Straits, Pacific Ocean
The Tale of the Heike	Japanese culture, History of Japan
Mozambique Channel	Indian Ocean, Straits, Geography of Mozambique, Madagascar
Strait of Otranto	Geography of Albania, Geography of Italy, Straits
Palk Strait	Straits, Geography of India, Sri Lanka, Tamil Nadu
Sinergia	Chilean entertainers, Rock bands, 1994 establishments, Funk bands, Santiago de Chile, 1990s establishments in Chile
Byron, Georgia	Cities in Georgia (U.S. state)
Peep Show (TV series)	2003 British television series debuts, 2015 disestablishments in the United Kingdom, 2015 television series endings, 2000s British sitcoms, 2000s LGBT television series, 2010s British sitcoms, 2010s LGBT television series, BAFTA Award winning programmes, Black comedy television series, British LGBT television programmes, Channel 4 comedy, LGBT comedy television series, London Borough of Croydon, Television series about friendship, Television series set in London, English-language television programs
Porsche Club Hohensyburg	Fandom, Porsche automobiles, 1952 establishments in Europe, 1950s establishments in Germany
Chinoiserie	Art movements, Architecture, Chinese culture
Chloroacetic acid	Acids, Chemical warfare
Wester Ross	Geography of Scotland
Desertion	Types of crime, War, Military
New Revised Standard Version	Bible versions, 1989 books
Torridonian	Scotland, Proterozoic, Sandstones
Henry Hill	1943 births, 2012 deaths, American robbers, Cardiovascular disease deaths in the United States, Criminals from New York City, Deaths from myocardial infarction, Drug traffickers, Mobsters
Zheng Zhihua	Taiwanese singers, 1961 births, Living people
Knife Party	Musical groups established in 2011, Australian musical groups, Electronic music bands, Musical duos, Musical groups from Western Australia, 2011 establishments in Australia
Azuchi, Shiga	Towns in Japan, Settlements in Shiga Prefecture
Ray Liotta	Actors from Newark, New Jersey, American adoptees, American movie actors, American television actors, American voice actors, Emmy Award winning actors, Movie producers from New Jersey, Businesspeople from Newark, New Jersey, 1954 births, Living people
Meiji Shrine	Buildings and structures in Tokyo, Shinto shrines
Margaret Sanger	1879 births, 1966 deaths, American activists, American feminists, Deaths from heart failure, Nurses, People from New York, Industrial Workers of the World
Leaves of Grass	19th-century American poems
Calamus	Poetry
Mount Isa	Cities in Queensland
Khonsu	Egyptian gods and goddesses
Copycat (movie)	1995 crime movies, 1995 thriller movies, 1990s crime thriller movies, 1995 mystery movies, 1990s psychological movies, 1990s serial killer movies, American crime thriller movies, American mystery movies, American psychological movies, American serial killer movies, Antisocial personality disorder in fiction, Movies about stalking, English-language movies, Movies set in San Francisco, Movies directed by Jon Amiel
The Piano	1993 drama movies, 1993 romance movies, 1990s romantic drama movies, Academy Award winning movies, English-language movies, Movies set in the 19th century, Australian drama movies, Australian romance movies, French drama movies, French romance movies, New Zealand movies, Movies directed by Jane Campion
The Firm (1993 movie)	1993 drama movies, 1993 thriller movies, 1990s drama thriller movies, 1990s mystery movies, American drama thriller movies, American mystery movies, English-language movies, Legal movies, Movies based on books, Movies directed by Sydney Pollack
Hash table	Data structures
Andy Griffith	American movie actors, American singer-songwriters, American stage actors, American television actors, Cardiovascular disease deaths in North Carolina, Deaths from myocardial infarction, Democrats (United States), Presidential Medal of Freedom recipients, 1926 births, 2012 deaths
Honeyeater	Birds, Birds of Australia, Birds of New Zealand, Birds of Oceania
S.F.W.	1994 comedy movies, 1994 thriller movies, American comedy movies, American thriller movies, Movies based on books
Damage (1992 movie)	1992 romance movies, 1992 drama movies, 1990s romantic drama movies, Adultery in movies, British romantic drama movies, English-language movies, French drama movies, French romance movies, Movies about dysfunctional families, Movies based on books, Movies directed by Louis Malle, Movies set in London
Human microbiome	Prokaryotes, Microbiology, Health, Humans, Genetics, Medicine
Salafi	Islamic denominations
Hard Boiled	1992 action movies, 1990s crime thriller movies, Chinese movies, Movies directed by John Woo
2010–11 Fußball-Bundesliga	Bundesliga seasons, Fußball-Bundesliga, 2010 in association football, 2011 in association football, 2010 in Europe, 2011 in Germany
List of extinct volcanoes	Lists of volcanoes
Hatchet	Cutting tools, tools
Outnumbered	2007 British television series debuts, 2014 television series endings, 2000s British sitcoms, 2010s British sitcoms, BBC television sitcoms, Television series about marriage, Television series about siblings, Television series about suburbia, Television series set in London, English-language television programs
Lindisfarne Gospels	Bibles, Manuscripts, Northumberland
List of World Heritage Sites in Iran	World Heritage Sites in Iran, Lists of World Heritage sites, Iran-related lists
List of World Heritage Sites in the Arab States	Lists of World Heritage sites, Asia-related lists, Africa-related lists, Europe-related lists
List of World Heritage Sites in China	World Heritage Sites in China, Lists of World Heritage sites, China-related lists
List of World Heritage Sites in South Korea	World Heritage Sites in South Korea, Lists of World Heritage sites, South Korea-related lists
Lists of World Heritage Sites	Lists of World Heritage sites
Dormant volcano	Volcanoes
Book of Kells	Ireland, Manuscripts, Bibles
Cher Lloyd	1993 births, British rap musicians, English pop musicians, English singer-songwriters, Living people, Musicians from Worcestershire
Guy Pearce	1967 births, Living people, Actors from Cambridgeshire, Actors from Victoria (Australia), Australian movie actors, Australian television actors, Emmy Award winning actors, English movie actors, English television actors, People from Geelong
British Academy Film Awards	British movies, Movie awards, BAFTA Awards
List of active volcanoes	Lists of volcanoes
Hollywood Boulevard	Los Angeles, Roads in California
DeScribe	1982 births, Living people, Australian singer-songwriters, Reggae musicians, Musicians from Sydney
University of Siena	Colleges and universities in Italy, 1240 establishments, Sienna, 1240s establishments in Europe, 13th century establishments in Italy
Haplodiploidy	Chromosomes, Biological reproduction, Hymenoptera
Vladimir Zhirinovsky	1946 births, Living people, Colonels, Russian lawyers, Russian military people, Russian politicians, Soviet military people
Brown sugar	Sweeteners, Carbohydrates
Infotainment	Entertainment, Media
Incisivosaurus	Oviraptorosauria, Fossils, Cretaceous dinosaurs, Dinosaurs of Asia
Edward Woodward	Actors from Surrey, Deaths from pneumonia, Emmy Award winning actors, English movie actors, English stage actors, English television actors, Golden Globe Award winning actors, Infectious disease deaths in England, 1930 births, 2009 deaths
The Wicker Man (2006 movie)	2006 horror movies, 2006 mystery movies, American horror movies, American movie remakes, American mystery movies, Canadian horror movies, English-language movies, German horror movies, Mexican movies, Movies about murderers, Movies about police officers, Movies based on books, Movies set in Washington (U.S. state), Movies directed by Neil LaBute, Dystopian movies
Jason Bateman	1966 births, Living people, American movie actors, American television actors, American voice actors, Actors from New York, People from Rye, New York
Andrew DeClercq	1973 births, Living people, Boston Celtics players, Sportspeople from Detroit, Michigan
Table of World Heritage Sites by country	World Heritage Sites, World Heritage Sites by country, Lists of World Heritage sites, Lists by country
Walter McCarty	1974 births, Living people, African-American basketball players, Boston Celtics players, Los Angeles Clippers players, New York Knicks players, Phoenix Suns players, People from Evansville, Indiana, Sportspeople from Indiana, American basketball players
Brandon Bass	1985 births, Living people, Boston Celtics players, People from Baton Rouge, Louisiana
EA Sports NASCAR series	Video game series, Sports video games
The Glass House (2012 TV series)	2012 American television series debuts, American reality television series, ABC network shows, English-language television programs
Warren Beatty	Academy Award winning directors, Actors from Richmond, Virginia, People from Arlington, Virginia, American movie actors, American movie directors, American movie producers, Golden Globe Award winning actors, Golden Globe Award winning directors, 1937 births, Living people
Alexander III of Russia	Emperors and empresses, Russian royalty, 1845 births, 1894 deaths, House of Holstein-Gottorp-Romanov
Hole in one	Golf, Sports words
Chatham, Virginia	Towns in Virginia, County seats in Virginia, 1777 establishments in the United States, 18th-century establishments in Virginia
Hameau de la Reine (Versailles)	Palace of Versailles, 1780s establishments in Europe, 18th century establishments in France
Mount Unzen	Volcanoes of Japan
65th British Academy Film Awards	BAFTA Awards, 2011 movies
BAFTA Award for Best Film	BAFTA Awards
BAFTA Award for Best Short Film	BAFTA Awards
The Nutcracker pas de deux	Ballets by Marius Petipa, Ballets by Lev Ivanov, Ballets first performed by the St. Petersburg Imperial Ballet, Compositions by Pyotr Ilyich Tchaikovsky
BAFTA Award for Best Animated Film	BAFTA Awards
BAFTA Award for Best Documentary	BAFTA Awards
BAFTA Award for Best Actor in a Leading Role	BAFTA Awards
BAFTA Award for Best Actress in a Leading Role	BAFTA Awards
BAFTA Award for Best Direction	BAFTA Awards
Men Behind the Sun	1980s thriller movies, 1988 movies, 1980s war movies, Chinese movies, Mandarin-language movies, Obscenity controversies
Timbers Army	Soccer in the United States, Portland, Oregon
Serum (blood)	Blood
Max Ernst	German artists, 1891 births, 1976 deaths
Liberal Democratic Party of Russia	Political parties in Russia
Petit Théâtre de la Reine	Theatres in France, Palace of Versailles, 1780 establishments, 1780s establishments in Europe, 18th century establishments in France
Liu Huan	Chinese singers, 1963 births, Living people, 2008 Summer Olympics
Ghazanchetsots Cathedral	Cathedrals, Armenian Apostolic Churches, Nagorno-Karabakh Republic, 19th-century establishments, Establishments in Armenia
Faye Wong	Chinese singers, 1969 births, Living people
Mount Kosciuszko	Mountains of Australia, Geography of New South Wales
Greater Bangladesh	Bangladesh, Nationalism
Takeshi Nakashima	1976 births, Living people, Footballers from Nagasaki Prefecture
Momodu Mutairu	1975 births, Living people, Nigerian footballers
Teruki Tabata	1979 births, Living people, Footballers from Kagoshima Prefecture
Franck Goldnadel	1969 births, Living people, Alumni of the École nationale de l'aviation civile, French aviators
Yohei Takayama	1979 births, Living people, Footballers from Yamanashi Prefecture
Taichi Hasegawa	1981 births, Living people, Footballers from Toyama Prefecture
Yoshifumi Ono	1978 births, Living people, Footballers from Osaka Prefecture, People from Osaka
Takuma Arano	1993 births, Living people, Footballers from Hokkaidō Prefecture
Takayuki Mae	1993 births, Living people, Footballers from Hokkaidō Prefecture
Kazuya Murata	1988 births, Living people, Footballers from Shiga Prefecture
Shun Ito	1987 births, Living people, Footballers from Hokkaidō Prefecture
Tsukasa Shiotani	1988 births, Living people, Footballers from Tokushima Prefecture, Japan international footballers, J1 League players, J2 League players, Mito HollyHock players, Sanfrecce Hiroshima players, Footballers at the 2016 Summer Olympics
Masaki Watanabe	1986 births, Living people, Footballers from Kyoto
