ImJayStation	1990 births, Living people
Charlevoix, Michigan	County seats in Michigan, Cities in Michigan
Munising, Michigan	Cities in Michigan, County seats in Michigan
West Caldwell, New Jersey	Townships in New Jersey
Bellaire, Michigan	Villages in Michigan, County seats in Michigan
Monosexism	Discrimination
Panphobia	Discrimination
Monkfruit	Cucurbitaceae, Fruits
Ethan Cutkosky	1999 births, American television actors, Living people
Susan Wojcicki	YouTube, People from Palo Alto, California, Businesspeople from California, American Jews, 1968 births, Living people
Cissexism	Discrimination
The Doctor and the Girl	1949 movies, 1940s drama movies, American drama movies, Movies based on books, Movies directed by Curtis Bernhardt
Microsoft family features	Microsoft
Abhishek Nigam	1997 births, Living people, Indian actors
Women School of Entrepreneurship	Non-profit organizations, Organizations established in 2020, Non-profit organisations based in India, Non-profit organisations based in Bihar
A Time for Drunken Horses	2000 movies, Iranian movies, Movies directed by Bahman Ghobadi
Alice Cornelia Thaw	1880 births, 1955 deaths, American philanthropists, People from Pittsburgh, Pennsylvania
Oceanside, New York	Census-designated places in New York (state), Hamlets in New York
Monroe, Washington	Cities in Washington (U.S. state)
Li Hsing	1930 births, 2021 deaths, Deaths from heart failure, Movie directors, People from Shanghai, Taiwanese people
International Baseball Federation	Baseball
Solly Drake	1930 births, 2021 deaths, Chicago Cubs players, Los Angeles Dodgers players, Philadelphia Phillies players, Sportspeople from Arkansas, People from Little Rock, Arkansas
Sammy Drake	1934 births, 2010 deaths, Chicago Cubs players, New York Mets players, Sportspeople from Arkansas, People from Little Rock, Arkansas, Cancer deaths in Los Angeles
Marek Minda	1950 births, 2021 deaths, Polish politicians, Polish physicians
Łomża	Cities in Poland
Aimé Halbeher	1936 births, 2021 deaths, Political activists, Communists, Politicians from Paris
Raoul Cauvin	1938 births, 2021 deaths, Belgian writers, Comics writers, Deaths from stomach cancer
Innerspace	1987 comedy movies, 1980s science fiction movies, American science fiction movies, American comedy movies, Portuguese movies, Warner Bros. movies, Movies directed by Joe Dante
Ismail Sabri Yaakob	1960 births, Living people, Prime Ministers of Malaysia, Deputy Prime Ministers of Malaysia, Current national leaders
Deputy Prime Minister of Malaysia	Deputy Prime Ministers of Malaysia
Ahmad Zahid Hamidi	1953 births, Living people, Deputy Prime Ministers of Malaysia
Ismail Abdul Rahman	1915 births, 1973 deaths, Deaths from myocardial infarction, Deputy Prime Ministers of Malaysia
Abdul Ghafar Baba	1925 births, 2006 deaths, Deaths from heart failure, Deaths from respiratory failure, Deputy Prime Ministers of Malaysia
Ardhanarishvara	Hindu gods and goddesses
Smallskin tree frog	Frogs, Animals of South America
The Rose Tattoo	1955 comedy movies, 1955 drama movies, American comedy-drama movies, Movies based on plays, Movies directed by Daniel Mann
List of countries in 1920	1920
List of countries in 1921	1921
List of countries in 1922	1922
List of countries in 1923	1923
List of countries in 1924	1924
Stein Erik Hagen	Living people, Norwegian businesspeople
List of countries in 1925	1925
List of countries in 1926	1926
List of countries in 1927	1927
List of countries in 1929	1929
List of countries in 1928	1928
Saint-Jean-Baptiste Day	Quebec, National Days
List of conglomerates in Uganda	Conglomerate companies, Uganda
Conglomerate (company)	Conglomerate companies
Barruelo de Santullán	Municipalities in Castile and León
Alejandro Lamalfa	1947 births, 2021 deaths, Spanish politicians, Spanish physicians
Camargo, Cantabria	Municipalities in Cantabria
Santoña	Towns in Spain, Municipalities in Cantabria
Paolo Saviane	1962 births, 2021 deaths, Deaths from surgical complications, Italian politicians, People from Veneto, Italian businesspeople
Ponte nelle Alpi	Settlements in Veneto
Gaia Servadio	1938 births, 2021 deaths, Italian writers, Writers from London
Brent Yonts	1949 births, 2021 deaths, State legislators of the United States, Politicians from Kentucky, US Democratic Party politicians, Deaths from the COVID-19 pandemic in the United States
Bone Tomahawk	2015 movies, American horror movies, American western movies, English-language movies, Movies set in the United States, Movies set in deserts, Movies set in the 1890s, Cannibalism
Jill Murphy	1949 births, 2021 deaths, British children's writers, British illustrators, Writers from London, Deaths from cancer
Sweet Anita	1990 births, Living people, English entertainers, British YouTubers, Twitch (service) streamers
Overwatch (video game)	2019 video games, Shooter video games
Friend Like Me	1992 songs
Let It Go	2013 songs, Grammy Award winning songs, Academy Award winners
Be Our Guest	1991 songs
Friends on the Other Side	2009 songs
Hafu (gamer)	1991 births, Living people, American YouTubers, Entertainers from Massachusetts, Twitch (service) streamers
Dream (YouTuber)	1991 births, Living people, American YouTubers, Twitch (service) streamers
Forsen	Living people, 1990 births, Twitch (service) streamers
David Dobrik	1996 births, Living people, American YouTubers, Podcasters, Twitch (service) streamers, Entertainers from Los Angeles, California
LilyPichu	1991 births, Living people, American YouTubers, Twitch (service) streamers, Musicians from New Jersey, American voice actors, Actors from New Jersey
Michael Reeves (Internet personality)	1997 births, Living people, American YouTubers, Twitch (service) streamers, Entertainers from Hawaii
Cr1TiKaL	1994 births, Living people, Musicians from Tampa, Florida, American YouTubers, Twitch (service) streamers
XChocoBars	1994 births, Living people, Twitch (service) streamers, Entertainers from Toronto
Scarra	1989 births, Living people, American YouTubers, Twitch (service) streamers, Entertainers from Texas
CouRageJD	1994 births, Living people, American YouTubers, Twitch (service) streamers, Entertainers from New Jersey, Businesspeople from New Jersey
Bretman Rock	1998 births, Living people, American YouTubers, American TikTokers, Twitch (service) streamers, LGBT models, LGBT entertainers, Entertainers from Hawaii, People from Honolulu, American television personalities
Rytro	Villages in Poland
Saint-Aubin-du-Cormier	Communes in Ille-et-Vilaine
The Iron Superman	Taiwanese movies, Monster movies, 1975 movies, Robot movies
Michel Le Flochmoan	1951 births, 2021 deaths, Cancer deaths in France, French football managers, French footballers
Blagny	Communes in Ardennes
Fayence	Communes in Var
2001–02 Arsenal F.C. season	2000s in England, 2001 in the United Kingdom, Arsenal F.C., Football seasons
Languages of New Zealand	Languages by country
10 (movie)	1979 comedy movies, 1970s romance movies, American romantic comedy movies, Warner Bros. movies, Movies directed by Blake Edwards
Hurricane Grace	Hurricanes in the Dominican Republic, Hurricanes in Mexico, Hurricanes in Jamaica, Hurricanes in Haiti, Category 3 Atlantic hurricanes, August 2021 events, 2021 disasters
Mary Sibbet Copley	1843 births, 1929 deaths, American philanthropists
Puromycin	Antibiotics
State of Sindh	Sindh, History, Islam
Self-ownership	Liberalism, Anarchism
Boana diabolica	Frogs, Animals of South America
Southern brown kiwi	Birds of New Zealand, Flightless birds
Phyllomedusa	Animals of South America, Frogs
Tom Tugendhat	1973 births, Living people, British Army officers, British military people, Conservative MPs (UK), UK MPs 2019–, UK MPs 2015–2017, UK MPs 2017–2019, Members of the Order of the British Empire
Coltan	Minerals, Republic of the Congo
Damon Atabay	Living people, Models, Competitors in athletics
Speaking Moistly	2020 songs, COVID-19 pandemic, Internet culture
Bitz & Bob	English-language television programs
Hurricane Henri (2021)	Natural disasters in the United States, Hurricanes in New York, Hurricanes in New England, August 2021 events, 2021 in the United States, 21st century in New York
Bukayo Saka	2001 births, Living people, English footballers, Watford F.C. players, Arsenal F.C. players, Premier League players
The Song of Names	2019 drama movies, 2010s mystery movies, Canadian drama movies, German drama movies, Hungarian movies, British drama movies, British mystery movies, Movies based on books, Movies directed by François Girard
Brooklyn Center, Minnesota	Cities in Minnesota
Corcoran, Minnesota	Cities in Minnesota
Crystal, Minnesota	Cities in Minnesota
Edina, Minnesota	Cities in Minnesota
Excelsior, Minnesota	Cities in Minnesota
Golden Valley, Minnesota	Cities in Minnesota
Greenwood, Minnesota	Cities in Minnesota
Independence, Minnesota	Cities in Minnesota
Long Lake, Minnesota	Cities in Minnesota
Loretto, Minnesota	Cities in Minnesota
Maple Grove, Minnesota	Cities in Minnesota
Maple Plain, Minnesota	Cities in Minnesota
Medicine Lake, Minnesota	Cities in Minnesota
Medina, Minnesota	Cities in Minnesota
Newton, Mississippi	Cities in Mississippi
The Unlimited Dream Company	1979 books
Linda Riley	British LGBT people, Activists, LGBT feminists, Publishers, People with non-binary gender identities
Branimals	2009 movies, 2009 animated movies, 2000s adventure movies, Brazilian movies, Movies about animals
Impact Pictures	Companies of Canada, Movie studios
Death Race (2008 movie)	2008 movies, American movies, Prequel movies, German movies
Marie, Princess of Liechtenstein	1940 births, 2021 deaths, Deaths from stroke, Princes and princesses, Liechtenstein people
Johann II, Prince of Liechtenstein	1840 births, 1929 deaths, Princes of Liechtenstein
Daniel Risch	1978 births, Prime Ministers of Liechtenstein, Living people
Middlemost Post	2021 American television series debuts, 2020s American animated television series, 2020s American children's comedy television series, 2020s Nickelodeon original programming, English-language television programs, 2020s American animated comedy television series, American children's animated comedy television series, Nicktoons
Kostas Triantafyllopoulos	1956 births, 2021 deaths, Greek actors
Guy Sansaricq	1934 births, 2021 deaths, Haitian people, American Roman Catholics, Roman Catholic bishops, Naturalized citizens of the United States
Nicoletta Orsomando	1929 births, 2021 deaths, Italian radio personalities, Italian television personalities
Casapulla	Settlements in Campania
Thad McClammy	1942 births, 2021 deaths, State legislators of the United States, Politicians from Alabama, US Democratic Party politicians
Karolina Kaczorowska	1930 births, 2021 deaths, First Ladies, Polish academics
Frances Shand Kydd	Scottish people, English people, Deaths from Parkinson's disease, Deaths from brain cancer, Cancer deaths in Scotland, 1936 births, 2004 deaths
Rudolf Edlinger	1940 births, 2021 deaths, People from Vienna, Austrian politicians, Austrian businesspeople
Paul Muegge	1936 births, 2021 deaths, State legislators of the United States, Politicians from Oklahoma, US Democratic Party politicians
James W. Loewen	1942 births, 2021 deaths, American sociologists, American historians, Writers from Illinois, Deaths from bladder cancer
Istriot language	Romance languages
Blondie Plays Cupid	1940 movies, 1940s comedy movies, 1940s crime movies, American criminal comedy movies, Movies directed by Frank R. Strayer
Tom T. Hall	1936 births, 2021 deaths, American singer-songwriters, American country guitarists, American country singers, American folk musicians, American folk singers, American bluegrass musicians, American pianists, American saxophonists, Singers from Kentucky, Writers from Kentucky, Musicians from Kentucky
Daryl Dixon	Television characters, Fictional characters introduced in the 2010s
Igor Vovkovinskiy	1982 births, 2021 deaths, Naturalized citizens of the United States, Ukrainian actors, Actors from Minnesota, People from Rochester, Minnesota
Adams, Massachusetts	Towns in Massachusetts
Michael Morgan (conductor)	1957 births, 2021 deaths, LGBT African Americans, American conductors, LGBT musicians, Musicians from Washington, D.C., Gay men
Standish, Michigan	Cities in Michigan, County seats in Michigan
Over the Garden Wall	2014 American television series debuts, 2014 American television series endings, American animated television series, Cartoon Network series
L'Anse, Michigan	Cities in Michigan, County seats in Michigan
L'Anse Township, Michigan	Townships in Michigan
Beulah, Michigan	Villages in Michigan, County seats in Michigan
Benzonia Township, Michigan	Townships in Michigan
Benzonia, Michigan	Villages in Michigan
Cruella (movie)	2021 movies, 2020s comedy movies, 2020s crime movies, Disney+ movies, American comedy movies, American crime movies
Coldwater, Michigan	Cities in Michigan, County seats in Michigan
Coldwater Township, Branch County, Michigan	Townships in Michigan
Cheboygan, Michigan	Cities in Michigan, County seats in Michigan
Grayling, Michigan	Cities in Michigan, County seats in Michigan
Grayling Charter Township, Michigan	Townships in Michigan
Alex Ferns	1968 births, Living people, Scottish movie actors, Scottish stage actors, Scottish voice actors, Scottish television actors, Scottish television personalities
Lennoxtown	Villages in Scotland
Stirlingshire	Counties of Scotland
Lauren Shuler Donner	1949 births, Living people, Movie producers from Ohio, Businesspeople from Cleveland, Ohio
Prince Joseph Wenzel of Liechtenstein	1995 births, Living people, Princes of Liechtenstein, People from London
Sophie, Hereditary Princess of Liechtenstein	1967 births, Living people, Princes and princesses, Liechtenstein people, People from Munich
Tropical Storm Fred (2021)	August 2021 events
Ian Carey	1974 births, 2021 deaths, American DJs, American record producers, Musicians from Baltimore, Maryland, Musicians from Miami, Florida
Hancock, Maryland	Towns in Maryland
Fort Hancock, Texas	Unincorporated communities in Texas, Census-designated places in Texas
Terri Sewell	1965 births, Living people, American lawyers, United States representatives from Alabama, US Democratic Party politicians, People from Huntsville, Alabama
Raymond Leo Burke	1948 births, Living people, Cardinals of the Roman Catholic Church, Roman Catholic bishops, American lawyers, People from Richland Center, Wisconsin, People from St. Louis, Missouri
Svetlana Alliluyeva	1926 births, Living people, Naturalized citizens of the United States, People from Richland Center, Wisconsin, Writers from Wisconsin, Joseph Stalin, Writers from Moscow, Deaths from colorectal cancer, Cancer deaths in the United States
Repparfjorden	Norway
COVID-19 pandemic in Hong Kong	COVID-19 pandemic in China, History of Hong Kong
COVID-19 pandemic in Macau	COVID-19 pandemic in China, Macau
Quilmes	Cities in Argentina, Buenos Aires Province
Venafro	Cities in Molise
Boana buriti	Frogs, Animals of South America
Stewart Island kiwi	Birds, Animals of Oceania
Lumberton, Mississippi	Cities in Mississippi
Picayune, Mississippi	Cities in Mississippi
Donald III of Scotland	Kings and Queens of Scotland, 11th century births, 1099 deaths
Edgar, King of Scotland	Kings and Queens of Scotland, 11th century births, 1107 deaths
Puppet History	Television series, 2020 television series debuts
Hava, Maryam, Ayesha	2019 drama movies, Afghan movies, Iranian movies, French drama movies, Movies set in Afghanistan, Movies set in Iran
The Blue Veil (1951 movie)	1951 drama movies, American drama movies, Movie remakes, Movies directed by Curtis Bernhardt
Marie of Romania	1875 births, 1938 deaths, Deaths from pancreatic cancer, Deaths from cirrhosis, English Anglicans, People from Ashford, Kent, Recipients of the Order of the White Eagle (Poland)
Peter Harding (RAF officer, born 1933)	1933 births, 2021 deaths, British aviators, British military people, People from London
Alberto Bica	1958 births, 2021 deaths, Deaths from leukemia, Uruguayan footballers, Sportspeople from Montevideo
Micki Grant	1941 births, 2021 deaths, American stage actors, American television actors, American radio actors, American movie actors, American composers, American playwrights, Actors from Chicago, Singers from Chicago, Writers from Chicago
Sheikh Shahidur Rahman	1950s births, 2021 deaths, Pakistani politicians, Bangladeshi politicians, Bangladeshi Muslims, Deaths from myocardial infarction
Andrzej Schinzel	1937 births, 2021 deaths, Polish mathematicians, Polish academics, Polish writers
Sandomierz	Towns in Poland
High Wall	1947 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies based on plays, MGM movies, Movies directed by Curtis Bernhardt
1966 United Kingdom general election	1966, 1960s in the United Kingdom, United Kingdom general elections
List of Yo Gabba Gabba! episodes	Lists of television series episodes
Blue duck	Birds of New Zealand
Hardhead	Ducks, Birds of Oceania
Aythya	Ducks
Diving duck	Ducks
Lulach	Kings and Queens of Scotland, 11th century births, 1058 deaths
List of number-one singles of 2021 (Finland)	Music, Finnish culture
Aphasia	Neurology, Language
Rajkummar Rao	1984 births, Living people, Indian actors, Indian movie actors
New Zealand quail	Birds of New Zealand
Raj Kapoor filmography	Filmographies
Boana leucocheila	Frogs, Animals of South America
Sun–Joffe Manifesto	1923
Viktor Orbán and Santiago Abascal meeting	2021 in Europe
Killing of Samuel Luiz	Deaths by beating, Galicia, Spain, Spanish LGBT people, Victims of anti-LGBT hate crimes
Sheyene Gerardi	Articles with hCards, Humanitarians, Venezuelan people, Billionaires, People from Palo Alto, California, Businesspeople from New York, Stanford University alumni, Year of birth missing (living people), Living people
2021 Tennessee floods	2021 disasters, 2021 in the United States, 2020s disasters in North America, 2020s floods, 21st century in Tennessee, August 2021 events
Waverly, Tennessee	Cities in Tennessee, County seats in Tennessee
Abdullah Mokoginta	Indonesian politicians, 1935 births, 2021 deaths
Kotamobagu	Cities in Indonesia
Percha Leanpuri	1986 births, 2021 deaths, Indonesian politicians, Deaths in childbirth
South Sumatra	Provinces of Indonesia
Jean Orchampt	1923 births, 2021 deaths, French Roman Catholics, Roman Catholic bishops, Roman Catholic priests
Rod Gilbert	1941 births, 2021 deaths, New York Rangers players, Canadian ice hockey forwards, Sportspeople from Montreal
Jack Hirschman	1933 births, 2021 deaths, American poets, American essayists, American political activists, Marxism, Writers from New York City, Writers from San Francisco
Edin Šaranović	1976 births, 2021 deaths, Bosnia and Herzegovina footballers, Bosnia and Herzegovina football managers
Tešanj	Towns in Europe, Settlements in Bosnia and Herzegovina
Eric Wagner	1959 births, 2021 deaths, Deaths from pneumonia, Deaths from the COVID-19 pandemic in the United States, American heavy metal singers, American singer-songwriters, American rock singers
José Yudica	1936 births, 2021 deaths, Argentine football managers, Argentine footballers, People from Santa Fe, Argentina
Newell's Old Boys	Argentine football clubs, 1903 establishments in South America, 1900s establishments in Argentina
Johnson Aguiyi-Ironsi	1924 births, 1966 deaths, Presidents of Nigeria, Dictators, Assassinated people, Nigerian military people
Jane Wenham-Jones	1960s births, 2021 deaths, British journalists, British television presenters, British columnists, British educators, Writers from Kent
Rosita Quintana	1925 births, 2021 deaths, Argentine movie actors, Argentine stage actors, Argentine television actors, Mexican movie actors, Mexican stage actors, Mexican television actors, Actors from Buenos Aires, Actors from Mexico City, Argentine singers, Mexican singer-songwriters, Singers from Mexico City, Writers from Mexico City, Writers from Buenos Aires, Deaths from surgical complications, People with cancer
Jimmy Hayes (ice hockey)	1989 births, 2021 deaths, Chicago Blackhawks players, Florida Panthers players, Boston Bruins players, New Jersey Devils players, Sportspeople from Boston, Massachusetts
Irma Dorantes	1934 births, Living people, Equestrians, Mexican movie actors, Mexican television actors, Mexican stage actors, Mexican singers
Pedro Infante	1917 births, 1957 deaths, Aviation deaths, Mexican movie actors, Mexican television actors, Mexican stage actors, Mexican singers
Bangladesh Islami Chhatra Shibir	Political parties in Bangladesh
Shafiqur Rahman	Living people, Bangladesh Jamaat-e-Islami politicians, Bangladeshi Muslims, 1958 births
Tannehill, Louisiana	Unincorporated communities in Louisiana, Settlements in Winn Parish, Louisiana
The Salmon of Doubt	2002 books, English novels
Fiordland tokoeka	Birds, Animals of Oceania
Love Child (2011 film)	2011 drama movies, Dominican Republic movies, Puerto Rican movies, Movies directed by Leticia Tonos
Black Beauty (1946 movie)	1946 movies, 1940s drama movies, American family movies, American drama movies, Movies based on books, 20th Century Fox movies, Movies directed by Max Nosseck
Pat and Mike	1952 comedy movies, 1950s romantic comedy movies, American romantic comedy movies, MGM movies, Movies directed by George Cukor
Fitness Boxing	2018 video games, Nintendo Switch games, Nintendo Switch-only games, Video games developed in Japan
LittleBigPlanet (PSP)	2009 video games, LittleBigPlanet, PlayStation Portable games, PlayStation Portable-only games, Sony Interactive Entertainment games
Spotted dove	Birds of China, Birds of Asia
Kelly Price	Singer-songwriters from New York City, Singers from Georgia (U.S. state), People from Queens, Award winners, American soul singers, American gospel singers, American dance musicians, American contemporary R&B singers, African-American singers, 1973 births, Living people
Columbinae	Columbinae, Columbidae
Heavenly Sword	2007 video games, PlayStation 3 games, PlayStation 3-only games, Sony Interactive Entertainment games, Video games developed in Japan
Second inauguration of Dwight D. Eisenhower	1957 in the United States, United States presidential inaugurations, Dwight D. Eisenhower
Chinese Australians	Overseas Chinese, Chinese people
Chinese Malaysians	Overseas Chinese, Chinese people
Malaysian English	English language, Dialects of English
South African English	Languages of South Africa, Dialects of English
Diabetes in dogs	Pets, Diabetes mellitus, Controversies
Hammett (movie)	1982 movies, 1980s mystery movies, American mystery movies, Movies based on books, Warner Bros. movies, Movies directed by Wim Wenders
Utopia (2015 movie)	2015 drama movies, Afghan movies, Indian movies, British drama movies, Iranian movies
Andrea Stewart-Cousins	Women politicians, US Democratic Party politicians, State legislators of the United States, Politicians from New York City, Lieutenant Governors of New York (state), African American politicians, 21st-century American politicians, 1950 births, Living people
Diane Allen	US Republican Party politicians, Television personalities from New Jersey, Politicians from Newark, New Jersey, Emmy Award winners, American television news anchors, 1948 births, Living people
Boana poaju	Frogs, Animals of South America
Prince Gabriel, Duke of Dalarna	2017 births, Living people
Flag of Herefordshire	Flags of the United Kingdom, Herefordshire
Cities of Malaysia	Lists of cities by country, Cities in Malaysia
States and federal territories of Malaysia	States and federal territories of Malaysia, Subdivisions of Malaysia, Lists of subdivisions of Malaysia, Administrative divisions in Asia, First-level administrative divisions by country, Malaysia geography-related lists
Grossglockner	Mountains of Austria, Carinthia (state), Tyrol (state)
Mark Hyman (doctor)	1959 births, Living people, American physicians
Dating the Bible	Bible, Ancient history, Religion
Quarraisha Abdool Karim	Physicians, Living people
National University of La Matanza	1989 establishments in South America, Colleges and universities in South America
Red Brigades	Italy,  1970 establishments,  1984 disestablishments, Terrorism
Mario Moretti	1946 births, Living people, Italian communists
Human Shield (political party)	Political parties in Europe
List of countries in 1910	1910
List of countries in 1911	1911
List of countries in 1912	1912
List of countries in 1913	1913
List of countries in 1914	1914
Bad Habits (Ed Sheeran song)	2021 songs, Dance-pop songs
Lake Itasca	Geography of Minnesota, Lakes of the United States
List of countries in 1916	1916
List of countries in 1915	1915
List of countries in 1917	1917
List of countries in 1918	1918
List of countries in 1919	1919
Wyoming (1947 movie)	1947 movies, 1940s western movies, American western movies
South Georgia and the South Sandwich Islands national football team	National football teams
Stankevicius MGM	2014 establishments in Asia
List of countries in 1900	1900
List of countries in 1901	1901
List of countries in 1902	1902
List of countries in 1903	1903
List of countries in 1904	1904
List of countries in 1905	1905
List of countries in 1906	1906
List of countries in 1907	1907
List of countries in 1908	1908
List of countries in 1909	1909
Keithville, Louisiana	Unincorporated communities in Louisiana, Settlements in Caddo Parish, Louisiana
The Mummy Returns (video game)	2001 video games, PlayStation 2 games, Game Boy Color games, Action video games, Platform games
Sunset Valley, Texas	Cities in Texas
Rollingwood, Texas	Cities in Texas
West Lake Hills, Texas	Cities in Texas
Hiro Matsushita	1961 births, Living people, 24 Hours of Le Mans drivers, Japanese businesspeople
Castle Hills, Texas	Cities in Texas
Converse, Texas	Cities in Texas
Hill Country Village, Texas	Cities in Texas
Kirby, Texas	Cities in Texas
Olmos Park, Texas	Cities in Texas
Sandy Oaks, Texas	Cities in Texas
Shavano Park, Texas	Cities in Texas
Somerset, Texas	Cities in Texas
Terrell Hills, Texas	Cities in Texas
Universal City, Texas	Cities in Texas
Windcrest, Texas	Cities in Texas
Kōnosuke Matsushita	1894 births, 1989 deaths, Japanese businesspeople, Deaths from natural causes, Japanese centenarians
Hirata Tosuke	1849 births, 1925 deaths, People from Yamagata Prefecture
William J. Boarman	1946 births, 2021 deaths, Businesspeople from Maryland, Politicians from Maryland, US Democratic Party politicians
Severna Park, Maryland	Census-designated places in Maryland
Charlie Watts	1941 births, 2021 deaths, English rock drummers, English composers, Musicians from London, Writers from London, The Rolling Stones members, Musicians from Middlesex, Record producers
Said al-Harumi	1972 births, 2021 deaths, Deaths from myocardial infarction, Israeli politicians
2020 Summer Paralympics	August 2021 events, September 2021 events
Mahamat Déby	Living people, 1984 births, Heads of state of Chad, Generals
Gail Omvedt	1941 births, 2021 deaths, American academics, Indian academics, American sociologists, American feminist writers, American human rights activists, Indian activists, Indian scientists, Scientists from Minneapolis, Minnesota, Writers from Minneapolis, Minnesota
Wilfried Van Moer	1945 births, 2021 deaths, Deaths from stroke, Belgian football managers, Belgian footballers
K.S.K. Beveren	Belgian football clubs, East Flanders
Jan Suchý	1944 births, 2021 deaths, Czech ice hockey players, Olympic silver medalists
Ghazali Mohd Seth	1929 births, 2021 deaths, Malaysian politicians, Military people, Deaths from heart failure
Mangala Samaraweera	1956 births, 2021 deaths, Sri Lankan politicians, LGBT politicians, Gay men, Deaths from the COVID-19 pandemic
Simply Red	Musical groups established in 1984, Musical groups disestablished in 2010, British pop music groups
Congress of People's Deputies of the Soviet Union	Soviet Union
Jerry Harkness	1940 births, 2021 deaths, New York Knicks players, Indiana Pacers players, Sportspeople from New York City, Sportspeople from Chicago, American civil rights activists
Country Joe and the Fish	Musical groups established in 1965, Musical groups disestablished in 1970, Musical groups from California, American rock bands, Musicians from Berkeley, California
Olabiyi Durojaiye	1933 births, 2021 deaths, Nigerian politicians, Deaths from the COVID-19 pandemic in Nigeria
Anatoliy Chizhov	1934 births, 2021 deaths, Soviet politicians, Russian politicians, Russian engineers
1964 United Kingdom general election	1960s in the United Kingdom, 1964, United Kingdom general elections
O. Chandrashekar	1936 births, 2021 deaths, Indian footballers, Olympians
Volodymyr Bondarenko (politician)	1952 births, 2021 deaths, Ukrainian politicians
Jean-Luc Nancy	1940 births, 2021 deaths, French philosophers, French academics, French writers, People from Bordeaux
Tom Flynn (author)	1955 births, 2021 deaths, American editors, American novelists, People from Erie, Pennsylvania, Writers from Pennsylvania
Brick Bronsky	1964 births, 2021 deaths, American professional wrestlers, American movie actors, American sports commentators, American television actors, Sportspeople from Pennsylvania, Actors from Pennsylvania, Movie producers from Pennsylvania, Deaths from the COVID-19 pandemic in the United States, People from Harrisburg, Pennsylvania
Jaafar Jaafar	1978 births, Living people, Nigerian writers
Rabiu Kwankwaso	1956 births, Living people, Nigerian politicians
Elizabeth Blackadder	1931 births, 2021 deaths, Scottish painters, People from Edinburgh
Juan Carlos Blanco Estradé	1934 births, 2021 deaths, Uruguayan lawyers, Uruguayan politicians, Criminals, People from Montevideo
Nick Volpe	1926 births, 2021 deaths, Sportspeople from Toronto
Andreas Norland	1935 births, 2021 deaths, Norwegian journalists, Editors
Boutros Gemayel	1932 births, 2021 deaths, Lebanese people
Osório Bebber	1929 births, 2021 deaths, Roman Catholic bishops, Deaths from sepsis, Deaths from surgical complications, People from Rio Grande do Sul
Caxias do Sul	Cities in Rio Grande do Sul
Flores da Cunha	Municipalities in Brazil, Rio Grande do Sul
Ileana Gyulai-Drîmbă-Jenei	1946 births, 2021 deaths, Romanian sportspeople, Fencers, Olympic bronze medalists
Ion Drîmbă	1942 births, 2021 deaths, Romanian sportspeople, Fencers, Olympic gold medalists
Emerich Jenei	1937 births, Living people, Romanian football managers, Romanian footballers
Lukas Haas	1976 births, Living people, American child actors, American movie actors, American television actors, American stage actors, American voice actors, American rock musicians, Musicians from Los Angeles, California, Actors from Los Angeles, California
Gene Kranz	1933 births, Living people, NASA, American engineers, American aviators, Scientists from Ohio, People from Toledo, Ohio, Presidential Medal of Freedom recipients
Seymour Liebergot	1936 births, Living people, NASA, American engineers, Scientists from New Jersey, People from Camden, New Jersey
Glynn Lunney	1936 births, 2021 deaths, Presidential Medal of Freedom recipients, American engineers, NASA, Scientists from Pennsylvania, Scientists from Houston, Texas, Deaths from leukemia, Cancer deaths in Texas
Janet Malcolm	1934 births, 2021 deaths, Czech journalists, Naturalized citizens of the United States, Journalists from New York City, Deaths from lung cancer, Cancer deaths in New York City
Bob Walkup	1936 births, 2021 deaths, American mayors, Politicians from Arizona, Politicians from Iowa, People from Tucson, Arizona, US Republican Party politicians, Deaths from idiopathic pulmonary fibrosis
Ombretta Fumagalli Carulli	1944 births, 2021 deaths, Italian politicians, Italian academics, Italian judges
Karin Strenz	1967 births, 2021 deaths, Politicians from Mecklenburg-Vorpommern
Susana Canales	1933 births, 2021 deaths, Spanish movie actors, Spanish stage actors, Spanish television actors, Actors from Madrid
Hamdan bin Rashid Al Maktoum	1945 births, 2021 deaths, Emirati people, Asian politicians, Business people
Howard Schnellenberger	1934 births, 2021 deaths, American football coaches, College football coaches, Sportspeople from Indiana
Saint Meinrad, Indiana	Census-designated places in Indiana
Bibian Mentel	1972 births, 2021 deaths, Dutch Paralympic gold medalists, Deaths from brain cancer
Joye Hummel	1924 births, 2021 deaths, American comics writers, Writers from New York City
Bobby Schilling	1964 births, 2021 deaths, Cancer deaths in the United States, United States representatives from Illinois, US Republican Party politicians, Politicians from Iowa
Bobby Leonard	1932 births, 2021 deaths, American basketball players, National Basketball Association coaches, Sportspeople from Indianapolis, Indiana, American sports commentators, People from Terre Haute, Indiana
Du Jinfang	1932 births, 2021 deaths, Chinese stage actors, Chinese movie actors, Chinese singers
The Unholy Garden	1931 movies, 1930s romance movies, 1930s drama movies, American romantic drama movies, Movies directed by George Fitzmaurice
Frank Judd, Baron Judd	1935 births, 2021 deaths, UK MPs 1966–1970, UK MPs 1970–1974, UK MPs 1974, UK MPs 1974–1979, Former Labour MPs (UK), British businesspeople, People from Surrey
Vivek (actor)	1961 births, 2021 deaths, Deaths from cardiac arrest, Indian movie actors, Indian television actors, Indian comedians, Indian activists, Indian singers, People from Tamil Nadu
