Executive order (United States)	United States law
Dallas Green (baseball)	1934 births, 2017 deaths, Deaths from renal failure, Deaths from pneumonia, Disease-related deaths in Pennsylvania, Baseball executives, Philadelphia Phillies players, New York Mets players, Texas Rangers players, Sportspeople from Delaware
Pete Hamilton	1942 births, 2017 deaths, American racecar drivers, Sportspeople from Massachusetts
Lembit Ulfsak	1947 births, 2017 deaths, Estonian people, Movie actors, Stage actors
Morgana King	1930 births, 2018 deaths, Deaths from non-Hodgkin lymphoma, Cancer deaths in California, American movie actors, American television actors, American jazz musicians, American blues musicians, American pop singers, Actors from New York City, Singers from New York City, Musicians from New York City
2017 Westminster attack	2017 crimes in the United Kingdom, 2017 in London, 2017 murders in Europe, 2010s crimes in London, 2017 murders in the United Kingdom, Islamic terrorist incidents in 2017, Islamic terrorist incidents in the United Kingdom, March 2017 events, Mass murder in 2017, Mass murder in London, Terrorist incidents in Europe in 2017, Terrorist incidents in London, Terrorist incidents in the United Kingdom in the 2010s, Terrorist incidents involving vehicular attacks
Lemon & Paeroa	Soft drinks, Coca-Cola
Pennsylvania Station (New York City)	1910 establishments in the United States, 1910s establishments in New York (state), Buildings and structures in Manhattan, Rail transport in the United States, Transport in New York City, Railway stations in the United States
Fresquel	Rivers of France, Occitanie
Al D'Amato	1937 births, Living people, American lawyers, American lobbyists, Businesspeople from New York City, United States senators from New York, US Republican Party politicians
Henk Krol	1950 births, Living people, Dutch activists, Dutch businesspeople, Dutch councillors, Dutch journalists, Dutch LGBT people, Dutch provincial politicians, Former leaders of political parties in the Netherlands, Former members of the House of Representatives of the Netherlands, Gay men, Independent politicians in the Netherlands, LGBT businesspeople, LGBT journalists, LGBT politicians, LGBT rights activists, LGBT sex industry people, People from Tilburg, Politicians from North Brabant, Sex industry businesspeople, Writers from North Brabant
Alia Bhatt	1993 births, Living people, Indian movie actors, Indian models, Indian singers, Bollywood playback singers, Actors from Mumbai
Kees van der Staaij	1968 births, Living people, Dutch Calvinists, Dutch civil servants, Dutch jurists, Leaders of political parties in the Netherlands, Members of the House of Representatives of the Netherlands, People from Vlaardingen, Politicians from South Holland, Reformed Political Party politicians, Writers from South Holland
Sara Li	1988 births, Living people, Swedish singers
Ronnie Moran	1934 births, 2017 deaths, Deaths from vascular dementia, Disease-related deaths in England, English footballers, English football managers, Association football defenders, Association football full-backs, Liverpool F.C. players, Sportspeople from Liverpool
Tunahan Kuzu	1981 births, Living people, Dutch councillors, Dutch Muslims, Former leaders of political parties in the Netherlands, Independent politicians in the Netherlands, Labour Party (Netherlands) politicians, Members of the House of Representatives of the Netherlands, Naturalised citizens of the Netherlands, People from Istanbul
Thierry Baudet	1983 births, Living people, Dutch academics, Dutch activists, Dutch columnists, Dutch historians, Dutch jurists, Dutch party chairs, Leaders of political parties in the Netherlands, Members of the House of Representatives of the Netherlands, Political activists, Politicians from North Holland, Writers from North Holland
Lèze	Rivers of France, Occitanie
Joop den Uyl	1919 births, 1987 deaths, Agnostics, Deaths from brain cancer, Deputy Prime Ministers of the Netherlands, Aldermen of the Netherlands, Dutch councillors, Dutch former Christians, Former leaders of political parties in the Netherlands, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Labour Party (Netherlands) politicians, People from Hilversum, Politicians from North Holland, Prime Ministers of the Netherlands
Edward Joseph McManus	1920 births, 2017 deaths, American judges, Lieutenant Governors of Iowa, US Democratic Party politicians
Sib Hashian	1949 births, 2017 deaths, Deaths from myocardial infarction, American rock drummers, Musicians from Boston, Massachusetts
Tomas Milian	1933 births, 2017 deaths, Deaths from stroke, Cardiovascular disease deaths in Florida, Naturalized citizens of the United States, American movie actors, American stage actors, American television actors, American LGBT people, LGBT actors, Cuban actors, Bisexual people, Italian movie actors, Italian television actors, Italian stage actors, Italian LGBT people, People from Havana, Actors from Miami, Florida
William H. Keeler	1931 births, 2017 deaths, American Roman Catholics, Cardinals of the Roman Catholic Church, Disease-related deaths in Maryland, People from Baltimore, Maryland, People from San Antonio, Texas, Roman Catholic archbishops
Cino Tortorella	1926 births, 2017 deaths, Italian television actors, Italian television personalities, Italian television presenters
Denis Voronenkov	1971 births, 2017 deaths, Murder victims, Deaths by firearm, Russian politicians
Stalemate	Chess, Metaphors
Amerdingen	Donau-Ries
Hans Geiger	1882 births, 1945 deaths, German academics, German inventors, German physicists, Nuclear physicists, People from Rhineland-Palatinate
Johann Alexander Döderlein	1675 births, 1745 deaths, German academics, German historians
Lise Meitner	1878 births, 1968 deaths, Austrian Jews, Austrian physicists, Female scientists, Foreign Members of the Royal Society, Jewish academics, Jewish scientists, Jews who converted to Christianity, Lutherans, Nuclear physicists, Refugees from Nazism, Scientists from Vienna, Swedish scientists
Chien-Shiung Wu	Nuclear physicists, Scientists from New York City, Scientists from Berkeley, California, Chinese scientists, 1912 births, 1997 deaths
Vera Rubin	American astronomers, 1928 births, 2016 deaths
Hypatia	Greek scientists
Ada Yonath	1939 births, Living people, Biochemists, Chemists, Female scientists, Hebrew University of Jerusalem alumni, Israeli Jews, Israeli Nobel Prize winners, Israeli scientists, Jewish Nobel Prize winners, Jewish scientists, Jewish Wolf Prize winners, People from Jerusalem
Youyou Tu	Chinese Nobel Prize winners, Nobel Prize in Physiology or Medicine winners, Chinese scientists, Female scientists, Pharmacologists, Living people, 1930 births, People from Beijing
Rosalyn Yalow	1921 births, 2011 deaths, American physicists, People from New York City, Nobel Prize in Physiology or Medicine winners, People from the Bronx
Maryam Mirzakhani	Fields Medalists, 1977 births, 2017 deaths, Academics, Deaths from breast cancer, Female scientists, Mathematicians, People from Tehran
Emilie du Chatelet	French physicists, 1706 births, 1749 deaths, Scientists from Paris
Mary Somerville	Scottish writers, 1789 births, 1872 deaths, Scottish scientists, British astronomers, British mathematicians, Female scientists
May-Britt Moser	1962 births, Living people, Norwegian scientists, Norwegian psychologists
Starboy (song)	2016 songs, Synth-pop, Pop songs, The Weeknd
Via (electronics)	Electronics
Andrés Ocaña	1955 births, 2017 deaths, Deaths from myocardial infarction, Spanish politicians, Mayors
José José	1948 births, 2019 deaths, Mexican singer-songwriters, Mexican movie actors, Pop singers, Deaths from pancreatic cancer, Cancer deaths in Florida, Actors from Mexico City
Kallar (caste)	Castes in Tamil Nadu
Maravar	Castes in Tamil Nadu
Karaikudi	Sivaganga District
Sivaganga district	Sivaganga District
Namakkal	Namakkal district
Tiruchirappalli Rock Fort	Tiruchirapalli District
Ucchi Pillayar Temple, Rockfort	Tiruchirapalli District
Thayumanaswami Temple, Rockfort	Tiruchirapalli District
Thiruvarur	Thiruvarur district
Mannargudi	Thiruvarur district
Kukkarahalli lake	Lakes of India
Eduard Bomhoff	1944 births, Living people, Deputy Prime Ministers of the Netherlands, Dutch academics, Dutch Christians, Dutch columnists, Dutch economists, Government ministers of the Netherlands, Old Catholics, Pim Fortuyn List politicians, Politicians from Amsterdam, Writers from Amsterdam
Anton Constandse	1899 births, 1985 deaths, Anarchists, Dutch academics, Dutch activists, Dutch atheists, Dutch former Christians, Dutch journalists, Dutch people of World War II, Humanists, Political activists, Writers from Zeeland
Khadija Arib	1960 births, Living people, Dutch Muslims, Dutch women politicians, Labour Party (Netherlands) politicians, Members of the House of Representatives of the Netherlands, Moroccan politicians, Naturalised citizens of the Netherlands, Speakers of the House of Representatives of the Netherlands
Etienne Vermeersch	1934 births, 2019 deaths, 20th century philosophers, 21st century philosophers, Abortion-rights activists, Belgian academics, Belgian atheists, Belgian philosophers, Deaths by euthanasia, Drug-related suicides, Euthanasia activists, Former Christians, Jesuits, People from Bruges, Skeptics
Maurice Xiberras	1936 births, 2017 deaths, Deaths from myocardial infarction, Gibraltar, Educators, Politicians, Activists
Tony Terran	1926 births, 2017 deaths, Trumpeters, Musicians from Los Angeles, California, Musicians from Buffalo, New York
Roy Fisher	1930 births, 2017 deaths, British poets, British jazz musicians, British pianists, Writers from Birmingham, Musicians from Birmingham
Joanne Kyger	1934 births, 2017 deaths, Deaths from lung cancer, Cancer deaths in California, American poets, American Buddhists, Writers from California
Ashokamitran	1931 births, 2017 deaths, Deaths from cardiac arrest, Indian writers
Meir Einstein	1951 births, 2017 deaths, Disease-related deaths in Israel, Jewish Israeli sportspeople, Radio personalities
Leo Peelen	1968 births, 2017 deaths, Deaths from cardiac arrest, Dutch cyclists, People from Arnhem, Sportspeople from Gelderland
Avo Uvezian	1926 births, 2017 deaths, Deaths from respiratory arrest, Disease-related deaths in Florida, Naturalized citizens of the United States, American jazz musicians, American pianists, American songwriters, Businesspeople from Florida, Writers from Florida, Musicians from Florida, People from Orlando, Florida, People from Beirut
Mayaro	Trinidad and Tobago
Damnatio memoriae	Latin phrases
Vault 7	2017 in the United States
Eshanosaurus	Dinosaurs
Yohanna Ibrahim	1948 births, Living people, Archbishops, Missing people, Oriental Orthodox Christians, Syrian Christians
More Life	Drake albums
National Cycling Museum	Belgium, 1998 establishments in Europe, 20th century establishments in Belgium
Roeselare station	Railway stations in Europe
Jacqueline Naze Tjøtta	1935 births, 2017 deaths, Disease-related deaths in Norway, French mathematicians, Norwegian scientists, French educators, Norwegian educators, People from Montpellier
Roya Saberi Negad Nobakht	British people, 1967 births, Political prisoners, Living people
Sigve Tjøtta	1930 births, Living people, Norwegian academics, Norwegian scientists, Norwegian mathematicians
Mai Dantsig	1930 births, 2017 deaths, Deaths from heart failure, Deaths from pneumonia, Artists, People from Minsk
Parameter (computer science)	Computer science
Teodor Oizerman	1914 births, 2017 deaths, 20th century philosophers, 21st century philosophers, Deaths from congestive heart failure, Jewish academics, Jewish atheists, Jewish centenarians, Jewish philosophers, Russian communists, Russian Jews, Russian philosophers, Soviet Jews
Vladimir Kazachyonok	1952 births, 2017 deaths, Deaths from myocardial infarction, Russian footballers, Russian football managers
Jean Rouverol	1916 births, 2017 deaths, Actors from St. Louis, Missouri, American centenarians, American communists, American movie actors, American screenwriters, American television writers, Deaths from natural causes, Disease-related deaths in New York, Writers from St. Louis, Missouri
Great spotted woodpecker	Piciformes
Ferrous metal recycling	Iron
Armistice of Villafranca	1859, 19th century treaties, Wars, 19th century in Italy, 1850s in France, 19th century in Austria
Whatawhata	Villages, Settlements in New Zealand
Il macigno	1917, 1910s operas
Elbert Roest	1954 births, Living people, Democrats 66 politicians, Aldermen of the Netherlands, Dutch councillors, Dutch historians, Dutch mayors, Dutch teachers, Politicians from Groningen (province)
Lockheed P-3 Orion	Aircraft
Newton N. Minow	1926 births, Living people, American lawyers, American activists, Democrats (United States), Businesspeople from Milwaukee, Wisconsin, Businesspeople from Chicago, Chairmen of the Federal Communications Commission
Richard Garwin	1928 births, Living people, American physicians, Scientists from Cleveland, Ohio
Hubert Hammerer	1925 births, 2017 deaths, Austrian sportspeople, Sport shooters
Vasily Borisov	1922 births, Living people, Sport shooters, Russian sportspeople, Ukrainian sportspeople, Soviet Olympic gold medalists, Soviet Olympic silver medalists, Olympic bronze medalists
Hans Rudolf Spillmann	1932 births, Living people, Sport shooters, Sportspeople from Zürich
Four the Record	2011 albums
Arun Sarma	1931 births, 2017 deaths, Deaths from multiple organ failure, Indian playwrights
Ingeborg Rapoport	1912 births, 2017 deaths, East German people, German centenarians, German doctors, Jewish centenarians, Jewish German academics, Jewish German scientists, Refugees from Nazism, Socialists
Roger Wilkins	1932 births, 2017 deaths, African American politicians, African American writers, American academics, American civil rights activists, American historians, American journalists, American political writers, Deaths from dementia, Disease-related deaths in Maryland, Politicians from Grand Rapids, Michigan, Politicians from Kansas City, Missouri, Writers from Grand Rapids, Michigan, Writers from Kansas City, Missouri
David Storey	Booker Prize winners, 1933 births, 2017 deaths, Deaths from Parkinson's disease, Deaths from dementia, Disease-related deaths in London, English novelists, English playwrights, English screenwriters, English rugby union players, Writers from Yorkshire, Sportspeople from Yorkshire
2017 Bulgarian parliamentary election	Politics of Bulgaria, 2017 in Europe, 2017 elections, March 2017 events
Penelope Lively	Booker Prize winners, 1933 births, Living people, English novelists, English children's writers, People from Cairo
Carl Icahn	1936 births, Living people, American activists, American billionaires, American chief executives, American Jews, American philanthropists, Businesspeople from New York City, Jewish activists, Jewish billionaires, Jewish businesspeople, Jewish philanthropists, New York University alumni, Princeton University alumni, Real estate developers
List of Dutch cabinets	Cabinets of the Netherlands
Finery forge	Iron
Cain	Old Testament people
Beowulf (2007 movie)	2007 movies, 2000s fantasy movies, American fantasy movies, British fantasy movies, Movies directed by Robert Zemeckis
Arthur Blythe	1940 births, 2017 deaths, Deaths from Parkinson's disease, Disease-related deaths in Los Angeles, American jazz musicians, American saxophonists, American composers, Musicians from Los Angeles, California
Infanta Alicia, Duchess of Calabria	1917 births, 2017 deaths, People from Vienna, Princes and princesses, Spanish people
Christine Kaufmann	Golden Globe Award winning actors, 1945 births, 2017 deaths, Deaths from leukemia, Cancer deaths in Germany, German movie actors, German television actors, German writers, German businesspeople, Austrian businesspeople, Austrian movie actors, Austrian television actors, Austrian writers, People from Styria
William Macpherson	1926 births, 2021 deaths, Scottish judges, Scottish politicians
Alaa Murabit	1989 births, Living people, Human rights activists, People from Saskatoon, BBC 100 Women
William McPherson	Pulitzer Prize winners, 1933 births, 2017 deaths, Deaths from congestive heart failure, Deaths from pneumonia, Cardiovascular disease deaths in Washington, D.C., American journalists, American critics, Writers from Michigan
Janine Sutto	1921 births, 2017 deaths, Deaths from Alzheimer's disease, Disease-related deaths in Quebec, Canadian movie actors, Canadian television actors, Canadian stage actors, French movie actors, French television actors, French stage actors, Actors from Montreal, Actors from Paris
Enn Vetemaa	1936 births, 2017 deaths, Novelists, Playwrights, People from Tallinn
Wim Schermerhorn	1894 births, 1977 deaths, Dutch academics, Dutch engineers, Dutch people of World War II, Former members of the House of Representatives of the Netherlands, Labour Party (Netherlands) politicians, Members of the Senate of the Netherlands, Politicians from North Holland, Prime Ministers of the Netherlands, Prisoners, Remonstrants
Hroðgar	Germanic mythology
Narcissus (mythology)	People in Greek mythology
Narcissism	Psychology
Wiglaf	Germanic mythology
Delft University of Technology	1842 establishments, Delft, Technical colleges and universities in the Netherlands, 19th century establishments in the Netherlands, 1840s establishments in Europe
Eindhoven University of Technology	1956 establishments in the Netherlands, Eindhoven, Technical colleges and universities in the Netherlands
University of Twente	Enschede, Technical colleges and universities in the Netherlands, 1960s establishments in the Netherlands, 1961 establishments in Europe
Lilian Janse-van der Weele	1973 births, Living people, Dutch Calvinists, Dutch councillors, Dutch women politicians, People from Vlissingen, Politicians from Zeeland, Reformed Political Party politicians
Bellac	Subprefectures in France, Communes in Haute-Vienne
Alleanza Securitas Esperia	Companies of Italy, Insurance companies
Castilleja School	Schools in California, 1907 establishments in the United States, 1900s establishments in California
Castilleja	Parasitic plants, Lamiales genera
Linda Nolan	1959 births, Living people, People with cancer, Breast cancer survivors, Irish singers, Irish television actors, Actors from Dublin
Kim Wyman	1962 births, Living people, People with cancer, Politicians from California, Politicians from Washington, People from Long Beach, California, US Republican Party politicians
Armando Nieto	1931 births, 2017 deaths, Deaths from pneumonia, Historians, Jesuits, Roman Catholic priests, People from Lima
Andrew Mlangeni	1925 births, 2020 deaths, Deaths from bowel obstruction, South African politicians, Activists
Denis Goldberg	1933 births, 2020 deaths, Deaths from lung cancer, People associated with Apartheid, Communists, Jewish activists, People from Cape Town, Prisoners, South African Jews, White South African people
Louis Beel	1902 births, 1977 deaths, Catholic People's Party politicians, Dutch academics, Dutch civil servants, Dutch jurists, Dutch Roman Catholics, Deputy Prime Ministers of the Netherlands, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Politicians from Limburg (Netherlands), Prime Ministers of the Netherlands
Barend Biesheuvel	1920 births, 2001 deaths, Anti-Revolutionary Party politicians, Deputy Prime Ministers of the Netherlands, Dutch Calvinists, Dutch jurists, Former leaders of political parties in the Netherlands, Former members of the House of Representatives of the Netherlands, Former MEPs, Government ministers of the Netherlands, MEPs for the Netherlands, Politicians from North Holland, Prime Ministers of the Netherlands
Free University Amsterdam	Calvinism, Christian colleges and universities, Colleges and universities in the Netherlands, Protestantism in the Netherlands, 19th century establishments in the Netherlands, 1880 establishments in Europe, Amsterdam
Jelle Zijlstra	1918 births, 2001 deaths, Anti-Revolutionary Party politicians, Bankers, Dutch academics, Dutch Calvinists, Dutch economists, Former leaders of political parties in the Netherlands, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Members of the Senate of the Netherlands, Politicians from Friesland, Prime Ministers of the Netherlands
Ensign (rank)	Military ranks
Aad van Dulst	1929 births, 2001 deaths, Christian Democratic Appeal politicians, Christian Historical Union politicians, Dutch Calvinists, Dutch councillors, Dutch journalists, Dutch mayors, Politicians from Rotterdam
Donald Harvey	1952 births, 2017 deaths, Deaths by beating, Murdered criminals, American murder victims, People murdered in the United States, People who died in prison custody in the United States, American prisoners sentenced to life imprisonment, American serial killers, Criminals from Ohio
Paul Mitchell (American football)	1920 births, 2017 deaths, American football players, Sportspeople from Minneapolis, Minnesota
Ken Sparks	1944 births, 2017 deaths, Deaths from prostate cancer, Cancer deaths in Tennessee, American football players, American football coaches, Sportspeople from Tennessee, People from Knoxville, Tennessee
Vitaly Ginzburg	1916 births, 2009 deaths, Astrophysicists, Deaths from cardiac arrest, Jewish academics, Jewish atheists, Jewish Nobel Prize winners, Jewish scientists, Jewish Wolf Prize winners, People from Moscow, Russian academics, Russian Jews, Russian physicists, Soviet Jews, Theoretical physicists
Alexei Alexeyevich Abrikosov	1928 births, 2017 deaths, American Nobel Prize winners, American physicists, Disease-related deaths in California, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, Naturalized citizens of the United States, People from Moscow, Russian academics, Russian Jews, Russian scientists, Soviet Jews, Theoretical physicists
Darlene Cates	1947 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Texas, American movie actors, American television actors, Actors from Dallas, Texas
Toše Proeski	People from North Macedonia, 1981 births, 2007 deaths, Singers
Victor Marijnen	1917 births, 1975 deaths, Catholic People's Party politicians, Dutch civil servants, Dutch jurists, Dutch mayors, Dutch Roman Catholics, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, People from Arnhem, Politicians from Gelderland, Prime Ministers of the Netherlands
Jan de Quay	1901 births, 1985 deaths, Catholic People's Party politicians, Deputy Prime Ministers of the Netherlands, Dutch academics, Dutch activists, Dutch people of World War II, Dutch provincial politicians, Dutch Roman Catholics, Government ministers of the Netherlands, Governors, Members of the Senate of the Netherlands, People from 's-Hertogenbosch, Political activists, Politicians from North Brabant, Prime Ministers of the Netherlands, Prisoners, Dutch psychologists
Jo Cals	1914 births, 1971 deaths, Catholic People's Party politicians, Deputy government ministers of the Netherlands, Dutch councillors, Dutch jurists, Dutch lawyers, Dutch military personnel of World War II, Dutch Roman Catholics, Former members of the House of Representatives of the Netherlands, Government ministers of the Netherlands, Politicians from Limburg (Netherlands), Prime Ministers of the Netherlands
Deaths in April 2017	2017 deaths, April 2017 events
Piroska Oszoli	1919 births, 2017 deaths, Hungarian people, Painters
Louis Feldman	1926 births, 2017 deaths, Disease-related deaths in New York City, American historians, American Jews, American educators, Writers from Hartford, Connecticut
All for You (Janet Jackson song)	Janet Jackson songs, 2001 songs
Marilyn McCord Adams	1943 births, 2017 deaths, Cancer deaths in New Jersey, American philosophers, Christian clergy, Writers from New Jersey
Robert Merrihew Adams	1937 births, Living people, American philosophers, Writers from Philadelphia, Pennsylvania
Monty Davidson	1935 births, 2017 deaths, Politicians from Ontario
Richard Bustillo	1942 births, 2017 deaths, American educators, Sportspeople from Hawaii, Sportspeople from California
Halit Akçatepe	1938 births, 2017 deaths, Deaths from myocardial infarction, Turkish movie actors
Gilbert Baker (artist)	1951 births, 2017 deaths, American artists, American civil rights activists, American LGBT rights activists, Cardiovascular disease deaths in New York City, Deaths from stroke, Democrats (United States), Gay men, LGBT people from New York City, People from Kansas
Mike Hall (cyclist)	1981 births, 2017 deaths, Road accident deaths, British cyclists, Sportspeople from Yorkshire
Henry Plumb, Baron Plumb	1925 births, Living people, Conservative Party (UK) people, Former MEPs, Lobbyists, MEPs for the United Kingdom, People from Warwickshire, Presidents of the European Parliament
Andreas Kaplan	1977 births, People from Munich, Academics
Linstead	Towns in Jamaica
Colón, Panama	Cities in Central America, Settlements in Panama
Gösta Ekman	1939 births, 2017 deaths, Actors from Stockholm, Swedish movie actors
Clinton Family Portrait	American paintings, Bill Clinton, 20th century paintings, 1995
Belgian chocolate	Belgian food, Chocolate
Adam Weishaupt	1748 births, 1830 deaths, German philosophers
Mild cognitive impairment	Disability
Vysokovsky Graduate School of Urbanism	Colleges and universities in Russia, Buildings and structures in Moscow, 2011 establishments in Europe, Urban planning, 21st century establishments in Russia
Universiti Tunku Abdul Rahman	Colleges and universities in Asia, Malaysia, 2002 establishments in Asia, Establishments in Malaysia
The World Federation of Great Towers	Urban planning organizations, International organizations
Moto GP on BBC	Motorcycling, 2003 British television series debuts, 2013 television series endings
Reflex angle	Angles
The Land Of Israel Garden	Tel Aviv, Parks in Israel, Geography of Israel
The Billy Rose Art Garden	Jerusalem, Parks in Israel
Tulip breaking virus	Viruses
Yevgeny Yevtushenko	1932 births, 2017 deaths, Deaths from heart failure, Deaths from surgical complications, Cardiovascular disease deaths in the United States, Russian poets, Russian novelists, Russian screenwriters, Russian movie actors, Russian movie directors, Essayists, Soviet movie actors, Soviet writers
Gary Austin	1941 births, 2017 deaths, Cancer deaths in Los Angeles, American educators, American entertainers, Writers from Oklahoma, Writers from San Francisco, Writers from Dallas, Texas
Richard Nelson Bolles	1927 births, 2017 deaths, Disease-related deaths in California, Writers from Milwaukee, Wisconsin
Elizabeth Wagele	1939 births, 2017 deaths, Deaths from neuroendocrine cancer, Cancer deaths in California, American cartoonists, American classical musicians, Writers from Salt Lake City, Utah, Musicians from Berkeley, California, Writers from Berkeley, California, Musicians from Salt Lake City, Utah
James Rosenquist	1933 births, 2017 deaths, Disease-related deaths in New York City, American artists, People from Grand Forks, North Dakota, People from Florida
Radley Metzger	1929 births, 2017 deaths, Disease-related deaths in New York City, Movie directors from New York City
Darcus Howe	1943 births, 2017 deaths, Black British people, British activists, British television presenters, British writers, Cancer deaths in London, Deaths from prostate cancer, Trinidad and Tobago people
Kenneth J. Donnelly	1950 births, 2017 deaths, Deaths from brain cancer, Cancer deaths in Massachusetts, Politicians from Massachusetts, US Democratic Party politicians
Hans Alfredson	1931 births, 2017 deaths, Swedish movie actors, Swedish movie directors, Swedish writers, Swedish comedians, People from Malmo
It (2017 movie)	2017 horror movies, 2010s drama thriller movies, 2010s horror thriller movies, 2010s supernatural movies, American drama thriller movies, American horror thriller movies, American supernatural movies, English-language movies, Movies based on books, Movies set in Maine, Movies set in 1988, Warner Bros. movies, Movies based on books by Stephen King
Naz Male Health Alliance	Pakistan, LGBT, Transgender, HIV/AIDS, 2011 establishments in Asia, 2010s establishments in Pakistan
Sexual health	Human sexuality
George Benson	Singers from Pennsylvania, American R&B musicians, American pop musicians, 1943 births, Living people
Herbie Hancock	American pianists, American movie actors, American composers, Musicians from Chicago, 1940 births, Living people
Show No Mercy	1983 albums, Slayer albums
Vijayalaya Chola	Tamil Monarchs
Lonnie Brooks	1933 births, 2017 deaths, Disease-related deaths in Chicago, Illinois, American blues musicians, American guitarists, American blues singers, Musicians from Louisiana, Singers from Louisiana, Musicians from Chicago, Singers from Chicago
Chakravarti Rajagopalachari	Tamil Nadu politicians, Governors of West Bengal
Swatantra Party	Political parties in India, 1959 establishments in Asia, 1950s establishments in India, 1974 disestablishments, 20th century disestablishments in India
Warner Robins, Georgia	Cities in Georgia (U.S. state)
Vedaranyam Salt Satyagraha	History of India
Personal liberty laws	United States law
1852 United States presidential election	United States presidential elections, 1852, 1850s in the United States
Mark E. Green	1964 births, Living people, American military people, Businesspeople from Tennessee, Businesspeople from Florida, American physicians, United States representatives from Tennessee, Politicians from Florida, US Republican Party politicians
Antonio Lamela	1926 births, 2017 deaths, Disease-related deaths in Madrid, Architects, People from Madrid
Sergio González Rodríguez	1950 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Mexico, Mexican journalists, Mexican novelists, Critics, Mexican screenwriters, Mexican historians, Mexican essayists, Writers from Mexico City
2017 Saint Petersburg Metro bombing	2017 murders in Europe, 2010s explosions in Europe, 2010s in Russia, April 2017 events, Explosions in 2017, Islamic terrorist incidents in 2017, Islamic terrorist incidents in Europe, Mass murder in 2017, Mass murder in Europe, Saint Petersburg, Terrorist incidents in Europe in 2017
Leonard Litwin	1914 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in New York, American Jews, American centenarians, Real estate developers, Businesspeople from New York City
It (character)	Fictional murderers, Clowns, Characters in written fiction
It (miniseries)	Miniseries, Stephen King
It (novel)	Books by Stephen King, Horror novels
Water board	Water, Politics, Subdivisions of the Netherlands, Subdivisions of Belgium, Flanders
Gray iron	Iron
Hammerscale (archaeology)	Iron
BASF	1865 establishments in Europe, Companies of Germany, Ludwigshafen, 1860s establishments in Germany
Hexaferrum	Iron
John Chrispinsson	1956 births, 2017 deaths, Deaths from myocardial infarction, Swedish writers, Television presenters, Swedish journalists, Writers from Stockholm
Hallstein Doctrine	Cold War, West Germany
Rochechouart	Subprefectures in France, Communes in Haute-Vienne
Giovanni Sartori	1924 births, 2017 deaths, Deaths from throat cancer, Cancer deaths in Italy, Italian writers, Italian scientists, Italian journalists, Political scientists, People from Florence
Secretary of State for Exiting the European Union	Members of the Cabinet of the United Kingdom, Brexit
Bill Haley	1925 births, 1981 deaths, American radio personalities, American rock singers, Rock and Roll Hall of Fame inductees, American bandleaders, American rock guitarists, Singers from Pennsylvania
Bill Haley & His Comets	Musical groups established in the 1950s, Musical groups disestablished in 1981, American rock bands, Musical groups from Pennsylvania
International Women's Media Foundation	Non-profit organizations, Journalism
Mabel Cáceres	Living people, Year of birth missing (living people), Peruvian journalists
Ralph Archbold	1942 births, 2017 deaths, Deaths from congestive heart failure, Cardiovascular disease deaths in the United States, Actors from Philadelphia, Pennsylvania, Actors from Michigan, People from Dearborn, Michigan
Roy Sievers	1926 births, 2017 deaths, Disease-related deaths in Missouri, Baltimore Orioles players, Minnesota Twins players, Chicago White Sox players, Philadelphia Phillies players, Sportspeople from St. Louis, Missouri
Samir Farid	1943 births, 2017 deaths, Egyptian writers, Egyptian journalists, Movie critics, Historians, People from Cairo
George Brady	1928 births, 2019 deaths, Canadian businesspeople, Canadian Jews, Czech Jews, Czechoslovak people, Deaths from heart failure, Holocaust survivors, Jewish businesspeople, Naturalized citizens of Canada, Plumbers
Benjamin B. Ferencz	1920 births, Living people, American lawyers, American military personnel of World War II, Harvard University alumni, Hungarian Jews, Jewish American academics, Naturalized citizens of the United States, Romanian Jews, Nuremberg trials, American centenarians
Bat-Sheva Dagan	1925 births, Living people, Hebrew University of Jerusalem alumni, Holocaust survivors, Human rights activists, Israeli activists, Israeli educators, Jewish activists, Jewish Israeli writers, Naturalized citizens of Israel, People from Łódź, Polish Jews, Psychologists, Teachers, Israeli psychologists
AKM	Assault rifles
Embraer	Embraer
Riviera, Ticino	2017 establishments in Switzerland, Municipalities of Ticino
Miège	Municipalities of Valais
Mollens, Valais	Former municipalities of Valais
Montana, Switzerland	Former municipalities of Valais
Randogne	Former municipalities of Valais
Crans-Montana	2017 establishments in Switzerland, Municipalities of Valais, Ski areas and resorts in Switzerland, Villages in Valais
Hippolyta	People in Greek mythology
Singapore Art Museum	Art museums, Singapore, 1996 establishments in Asia, 20th century establishments in Singapore
Chelsea Brown	1942 births, 2017 deaths, Deaths from dementia, Deaths from pneumonia, Disease-related deaths in Chicago, Illinois, American movie actors, American television actors, Australian movie actors, Australian television actors, Actors from Chicago, Comedians from Chicago
Michel Arrivé	1936 births, 2017 deaths, Disease-related deaths in France, French educators, French novelists, Linguists, Short story writers
