Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Lo-fi music	Music genres
Jack (1996 movie)	1996 comedy-drama movies, Movies directed by Francis Ford Coppola, American comedy-drama movies
Brian Kerwin	1949 births, Living people, American movie actors, American stage actors, American television actors, Actors from Chicago
Werner syndrome	Syndromes
John H. Edwards	1928 births, 2007 deaths, British geneticists
Vyacheslav Kebich	1936 births, 2020 deaths, Prime Ministers of Belarus, Deaths from the COVID-19 pandemic
Sergey Ling	1937 births, Living people, Prime Ministers of Belarus
Roman Golovchenko	1973 births, Living people, Prime Ministers of Belarus
Myechyslaw Hryb	1938 births, Living people, Presidents of Belarus
Probolinggo	Cities in Indonesia
John Harvey (racing driver)	1938 births, 2020 deaths, Deaths from lung cancer, Australian racecar drivers, Sportspeople from Sydney
Ildegarda Taffra	1934 births, 2020 deaths, Italian Olympians, Skiers
Tarvisio	Settlements in Friuli-Venezia Giulia
Wang Yupu	1956 births, 2020 deaths, Chinese businesspeople, Chinese politicians
Mohammad Yazdi	1931 births, 2020 deaths, Deaths from stomach cancer, Chief Justices of Iran
Aslanbek Fidarov	1973 births, 2020 deaths, Deaths from the COVID-19 pandemic, Olympians, Wrestlers, Sportspeople from Kiev
Valeriu Turea	1951 births, 2020 deaths, Moldovan politicians, Ambassadors, Journalists
COVID-19 pandemic in Moldova	COVID-19 pandemic by country, Moldova
Chowdhury Kamal Ibne Yusuf	1940 births, 2020 deaths, Deaths from the COVID-19 pandemic in Bangladesh, Bangladeshi politicians, Bangladeshi Muslims
Michael McKean	1947 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American television writers, American television directors, American composers, Musicians from New York City, Screenwriters from New York City, Movie directors from New York City, Comedians from New York City, Actors from New York City
Annette O'Toole	1952 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American dancers, Actors from Houston, Texas, Singers from Houston, Texas, Writers from Houston, Texas, American singer-songwriters
John Toll	1952 births, Living people, Satellite Award winners, BAFTA Award winners, Academy Award winners, American cinematographers, American television producers, Businesspeople from Cleveland, Ohio
Panamanian American	Ethnic groups in the United States
Nicaraguan American	Ethnic groups in the United States
Honduran American	Ethnic groups in the United States
Ticker symbol	Stock market
Enix	1970s establishments in Japan, 1975 establishments in Asia, 21st century disestablishments in Japan, 2000s disestablishments in Asia, 2003 disestablishments, Video game companies, Companies of Japan
Mood (song)	Rap songs, 2020 songs
Green Party (Ireland)	Green political parties, Politics of Ireland
De La Salle College Dundalk	Schools
Albert Chernenko	1935 births, 2009 deaths, Russian philosophers
Hyla perrini	Animals of Europe, Frogs
Kay Purcell	1963 births, 2020 deaths, Breast cancer survivors, Deaths from liver cancer, English stage actors, English television actors, English movie actors, Actors from Lancashire
Eva Pope	1967 births, Living people, English stage actors, English television actors, English movie actors, Wigan, Actors from Greater Manchester, People from Lancashire
Rocky Linux	Linux distributions
Mother goddess	Gods and goddesses
Dynamical system	Systems theory
Predator-prey equations	Mathematics, Ecology
Bat Trang Pottery Village	Cities in Vietnam
Acculturation	Cultural studies
The Base (hate group)	Secret societies, Gangs, 2018 establishments in the United States
Fallen Angel (1945 movie)	1945 movies, 1940s crime movies, 1940s mystery movies, American crime movies, American mystery movies, Movies based on books, 20th Century Fox movies, Movies directed by Otto Preminger
2056	2056, Years in the future
Katherine Tai	1974 births, Living people, American lawyers, Politicians from Connecticut, Businesspeople from Connecticut, Politicians from Washington, D.C., Businesspeople from Washington, D.C., US Democratic Party politicians, United States Trade Representatives
Persona	Human behavior
Faithful in My Fashion	1946 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies directed by Sidney Salkow
Karim Salman	1965 births, 2020 deaths, Iraqi footballers, Football managers, Deaths from the COVID-19 pandemic in Iraq, Olympians
Goo Kennedy	1949 births, 2020 deaths, San Antonio Spurs players, Houston Rockets players, Sportspeople from Charlotte, North Carolina
Dick Hinch	1949 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, State legislators of the United States, Politicians from Massachusetts, Politicians from New Hampshire, US Republican Party politicians
Sean Malone	1969 births, 1970 births, 2020 deaths, American heavy metal musicians, American pianists, American bass guitarists, American jazz musicians, American keyboard players, Musicians from New Jersey
Delran Township, New Jersey	Townships in New Jersey
Marblehead, Massachusetts	Towns in Massachusetts
Ray Perkins	1941 births, 2020 deaths, American football wide receivers, Indianapolis Colts players, American football coaches, Sportspeople from Mississippi, Sportspeople from Alabama, Cardiovascular disease deaths in the United States
Petal, Mississippi	Cities in Mississippi
Astad Deboo	1947 births, 2020 deaths, Indian dancers, Choreographers, Accidental deaths from falls, Deaths from subdural hematoma
Iman Budhi Santosa	1948 births, 2020 deaths, Indonesian writers, Novelists, Poets, Deaths from myocardial infarction
Mungo Wentworth MacCallum	1941 births, 2020 deaths, Deaths from throat cancer, Deaths from prostate cancer, Cancer deaths in New South Wales, Australian journalists, Political commentators, Writers from Sydney
Ocean Shores, New South Wales	Towns in New South Wales
Marc Meneau	1943 births, 2020 deaths, French chefs
Malcolm Simpson	1933 births, 2020 deaths, Olympians, Cyclists, Sportspeople from Auckland
Angie Cepeda	1974 births, Living people, Colombian entertainers, Colombian movie actors, Colombian television actors
Inca Garcilaso de la Vega	1539 births, 1616 deaths, Peruvian writers, Historians
Bart's Not Dead	The Simpsons (season 30) episodes, 2018 television episodes
Kamp Krusty	The Simpsons (season 4) episodes, 1992 television episodes
List of Camp Lakebottom episodes	Lists of animated television series episodes, Lists of comedy television series episodes
Kazimierz Wielki University in Bydgoszcz	20th century establishments in Poland, 1969 establishments in Europe, Colleges and universities in Poland
Ram Lal Rahi	1952 births, 2020 deaths, Indian politicians
Sitapur	Cities and towns in Uttar Pradesh
Gordon Forbes	1934 births, Living people, Deaths from the COVID-19 pandemic in South Africa, South African sportspeople, Tennis players
Vyacheslav Ezepov	1941 births, 2020 deaths, Russian movie actors, Russian stage actors, Russian television actors
Roberto Ulloa	1924 births, 2020 deaths, Argentine politicians, Deaths from pneumonia, People from Buenos Aires
Supreme Court of Indonesia	20th century establishments in Indonesia, 1945 establishments in Asia, National supreme courts, Indonesia
V. J. Chitra	1992 births, 2020 deaths, Indian television actors, Indian movie actors, Television news anchors, People from Chennai, Suicides by hanging, Indian models
2020 Ghanaian general election	2020 elections, 2020 in Africa, December 2020 events, Ghana
Rochelle Walensky	1969 births, Living people, American educators, Scientists from Massachusetts
United States Domestic Policy Council	Executive branch of the United States government
Raymond Hunter	1934 births, 2020 deaths, Irish rugby union players, Cricketers, People from Belfast
Owen Barfield	1898 births, 1997 deaths, English philosophers, English poets, British critics, Writers from London
Walter Hooper	1931 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United Kingdom, American editors, American novelists, Writers from North Carolina, Businesspeople from North Carolina, Deaths from stroke
Reidsville, North Carolina	Cities in North Carolina
Wentworth, North Carolina	Towns in North Carolina, County seats in North Carolina
Larry Mavety	1942 births, 2020 deaths, Canadian ice hockey coaches, Ice hockey people from Ontario
Three Men and a Baby	1987 comedy movies, American comedy movies, English-language movies, Movies set in Manhattan
Paul Guilfoyle	1949 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Boston, Massachusetts
Three Men and a Cradle	1985 comedy movies, French comedy movies, Movies directed by Coline Serreau
Coline Serreau	1947 births, Living people, French movie actors, French television actors, French stage actors, Actors from Paris, Movie directors from Paris, Movie producers from Paris, Writers from Paris, French screenwriters
Marthe Villalonga	1932 births, Living people, Algerian people, French comedians, French movie actors, French television actors, French stage actors
Dominique Lavanant	1944 births, Living people, French comedians, French movie directors, French screenwriters, French movie actors, French television actors, French voice actors, French stage actors
Philippine Leroy-Beaulieu	1963 births, Living people, French movie actors, French stage actors, French television actors, Actors from Rome
Philippe Leroy (actor)	1930 births, Living people, French movie actors, French television actors, French stage actors, Actors from Paris
André Dussollier	1946 births, Living people, French movie actors, French television actors, French stage actors
Michel Boujenah	1952 births, Living people, Tunisian actors, Tunisian writers, French movie actors, French television actors, French stage actors, French comedians, French screenwriters, French movie directors, People from Tunis, French Jews
Roland Giraud	1942 births, Living people, French movie actors, French television actors, French stage actors, Moroccan actors, People from Rabat
Three Men and a Little Lady	1990 comedy movies, American comedy movies, English-language movies, American sequel movies, Movies set in Manhattan, Movies set in England
The One and Only Ivan (movie)	2020 movies, American fantasy-comedy movies, Movies based on books, Disney+ movies
Alex Olmedo	1936 births, 2020 deaths, Naturalized citizens of the United States, Peruvian people, American tennis players, Deaths from cardiac arrest, Cancer deaths in Los Angeles
Eisner Award	1988 establishments in the United States, Awards
Richard Corben	1940 births, 2020 deaths, American comics artists, American illustrators, American editors, People from Kansas City, Missouri, Deaths from surgical complications
Anderson, Missouri	Cities in Missouri
Pineville, Missouri	Cities in Missouri, County seats in Missouri
Katsuhiro Otomo	1954 births, Living people, Japanese manga artists, Japanese movie directors, Japanese screenwriters
Hermann Huppen	1938 births, Living people, Belgian comics artists, Belgian writers
Fernando de Rojas	Spanish writers, 1460s births, 1541 deaths, Playwrights
Copper Canyon, Texas	Towns in Texas
Nephi, Utah	Cities in Utah, County seats in Utah
Emma Tate (voice actress)	Living people, English television actors, English voice actors, 1971 births
Falling and rising factorials	Mathematics
La vida es sueño	Plays
Shensi tree frog	Animals of Asia, Frogs
Cimarron (1931 movie)	1931 movies, 1930s western movies, American western movies, Best Picture Oscar, Movies based on books, Movies directed by Wesley Ruggles
2002 in association football	2002 in association football, Years in association football
Goodbye, Mr. Chips (1939 movie)	1939 movies, 1930s romance movies, 1930s drama movies, British romantic drama movies, Movies based on books, Movies directed by Sam Wood
Alvotech	2013 establishments, Establishments in Iceland
Gordon Pinsent	1930 births, 2020 deaths, Canadian movie actors, Canadian screenwriters, Canadian stage actors, Canadian television actors, Canadian movie directors, Canadian voice actors, Naturalized citizens of the United States, Order of Canada, People from Ontario, People from Newfoundland and Labrador, Canadian playwrights, Deaths from pancreatic cancer
Dolly-Rose Campbell	1987 births, Living people, English television actors, Actors from Greater Manchester, People from Salford, Greater Manchester
Maureen Lipman	1946 births, Living people, Knights and Dames Commander of the Order of the British Empire, English television actors, English movie actors, English radio actors, English stage actors, Actors from Yorkshire
Vitali Klitschko	1971 births, Living people, Boxers, Mayors, Ukrainian politicians, Ukrainian sportspeople
2020–21 Indian farmers' protest	2020 in India, 2020 protests in Asia, August 2020 events, September 2020 events, October 2020 events, November 2020 events, December 2020 events, January 2021 events, February 2021 events, March 2021 events, April 2021 events
2020 Indian general strike	2020 in India, 2020 protests in Asia, November 2020 events, December 2020 events
Vikki Carr	Singers from Texas, American pop singers, American country musicians, People from El Paso, Texas, Living people, 1940s births, Grammy Award winners
List of The Cleveland Show episodes	The Cleveland Show, Lists of animated television series episodes, Lists of comedy television series episodes
Huba Rozsnyai	1942 births, 2020 deaths, Hungarian sportspeople, Olympians
Tony Curcillo	1931 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Arizona Cardinals players, Hamilton Tigers players, American football quarterbacks, Sportspeople from New Jersey
Phil Linz	1939 births, 2020 deaths, New York Yankees players, Philadelphia Phillies players, New York Mets players, Sportspeople from Baltimore, Maryland
Imran Momina	Pages created with the Article Wizard from 2020
Vote Smart	Non-profit organizations of the United States
Deterministic system	Systems
Kismayo	Cities in Somalia, Jubaland
Billy DeMars	1925 births, 2020 deaths, Oakland Athletics players, Baltimore Orioles players, Baseball coaches, Sportspeople from New York City
Tom Lister Jr.	1958 births, 2020 deaths, American movie actors, American television actors, American voice actors, American professional wrestlers, Actors from Compton, California, Sportspeople from California, Blind people
Next Friday	2000 comedy movies, American comedy movies, American sequel movies
The Fifth Element	1997 action movies, 1997 science fiction movies, Movies directed by Luc Besson, French action movies, French science fiction movies
José Mario Ruiz Navas	1930 births, 2020 deaths, Ecuadorian people, Roman Catholic priests, Roman Catholic archbishops
Pork cycle	Economics, Statistics
Nikolai Ivanov	1943 births, 2020 deaths, Russian movie actors, Russian television actors, Russian stage actors
Malik (artist)	1948 births, 2020 deaths, Deaths from fire, French artists, Belgian comics artists, People from Paris
Masao Komatsu	1942 births, 2020 deaths, Deaths from liver cancer, Japanese movie actors, Japanese television actors, Japanese stage actors, Japanese voice actors, Japanese comedians
Christopher Cazenove	1943 births, 2010 deaths, Deaths from sepsis, English movie actors, English television actors, English stage actors, English voice actors, Actors from Hampshire
John Boswall	1920 births, 2011 deaths, British movie actors, British stage actors, British voice actors, Deaths from pancreatic cancer, Actors from Oxfordshire, People from Oxford
Irena Veisaitė	1928 births, 2020 deaths, Deaths from the COVID-19 pandemic, Holocaust survivors, Lithuanian Jews, Lithuanian educators, Human rights activists, People from Kaunas
Pokimane	1996 births, Living people, Moroccan entertainers, Canadian entertainers, YouTubers, Twitch (service) streamers
Hayabusa2	Spacecraft
162173 Ryugu	Asteroids
Carlos Calvo	1953 births, 2020 deaths, Argentine movie actors, Argentine stage actors, Argentine television actors, Argentine comedians, Actors from Buenos Aires, Deaths from stroke
Lily Eskelsen García	1955 births, Living people, American educators, American labor leaders, Politicians from Texas, US Democratic Party politicians
Fort Hood	United States Army, Buildings and structures in Texas
Fountain Place	Skyscrapers in the United States, Buildings and structures in Texas, Dallas, Texas
Bank of America Plaza (Dallas)	Skyscrapers in the United States, Buildings and structures in Texas, Dallas, Texas
Neoselachii	Sharks, Rays
Jenna Coleman	1986 births, Living people, English child actors, English stage actors, English television actors, English movie actors, English voice actors, People from Blackpool, People from Lancashire
Williams Tower	Skyscrapers in the United States, Buildings and structures in Houston, Texas
Intraspecific competition	Biological competition
Valkenburg aan de Geul	Municipalities of Limburg (Netherlands)
Venray	Settlements in Limburg (Netherlands), Municipalities of Limburg (Netherlands)
Voerendaal	Settlements in Limburg (Netherlands), Municipalities of Limburg (Netherlands)
Weert	Cities in the Netherlands, Settlements in Limburg (Netherlands), Municipalities of Limburg (Netherlands)
Heartbreak Hotel	The Simpsons (season 30) episodes, 2018 television episodes
Dog of Death	The Simpsons (season 3) episodes, 1992 television episodes
Columbus metropolitan area, Ohio	Metropolitan areas of the United States, Columbus, Ohio
Renesse	Settlements in Zeeland, Former municipalities of Zeeland, Schouwen-Duiveland
Interspecific competition	Biological competition
Divya Bhatnagar	1986 births, 2020 deaths, Indian actors
Saeko Zōgō	1984 births, Japanese voice actors
Psychological horror	Movie genres, Horror, Video game genres
101 Mitigations	The Simpsons (season 30) episodes, 2019 television episodes
Little Big Girl	The Simpsons episodes, 2007 television episodes
I Never Met the Dead Man	Family Guy (season 1) episodes, 1999 television episodes
Fixppo	Software
Forgetting curve	Psychology, Learning
Francisco de Vitoria	Articles with unsourced statements
Nils Liedholm	1922 births, 2007 deaths, Swedish footballers, Swedish football managers, A.C. Milan players, 1958 FIFA World Cup players, Olympic medalists in football, Medalists at the 1948 Summer Olympics, Association football midfielders
Swastima Khadka	People from Kathmandu, Living people, 1995 births, Nepalese models, Nepalese movie actors
Jesse Hughes (musician)	1972 births, Living people, American rock singers, American rock guitarists, American rock drummers, American singer-songwriters, Singers from South Carolina, Musicians from South Carolina, Writers from South Carolina, People from Greenville, South Carolina
Josh Homme	1973 births, Living people, American rock singers, American rock guitarists, American rock drummers, American pianists, American singer-songwriters, American bass guitarists, Musicians from California, Singers from California, Writers from California
Joshua Tree, California	Census-designated places in California, Settlements in San Bernardino County, California
Julia Argüelles	1997 births, Living people, Mexican people, Mexican actors, Mexican singers
Calanley mosque	Jubaland, Mosques
Sultanate of Zanzibar	19th-century establishments in Africa, Ibadi kingdoms
Rustamid kingdom	Ibadi kingdoms
Paramount+	Entertainment websites
Hermann Ebbinghaus	1850 births, 1909 deaths, German psychologists, Deaths from pneumonia
Will Hurd	1977 births, Living people, United States representatives from  Texas, US Republican Party politicians
Ruhollah Zam	1978 births, 2020 deaths, People executed by hanging, Iranian journalists, People from Tehran, Political activists
Valentin Gaft	1935 births, 2020 deaths, Russian movie actors, Russian television actors, Russian stage actors, Actors from Moscow
Đurđa Ivezić	1936 births, 2020 deaths, Croatian actors, Deaths from the COVID-19 pandemic in Croatia, People from Zagreb
Osvaldo Cochrane Filho	1933 births, 2020 deaths, Brazilian water polo players
Kurt Stettler	1932 births, 2020 deaths, Swiss footballers, Deaths from the COVID-19 pandemic in Switzerland, Association football goalkeepers
Kenneth Alwyn	1925 births, 2020 deaths, English composers, Conductors, Writers from London
James Flynn (academic)	1934 births, 2020 deaths
U. A. Khader	1935 births, 2020 deaths, Indian novelists, Burmese people
Fikre Selassie Wogderess	1945 births, 2020 deaths, Deaths from diabetes, Prime Ministers of Ethiopia, War criminals
Qisas	Law
Hylarana	Animals of Asia, Frogs
Ron Springett	1935 births, 2015 deaths, English association football goalkeepers, 1962 FIFA World Cup players, 1966 FIFA World Cup players, Sportspeople from London
John Connelly	1938 births, 2012 deaths, English footballers, Manchester United F.C. players, 1962 FIFA World Cup players, 1966 FIFA World Cup players, Sportspeople from Merseyside
La Celestina	15th century books, Pages with login required references or sources, Articles with unsourced statements
Kevin Großkreutz	1988 births, Living people, German footballers, Association football midfielders, 2014 FIFA World Cup players, People from Dortmund, Sportspeople from North Rhine-Westphalia
Javi Martínez	1988 births, Living people, Spanish footballers, Association football defenders, Association football midfielders, 2010 FIFA World Cup players, UEFA Euro 2012 players, 2014 FIFA World Cup players
Jason Merrells	1968 births, Living people, English television actors, English movie actors, Actors from Essex
Sharlene Whyte	1976 births, Living people, English television actors, English stage actors, English movie actors, People from Nottingham
Neil Morrissey	1962 births, Living people, English television actors, English voice actors, People from Staffordshire
Laurie Brett	1969 births, Living people, Scottish television actors
Elizabeth Berrington	1970 births, Living people, English television actors, English movie actors, People from Merseyside
William Ash (actor)	1977 births, Living people, Actors from Greater Manchester, English child actors, English movie actors, English television actors, People from Oldham, Greater Manchester
Lil Baby	1994 births
Contraband (1980 movie)	1980 drama movies, 1980 action movies, 1980s crime drama movies, Italian drama movies, Movies directed by Lucio Fulci
Sledge, Mississippi	Towns in Mississippi
Thomas Brodie-Sangster	1990 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Actors from London
Vincent Martella	1992 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from New York, People from Rochester, New York, Singers from New York
Stephanie Kelton	1969 births, Living people, American economists, American academics, American political commentators, Writers from Kansas City, Missouri
Belle Delphine	1999 births, Living people, People from Cape Town, British YouTubers, South African models, Adult models, Pornographic actors
Happy Asmara	1999 births, Living people, Indonesian singers
Gutierre de Cetina	Spain, Poets
Tony Stark (Marvel Cinematic Universe)	Fictional characters introduced in 2008, Marvel Comics superheroes
National parks and nature reserves of Israel	Geography of Israel, National parks in Asia
Brandon Bernard	1980 births, 2020 deaths, African-American people, American burglars, American kidnappers, American people executed for murder, American robbers, Criminals from Texas, People executed by lethal injection, People from San Antonio, Texas
Carol Sutton (actress)	1944 births, 2020 deaths, American movie actors, American television actors, American stage actors, Actors from New Orleans, Louisiana, Deaths from the COVID-19 pandemic in the United States
Mongkol Na Songkhla	1941 births, 2020 deaths, Deaths from cancer, Thai politicians, People from Bangkok
Jimmy Collins (basketball)	1946 births, 2020 deaths, Chicago Bulls players, College basketball coaches, Sportspeople from New York, People from Syracuse, New York, Deaths from surgical complications
Investing.com	Websites, Money
Nur Hossain Kasemi	1945 births, 2020 deaths, Deaths from respiratory failure, Bangladeshi educators, Bangladeshi politicians, Bangladeshi Muslims, People from Dhaka
Ferruccio Pisoni	1936 births, 2020 deaths, Italian politicians
Motjeka Madisha	1995 births, 2020 deaths, Road accident deaths, South African footballers
Victor Gnanapragasam	1940 births, 2020 deaths, Deaths from myocardial infarction, Sri Lankan people, Roman Catholic priests
Escurinho	1930 births, 2020 deaths, Brazilian footballers, Deaths from Alzheimer's disease, Deaths from multiple organ failure
Nicolas Chumachenco	1944 births, 2020 deaths, Polish musicians, German musicians, Violinists, People from Kraków, Spanish musicians
Claude Castonguay	1929 births, 2020 deaths, Politicians from Quebec
Bird Averitt	1952 births, 2020 deaths, San Antonio Spurs players, Los Angeles Clippers players, New Jersey Nets players, Sportspeople from Kentucky
Hotsuit	Clothing
Scalable Hosting	Internet, 2019 establishments in Europe
Confidence and supply	Government, Politics
McNary, Louisiana	Villages in Louisiana
Hung parliament	Government, Politics
Hagewood, Louisiana	Unincorporated communities in Natchitoches Parish, Louisiana
Master and slave philosophy	Philosophical concepts, Slavery
Mackenzie Ziegler	2004 births, American singers, American dancers, American child actors, American television actors, Singers from Pittsburgh, Pennsylvania, Actors from Pittsburgh, Pennsylvania, Living people
Without Love	1945 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies based on plays, MGM movies
1980 United States heat wave	Severe weather, Droughts, Natural disasters in the United States, 1980 in the United States
Lovers and Liars	1979 comedy movies, Italian comedy movies, French comedy movies, Movies directed by Mario Monicelli
MediaZona	2014 establishments, Websites, Belarus, Russia, Kyrgyzstan, Kazakhstan, Censorship in Belarus, Free Media Award winners
Born to Win	1971 comedy movies, 1970s comedy-drama movies, American black comedy movies, Movies directed by Ivan Passer
Creator (movie)	1985 comedy movies, American comedy movies, Movies based on books, Movies directed by Ivan Passer
A Letter for Evie	1946 movies, 1940s comedy movies, American comedy movies, Movies directed by Jules Dassin
Miriam Naor	1947 births, Israeli judges, Hebrew University of Jerusalem alumni, People from Jerusalem, Living people
Shock (1946 movie)	1946 movies, 1940s thriller movies, American thriller movies, Movies directed by Alfred L. Werker
Charlotte Tillar Schexnayder	1923 births, 2020 deaths, State legislators of the United States, Politicians from Arkansas, American journalists, Writers from Arkansas, US Democratic Party politicians
Huang Zongying	1925 births, 2020 deaths
Piotr Machalica	1955 births, 2020 deaths, Deaths from the COVID-19 pandemic in Poland, Polish movie actors, Polish television actors, Polish stage actors, Polish voice actors
Alfonso Gagliano	1942 births, 2020 deaths, Italian politicians, Canadian politicians, Naturalized citizens of Canada
Terry Kay	1938 births, 2020 deaths, American novelists, Deaths from liver cancer, Writers from Georgia (U.S. state)
Royston, Georgia	Cities in Georgia (U.S. state)
Jerzy Mikułowski Pomorski	1937 births, 2020 deaths, Polish scientists, Sociologists
Radhika Ranjan Pramanick	1932 births, 2020 deaths, Indian politicians
Shahid Mahmood	1939 births, 2020 deaths, Pakistani cricketers
Otto Barić	1933 births, 2020 deaths, Deaths from the COVID-19 pandemic in Croatia, Croatian footballers, Croatian football managers, Austrian footballers, Austrian football managers
Fiorenzo Alfieri	1943 births, 2020 deaths, Deaths from the COVID-19 pandemic in Italy, Italian politicians, Italian educators
Polignano a Mare	Towns in Italy, Settlements in Apulia
Hasu Yajnik	1938 births, 2020 deaths, Indian writers, Deaths from the COVID-19 pandemic in India, Critics, Editors
Diego Novelli	1931 births, Living people, People from Turin, Mayors, Former MEPs, MEPs for Italy
Valentino Castellani	1940 births, Living people, Mayors, Italian politicians, People from Turin
Varmo	Settlements in Friuli-Venezia Giulia
Burshtyn	Cities in Ukraine
Anatoliy Kinakh	1954 births, Living people, Prime Ministers of Ukraine, Economists
Guangdong frog	Animals of Asia, Frogs
1962 Atlantic hurricane season	Atlantic hurricane seasons, 1962
Battle of Lepanto	Battles involving Greece
The Baron of Arizona	1950 movies, 1950s western movies, American western movies, Movies directed by Samuel Fuller
The Web (movie)	1947 movies, 1940s crime movies, 1940s thriller movies, American crime thriller movies, Movies directed by Michael Gordon
Borders of Israel	Geography of Israel
Happy Joe's	American food companies, 1972 establishments in the United States
Indoor cricket	Cricket
Cynthia Ozick	1928 births, American novelists, American short story writers, Writers from New York City, Living people
26th century	3rd millennium, Centuries
Bandō prisoner of war camp	History of Japan, World War I
MOD (Marehan, Ogaden, Darawiish)	1970s establishments in Africa, 1989 disestablishments, Somalia
Tartib al-Musnad	Ibadism
Anatomical terms of location	Human body features, Animal anatomy
SOS Fairy Manu	2015 television series debuts, Children's television series, Brazilian television series
Nina Ivanova	1934 births, 2020 deaths, Russian movie actors, Russian television actors, Russian stage actors, Actors from Moscow
Mickaël Bethe-Selassié	1951 births, 2020 deaths, Ethiopian people, Sculptors
Marilyn Lewis	1931 births, 2020 deaths, State legislators of the United States, Politicians from Philadelphia, Pennsylvania, US Republican Party politicians
Wallace Barnes	1926 births, 2020 deaths, State legislators of the United States, Politicians from Connecticut, Businesspeople from Connecticut, US Republican Party politicians
Rafael Ramón Conde Alfonzo	1943 births, 2020 deaths, Deaths from pancreatic cancer, Roman Catholic priests, Roman Catholic bishops, People from Caracas
Maracay	Cities in Venezuela
Andrzej Skowroński	1953 births, 2020 deaths, Polish Olympians, People from Kraków
Per Carlsen (diplomat)	1948 births, 2020 deaths, Danish politicians, Ambassadors to Russia, People from Copenhagen
Hydrophobe	Chemistry
Ann Reinking	1949 births, 2020 deaths, American movie actors, American stage actors, American television actors, American dancers, American choreographers, Tony Award winners, Actors from Seattle, Washington
Robert Bloxom	1937 births, 2020 deaths, State legislators of the United States, Politicians from Baltimore, Maryland, Politicians from Virginia, US Republican Party politicians
Mappsville, Virginia	Census-designated places in Virginia
Jorge Bruni	1941 births, 2020 deaths, Uruguayan politicians
Barry Sonshine	1948 births, 2020 deaths, Canadian Olympians, Sportspeople from Toronto, Equestrians
Antihistamine	Drugs
Herman Asaribab	1964 births, 2020 deaths, Indonesian people, Generals
Mamye BaCote	1939 births, 2020 deaths, State legislators of the United States, Politicians from Virginia, US Democratic Party politicians
Eric Freeman (cricketer)	1944 births, 2020 deaths, Deaths from myocardial infarction, Australian cricketers, Sportspeople from South Australia
Roddam Narasimha	1933 births, 2020 deaths, Deaths from cerebral hemorrhage, Indian scientists
Marcelo Veiga	1964 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian footballers, Brazilian football managers, People from São Paulo
Ungku Abdul Aziz	1922 births, 2020 deaths, Malaysian people, Educators, Economists, Scientists from London
Deserts of Australia	Australia, Climate
Milomir Odović	1955 births, 2020 deaths, Bosnia and Herzegovina footballers, Bosnia and Herzegovina football managers, Deaths from cancer
Zoltan Sabo	1972 births, 2020 deaths, Serbian footballers, Hungarian footballers, Serbian football managers, Hungarian football managers, Deaths from pulmonary embolism
Roupa Nova	Brazilian musicians
Department of Health and Social Care	1988 establishments in the United Kingdom, Departments of the United Kingdom Government
Valkyrae	1992 births, Living people, American YouTubers, Entertainers from Washington, Twitch (service) streamers
Corpse Husband	1997 births, Living people, American YouTubers, Twitch (service) streamers, Singers from San Diego, California, American rap musicians from California, American TikTokers
Fargo (season 1)	2014 television seasons
Fargo (season 2)	2015 in television, 2010s television seasons
Lipophile	Chemicals
Fargo (season 3)	2017 television seasons
Fargo (season 4)	2020 television seasons
Eden Valley, Minnesota	Cities in Minnesota
Luverne, Minnesota	Cities in Minnesota, County seats in Minnesota
Allison Tolman	1981 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Texas
Noah Hawley	1967 births, Living people, American television writers, American television producers, Screenwriters from New York City, Movie producers from New York City, American novelists
Kathrine Narducci	1965 births, Living people, Actors from New York City, American television actors, American movie actors
Virgin Orbit	Private spaceflight
Great Bitter Lake	Coordinates on Wikidata, Lakes of Africa, Geography of Egypt
Pyramid Texts	Ancient Egypt, Religious texts
Ilinden–Preobrazhenie Uprising	1903, 1900s in Europe, History of Bulgaria, Ottoman Empire
Seychellois Creole	Languages of Africa, Seychelles
The Mod Squad	1960s American television series, 1970s American television series, American crime drama television series
Ministry of Defence	Ministries
The Gay Divorcee	1934 movies, 1930s musical movies, American musical movies, Movies based on musicals, Movies directed by Mark Sandrich
Eastern Conference (MLS)	1996 in association football, Soccer in the United States, Football leagues
The Champ (1979 movie)	1979 drama movies, American drama movies, Movie remakes, Movies directed by Franco Zeffirelli
Common green frog	Animals of Asia, Frogs
