Mametz, Somme	Former communes in Somme
Terranuova Bracciolini	Settlements in Tuscany
Capolona	Settlements in Tuscany
Caprese Michelangelo	Settlements in Tuscany
Übermensch	Philosophy
My Life (Clinton autobiography)	2004 books, Autobiographies, Bill Clinton
Washington Monthly	Newspapers in the United States
Rogers Morton	1914 births, 1979 deaths, United States representatives from Maryland, United States Secretaries of Commerce, United States Secretaries of the Interior, Politicians from Louisville, Kentucky, US Republican Party politicians, Deaths from prostate cancer
Kansas's 6th congressional district	Congressional districts of Kansas
Wounded in action	Military terminology
10th Mountain Division	United States Army
Keith Sebelius	1916 births, 1982 deaths, Kansas Republicans, United States representatives from Kansas, Deaths from prostate cancer
Wint Smith	1892 births, 1976 deaths, Kansas Republicans, United States representatives from Kansas
Sheila Frahm	1945 births, Living people, Kansas Republicans, United States senators from Kansas
Frank Carlson	1893 births, 1987 deaths, Kansas Republicans, United States senators from Kansas, United States representatives from Kansas, Governors of Kansas
Untermensch	Racism
United States Senate Committee on Finance	Committees of the United States Senate
Senate Republican Conference	United States Senate, Republicans (United States)
Senate Democratic Caucus	United States Senate, Democrats (United States)
United States Senate Committee on Agriculture, Nutrition, and Forestry	Committees of the United States Senate
William H. Avery (politician)	1911 births, 2009 deaths, United States representatives from Kansas, Governors of Kansas, Kansas Republicans, Businesspeople from Kansas, Bankers
Wakefield, Kansas	Cities in Kansas
Victims of Communism Memorial Foundation	1994 establishments in the United States, Non-profit organizations of Washington, D.C.
Law firm	Law
1988 Republican Party presidential primaries	1988 in the United States, United States presidential primary elections, United States Republican Party
1996 Republican Party presidential primaries	1996 in the United States, United States presidential primary elections, United States Republican Party
1996 Republican National Convention	1996 in the United States, United States Republican Party, United States presidential nominating conventions
Winfield Scott Hancock	1824 births, 1886 deaths, American generals, Politicians from Pennsylvania, US Democratic Party politicians
Kappa Sigma	1869 establishments in the United States, Education in the United States
Anaphia	Medical signs
Castel d'Aiano	Settlements in Emilia-Romagna
Civil Rights Act of 1968	1968 in the United States, United States law
1995–1996 United States federal government shutdowns	1995 in the United States, 1996 in the United States
Cheitharol Kumbaba	History of Manipur, Puya
Embreville	Communes in Somme
Ennemain	Communes in Somme
Épaumesnil	Communes in Somme
Épécamps	Communes in Somme
Épehy	Communes in Somme
Épénancourt	Communes in Somme
Shija Laioibi	History of Manipur, Meitei culture, Manipur
Brioux-sur-Boutonne	Communes in Deux-Sèvres
The Famous Paparazzo	1999 drama movies, 1999 action movies, Romanian movies, Movies directed by Nicolae Mărgineanu
Chef-Boutonne	Communes in Deux-Sèvres
La Bataille	Former communes in Deux-Sèvres
Crézières	Former communes in Deux-Sèvres
Tillou	Former communes in Deux-Sèvres
Mauzé-Thouarsais	Former communes in Deux-Sèvres
Better Days (movie)	2019 romance movies, 2019 drama movies, 2010s romantic drama movies, 2010s crime drama movies, Hong Kong movies, Chinese movies, Movies based on books, Movies directed by Derek Tsang
A Rumor of Love	1960 comedy movies, 1960s romantic comedy movies, Egyptian movies, Movies directed by Fatin Abdel Wahab
Appropriations bill (United States)	United States federal legislation
Federal City Council	20th-century establishments in Washington, D.C., 1954 establishments in the United States, Non-profit organizations of Washington, D.C.
World War II Memorial	Monuments and memorials in the United States, Buildings and structures in Washington, D.C.
Bipartisan Policy Center	Think tanks
Bipartisanship	Political systems
Commission on Presidential Debates	1987 establishments in the United States, United States presidential elections
Public service announcement	Advertising
Presidential Citizens Medal	Orders, decorations, and medals of the United States, 1969 establishments in the United States
National Flag Decoration	1996 establishments in Europe, Orders, decorations, and medals, Albania
Hong Nam-ki	1960 births, Living people, Prime Ministers of South Korea
Kim Boo-kyum	1958 births, Living people, South Korean politicians
Gustavo Petro	1960 births, Living people, Colombian politicians, People from Bogotá
Pedro Castillo	1969 births, Living people, Teachers, Political activists, Presidents of Peru, Peruvian educators, Current national leaders
Shaun Bailey (AM)	1971 births, Living people, Conservative Party (UK) people, Politicians from London
The Weekend Top 30	Radio programs
Ruffle (software)	Free software
Margaret Pomeranz	1944 births, Living people, Television personalities, Writers from New South Wales, Movie critics
Merida tree frog	Frogs, Animals of South America
Periostracum	Skin, Molluscs
Castel Focognano	Settlements in Tuscany
Castel San Niccolò	Settlements in Tuscany
Jerago con Orago	Settlements in Lombardy
Castiglion Fibocchi	Settlements in Tuscany
Cavriglia	Settlements in Tuscany
Chitignano	Settlements in Tuscany
Pomarance	Settlements in Tuscany
Chiusi della Verna	Settlements in Tuscany
Civitella in Val di Chiana	Settlements in Tuscany
Foiano della Chiana	Settlements in Tuscany
Castelfranco Piandiscò	2014 establishments in Italy, Settlements in Tuscany
Pian di Scò	Former municipalities of Tuscany
Fatherland Front (Austria)	Political parties in Austria
Loro Ciuffenna	Settlements in Tuscany
Belizean American	Ethnic groups in the United States
Islam in South Asia	Islam, South Asia
Herstadberg	Settlements in Ostergotland County
Öbonäs	Settlements in Ostergotland County
Graversfors	Settlements in Ostergotland County
Nettersheim	Euskirchen (district), Municipalities in North Rhine-Westphalia, CS1 German-language sources (de), Coordinates on Wikidata
Weilerswist	Euskirchen (district), Municipalities in North Rhine-Westphalia, CS1 German-language sources (de), Coordinates on Wikidata
Feichten	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Kirchweidach	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Racketeering	Organized crime
Garching an der Alz	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Lucignano	Settlements in Tuscany
Marciano della Chiana	Settlements in Tuscany
Haiming, Germany	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Halsbach	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Point shaving	Organized crime, Basketball
Al Hudaydah	Cities in Yemen, Settlements in Al Hudaydah Governorate, Port cities in the Arabian Peninsula, Port cities and towns of the Red Sea
Kastl, Upper Bavaria	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Unterneukirchen	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Marktl	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata, Municipalities in Bavaria
Monte San Savino	Towns in Tuscany
Montemignaio	Settlements in Tuscany
Monterchi	Settlements in Tuscany
Ortignano Raggiolo	Settlements in Tuscany
Spain national under-21 football team	Articles containing Spanish-language text, National under-21 football teams, Football in Spain
Pieve Santo Stefano	Settlements in Tuscany
Poppi	Settlements in Tuscany
Guidonia Montecelio	Cities in Lazio
Aprilia, Lazio	Cities in Lazio
Thiais	Communes in Val-de-Marne
2021 UEFA European Under-21 Championship qualification Group 6	2021 in association football
Nothing in Common	1986 romance movies, 1986 comedy movies, 1986 drama movies, 1980s romantic comedy movies, 1980s romantic drama movies, American romantic comedy movies, American romantic drama movies, Movies directed by Garry Marshall
ASEAN Declaration	1967, 20th century treaties, ASEAN, History of Asia, History of Indonesia, International organizations
Yusof Ishak	Singaporean politicians, 1910 births, 1970 deaths
Popular Force	Political parties in Peru, Conservative parties
Netherlands national under-21 football team	National under-21 football teams, Football in the Netherlands
AI Song Contest 2020	AI Song Contest, Artificial intelligence, 2020s in the Netherlands
Ferenc Deák (footballer)	1922 births, 1998 deaths, Hungarian footballers, Association football forwards, Sportspeople from Budapest
Explosion (1973 movie)	1973 drama movies, Romanian movies, Movies directed by Mircea Drăgan
Nemzeti Bajnokság I	Football leagues, Football in Hungary, Establishments in Hungary, 1901 establishments in Europe
Nándor Hidegkuti	1922 births, 2002 deaths, Hungarian footballers, Hungarian football managers, 1954 FIFA World Cup players, 1958 FIFA World Cup players, Olympic medalists in football, Medalists at the 1952 Summer Olympics, Association football forwards, Sportspeople from Budapest
MTK Budapest FC	Hungarian football clubs, Budapest, Establishments in Hungary, 1888 establishments in Europe
Peruvian food	Foods by nationality, Peruvian culture
Expedition 64	Spaceflight
Expedition 65	Spaceflight
Crew Dragon Resilience	Spacecraft
Nick Kamen	1962 births, 2021 deaths, English pop singers, Singer-songwriters from London, Musicians from London, Models from London
2019 UEFA European Under-21 Championship qualification Group 4	2019 in association football
Alan McLoughlin	1967 births, 2021 deaths, Deaths from kidney cancer, Irish footballers, Irish football managers, Sportspeople from Manchester
Bertil Johansson	1935 births, 2021 deaths, Swedish footballers, Swedish football managers, People from Gothenburg
Tawny Kitaen	1961 births, 2021 deaths, American movie actors, American television actors, American voice actors, American stage actors, Television personalities from California, Models from San Diego, California, Actors from San Diego, California, Comedians from California
Martín Pando	1934 births, 2021 deaths, Argentine footballers
United States presidential pets	United States presidential pets
Champ and Major	Joe Biden, United States presidential pets, Individual dogs
Sunny (dog)	2012 births, United States presidential pets, Individual dogs, Obama family
Willy Baumgärtner	1890 births, 1953 deaths, German footballers, Association football forwards, Sportspeople from Berlin
Ronald Inglehart	1934 births, 2021 deaths, American political scientists, American academics, Writers from Milwaukee, Wisconsin
Theodore Katsanevas	1947 births, 2021 deaths, Greek politicians, Greek economists, Academics, People from Athens, Deaths from the COVID-19 pandemic in Greece
Eli Broad	1933 births, 2021 deaths, American billionaires, American Jews, American philanthropists, Businesspeople from New York City, Jewish billionaires, Jewish businesspeople, Jewish philanthropists, People from the Bronx
Brazil national under-20 football team	National under-20 football teams, Football in Brazil
Edythe Broad	1936 births, Living people, American billionaires, American philanthropists, Businesspeople from Detroit, Michigan
Gad Elmaleh	1971 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian comedians, People from Casablanca, Naturalized citizens of Canada
Tony Curran	1969 births, Living people, BAFTA Award winning actors, Scottish movie actors, Scottish stage actors, Scottish voice actors, Scottish television actors, Actors from Glasgow
Soviet Union national under-20 football team	National under-20 football teams, Disestablishments in Europe, Soviet Union
GTC Africa	2002 video games, PlayStation 2 games, PlayStation 2-only games, Racing video games
Hearty Channel and Blue Star Entertainment Philippines Film	Philippines
Pratovecchio Stia	2014 establishments in Italy, Settlements in Tuscany
Pratovecchio	Former municipalities of Tuscany
Stia	Former municipalities of Tuscany
Sestino	Settlements in Tuscany
Subbiano	Settlements in Tuscany
Talla	Settlements in Tuscany
Bibbona	Settlements in Tuscany
Campiglia Marittima	Settlements in Tuscany
Campi Bisenzio	Settlements in Tuscany
Cerreto Guidi	Settlements in Tuscany
Scarperia e San Piero	2014 establishments in Italy, Settlements in Tuscany
Scarperia	Former municipalities of Tuscany
San Piero a Sieve	Former municipalities of Tuscany
Barberino Val d'Elsa	Former municipalities of Tuscany
Tavarnelle Val di Pesa	Former municipalities of Tuscany
Barberino Tavarnelle	2010s establishments in Italy, 2019 establishments in Europe, Settlements in Tuscany
Asphalt concrete	Building materials, Road transport
The Fourth Man (2007 movie)	2007 movies, 2000s action movies, Serbian movies, Movies directed by Dejan Zečević
River Tales	2020 movies, Documentary movies, Luxembourgian movies
Kyle Lafferty	1987 births, Living people, Northern Irish footballers
Steven Zuber	1991 births, Swiss footballers, 2018 FIFA World Cup players, Association football midfielders, People from Winterthur, Living people
Nokia 7610	Nokia mobile phones, Mobile phones released in 2000s
Asphalt, Kentucky	Unincorporated communities in Kentucky
The Virgin of Lust	2002 drama movies, Mexican movies, Movies directed by Arturo Ripstein
No One Writes to the Colonel (movie)	1999 drama movies, French drama movies, Spanish movies, Mexican movies, Movies based on short stories, Movies directed by Arturo Ripstein
Bagno a Ripoli	Settlements in Tuscany
Greve in Chianti	Settlements in Tuscany
Castelfiorentino	Towns in Tuscany
Barberino di Mugello	Settlements in Tuscany
Gambassi Terme	Settlements in Tuscany
Lastra a Signa	Settlements in Tuscany
Panini	Italian food, Sandwiches
Certaldo	Towns in Tuscany
Éplessier	Communes in Somme
2021–22 FC Bayern Munich season	2021 in association football, 2022 in sports, Football in Germany, Sport in Munich
List of rulers of Moirang kingdom	History of Manipur, Meitei culture
Abdul Aziz al-Hakim	1953 births, 2009 deaths, Iraqi politicians
Gil Vicente F.C.	20th century establishments in Portugal, 1924 establishments in Europe, Portuguese football clubs
Portugal national under-19 football team	National football teams, Football in Portugal
Kyle Walker	1990 births, Living people, English footballers, Association football defenders, Tottenham Hotspur F.C. players, Aston Villa F.C. players, Manchester City F.C. players, Premier League players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Black British sportspeople, Sportspeople from Sheffield
2020–21 Premier League	2020 in association football, 2021 in association football, Premier League
TIAA Bank Field	National Football League venues, Sports buildings in Florida
Ireland national football team (1882–1950)	National football teams, Football in Ireland, Football in Northern Ireland, Disestablishments in the United Kingdom
Bycatch	Fishing
Childhood schizophrenia	Diseases
Équancourt	Communes in Somme
Équennes-Éramecourt	Communes in Somme
American Diabetes Association	Organizations based in the United States, 1940 establishments in the United States
Mehring	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Agnes Bluhm	1862 births, 1940 deaths, German doctors, People from Istanbul
Perach	Altötting (district), CS1 German-language sources (de), Coordinates on Wikidata
Toby Alderweireld	1989 births, Belgian footballers, Association football defenders, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Tottenham Hotspur F.C. players, Premier League players, People from Antwerp, Living people
Erches	Communes in Somme
1977 Russian flu	Diseases caused by viruses, 1977
Frequent urination	Symptoms
Thomas Meunier	1991 births, Belgian footballers, Association football defenders, UEFA Euro 2016 players, 2018 FIFA World Cup players, People from Luxembourg (Belgium), Living people
Jan Vertonghen	1987 births, Belgian footballers, Association football defenders, Tottenham Hotspur F.C. players, Premier League players, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, People from East Flanders, Living people
Ercheu	Communes in Somme
Ercourt	Communes in Somme
Cusihuiriachi Municipality	Municipalities of Chihuahua
Wasquehal	Communes in Nord
Mohammed Baqir al-Hakim	1939 births, 2003 deaths
John Whiteaker	Governors of Oregon, United States representatives from Oregon
A. C. Gibbs	Governors of Oregon, People from New York, 1825 births
George Lemuel Woods	1832 births, 1890 deaths, Governors of Oregon
La Fayette Grover	United States senators from Oregon, Governors of Oregon, United States representatives from Oregon, 1823 births, 1911 deaths
Stephen F. Chadwick	Governors of Oregon
W. W. Thayer	Governors of Oregon, Idaho History
Z. F. Moody	Governors of Oregon, 1832 births, 1917 deaths
Rusch's tree frog	Frogs, Animals of South America
Sylvester Pennoyer	1831 births, 1902 deaths, Politicians from Oregon
William Paine Lord	Governors of Oregon
Leslie Marr	1922 births, 2021 deaths, British racecar drivers, British painters, Sportspeople from County Durham
Campton Hills, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois
Liberty Place	Buildings and structures in Philadelphia, Pennsylvania, Skyscrapers in the United States
Melanie Stansbury	1979 births, Living people, United States representatives from New Mexico, State legislators of the United States, Politicians from Albuquerque, New Mexico, US Democratic Party politicians, Scientists from New Mexico
Paul Mooney (comedian)	1941 births, 2021 deaths, American movie actors, American television actors, American voice actors, African American actors, African American comedians, American critics, African American writers, Writers from Louisiana, Actors from Louisiana, People from Shreveport, Louisiana, Deaths from myocardial infarction, Cardiovascular disease deaths in California
Molly Crabapple	1983 births, Living people, American illustrators, American autobiographers, American editors, Artists from New York City, Writers from Queens
George Earle Chamberlain	Governors of Oregon, United States senators from Oregon, 1854 births, People from Mississippi
Frank W. Benson (Oregon Governor)	Governors of Oregon
Jay Bowerman	1873 births, 1960 deaths, Governors of Oregon
Oswald West	1873 births, 1960 deaths, Governors of Oregon, Democratic Republican party (US) politicians
James Withycombe	Governors of Oregon
Ben W. Olcott	Governors of Oregon
Walter M. Pierce	Oregon State Senators, Governors of Oregon, United States representatives from Oregon
I. L. Patterson	Governors of Oregon, Oregon State Senators
A. W. Norblad	Governors of Oregon
Julius L. Meier	1874 births, 1937 deaths, Governors of Oregon
Dimetri Hogan	1992 births, African American actors, American record producers, Living people
Cyberattack	Computer security
Lily Lake, Illinois	Villages in Illinois, Suburbs of Chicago, Illinois
Borgo San Lorenzo	Settlements in Tuscany
Capraia e Limite	Settlements in Tuscany
Figline Valdarno	Former municipalities of Tuscany
Incisa in Val d'Arno	Former municipalities of Tuscany
Figline e Incisa Valdarno	2014 establishments in Italy, Settlements in Tuscany
Firenzuola	Settlements in Tuscany
Fucecchio	Towns in Tuscany
Impruneta	Towns in Tuscany
Treviglio	Cities in Lombardy
Solza	Settlements in Lombardy
Bauduen	Communes in Var
Moustiers-Sainte-Marie	Communes in Alpes-de-Haute-Provence
Alexander	Given names
Aiguines	Communes in Var
Habermann (movie)	2010 drama movies, 2010s war movies, Czech movies, German drama movies, Austrian movies, Movies directed by Juraj Herz
Incarnations of Nongthang Leima	Meitei culture, Meitei folklore, Meitei literature, Meitei mythology, Meitei religion
Oggy and the Cockroaches (video game)	Cancelled video games, 2005 video games, Xliam, Game Boy Advance games
Yellow tree frog	Frogs, Animals of South America, Animals of North America
T. T. Geer	1851 births, 1924 deaths, Democratic Republican party (US) politicians, Governors of Oregon
Charles A. Sprague	Politicians from Kansas, 1887 births, 1969 deaths
Florida's 27th congressional district	United States House of Representatives, Government of Florida
Hypixel	Minecraft, Servers
Akshaye Khanna	Actors from Mumbai
Webdings	Fonts
Germany national under-20 football team	National under-20 football teams, Football in Germany
A♭(musical note)	Musical notes
Ergnies	Communes in Somme
Haris Seferović	1992 births, Swiss footballers, Association football forwards, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Living people
Érondelle	Communes in Somme
Esclainvillers	Communes in Somme
Cremenaga	Settlements in Lombardy
Imung Lai	Meitei culture, Meitei religion
Londa	Settlements in Tuscany
Marradi	Settlements in Tuscany
Montaione	Settlements in Tuscany
Montelupo Fiorentino	Settlements in Tuscany
Apokpa	Meitei culture, Meitei religion
Montespertoli	Settlements in Tuscany
Courtenay Bartholomew	Physicians
Karl Wirsum	1939 births, 2021 deaths, Artists from Chicago
Palazzuolo sul Senio	Settlements in Tuscany
Pleiskirchen	Municipalities in Bavaria, Altötting (district)
Esmery-Hallon	Communes in Somme
Essertaux	Communes in Somme
Estrébœuf	Communes in Somme
Estrées-Deniécourt	Communes in Somme
Dompierre-sur-Helpe	Communes in Nord
Julian Nagelsmann	1987 births, Living people, German footballers, German football managers, Association football defenders, Sportspeople from Bavaria
2017-18 United States flu season	2017 in the United States, 2018 in the United States, Diseases
Kelly Oubre Jr.	1995 births, African-American basketball players, American basketball players, Golden State Warriors players, Phoenix Suns players, Washington Wizards players, Sportspeople from New Orleans, Louisiana, Living people
Homeric Greek	Greek language
Umang Lai	Meitei culture, Meitei folklore, Meitei mythology, Meitei religion
Alkoxide	Physical chemistry, Analytical chemistry, Functional groups
Classes of deities in Meitei religion	Meitei folklore, Meitei mythology, Meitei religion
Apokpa Marup	Meitei culture, Meitei religion
Metal toxicity	Metals, Toxicology
Washi	Japanese culture, Paper
Deux Rivières	2017 establishments in France, Communes in Yonne
Treigny-Perreuse-Sainte-Colombe	2019 establishments in France, Communes in Yonne
Andrew Symonds	1975 births, Living people, Adoptees, Australian cricketers, Naturalised citizens of Australia, Sportspeople from Birmingham, Sportspeople from Queensland
The Cow (movie)	1969 drama movies, Iranian movies, Movies directed by Dariush Mehrjui
Pelago	Settlements in Tuscany
Pontassieve	Towns in Tuscany
Reggello	Settlements in Tuscany
Rignano sull'Arno	Settlements in Tuscany
Sesto Fiorentino	Cities in Tuscany
Rufina	Settlements in Tuscany
Luhansk	Cities in Ukraine
Zeolite	Minerals
Singapore-Cambridge GCE Ordinary Level	Examinations
Dendropsophus dutrai	Frogs, Animals of South America
Veigy-Foncenex	Communes in Haute-Savoie
DanTDM	1991 births, Living people, British YouTubers, Twitch (service) streamers
A627(M) motorway	Motorways in England
Meitei philosophy	Meitei culture
Coleman, Alberta	Settlements in Alberta
Kameni Nakamura	1894 births, 2004 deaths, Deaths from natural causes, Japanese centenarians, People from Okinawa Prefecture
Monroe Hayward	1840 births, 1899 deaths, American lawyers, Military personnel of the American Civil War, Politicians from Nebraska, Politicians from New York, US Republican Party politicians
Willsboro, New York	Towns in New York
Whitewater, Wisconsin	Cities in Wisconsin
San Casciano in Val di Pesa	Settlements in Tuscany
Morgan Hill, California	Cities in California, Cities in the San Francisco Bay Area, Settlements in Santa Clara County, California
San Godenzo	Settlements in Tuscany
Estrées-lès-Crécy	Communes in Somme
Estrées-Mons	Communes in Somme
Estrées, Nord	Communes in Nord
Estrées-sur-Noye	Communes in Somme
Abscon	Communes in Nord
Étalon, Somme	Communes in Somme
Granit Xhaka	1992 births, Swiss footballers, Arsenal F.C. players, Premier League players, 2014 FIFA World Cup players, UEFA Euro 2016 players, 2018 FIFA World Cup players, Association football midfielders, Sportspeople from Basel, Living people
Ételfay	Communes in Somme
Huế Massacre	War crimes
Josh Duggar	1988 births, American television personalities, American political activists, People from Arkansas, Living people
Stammham, Altötting	Municipalities in Bavaria, Altötting (district)
Teising	Municipalities in Bavaria, Altötting (district)
Tüßling	Altötting (district)
Tyrlaching	Altötting (district)
Winhöring	Altötting (district)
Geretsried	Bad Tölz-Wolfratshausen
Bad Heilbrunn	Spa towns in Germany, Bad Tölz-Wolfratshausen
Barnier	Surnames
Red cabbage	Leaf vegetables, Brassica oleracea
Benediktbeuern	Bad Tölz-Wolfratshausen
Plague of Cyprian	Plague pandemics, Roman  Empire
Happy Land fire	Fires in the United States, 1990 in the United States, 1990s in New York City
Savoy cabbage	Leaf vegetables, Brassica oleracea
Sixth cholera pandemic	Disasters in the 20th century, Cholera pandemics
Gai lan	Leaf vegetables, Brassica oleracea
Shadow of Destiny	2001 video games, Konami games, PlayStation 2 games, PlayStation Portable games, Video games developed in Japan, Windows games, Xbox games
Ico	2001 video games, PlayStation 2 games, PlayStation 2-only games, Video games developed in Japan
Tracery	Windows (architecture), Gothic architecture, Church architecture
Action Henk	2014 video games, Racing video games, MacOS games, PlayStation 3 games, PlayStation 4 games, Windows games, Xbox One games, Xbox 360 games
Murder of Ennis Cosby	Murders by firearm in California, 1997
Date rape drug	Rape, Drugs
Men who have sex with men	Human sexuality
Book series	Series of books
Hebe (asteroid)	Asteroids
Iris (asteroid)	Asteroids
Jim Henson's The Hoobs (video game)	2002 video games, PlayStation games, PlayStation-only games, Action video games
Nankhari	Himachal Pradesh, Shimla, Tehsils of India
Samsung Galaxy A32	Samsung Galaxy A-series, Mobile phones released in 2021, Mobile phones with multiple rear cameras
Samsung Galaxy A52	Samsung Galaxy A-series, Mobile phones released in 2021, Mobile phones with multiple rear cameras, Mobile phones with 4K video recording
Samsung Galaxy A72	Samsung Galaxy A-series, Mobile phones released in 2021, Mobile phones with multiple rear cameras, Mobile phones with 4K video recording
2020 FIFA Club Confederations Cup	2020 in sports, FIFA
Dendropsophus salli	Frogs, Animals of South America
Strap	Clothing
Carbonara	Pasta, Italian food
William D. Moseley	People from North Carolina, 1795 births, 1863 deaths, Governors of Florida
Bichl	Bad Tölz-Wolfratshausen
Dietramszell	Bad Tölz-Wolfratshausen
Egling	Bad Tölz-Wolfratshausen
Eurasburg	Bad Tölz-Wolfratshausen
Gaißach	Bad Tölz-Wolfratshausen
Greiling	Bad Tölz-Wolfratshausen
Icking	Bad Tölz-Wolfratshausen
Tamago kake gohan	Japanese food, Rice dishes
Jachenau	Bad Tölz-Wolfratshausen
Reichersbeuern	Bad Tölz-Wolfratshausen
Kochel	Towns in Bavaria
Königsdorf	Bad Tölz-Wolfratshausen
Lenggries	Bad Tölz-Wolfratshausen, 1250s establishments
Münsing	Bad Tölz-Wolfratshausen
Singdarin	Chinese language, Languages of Asia, Singapore
Chilli crab	Asian foods, Singapore, Seafood dishes
Kaya toast	Singapore, Asian foods, Breakfast foods, Breads
Jurong Island	Artificial islands, Islands of Asia, Geography of Singapore
Places in Singapore	Places in Singapore
CCH Pounder	1952 births, Living people, American movie actors, American stage actors, American television actors, American voice actors, Guyanese people, Naturalized citizens of the United States
Waste treatment	Waste management
Democracy sausage	Australian culture, Elections, Foods
Home Movies (TV series)	1999 television series debuts, Animated television series
Dubach, Louisiana	Towns in Louisiana
Vienna, Louisiana	Towns in Louisiana
Gonzales, Louisiana	Cities in Louisiana
DeQuincy, Louisiana	Cities in Louisiana
Playing for Time (movie)	Movies set in the 1940s, 1980 movies, Movies based on books, American drama movies, Television movies, World War II movies
Westlake, Calcasieu Parish, Louisiana	Cities in Louisiana
New Llano, Louisiana	Towns in Louisiana
Rosepine, Louisiana	Towns in Louisiana
2021 Kabul school bombing	2021 in Asia, 2020s explosions in Asia, 2020s in Afghanistan, 2020s murders in Asia, Attacks on buildings and structures in 2021, Attacks on buildings and structures in Asia, Attacks on schools, Car and truck bombings in Asia, Crime in Afghanistan, Kabul, Mass murder in 2021, Mass murder in Asia, May 2021 events, Terrorist incidents in 2021, Terrorist incidents in Asia in the 2020s, War in Afghanistan (since 1978)
2021 Israel–Palestine crisis	2021 crimes, 2021 in Asia, 21st century in Israel, 2020s riots, Attacks on buildings and structures in Asia, Attacks on buildings and structures in the 2020s, History of Palestine, Jerusalem, May 2021 events, Terrorist incidents in Asia in the 2020s
Kazan school shooting	2021 crimes in Europe, 2021 mass shootings, 2020s explosions, 2020s mass shootings in Europe, 21st century in Russia, Attacks on buildings and structures in 2021, Attacks on schools in Europe, Explosions in Europe, May 2021 events, School shootings, Tatarstan
Syosset, New York	Hamlets in New York, Census-designated places in New York (state)
Muja (alligator)	Individual animals, 1937 births
Robert Sarah	1945 births, Living people, Cardinals of the Roman Catholic Church, Guinean people
Angelo Scola	1941 births, Living people, Cardinals of the Roman Catholic Church, Italian Roman Catholics, Italian philosophers, Theologians, People from Milan
2020 Iowa Democratic caucuses	United States presidential primary elections, Controversies in the United States, 2020 in the United States, History of Iowa, 2020 United States presidential election
Arizona City, Arizona	Census-designated places in Arizona
Lorenzo Baldisseri	1940 births, Living people, Cardinals of the Roman Catholic Church, Italian Roman Catholics, People from Tuscany
Stan Francis	1899 births, 1966 deaths, Canadian actors
Hundred Days Offensive	World War I
AFC Fylde	English football clubs, Lancashire
Sony Yay	Television channels, 2017 establishments in Asia, 2010s establishments in India
Honey Bunny Ka Jholmaal	Indian television, 2018 Indian television series debuts
Female bodybuilding	Bodybuilding, Women
Mubeen Saudagar	Indian comedians
Dendropsophus haddadi	Frogs, Animals of South America
The Honey Bunny Show With Kapil Sharma	Indian television series
Social stigma of obesity	Sociology, Obesity
Neusoft	Companies of China
Tortellini	Pasta, Italian food
Larry (cat)	Individual cats, Chief Mouser
Waffle iron	Kitchenware
Evaporated milk	Milk
Belgian waffles	Belgian food
Caroline Rose	1989 births, American folk musicians, American rock singers, American pop singers, Singer-songwriters from New York, Living people
Madilyn Bailey	Singers from Wisconsin, American singer-songwriters, American pop singers, 1992 births, Living people
Nib sugar	Sweeteners
James Garner (footballer, born 2001)	2001 births, Living people, English footballers, People from Birkenhead, Manchester United F.C. players
Kingdom of Bohemia	1190s establishments in Europe, 1198 establishments, 1918 disestablishments in Europe, States of the Holy Roman Empire, Former countries in Europe, Bohemia, States and territories disestablished in the 20th century
Thae Yong-ho	1962 births, Living people, Asian diplomats, North Korean politicians, People from Pyongyang, South Korean politicians
Caramelization	Cooking methods
Bergisches Land	Mountain ranges of Germany, Geography of North Rhine-Westphalia
Wuppertal Schwebebahn	Transport in Germany, Rail transport in Europe, Wuppertal
Camp Lakebottom	English-language television programs
Candice	Given names
Christy Altomare	1986 births, Living people, American singer-songwriters, Singers from Pennsylvania, Award winners, American stage actors
Rocket Monkeys	English-language television programs
Littlest Pet Shop (2012 TV series)	English-language television programs
Dinofroz	English-language television programs
Dinotrux	English-language television programs
Chinese cabbage	Brassicaceae, Leaf vegetables
Elizabeth, Louisiana	Towns in Louisiana
Reeves, Louisiana	Villages in Louisiana
Church Point, Louisiana	Towns in Louisiana
Iota, Louisiana	Towns in Louisiana
Grand Cane, Louisiana	Villages in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
Longstreet, Louisiana	Villages in Louisiana, Ark-La-Tex, Settlements in DeSoto Parish, Louisiana
