Wall plug	Hardware (mechanical)
Epte	Rivers of France, Normandy
Puzzle & Dragons	Mobile games
Electrostatic loudspeaker	Audio technology
Public address system	Electronics, Audio technology, Sound
Ion Luca Caragiale	Romanian writers, Romanian journalists, Poets, 1852 births, 1912 deaths
Amazing Alex	Puzzle video games
Tolleshunt Knights	Villages in Essex, Civil parishes in Essex
Woodham Mortimer	Villages in Essex, Civil parishes in Essex
Woodham Walter	Villages in Essex, Civil parishes in Essex
Canewdon	Villages in Essex, Civil parishes in Essex
Hullbridge	Villages in Essex, Civil parishes in Essex
Rawreth	Villages in Essex, Civil parishes in Essex
La Rosaleda	Football stadiums in Spain, Malaga
Little Burstead	Villages in Essex, Civil parishes in Essex
Lyriel	2000s establishments in Germany, 2003 establishments in Europe, German rock bands, Musical groups established in 2003, Musicians from North Rhine-Westphalia, 2000s German music groups, 2010s German music groups
Ramsden Bellhouse	Villages in Essex, Civil parishes in Essex
Kelvedon Hatch	Villages in Essex, Civil parishes in Essex
Mountnessing	Villages in Essex, Civil parishes in Essex
Stondon Massey	Villages in Essex, Civil parishes in Essex
West Horndon	Villages in Essex, Civil parishes in Essex
Shelland	Villages in Suffolk, Civil parishes in Suffolk
Richmond, North Yorkshire	Towns in North Yorkshire, Civil parishes in North Yorkshire
Bishop Auckland	Towns in County Durham, Civil parishes in County Durham
Todmorden	Towns in West Yorkshire, Civil parishes in West Yorkshire
William Clito	1100s births, 1128 deaths, Flanders, House of Normandy
Russell Howard	1980 births, Living people, British stand-up comedians, Comedians from Bristol, English television personalities
Horten	Municipalities of Norway, Cities in Norway
Alajärvi	Cities in Finland
Jakobstad	Towns in Finland, 1652 establishments, 17th century establishments in Finland, 1650s establishments in Europe
Stavanger	Stavanger
Geoffrey V, Count of Anjou	House of Plantagenet, Counts of Anjou, 1113 births, 1151 deaths
Chords Bridge	Bridges, Buildings and structures in Jerusalem, Transport in Israel
Delhi Ring Road	Roads in India, Delhi
Second Ring Road (Beijing)	Roads in China, Beijing, Transport in the People's Republic of China, 1980 establishments in Asia, 1980s establishments in China
Curtiss P-36 Hawk	World War II American aircraft, United States military aircraft
Ariège (river)	Rivers of France, Occitanie
Pretty Little Liars	2010 American television series debuts, 2017 American television series endings, 2010s American drama television series, 2010s mystery television series, 2010s teen television series, American LGBT television programs, American mystery television series, American teen drama television series, English-language television programs
Seremban	Cities in Malaysia, 1840 establishments, 1840s establishments in Asia, Establishments in Malaysia
Cliché	Figures of speech, Prose, Words
Seremban (district)	Malaysia
Division of Bruce	Electoral divisions of Australia, Victoria, Australia, 1955 establishments in Australia
Division of Calwell	Electoral divisions of Australia, Victoria, Australia, 1984 establishments in Australia
Division of Casey	Electoral divisions of Australia, Victoria, Australia, 1969 establishments in Australia
Division of Chisholm	Electoral divisions of Australia, 1949 establishments in Australia
Paint.net	Graphics software
Division of Corangamite	Electoral divisions of Australia, Geelong, 1901 establishments in Australia
Division of Corio	Electoral divisions of Australia, Geelong, 1901 establishments in Australia
Lee Kyu-wan	1862 births, 1946 deaths, South Korean politicians, Anti-Communists, Autobiographers
Division of Deakin	Electoral divisions of Australia, Victoria, Australia, 1937 establishments, 1930s establishments in Australia
Division of Dunkley	Electoral divisions of Australia, 1984 establishments in Australia
Arrondissements of the Ariège department	Arrondissements of France, Occitanie
Arrondissement of Foix	Arrondissements of France, Occitanie
Division of Gellibrand	Electoral divisions of Australia, 1949 establishments in Australia
William Adelin	1100s births, 1120 deaths, House of Normandy, Heirs apparent who never acceded
Australian Labor Party (Anti-Communist)	1955 establishments in Australia, 1978 disestablishments, 20th century disestablishments in Australia, Political parties in Australia
Division of Bass	Electoral divisions of Australia, Tasmania, 1903 establishments in Australia
Division of Braddon	Electoral divisions of Australia, Tasmania, 1955 establishments in Australia
Division of Denison	Former electoral divisions of Australia, Tasmania, 1903 establishments in Australia
Hanshin Tigers	Baseball teams, Baseball in Japan
Pontic Mountains	Mountains of Turkey, Mountain ranges
Oona O'Neill	1925 births, 1991 deaths, American people, Bermudian people, Cancer deaths in Switzerland, Deaths from pancreatic cancer, Naturalised citizens of the United Kingdom
SpongeBob's Last Stand	SpongeBob SquarePants episodes, 2010 television episodes
Tim M. Babcock	1919 births, 2015 deaths, Governors of Montana, US Republican Party politicians, Politicians from Minnesota, Lieutenant Governors of Montana
Joseph Cotten	1905 births, 1994 deaths, Deaths from pneumonia, Deaths from throat cancer, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, Actors from Virginia
Gail Kobe	1931 births, 2013 deaths, Deaths from natural causes, American movie actors, American television actors, American stage actors, American voice actors, American television producers, Actors from Michigan
Lavasoa dwarf lemur	Lemuriformes, Mammals of Africa
North–South divide in the United Kingdom	Geography of the United Kingdom, Economy of the United Kingdom, History of the United Kingdom
William Orpen	Painters, People from the Republic of Ireland, 1878 births, 1931 deaths, Knights Commander of the Order of the Indian Empire
Atrium	Architecture
Mac App Store	Apple software
Black cockatoo	Cockatoos
Kota Baru	Capital cities in Malaysia
Malacca City	Capital cities in Malaysia
Johor Bahru	Capital cities in Malaysia
Kuala Terengganu	Capital cities in Malaysia
Kuantan	Capital cities in Malaysia
Kuching	Capital cities in Malaysia
Shah Alam	Capital cities in Malaysia
George Town, Penang	Capital cities in Malaysia
Ipoh	Capital cities in Malaysia
Alor Setar	Capital cities in Malaysia
Kangar	Capital cities in Malaysia
Baku Stock Exchange	Stock exchanges, 2000 establishments, Economy of Azerbaijan, Buildings and structures in Baku, 21st century establishments in Azerbaijan
Junkers Ju 52	World War II German aircraft, German military aircraft
Dassault Flamant	French military aircraft, Dassault Aviation, Vietnam War aircraft
Leksand	Settlements in Dalarna County
Leksand Church	Church of Sweden churches
Rättvik Church	Church of Sweden churches
Rättvik	Settlements in Dalarna County
Swedish Ice Hockey Association	1922 establishments in Sweden, Ice hockey in Sweden
Theodor Herzl	1860 births, 1904 deaths, Burials at Mount Herzl, Deaths from cardiovascular disease, Deaths from sclerosis, Hungarian Jews, Zionists
Arrondissement of Pamiers	Arrondissements of France, Occitanie
Arrondissement of Saint-Girons	Arrondissements of France, Occitanie
China National Highways	Roads in China
Urban Expressways (Japan)	Roads in Japan
Colon Cemetery	Havana, National cemeteries, 1876 establishments, Military monuments and memorials, 19th-century establishments in Cuba, 1870s establishments in North America
Anjou	History of France, Geography of France, History of England
Transfiguration	Gospels, Jesus Christ
National People's Army	East Germany, Military of Germany, 1956 establishments in Europe, 1950s establishments in Germany
Serse	Compositions by George Frideric Handel, 1730s operas, 1738
Land Forces of the National People's Army	East Germany, Military of Germany
Volksmarine	Navy, Military of Germany, 1956 establishments in Europe
Buddy Scott	1935 births, 1994 deaths, Deaths from stomach cancer, Cancer deaths in Chicago, Chicago blues musicians, Musicians from Mississippi, Musicians from Chicago
Barrett Deems	1914 births, 1998 deaths, Deaths from pneumonia, Infectious disease deaths in Chicago, American jazz musicians, American drummers, Musicians from Springfield, Illinois
Peter Novick	1934 births, 2012 deaths, Deaths from lung cancer, American historians, Writers from New Jersey, People from Jersey City, New Jersey
Junior Wells	1934 births, 1998 deaths, Deaths from lymphoma, Cancer deaths in Chicago, Burials at Oak Woods Cemetery, Chicago blues musicians, Singers from Memphis, Tennessee, Musicians from Memphis, Tennessee, Singers from Arkansas, Musicians from Arkansas
Filippo Taglioni	1777 births, 1871 deaths, Italian people, Choreographers
Auguste Vestris	1760 births, 1842 deaths, French choreographers, French ballet dancers
Division of Franklin	Electoral divisions of Australia, Tasmania, 1903 establishments in Australia
Division of Lyons	Electoral divisions of Australia, Tasmania, 1984 establishments in Australia
Central Bank of Azerbaijan	Banks, Economy of Azerbaijan, 1992 establishments in Azerbaijan, Buildings and structures in Baku
Harbin International Snow and Ice Festival	Festivals in Asia, Chinese culture, 1985 establishments in Asia, 1980s establishments in China
Division of Gippsland	Electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia
Division of Goldstein	Electoral divisions of Australia, Victoria, Australia, 1984 establishments in Australia
Linear independence	Linear algebra
Division of Blair	Electoral divisions of Australia, Queensland, 1998 establishments in Australia
Mary Kom	1983 births, Living people, Indian sportspeople, Boxers, Olympic bronze medalists
Count of Anjou	Counts of Anjou
Ingelger	880s deaths, Counts of Anjou, 9th century births
Tyndall effect	Light
Bandai-Azuma Roadway	Roads in Japan
Mid-Sea Road	Roads in Japan
Arrondissements of the Pyrénées-Orientales department	Arrondissements of France, Occitanie
Arrondissement of Céret	Arrondissements of France, Occitanie
Arrondissement of Perpignan	Arrondissements of France, Occitanie
Arrondissement of Prades	Arrondissements of France, Occitanie
East German mark	Former currencies of Europe, Economy of Germany, East Germany, 1948 establishments in Germany, 1990 disestablishments in Germany
Fulk I of Anjou	870s births, 940s deaths, Counts of Anjou
Charles University	Prague, Colleges and universities in Europe
Fanny Elssler	1810 births, 1884 deaths, Ballerinas, Austrian people
Wells Fargo	Banks of the United States, 1852 establishments in the United States, 1850s establishments in California
Division of Brand	Electoral divisions of Australia, Western Australia
Aji Pangeran Tumenggung Pranoto Airport	Airports in Asia, Transport in Indonesia, Buildings and structures in Indonesia
Morgan Stanley	Banks of the United States, 1935 establishments in the United States, 1930s establishments in New York (state)
Division of Canning	Electoral divisions of Australia, Western Australia, 1949 establishments in Australia
Bracket fungus	Fungi
Jelly fungus	Fungi
Stinkhorn	Fungi
Todd Graff	1959 births, Actors from New York City, American child actors, American screenwriters, American movie actors, American television actors, Living people, LGBT directors
Second Battle of Bull Run	American Civil War battles, 1862 in Virginia, August events
Cytotoxic T cell	blood cells, Immunology
Lockheed C-141 Starlifter	United States Air Force aircraft, Lockheed & Lockheed-Martin aircraft, Vietnam War aircraft
Fuji FA 200	Civil aircraft, Japan
War (U2 album)	U2 albums, 1983 albums, Island Records albums, Rock albums, Punk albums
Sweet roll	Sweet breads
Margaret Pellegrini	1923 births, 2013 deaths, Deaths from stroke, American movie actors, American television actors, Actors from Alabama, People from Tuscumbia, Alabama, People with dwarfism
Pterois	Teleosts
Viscount	History of Europe, Royalty and nobility, Titles
Division of Cowan	Electoral divisions of Australia, Western Australia, 1984 establishments in Australia
Division of Curtin	Electoral divisions of Australia, Western Australia, 1949 establishments in Australia
Lionel Rose	1948 births, 2011 deaths, Australian boxers, Australian of the Year Award winners, Indigenous Australian sportspeople, Members of the Order of the British Empire, Sportspeople from Victoria (Australia)
Malachi Favors	1927 births, 2004 deaths, Deaths from pancreatic cancer, Bassists, American jazz musicians, Musicians from Mississippi, Musicians from Chicago
R. Hunter Middleton	1989 births, 1985 deaths, Deaths from natural causes, American painters, Writers from Chicago, People from Glasgow
Povilas Tautvaišas	1916 births, 1980 deaths, Deaths from myocardial infarction, Lithuanian sportspeople, American chess players
Carl Wright (actor)	1932 births, 2007 deaths, Actors from Orlando, Florida, African-American movie actors, American radio personalities, Cancer deaths in Florida
Fulk II of Anjou	900s births, 960s deaths, Counts of Anjou
Morpho	Nymphalidae
Battle of Malvern Hill	American Civil War battles, 1862 in Virginia, July events
Northwest Division (NBA)	National Basketball Association divisions
Pacific Division (NBA)	National Basketball Association divisions
Southwest Division (NBA)	National Basketball Association divisions
Wells Fargo Center (Philadelphia)	Indoor arenas, Buildings and structures in Philadelphia, Pennsylvania
Protocol 41	Internet protocols
Castor and Pollux	People in Greek mythology, Roman mythology
Sodablasting	Cleaning tools
On Human Nature	Biology books, 1978 books
Geoffrey I, Count of Anjou	930s births, 980s deaths, Counts of Anjou
Bremach	Italian automobile companies, Trucks
Cessna T-41 Mescalero	United States Air Force aircraft, Cessna aircraft
Bell 47	Bell aircraft, Civil aircraft
List of heads of state of Libya	Heads of state of Libya, Lists of heads of state
List of heads of government of Libya	Prime Ministers of Libya, Lists of politicians
Ali Zeidan	1950 births, Living people, Kidnapped people, Prime Ministers of Libya
Air Forces of the National People's Army	Air forces, Military of Germany
Raúl Héctor Castro	1916 births, 2015 deaths, Governors of Arizona, Naturalized citizens of the United States, Ambassadors of the United States, US Democratic Party politicians
Guinevere	Arthurian legend
Scott Wilson (actor)	1942 births, 2018 deaths, Deaths from leukemia, Cancer deaths in Los Angeles, American movie actors, American television actors, American voice actors, American stage actors, Actors from Atlanta, Georgia
Dick Gregory	1932 births, 2017 deaths, African American comedians, African American writers, American civil rights activists, American critics, Businesspeople from Chicago, Businesspeople from Missouri, Cardiovascular disease deaths in Washington, D.C., Comedians from Chicago, Comedians from Missouri, Deaths from heart failure, Writers from St. Louis, Missouri, Writers from Chicago
Hip hop soul	Fusion music genres, Hip hop genres, R&B music
Order of Lenin	Soviet Union, 1930 establishments, 1991 disestablishments in the Soviet Union, Orders, decorations, and medals, 20th century establishments in the Soviet Union
Con Air	1997 crime movies, 1997 thriller movies, 1997 action movies, 1990s crime thriller movies, American action movies, American crime thriller movies, English-language movies
Saving Mr. Banks	2013 drama movies, 2010s biographical movies, American biographical movies, American drama movies, Disney movies, English-language movies, Movies set in the 1960s
Jokkmokk	Settlements in Norrbotten County
Skin graft	Surgery, Animal tissues
List of World Heritage Sites in Azerbaijan	Lists of World Heritage sites, World Heritage Sites in Azerbaijan
Nirodha	Buddhist terminology
Shahram Rostami	Year of birth missing (living people), Living people, Aviators, Generals, Iranian military people
Brookhaven, Georgia	2012 establishments in the United States, 21st-century establishments in Georgia (U.S. state), Cities in Georgia (U.S. state)
M129 Grenade launcher	Weapons
Russian literature	Russian literature
William P. Clark Jr.	1931 births, 2013 deaths, American judges, American Roman Catholics, Deaths from Parkinson's disease, Disease-related deaths in California, People from Oxnard, California, People from Ventura County, California, Politicians from California, Ranchers, United States Deputy Secretaries of State, United States National Security Advisors, United States Secretaries of the Interior, US Republican Party politicians
Haji (actress)	1946 births, 2013 deaths, Actors from Quebec, Canadian entertainers, Canadian movie actors, Canadian sex industry people, Erotic dancers
Russ Meyer	1922 births, 2004 deaths, Deaths from pneumonia, Deaths from Alzheimer's disease, American screenwriters, American cinematographers, American photographers, American editors, American movie actors, Movie directors from California, Movie producers from California, Businesspeople from Oakland, California, Writers from Oakland, California, Actors from Oakland, California
Public Enemies (2009 movie)	2009 movies, American biographical movies, American crime drama movies, Japanese movies, Movies set in the 1930s, Movies set in Chicago, Illinois, Movies shot in Chicago, Illinois, English-language movies, Movies directed by Michael Mann
Douglas Seale	1913 births, 1999 deaths, Deaths from pneumonia, English movie actors, English television actors, English stage actors, English voice actors, English radio actors, English movie producers, Movie directors from London, Actors from London
University of Paris	Colleges and universities in France, Paris, 1150s establishments, 12th century establishments in Europe, Establishments in France
Not Without My Daughter	1991 drama movies, American drama movies, Iran, Movies set in Michigan, Movies about domestic violence, Movies based on books, Movies based on real life events, Movies set in Iran, Movies set in the 1980s, Tehran, Multilingual movies, American independent movies
Heteropogon contortus	Poaceae
Bucheon	Cities in South Korea
Land reclamation	Geography
Jerry Maren	1920 births, 2018 deaths, American movie actors, American television actors, Actors from Boston, Massachusetts, Writers from Boston, Massachusetts, People with dwarfism, Deaths from heart failure, Deaths from dementia, Cardiovascular disease deaths in California
Ruth Duccini	1918 births, 2014 deaths, Deaths from natural causes, American movie actors, American television actors, Actors from Minnesota, Writers from Minnesota, People with dwarfism
University of Leicester	Universities in England, Leicester
International Planning History Society	History of urban planning, Urban planning organizations, 1974 establishments in England, Leicester, International organizations, Organisations based in England
Yukuhashi, Fukuoka	Towns in Fukuoka Prefecture
List of Atlantic hurricanes in the 18th century	Atlantic hurricane seasons, 18th century in North America
Crossing the Rubicon	Metaphors
Pico Ruivo	Mountains of Europe, Madeira Islands
Henry Polic II	1945 births, 2013 deaths, Deaths from cancer, American movie actors, American television actors, American stage actors, American voice actors, Actors from Pittsburgh, Pennsylvania
Prince Friso of Orange-Nassau	1968 births, 2013 deaths, Deaths in sport, Dutch businesspeople, Dutch royalty, Princes and princesses
Russell's paradox	Logical paradoxes, Set theory
Augusta Victoria Hospital	1907 establishments in Asia, Buildings and structures in Jerusalem, Hospitals in Israel, Mount of Olives, 1900s establishments in Israel
Fulk III of Anjou	970s births, 1040 deaths, Counts of Anjou
The Adventures of Tintin (movie)	2011 movies, 2010s action movies, 2010s adventure movies, 2010s mystery movies, American action movies, American adventure movies, American mystery movies, Movies directed by Steven Spielberg, Movies composed by John Williams, English-language movies, Movies set in deserts
Vasiliy Mihaylovich Peskov	1930 births, 2013 deaths, Russian writers, Russian journalists, Ecologists, Russian photographers, Unexplained deaths
Order of the Aztec Eagle	Orders, decorations, and medals, Mexican culture, 1933 establishments, 1930s establishments in Mexico
Division of Durack	Electoral divisions of Australia, Western Australia, 2008 establishments in Australia
Division of Gorton	Electoral divisions of Australia, Victoria, Australia, 2004 establishments in Australia
Measure	Basic English 850 words, VOA Special English words
Division of Holt	Electoral divisions of Australia, Victoria, Australia, 1969 establishments in Australia
James Dougherty (police officer)	1921 births, 2005 deaths, American police officers, People from Los Angeles, California, People from Texas, Deaths from leukemia
Division of Lingiari	Electoral divisions of Australia, Northern Territory, 2001 establishments in Australia
Sophie Germain prime	Number theory
Touraine	Geography of France, Pays de la Loire, Centre-Val de Loire
Emily Procter	1968 births, Living people, American movie actors, American television actors, Actors from Raleigh, North Carolina
Eve Hewson	1991 births, Living people, Irish movie actors, People from Dublin
Ali Hewson	1961 births, Living people, Activists, Irish businesspeople
Division of Solomon	Electoral divisions of Australia, Northern Territory, 2000 establishments in Australia
Izalco (volcano)	Volcanoes of North America, El Salvador
Madeiran wall lizard	Lizards
Moab	Ancient history, History of Jordan, Old Testament
Suffering	Life, Emotions, Pain, Ethics
The Defiant Ones	1958 drama movies, 1950s crime movies, American crime drama movies, English-language movies, Movies directed by Stanley Kramer
Penny Ur	Bilingualism and second language acquisition researchers, Linguists, Officers of the Order of the British Empire, Living people, 1944 births, British educators, English people
Feng shui	Chinese culture, Luck
Adam Rodríguez	1975 births, Living people, Actors from New York, People from Yonkers, New York
Exogeny	Earth sciences
Boeing E-6 Mercury	Boeing 707, United States Navy aircraft
Boeing E-3 Sentry	Boeing 707, United States Air Force aircraft
Fiat G.91	Italian military aircraft
Tonic immobility	Zoology, Ethology
God's Gonna Cut You Down	Johnny Cash songs, Folk music
Hurt (Nine Inch Nails song)	1996 songs, Johnny Cash songs, Songs about drugs, Nine Inch Nails
Folsom Prison Blues	1950s songs, Johnny Cash songs, Country songs, Songs written by Johnny Cash
Man in Black (song)	1971 songs, Johnny Cash songs, Country songs, Songs written by Johnny Cash
Kingsland, Arkansas	Cities in Arkansas
Vasoconstriction	Blood vessels
Jeannette Littlemore	Bilingualism and second language acquisition researchers, Linguists, Living people, Year of birth missing (living people)
Wish I Was Here	2014 movies, American comedy-drama movies, English-language movies, Movies set in Los Angeles, California
A Boy Named Sue	1969 songs, Country songs, American poems, Johnny Cash songs
Let It Be (song)	1970 songs, The Beatles songs
Escape from New York	1981 movies, Movies directed by John Carpenter, American science fiction movies, Movies set in New York City, English-language movies, Dystopian movies, American independent movies
Escape from L.A.	1996 movies, American science fiction movies, Movies directed by John Carpenter, Movies set in Los Angeles, California, English-language movies, Post-apocalyptic movies, Dystopian movies, Movies with underwater settings, American independent movies
Blue Jasmine	2013 drama movies, American drama movies, English-language movies, Movies directed by Woody Allen, American independent movies
The Thing (1982 movie)	1982 horror movies, 1982 science fiction movies, 1980s monster movies, 1980s science fiction horror movies, American monster movies, American movie remakes, American science fiction horror movies, Movies set in Antarctica, English-language movies, Movies directed by John Carpenter, Multilingual movies, Universal Pictures movies
Poseidon (movie)	2006 movies, 2000s disaster movies, 2000s movie remakes, American action movies, American disaster movies, American movie remakes, English-language movies, Movies directed by Wolfgang Petersen, Survival movies
Air Force One (movie)	1997 movies, American action movies, American thriller movies, Movies directed by Wolfgang Petersen, Movies composed by Jerry Goldsmith, English-language movies, Columbia Pictures movies, Political movies, Movies about terrorism, Movies set in Asia, Movies set in Russia, Movies set in Washington, D.C.
Triangular trade	Atlantic Ocean, History of colonialism, Trade, Economic history, Historic slave trade
Waistline (clothing)	Clothing
Heliocentrism	Solar System
Trance	Psychology, Words
Spitzer Space Telescope	Space telescopes
Age of the universe	Cosmology
Nominative case	Grammar
Genitive case	Grammar
NuSTAR	Space telescopes
Malahide	County Dublin, Settlements in the Republic of Ireland
Carmelo Flores Laura	1906 births, 2014 deaths, Bolivian people, Centenarians, Longevity claims
John Barry	1933 births, 2011 deaths, Deaths from myocardial infarction, English composers, People from Yorkshire
Olinguito	Mammals of South America, Carnivora
Jericho	Cities in the West Bank, Old Testament
Marvin Kaplan	1927 births, 2016 deaths, Deaths from heart failure, Cardiovascular disease deaths in California, American movie actors, American television actors, American voice actors, American stage actors, Actors from New York City
Lisa Robin Kelly	Actors from Connecticut, American movie actors, American television actors, Drug-related deaths in the United States, 1970 births, 2013 deaths
Earl Cameron	1917 births, 2020 deaths, Deaths from pneumonia, Bermudian people, British movie actors, British stage actors, British television actors, British voice actors, British centenarians, Actors who played in James Bond movies
Earl Stevick	1923 births, 2013 deaths, Bilingualism and second language acquisition researchers, Linguists, People from Sioux City, Iowa, Columbia University alumni
Bipolar junction transistor	Electronics
Death anniversary	Death customs, Confucianism, Chinese culture, Korean culture
Head teacher	Education occupations
Boinpalle	Villages in Andhra Pradesh
Computer assisted language learning	Learning, Computer science
Darwin's finches	Evolution, Passeriformes, Charles Darwin
York, Pennsylvania	Cities in Pennsylvania, County seats in Pennsylvania, 1741 establishments in the Thirteen Colonies, 18th-century establishments in Pennsylvania
Wilson's theorem	Number theory
Dolby Surround 7.1	Audio technology
List of Kojak episodes	Lists of television series episodes
The Top 100 Crime Novels of All Time	Lists of books, 19th century books, 20th century books, Crime fiction books
Penn's Creek Massacre	Massacres in the United States, 18th century in Pennsylvania, 1755
African art	Art, Africa
Showaddywaddy	People from Leicester, English pop music groups, 1970s British music groups
Dependent personality disorder	Personality disorders, Psychiatry
Fugue state	Disorders, Psychiatry
Marmaduke (movie)	20th Century Fox movies, American movies, Movies about dogs, Movies about cats, Movies set in California, Movies set in Kansas
Rachel Boston	1982 births, Living people, American television actors, American movie actors, Actors from Tennessee, People from Chattanooga, Tennessee
Pico do Fogo	Volcanoes of Africa, Geography of Cape Verde
Smith Wigglesworth	1859 births, 1947 deaths, English Protestants, Evangelists, Pentecostals, People from Yorkshire, Plumbers
Demographics of Azerbaijan	Azerbaijan, Demographics by country
Heidelberg Catechism	1563, Calvinism, Heidelberg, Protestant theology, Christian texts
Geoffrey II of Anjou	1006 births, 1060 deaths, Counts of Anjou
Celestial Navigations	American musical groups, New Age music
August Schellenberg	1936 births, 2013 deaths, Actors from Montreal, Actors from Toronto, American movie actors, American stage actors, American television actors, American voice actors, Canadian movie actors, Canadian stage actors, Canadian television actors, Canadian voice actors, Deaths from lung cancer
Douglas Fairbanks, Jr.	1909 births, 2000 deaths, Deaths from myocardial infarction, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American silent movie actors, Actors from New York City, Actors from Los Angeles, California, Actors from Paris, Actors from London
Christopher Isherwood	1904 births, 1986 deaths, Alumni of the University of Cambridge, American LGBT people, American novelists, American playwrights, Cancer deaths in the United States, Deaths from prostate cancer, English LGBT people, English novelists, English playwrights, Gay men, LGBT novelists, LGBT playwrights, Naturalized citizens of the United States, Writers from Cheshire
Paul Scofield	1922 births, 2008 deaths, Academy Award winning actors, Actors from Birmingham, Actors from Sussex, BAFTA Award winning actors, Cancer deaths in England, Deaths from leukemia, Disease-related deaths in Sussex, English movie actors, English stage actors, English television actors, English voice actors, Emmy Award winning actors, Golden Globe Award winning actors, Tony Award winning actors
Stanley Holloway	1890 births, 1982 deaths, English movie actors, English television actors, English stage actors, English radio actors, English voice actors, English poets, Actors from Essex, Actors from London, Comedians from London, Singers from London
Family International	Cults, 1968 establishments in the United States, Christian organizations based in the United States, New religious movements
Division of Berowra	Electoral divisions of Australia, New South Wales, 1969 establishments in Australia
Division of Hotham	Electoral divisions of Australia, Victoria, Australia, 1969 establishments in Australia
Condominium	Houses
American Swedish Institute	Minneapolis, Minnesota, Museums in the United States, 20th-century establishments in Minnesota
Geoffrey III, Count of Anjou	1040s births, 1096 deaths, Counts of Anjou
Ermengarde-Blanche of Anjou	1010s births, 1076 deaths, Dukes and Duchesses of Anjou
Division of Indi	Electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia
Division of Melbourne	Electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia
Division of Isaacs	Electoral divisions of Australia, Victoria, Australia, 1969 establishments in Australia
Castaways of the Flying Dutchman	Fantasy books, 2001 books
Division of Bradfield	Electoral divisions of Australia, New South Wales, 1949 establishments in Australia
Rolv Wesenlund	1936 births, 2013 deaths, Deaths from heart failure, Norwegian comedians, Norwegian movie actors, Norwegian television actors, Norwegian stage actors, Norwegian singers, Norwegian writers
Gabriel García Moreno	1821 births, 1875 deaths, Assassinated people, Presidents of Ecuador, People from Guayaquil
Vicente Rocafuerte	1783 births, 1847 deaths, Presidents of Ecuador, People from Guayaquil
José Joaquín de Olmedo	1780 births, 1847 deaths, Presidents of Ecuador, Vice Presidents of Ecuador, Mayors of Guayaquil
Vicente Ramón Roca	1792 births, 1858 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Guayaquil
Manuel de Ascásubi	1802 births, 1876 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Guayaquil, Vice Presidents of Ecuador
Diego Noboa	1789 births, 1870 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Guayaquil
José María Urvina	1808 births, 1891 deaths, Deaths from natural causes, Presidents of Ecuador, People from Guayaquil
Francisco Robles	1811 births, 1893 deaths, Deaths from heart failure, Presidents of Ecuador, People from Guayaquil
Jerónimo Carrión	1804 births, 1873 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Guayaquil, Vice Presidents of Ecuador
Pedro José de Arteta	1797 births, 1873 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Quito, Vice Presidents of Ecuador
Television movie	Television movies
Juan Javier Espinosa	1815 births, 1870 deaths, Deaths from myocardial infarction, Disease-related deaths in Ecuador, People from Quito, Presidents of Ecuador
The Day After	English-language movies, 1983 movies, Television movies, Disaster movies, American television movies, American science fiction movies, Apocalyptic movies
Francisco León Franco	1832 births, 1880 deaths, Presidents of Ecuador, People from Quito, Vice Presidents of Ecuador
José Javier Eguiguren	1816 births, 1884 deaths, Presidents of Ecuador
Antonio Borrero	1827 births, 1911 deaths, Deaths from natural causes, Presidents of Ecuador, Vice Presidents of Ecuador
Ignacio de Veintemilla	1828 births, 1908 deaths, Deaths from heart failure, Presidents of Ecuador, People from Quito
Osvaldo Hurtado	1939 births, Living people, Presidents of Ecuador, Vice Presidents of Ecuador
Jaime Roldós Aguilera	1940 births, 1981 deaths, Aviation deaths, Presidents of Ecuador, People from Guayaquil
Guillermo Rodríguez	1924 births, Living people, Presidents of Ecuador
Otto Arosemena	1925 births, 1984 deaths, Accidental deaths from falls, Presidents of Ecuador, People from Guayaquil
Clemente Yerovi	1904 births, 1981 deaths, Deaths from heart failure, Politicians from Barcelona, Presidents of Ecuador
Carlos Julio Arosemena Monroy	1919 births, 2004 deaths, Deaths from natural causes, Presidents of Ecuador, People from Guayaquil, Vice Presidents of Ecuador
Camilo Ponce Enríquez	1912 births, 1976 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Quito
Carlos Julio Arosemena Tola	1888 births, 1952 deaths, Deaths from stroke, Presidents of Ecuador, People from Guayaquil
Mariano Suárez Veintimilla	1887 births, 1980 deaths, Deaths from natural causes, Presidents of Ecuador, People from Quito
Carlos Mancheno Cajas	1902 births, 1996 deaths, Deaths from natural causes, Presidents of Ecuador
Division of Calare	Electoral divisions of Australia, New South Wales, 1906 establishments in Australia
Division of Charlton	Former electoral divisions of Australia, New South Wales, 1984 establishments in Australia
Mongolian Wikipedia	Wikipedias, Websites established in 2004
Harmonic analysis	Digital signal processing, Mathematical analysis
